shortcode,username,date_utc,is_video,is_sponsored,hashtags,mentions,caption,video_view_count,video_length,likes,comments,likes+comments,location_name,location_latlong
CIY5X0AHiOW,att,2020-12-04 20:19:43.000000,no,False,b'lifeatatt',b'',"b""This is Elf on the Shelf Moe from our Monroe team in Chicago! He shows up in the craziest places each morning, always excited to share our best deals with our customers, new and existing! \n\nThe question we're all asking ourselves is \xe2\x80\x9cwhere will he appear next?\xe2\x80\x9d #LifeAtATT :blue_heart:""",0,0,1101,89,,,
CIYU1oLDpH3,att,2020-12-04 15:00:52.000000,yes,False,b'attgotycontest',"b'thef2,josefmartinez17,jimmyconrad,timhow1,abbydahlkemper'","b'Don\xe2\x80\x99t forget to submit your goal recreations to one of the MLS Goal of The Year contenders! You\xe2\x80\x99ve got until Dec. 4th to show us what you got! :soccer_ball: \n\nPost your best recreations with #ATTGOTYCONTEST and tag us - our friends @thef2, @josefmartinez17, @jimmyconrad, @timhow1,and @abbydahlkemper will be choosing the winners! :trophy: No purch nec. US res 18+. Link in bio for rules.'",1748,42.8,143,43,,,
CIWOtS6nPKW,att,2020-12-03 19:31:25.000000,yes,False,"b'hbomax,repost,wonderwoman1984,hbomax,wbpictures'","b'hbomax,wbpictures,hbomax'","b'As if we needed another reason to look forward to 2021! @HBOMax + @WBPictures you\xe2\x80\x99ve DELIVERED. :raising_hands::sparkles:\n\nAT&T customers, access these titles & so much more on #HBOMax, included at no additional charge with our best packages and plans. :collision: \nVisit the link in bio to learn more.\n\n#repost @hbomax \n_______________________\n\nI got you something :sparkles:nice:sparkles: this year:\n:wrapped_gift: The biggest movie premieres\n:wrapped_gift: In theaters and on HBO Max the exact same day\n:wrapped_gift: Beginning December 25 with #WonderWoman1984\n#HBOMax #WBPictures'",3135,43.033,249,191,,,
CIV_i-qHdHa,att,2020-12-03 17:21:53.000000,yes,False,b'5g',b'',"b""Want to know how #5G's fast speeds and low latency will transform how fans experience live events? Listen to Malcolm Gladwell and AT&T Business leader, Mo Katibeh, discuss the future of venue experiences.""",1228,77.66,105,35,,,
CIUJv4Zslth,att,2020-12-03 00:06:49.000000,yes,False,b'',b'',"b""What exactly is Fiber? We're here to break down the basics for you. :smiling_face_with_sunglasses: AT&T Fiber - that's fast! Link in bio for details.""",1699,37.966,163,70,,,
CITfzcrlH9p,att,2020-12-02 18:00:23.000000,yes,False,"b'attnationwide5g,iphone12mini,5g'",b'',"b""Hotlanta isn\xe2\x80\x99t the only thing hot! :fire: We've got hot deals at att.com. Listen to our employee Branisha as she gives you the deets. \n\n5Geeeee, that\xe2\x80\x99s easy!\xef\xbb\xbf #ATTNationwide5G #iPhone12mini #5G""",1641,28.8,164,49,,,
CIRHxyJHRQt,att,2020-12-01 19:51:41.000000,no,False,"b'givingtuesday,thanksgifting,connectedtogether'",b'feedingamerica',b'Swipe :right_arrow_selector: for an easy way to participate in #GivingTuesday today and give all month long! :blue_heart::selfie:\n#THANKSGIFTING  #ConnectedTogether @FeedingAmerica\n\nLearn more at the link in bio.',0,0,298,66,,,
CIQmaFlgC6l,att,2020-12-01 15:00:10.000000,yes,False,"b'givingtuesday,attemployees,connectedtogether'",b'',"b""This #GivingTuesday we\xe2\x80\x99re celebrating our #ATTEmployees who give time and energy to amazing causes. \n\nWe want to see how you're giving back! We welcome you to participate with us by using #ConnectedTogether.""",1701,16.6,160,27,,,
CIOdFJmFASq,att,2020-11-30 19:00:16.000000,yes,False,b'attfiber',b'',"b'Don\xe2\x80\x99t miss out on your mom\xe2\x80\x99s virtual birthday party because of a spotty internet connection. She deserves to hear you perform that birthday song flawlessly, right? :musical_notes: \n\nGet #ATTFiber and be there when it matters most thanks to super fast speeds! Ltd. avail/areas. Link in bio.'",1506,22.166,120,59,,,
CIL_Jb1FhkU,att,2020-11-29 20:00:12.000000,no,False,b'attfiber',b'',"b'You didn\xe2\x80\x99t freeze up when the questions got tough, your internet did that. :thumbs_down: Don\xe2\x80\x99t let your slow upload speed cost you your dream job. Luckily, we\xe2\x80\x99ve got your back with #ATTFiber. Ltd. avail/areas. \n\nUpgrade to AT&T Fiber today at the link in our bio.'",0,0,353,61,,,
CIJoFualUuH,att,2020-11-28 22:00:14.000000,no,False,b'',b'',"b'2020 got a lot of us doing these a bit too often, right? :woman_facepalming_selector::man_facepalming_selector:'",0,0,233,51,,,
CIJCUhblwa4,att,2020-11-28 16:30:22.000000,yes,False,"b'smallbusiness,notsmallinspirit,sweepstakes'","b'attbusiness,attbusiness'","b""This year has been especially tough in the world of #smallbusiness. We're here to help by giving $2,000 to 20 of them. (This could be you!)\n\nHere\xe2\x80\x99s how to enter:\n:check_mark: Follow @ATTBusiness on Twitter or Instagram\n:check_mark: Tweet or create a post about how your business has persevered in 2020\n:check_mark: Tag @ATTBusiness on Twitter or Instagram\n:check_mark: Use hashtags #NotSmallinSpirit and #sweepstakes\n \nSweepstakes ends 12.15.20.""",1494,30.066,124,37,,,
CIGwIVGn7_H,att,2020-11-27 19:13:24.000000,yes,False,"b'blackfriday,thanksgiving'",b'',"b""We know what you're here for...and we've got it! \nCheck out some of our #BlackFriday deals, they\xe2\x80\x99re even better than your #Thanksgiving meal last night. :eyes::turkey: Online only, learn how new and existing customers can get the iPhone XS for $1/month, no trade-in required. Valid until 12/4.\n \nSee our full list of offers on the latest phones, tablets, and watches at the link in bio. :sparkles:\xef\xbb\xbf""",4253,6.0,277,89,,,
CIElXCbFvVX,att,2020-11-26 23:00:06.000000,yes,False,b'',b'',b'TFW a package arrives at the front door! :star-struck: Scroll through some of our best devices and deals and snag those perfect holiday gifts to be conveniently delivered to your doorstep. Shop at the link in bio. :wrapped_gift::confetti_ball:',2398,10.0,176,45,,,
CID_mGtlVLW,att,2020-11-26 17:30:12.000000,no,False,b'happythanksgiving',b'',"b""This year, we're grateful for our loyal customers, new and old, and our dedicated employees. :turkey::blue_heart: #HappyThanksgiving""",0,0,459,67,,,
CIB5s15l4uj,att,2020-11-25 22:00:11.000000,no,False,"b'cableface,attfiber'",b'',b'That moment when a spotty connection brings out #CableFace. Don\xe2\x80\x99t let slow upload speeds terrify your students during your virtual lecture. Here\xe2\x80\x99s to getting a head start on \xe2\x80\x9cTeacher of the Year\xe2\x80\x9d :trophy: with #ATTFiber. Ltd. avail/areas. \nLearn more in the link in bio.',0,0,180,38,,,
CIBi1q0HPtd,att,2020-11-25 18:40:17.000000,no,False,b'',b'',"b""To say we're your one-stop shop for the best gadgets to gift would be an understatement. But hey, we'll say it anyway. :smirking_face:\n\nShop these fresh new deals & even more in the link in bio:\n:watch:Get the Apple Watch SE on us\n:clapping_hands:50% off iPad 7th Gen""",0,0,292,39,,,
CIBe2tTnOtj,att,2020-11-25 18:05:29.000000,no,False,b'blackfriday',b'',"b""#BlackFriday is almost here, but we're so excited that we\xe2\x80\x99re sharing our deals early! \n\n:watch: For that fitness guru or busy bee, we recommend the smartwatch. Buy one Samsung Galaxy Watch, give one on us!\n\n:eyes: For the creative mind or parent juggling it all, we recommend the ever-helpful tablet. Get 1/2 off the Samsung Galaxy Tab S5e!\n\nVisit the link in bio for more savings on the latest phones, watches, and tablets!""",0,0,216,16,,,
CH_QOacnDDn,att,2020-11-24 21:20:23.000000,yes,False,"b'business,5g,heathcare'",b'',"b'Check out AT&T #Business leader, Mo Katibeh, and Malcolm Gladwell discuss how a blazing fast #5G connection with super-low latency could revolutionize #heathcare, allowing surgeons to one day operate on patients remotely.'",1326,74.96,113,28,,,
CH-ruKoFuyH,att,2020-11-24 16:00:22.000000,yes,False,b'',b'',"b'We got your back. :raised_hand: Get spam and fraud call blocking with advanced mobile security on our newest unlimited plans. 5Geeee, that\xe2\x80\x99s easy. \n\nAT&T may temporarily slow data speeds if the network is busy.'",1893,26.333,152,31,,,
CH8wHtMlPwT,att,2020-11-23 22:00:23.000000,yes,False,"b'attunlockedgames,gamedev'",b'',"b""Action! Puzzle-solving! Platforming! Six amazing games from incredible women developers. :woman::video_game: Our #ATTUnlockedGames End Bosses will choose a $50K Grand Prize winner. :money_with_wings:\n \nTune in on our Twitter page for the livestream event Dec. 2! Then vote for your fave to win Gamers' Choice. #gamedev""",1625,51.4,131,35,,,
CH8Z6JvFEKe,att,2020-11-23 18:46:11.000000,no,False,b'47',b'',"b""Reason #47 to switch, add a line or upgrade:\nBecause they\xe2\x80\x99ve grown up so fast! Thankfully, adding a line has never been easier. Learn more about Unlimited Your Way and get the perfect plan that fits your family\xe2\x80\x99s needs at the link in bio. \n\nAdd\xe2\x80\x99l charges, usage, speed & other restr's apply.""",0,0,227,35,,,
CH59ligFX8d,att,2020-11-22 20:00:14.000000,no,False,b'',b'',"b'We\xe2\x80\x99ve all got quirks like these, right? Tell us your score!'",0,0,309,44,,,
CH3fqJOFShS,att,2020-11-21 21:00:15.000000,no,False,"b'cableface,attfiber'",b'',"b'Don\xe2\x80\x99t lose your title as :glowing_star:\xe2\x80\x9dFavorite Uncle\xe2\x80\x9d :glowing_star: because of #CableFace. You want the kids laughing with you, not at you! \n\nKeep them smiling for all the right reasons with our ultra-fast #ATTFiber Internet. Ltd. avail/areas. Link in bio for more info.'",0,0,255,26,,,
CH3LD1ulcnI,att,2020-11-21 18:00:17.000000,yes,False,"b'5g,iphone12'",b'',b'Take a thrill ride with a new #5G device like the new #iPhone12 and take a pick from one of our unlimited plans by heading to att.com. It\xe2\x80\x99s a scream-ing good time! :roller_coaster: 5Geeeee that\xe2\x80\x99s easy.',3260,35.2,199,36,,,
CH1CnbBHJEJ,att,2020-11-20 22:07:50.000000,no,False,"b'lifeatatt,attbelieves,dogsofinstagram,fridayfeels'",b'',b'Maisie is all smiles because it\xe2\x80\x99s weekend time! Who\xe2\x80\x99s feeling the same way? :bone::dog_face: #LifeAtATT #ATTBelieves #DogsofInstagram #FridayFeels',0,0,379,35,,,
CH0m8zynXWd,att,2020-11-20 18:06:05.000000,no,False,"b'covid19,wifi,internet,teachers,students,parents,attconnectedlearning'",b'connectednation',"b""An estimated 17 million public K-12 students fall into the homework gap due to #COVID19 school closures. Together with @ConnectedNation, we\xe2\x80\x99ll work to close this gap and provide online access for students by providing #WiFi hotspots and free AT&T #internet service. We're proud to continue our support of #teachers, #students and #parents with this $10 million initiative. \n\nLearn more at the link in bio. #ATTConnectedLearning""",0,0,335,26,,,
CHynOt8LwaG,att,2020-11-19 23:30:07.000000,yes,False,"b'iphone12,iphone12'",b'',"b'Nothing will stop you from finishing that *one last* episode now. :battery::mobile_phone::popcorn: Enjoy your favorite shows and Facetime your friends and fam with your new #iPhone12, ready with all-day battery life.\n \nNew and existing customers still get our best deals! Ask how you can get the #iPhone12 for as low as $100 with trade-in. More at the link in bio.'",1903,5.033,191,16,,,
CHyWEgeFDIK,att,2020-11-19 21:00:16.000000,yes,False,"b'collegefootball,att5g,attsignmakr'",b'',"b""#Collegefootball fans, it's your time to shine! :glowing_star:\n\nBe a part of building the next #ATT5G mosaic! Create a digital sign for your favorite team at the link in bio and share it using #ATTSignMakr.""",2222,16.2,684,17,,,
CHxmphMnhH8,att,2020-11-19 14:06:50.000000,yes,False,"b'firstresponders,publicsafety'",b'',"b'Through the eyes of #firstresponders, this has been a year like none before it. Thank you for the lifesaving work you do to provide #publicsafety. :folded_hands_medium_skin_tone:'",1057,68.086,126,13,,,
CHwcMMwIisV,att,2020-11-19 03:15:18.000000,no,False,b'',b'',"b'When it comes to super-fast Internet, we don\xe2\x80\x99t play games - so you can. :video_game:  Score an ultra-fast connection and fast speeds at peak times. Ltd. avail/areas. More info in the link in bio.'",0,0,266,34,,,
CHwW1cLH7qO,att,2020-11-19 02:28:52.000000,yes,False,b'attgotycontest',"b'thef2,josefmartinez17,jimmyconrad,timhow1,abbydahlkemper'","b'The stars of the MLS scored some unbelievable goals this year, but what we want to know is...do you have enough game to recreate one of these amazing finishes?! Then prove it! \n\nPost your best recreations with #ATTGOTYCONTEST and tag us. Our friends @thef2, @josefmartinez17, @jimmyconrad, @timhow1, & @abbydahlkemper will be choosing the winners! \nNo purch nec. US res 18+. gotyfanedition.att.com for rules.'",1399,81.666,103,6,,,
CHtaNYgFHvX,att,2020-11-17 23:00:12.000000,no,False,b'',b'hbomax',b'A family that streams together stays together. :blue_heart: Stream on multiple devices at the same time with Fiber-fast Internet and get @HBOMax included! Check out the link in our bio.\n\nLtd. avail/areas. HBO Max access req\xe2\x80\x99s compatible device & online acct registration.',0,0,300,75,,,
CHs-wFEFfWi,att,2020-11-17 19:00:18.000000,yes,False,b'attnationwide5g',b'',"b'Get ready to roll! :sport_utility_vehicle: :blue_heart:  Switch, add a line, or upgrade your device with ease by visiting us via curbside pickup, online, or in stores. #ATTNationwide5G'",2481,25.8,209,26,,,
CHrS8rrn933,att,2020-11-17 03:18:59.000000,yes,False,"b'att5g,nbadraft'","b'patwilliams,wnba,dianataurasi'","b'We believe in the power of connection...and surprises! :face_with_open_mouth:\n \nEven though they couldn\xe2\x80\x99t be in the same room, watch how #ATT5G HoloVision enabled #NBADraft prospect @patwilliams to meet with and learn from the :goat:, the @WNBA legend @dianataurasi!'",1782,176.548,131,15,,,
CHq_JMJnDhJ,att,2020-11-17 00:25:05.000000,no,False,"b'attemployee,attfamily,lifeatatt'",b'',"b'It was career day at Kenny\xe2\x80\x99s daycare, so his dad, Ted, dressed him up as a future #ATTEmployee like him. Kenny was born one month after Ted joined the #ATTFamily, and often copies his dad while on work calls, so it was only fitting that Kenny dressed the part. :t-shirt::smiling_face_selector:\n\nWe\xe2\x80\x99re grateful they\xe2\x80\x99re part of #LifeAtATT'",0,0,689,40,,,
CHqg0bWlyRD,att,2020-11-16 20:00:12.000000,yes,False,b'attfiber',b'',b'Spend more time impressing your boss and less time apologizing for your slow internet. :turtle: Get #ATTFiber with faster upload speeds. Ltd. avail/areas. :link: in bio for more info.',1718,22.566,142,14,,,
CHnnboZFuLn,att,2020-11-15 17:00:22.000000,yes,False,"b'iphone12pro,attnationwide5g'",b'',"b'It\xe2\x80\x99s time to go pro! #iPhone12Pro that is. \nScore one today or pick from our wide variety of devices with access to #ATTNationwide5G! :thumbs_up::mobile_phone:5Geeeee, that\xe2\x80\x99s easy.'",2398,28.133,175,64,,,
CHlQXAqFaMz,att,2020-11-14 19:00:09.000000,yes,False,"b'iphone12,iphone12pro'",b'',b'Say it with us: :loudspeaker:NO MO FOMO!:loudspeaker:\nTake your pick from one of the new #iPhone12 and #iPhone12Pro family of devices.\nUp to you if you want to post about it and create some FOMO with your friends. :woman_shrugging_selector::man_shrugging_selector:',3201,5.0,234,37,,,
