shortcode,username,date_utc,is_video,is_sponsored,hashtags,mentions,caption,video_view_count,video_length,likes,comments,likes+comments,location_name,location_latlong
CIYqHG_Bq0H,autozone,2020-12-04 18:06:22.000000,no,False,b'getinthezone',b'wanderlust2bus',"b'@wanderlust2bus is just taking on your everyday, typical, ho-hum DIY project: renovating an entire school bus. What\xe2\x80\x99s the biggest DIY project you\xe2\x80\x99ve ever taken on? #GetInTheZone'",0,0,281,4,,,
CITY7u7BnTG,autozone,2020-12-02 17:00:08.000000,yes,False,b'getinthezone',b'',b'Lower temps mean lower pressure in your tires. And that means you might be seeing this little light in the months ahead. #GetInTheZone',1217,9.933,103,0,,,
CIOPWQvn-sH,autozone,2020-11-30 17:00:15.000000,no,False,b'getinthezone',b'',b'Fred and his fellow Zoners stayed after hours to get James the help he needed. Now that\xe2\x80\x99s going the Extra Mile. Thanks for sharing your story James.  #GetInTheZone',0,0,138,3,,,
CIBCxJ7hcez,autozone,2020-11-25 14:00:08.000000,yes,False,b'getinthezone',b'',b'Your car\xe2\x80\x99s battery seems to get most of the attention. But your starter is just as important. We\xe2\x80\x99re here to tell you more about it in today\xe2\x80\x99s DIY Dictionary. #GetInTheZone',1161,10.9,102,7,,,
CH8bhFSjxwZ,autozone,2020-11-23 19:00:15.000000,no,False,"b'bestforvets,getinthezone'",b'militarytimes',"b'AutoZone was recently recognized as a 2020 \xe2\x80\x9cBest for Vets Employer\xe2\x80\x9d by @militarytimes.\n \nWe are proud that 10% of the AutoZone workforce includes active or retired Military and of the efforts of our Veteran and Active Leadership Organization for Recruitment and Retention (AZ VALOR). AZ VALOR supports current and former service members and their families through recruitment, networking, learning opportunities and community engagement. We are #BestforVets #GetInTheZone'",0,0,196,3,,,
CH0Ky8asdAH,autozone,2020-11-20 14:00:13.000000,no,False,b'getinthezone',b'ricocantrell',"b'@ricocantrell, we\xe2\x80\x99re glad we could get you what you needed so you could get to work on that bike. Keep it up. #GetInTheZone'",0,0,446,11,,,
CHvcq3LhEb4,autozone,2020-11-18 18:00:03.000000,no,False,b'getinthezone',b'',"b'Today\xe2\x80\x99s Quick Fix will have you dealing with dim headlights in no time, and seeing more of the road on those dark fall nights. #GetInTheZone'",0,0,173,8,,,
CHqg0HFJDWv,autozone,2020-11-16 20:00:13.000000,no,False,b'getinthezone',b'',b'Nisa shared this story of how Randi and Mark went the extra mile to help her mother get back on the road. #GetInTheZone',0,0,131,16,,,
CHikseajSrk,autozone,2020-11-13 18:00:11.000000,no,False,b'getinthezone',b'rovrlander',b'Good choice on the replacement Payton. We\xe2\x80\x99re thinking happy battery thoughts for you. #GetInTheZone \n\n:camera:: @rovrlander',0,0,165,6,,,
CHfkcS8jdA1,autozone,2020-11-12 14:00:18.000000,yes,False,b'getinthezone',b'',"b'Your car\xe2\x80\x99s dashboard lights are your car\xe2\x80\x99s way of talking to you. And today, we\xe2\x80\x99re talking about your battery light. #GetInTheZone'",1501,9.933,99,3,,,
CHdvtRdpnaC,autozone,2020-11-11 21:00:15.000000,no,False,"b'happyveteransday,getinthezone'",b'',b'Today and every day we thank our veterans with our military discount: 10% off in-store purchases with your military ID. #HappyVeteransDay #GetInTheZone',0,0,318,2,,,
CHQHq1RAfVu,autozone,2020-11-06 14:00:14.000000,no,False,b'getinthezone',b'najwhlgn',b'Naj put in the work when it came to his brake job. We\xe2\x80\x99re just here to help him get started\xe2\x80\xa6 and show him some much-deserved love. Nice job.  #GetInTheZone \n\n:camera:: @najwhlgn',0,0,175,5,,,
CHQHq1RAfVu,autozone,2020-11-06 14:00:14.000000,no,False,b'getinthezone',b'najwhlgn',b'Naj put in the work when it came to his brake job. We\xe2\x80\x99re just here to help him get started\xe2\x80\xa6 and show him some much-deserved love. Nice job.  #GetInTheZone \n\n:camera:: @najwhlgn',0,0,175,5,,,
CHLnRViJvC5,autozone,2020-11-04 20:00:06.000000,yes,False,b'getinthezone',b'',"b'It\xe2\x80\x99s time for a DIY Dictionary \xe2\x80\x9cBrake\xe2\x80\x9d, where today we\xe2\x80\x99ll be learning a thing or two about rotors. #GetInTheZone'",1517,5.866,121,6,,,
CHDdbShJuxV,autozone,2020-11-01 16:00:14.000000,no,False,b'getinthezone',b'bluehourvalley',b'A little less daylight just means more jobs getting done in the dark. #GetInTheZone \n\n:camera:: @bluehourvalley',0,0,783,20,,,
CHA_fupJU2V,autozone,2020-10-31 17:00:13.000000,no,False,b'getinthezone',b'',"b'Nothing says \xe2\x80\x9cBoo!\xe2\x80\x9d like your check engine light. We can help you take care of it with our free AutoZone Fix Finder Service, so you can get back to enjoying your Halloween treats. #GetInTheZone'",0,0,289,6,,,
CG6KsQBBCI_,autozone,2020-10-29 01:23:12.000000,no,False,b'getinthezone',b'',"b'Today\xe2\x80\x99s Quick Fix will have you dealing with dim headlights in no time, and seeing more of the road on those dark fall nights. #GetInTheZone'",0,0,138,1,,,
CGxiur4HE_e,autozone,2020-10-25 17:00:14.000000,no,False,"b'safedriving,getinthezone'","b'sylvaniaautomotive,officialrainx'",b'Our Visibility Event is here. Be sure to stop in for a $25 Bonus Reward with the purchase of 2 select @sylvaniaautomotive headlights and 2 @officialrainx Wiper Blades. #SafeDriving #GetInTheZone',0,0,118,3,,,
CGr9rA7Mc1D,autozone,2020-10-23 13:00:22.000000,no,False,b'getinthezone',b'ladyvtavora',b'We\xe2\x80\x99ll always have your battery solution in stock at AutoZone. @ladyvtavora We hope your new battery has you starting strong! #GetInTheZone',0,0,317,14,,,
CGndR2aJVj4,autozone,2020-10-21 19:00:08.000000,yes,False,b'getinthezone',b'',b'What does an oxygen sensor do? Why\xe2\x80\x99s it so important? You can find all of the answers in today\xe2\x80\x99s DIY Dictionary.  #GetInTheZone',1715,5.866,141,1,,,
CGihbAiJPyR,autozone,2020-10-19 21:00:13.000000,no,False,b'',b'',"b'Megan shared this story of how Pierce and his co-worker went above and beyond to get her back on the road. Thanks for the shoutout!\n\n\xe2\x80\x9cShout out to Pierce at the AutoZone in Willard, Ohio. This young man went above and beyond for me tonight. My old car\xe2\x80\xa6 was overheating. Pierce\xe2\x80\xa6 figured out there was air in the radiator. He fixed it up and got it back on the road. Didn\xe2\x80\x99t ask for a dime. You have some great young men working there.\xe2\x80\x9d'",0,0,221,4,,,
CGaecIQpOb4,autozone,2020-10-16 18:00:13.000000,no,False,b'getinthezone',b'maria_swim_race_2003',b'@maria_swim_race_2003 We\xe2\x80\x99re always behind you while you\xe2\x80\x99re behind the wheel. Nice driving! #GetInTheZone',0,0,304,29,,,
CGVwT6wFTeL,autozone,2020-10-14 22:00:06.000000,yes,False,b'getinthezone',b'',"b'Lots of dashboard lights mean lots of questions. We\xe2\x80\x99re here to help you get to know your lights, and get some answers.\n\nStarting with your check engine light.\n\n #GetInTheZone'",2747,4.966,228,12,,,
CGQo5q0gIiC,autozone,2020-10-12 22:19:14.000000,no,False,b'getinthezone',b'darioncarden',"b'@darioncarden Whether you\xe2\x80\x99re driving cross-country or just down the street, we\xe2\x80\x99ll always be there for you. #GetInTheZone'",0,0,328,9,,,
CF22xqmFWTw,autozone,2020-10-02 22:00:13.000000,no,False,b'getinthezone',"b'redneckwitch_,hooperhooper'",b'@redneckwitch_ looks like you\xe2\x80\x99re in your happy place. Nice work refilling that antifreeze! :camera_with_flash:  by @hooperhooper\n#GetInTheZone',0,0,293,10,,,
CF0R-0WFzdd,autozone,2020-10-01 22:00:10.000000,yes,False,b'getinthezone',b'',b'Changing leaves and crossing off to-do\xe2\x80\x99s. There\xe2\x80\x99s no better place to get your ride ready for fall weather. #GetInTheZone',873,14.666,69,1,,,
CFxnw9mhW_q,autozone,2020-09-30 21:12:42.000000,no,False,b'',b'',"b'We\xe2\x80\x99re proud to announce we are hiring over 20,000 roles nationwide. Interested in seeing where your drive can take you? Apply today at autozone.com/careers.'",0,0,194,5,,,
CFsepozBeMD,autozone,2020-09-28 21:16:51.000000,no,False,b'getinthezone',b'',"b'Thanks Michelle for sharing your story of how your local AutoZone went the Extra Mile to get you what you needed, in your time of need. #GetInTheZone'",0,0,186,9,,,
CFanLsPhbLf,autozone,2020-09-21 22:45:05.000000,no,False,b'',b'',"b'At AutoZone, we are hiring for over 800 positions at our distribution centers. Our warehouse associate, CDL truck driver and leadership positions offer numerous benefits like a competitive salary, insurance, paid time off and more. Apply today at careers.autozone.com.'",0,0,505,13,,,
CFNw7ZMgcV2,autozone,2020-09-16 23:00:15.000000,yes,False,"b'1,getinthezone'",b'',"b""Starting problems? There's a simple solution - AutoZone. We're America's #1 Battery Destination. #GetInTheZone""",1230,15.0,101,3,,,
CFIdCAZjEWJ,autozone,2020-09-14 21:30:12.000000,no,False,b'extramilemonday',b'',"b""We're happy to hear how Dustin helped you get back on the road, Brookstorm. Thank you for sharing your story! #ExtraMileMonday""",0,0,251,26,,,
CFDCRpCgOTP,autozone,2020-09-12 19:00:12.000000,no,False,b'getinthezone',b'iadoremo',"b'Nice work on that brake pad and rotor replacement, @iadoremo! No matter what job you take on next, we\xe2\x80\x99ll be there to help. #GetInTheZone'",0,0,298,1,,,
CE7hGqrhvhQ,autozone,2020-09-09 20:55:56.000000,yes,False,"b'getinthezone,typesauto'","b'typesauto,vaughngittinjr,chelseadenofa'","b'Part 2 is here! Light up the night with @TypeSAuto Smart Lighting Kits, so you can take on projects just like @VaughnGittinJr and @ChelseaDeNofa :raising_hands: #GetInTheZone #TypeSAuto'",1453,59.991,277,77,,,
CE483CrnfGr,autozone,2020-09-08 21:00:42.000000,yes,False,"b'getinthezone,typesauto'","b'vaughngittinjr,chelseadenofa,typesauto'","b'When @VaughnGittinJr and @ChelseaDeNofa need new @TypeSAuto lighting, they know where to go. Stay tuned for Part 2 tomorrow! #GetInTheZone #TypeSAuto'",1613,59.466,479,311,,,
CEsPJxpHF6p,autozone,2020-09-03 22:30:06.000000,yes,False,b'getinthezone',b'',b'Dealing with starting problems? Follow these helpful tips to get back on the road. #GetInTheZone',1563,8.0,126,9,,,
CEkWeG0pkev,autozone,2020-08-31 21:00:12.000000,no,False,b'extramilemonday',"b'patriotstainless,autozone'","b'Thanks, @patriotstainless, for sharing this story of how Chris went the Extra Mile to help you get back on the road:\n\n\xe2\x80\x9cHad an unexpected blowout of a radiator hose on the Excursion today 400 miles from home. This gentleman from @autozone in Ephrata Pa delivered us the necessary parts and coolant alongside the 76 turnpike. His name was Chris P. Amazing people doing everyday jobs above and beyond. Very encouraging. Thank you\xe2\x80\x9d\n\n#ExtraMileMonday'",0,0,251,4,,,
CEXlXJuHn1p,autozone,2020-08-26 22:00:11.000000,no,False,b'getinthezone',b'tsfarms',"b""Thanks, @tsfarms, for sharing how we helped you! If you ever need a specialty tool, we offer over 100 through our AutoZone Loan-A-Tool program. All that's needed is a deposit. #GetInTheZone""",0,0,206,7,,,
CESfNCXps6r,autozone,2020-08-24 22:30:12.000000,no,False,b'extramilemonday',b'',"b""Matt went the Extra Mile to jump start Ginger's battery and get her back on the road. Thanks for sharing, Ginger! #ExtraMileMonday""",0,0,219,4,,,
CEMiHklFHOH,autozone,2020-08-22 15:00:09.000000,yes,False,b'getinthezone',b'',b'Improve your engine performance with these helpful spark plug replacement tips. #GetInTheZone',1308,18.033,96,3,,,
CEIImalHEMF,autozone,2020-08-20 22:00:15.000000,yes,False,"b'1,getinthezone'",b'',b'Free services. Helpful advice. The right battery for you. That\xe2\x80\x99s what makes us America\xe2\x80\x99s #1 Battery Destination. #GetInTheZone',2275,15.0,180,21,,,
CEAdpCFAIvS,autozone,2020-08-17 22:30:13.000000,no,False,b'extramilemonday',b'',"b'Jimmy and Moses went the Extra Mile and stayed late to help Elise get home safe and sound. Thanks, Elise, for sharing your story!\n\n#ExtraMileMonday'",0,0,300,15,,,
CD6gjaLlFIu,autozone,2020-08-15 15:00:08.000000,yes,False,b'getinthezone',b'',b'Keep cool all summer with these simple tips. #GetInTheZone',1378,15.0,98,1,,,
CD2HBu6p0nq,autozone,2020-08-13 22:00:12.000000,no,False,"b'1,getinthezone'",b'',"b'Battery problems? We\xe2\x80\x99ve got you. Check out our wide selection of batteries, starting at $79.99. At America\xe2\x80\x99s #1 Battery Destination, help is always in stock.  #GetInTheZone'",0,0,277,17,,,
CDuYpHRHrKI,autozone,2020-08-10 22:00:11.000000,no,False,b'extramilemonday',b'',"b""Thanks, Thomas, for sharing your story of Marlon. We're happy to hear how he helped you avoid buying what you don't need. #ExtraMileMonday""",0,0,313,24,,,
CDACVRbH8dV,autozone,2020-07-23 22:00:09.000000,no,False,"b'1,getinthezone'",b'',"b""Have a problem starting? Get your battery tested for free at America's #1 Battery Destination. And if you just need a charge, we can help with that too. #GetInTheZone""",0,0,433,42,,,
CC4XYean2Jy,autozone,2020-07-20 22:30:10.000000,no,False,b'extramilemonday',"b'nerd_fest_fan,autozone'","b'Thanks for sharing your story of how Nick and April went the Extra Mile, @nerd_fest_fan! \n\n\xe2\x80\x9cWe want to send a very special thanks to Nick and April @autozone Fairmont Parkway in Pasadena, TX. Our battery exploded on us, and we called the store. April took great care of us over the phone. Nick was kind and professional.\xe2\x80\x9d \n\n#ExtraMileMonday'",0,0,398,15,,,
CB6aAIMhRLA,autozone,2020-06-26 21:00:08.000000,no,False,"b'1,getinthezone'",b'',"b""Duralast - the batteries more consumers choose. And you can only find them here at America's #1 Battery Destination. #GetInTheZone""",0,0,383,45,,,
CAyanEvJ9xq,autozone,2020-05-29 22:00:09.000000,no,False,b'getinthezone',b'photophrensy',b'DIYers love our Next Day Delivery almost as much as cats love boxes. Almost. #GetInTheZone :camera:: @photophrensy',0,0,435,101,,,
CAs8bL0JLME,autozone,2020-05-27 19:00:09.000000,yes,False,b'getinthezone',b'',b'Better stopping power starts with these simple at-home brake tips.\n#GetInTheZone',2511,18.033,143,51,,,
CAgSLhAn9rL,autozone,2020-05-22 21:00:08.000000,no,False,b'getinthezone',b'cal_mariner',"b'Here\xe2\x80\x99s to all of our hardworking DIYers taking on new jobs, just like this one. Great work changing your starter! #GetInTheZone :camera: @cal_mariner'",0,0,739,49,,,
CAbWUv8DFa4,autozone,2020-05-20 23:00:07.000000,yes,False,b'getinthezone',b'',b'A clear windshield means a safer you behind the wheel. We\xe2\x80\x99ve got some simple at-home tips to help you see better. \n#GetInTheZone',2057,17.833,141,12,,,
CAWMv90l1VH,autozone,2020-05-18 23:00:48.000000,yes,False,b'getinthezone',b'',"b'No matter where you are or what job you\xe2\x80\x99re taking on, you\xe2\x80\x99ve got this. And we\xe2\x80\x99ve always got you. \n#GetInTheZone'",2005,30.033,147,8,,,
CAOeWOzlfP5,autozone,2020-05-15 23:00:08.000000,no,False,"b'extramile,azvalor,getinthezone'",b'',"b'We\xe2\x80\x99re proud to support Alpha Omega Veterans Services and help them continue to go the Extra Mile for those in need: \xe2\x80\x9cWe are truly grateful to our AutoZone AZ Valor friends for this donation of much needed hand sanitizer. Because of these awesome supporters, we are able to provide seamless care for our veterans during this difficult time.\xe2\x80\x9d #ExtraMile #AZValor #GetInTheZone'",0,0,237,5,,,
CAJUwjSAFx5,autozone,2020-05-13 23:00:07.000000,yes,False,b'getinthezone',b'',b'Follow our oil change tips at home to help your engine keep running smooth.\n#GetInTheZone',1655,20.833,96,3,,,
CAELK12jkA-,autozone,2020-05-11 23:00:10.000000,no,False,"b'getinthezone,duralast'",b'ambermilliron',"b'Nothing beats getting the job done. Well, besides getting it done with her. \n#GetInTheZone #Duralast :camera:: @ambermilliron'",0,0,402,10,,,
B_-z2MXlGU7,autozone,2020-05-09 21:00:06.000000,yes,False,b'getinthezone',b'',b'Ready to get back on the road? Headlights are your first line of defense while driving at night. Switch today. See better tonight. #GetInTheZone',2035,14.966,135,4,,,
B_8PDgIFrJy,autozone,2020-05-08 21:00:12.000000,yes,False,"b'techforce,getinthezone'",b'techforcefoundation',b'Thank you to @TechForceFoundation and all auto technicians around the nation for helping to keep all of us moving. #TechForce #GetInTheZone',1252,30.0,134,6,,,
B_3TMkUnPLt,autozone,2020-05-06 23:00:07.000000,yes,False,b'getinthezone',b'',b'Ensure your battery is ready for the road with these simple tips. \n#GetInTheZone',1966,14.933,186,4,,,
B94Wd3lH5EP,autozone,2020-03-18 15:45:13.000000,no,False,b'',b'',"b'During these times of uncertainty caused by the coronavirus (COVID-19), the health, safety and well-being of you and our AutoZoners remain our top priority and drives the important decisions we have made and will continue to make. \nLink in our profile to a full letter from our CEO.'",0,0,768,211,,,
B9pknQUJbLa,autozone,2020-03-12 22:00:13.000000,no,False,b'getinthezone',b'',b'Do you have a great \xe2\x80\x9dI did it\xe2\x80\x9d project you want to share? Post it with #GetInTheZone for a chance to be featured on our social.',0,0,229,20,,,
B9fDPWgBU2e,autozone,2020-03-08 19:56:03.000000,no,False,b'internationalwomensday',b'',"b'Today, we\xe2\x80\x99re dedicating this post to all of the DIY women who get the job done right and the AutoZoners who help them do it. Happy #InternationalWomensDay, everyone :raising_hands_medium-light_skin_tone:'",0,0,551,14,,,
B9aA-ldJE76,autozone,2020-03-06 21:00:13.000000,no,False,"b'nationalemployeeappreciationda,getinthezone,livethepledge'",b'',"b'This is for you, AutoZoners - Happy #NationalEmployeeAppreciationDay! Whether it\xe2\x80\x99s providing trustworthy advice or doing what it takes to do the job right, we appreciate you. Here\xe2\x80\x99s to many more years of going the Extra Mile. #GetInTheZone #LiveThePledge'",0,0,598,38,,,
B9aA-ldJE76,autozone,2020-03-06 21:00:13.000000,no,False,"b'nationalemployeeappreciationda,getinthezone,livethepledge'",b'',"b'This is for you, AutoZoners - Happy #NationalEmployeeAppreciationDay! Whether it\xe2\x80\x99s providing trustworthy advice or doing what it takes to do the job right, we appreciate you. Here\xe2\x80\x99s to many more years of going the Extra Mile. #GetInTheZone #LiveThePledge'",0,0,598,38,,,
B9SnMV-AdzH,autozone,2020-03-04 00:00:14.000000,no,False,"b'getinthezone,sylvania'",b'ruffadventuresatx',"b'Of course, Frenchie. We have the bulbs you need. :camera_with_flash: : @ruffadventuresatx \n#GetInTheZone #Sylvania'",0,0,672,15,,,
B9IGRcWp0Ta,autozone,2020-02-28 22:00:10.000000,no,False,b'getinthezone',b'',b'Car not starting the way it should? Stop in today. Testing your battery will help you know if it\xe2\x80\x99s time for a change or not. #GetInTheZone',0,0,301,20,,,
B89_G-0FBOk,autozone,2020-02-24 23:45:09.000000,no,False,b'getinthezone',b'',b'It works like magic - Pour it in your oil or gas tank to improve your engine and fuel system efficiency. #GetInTheZone',0,0,318,13,,,
B8tz_94H8Td,autozone,2020-02-18 17:00:16.000000,no,False,"b'nationalbatteryday,proventough'",b'',b'Stay charged on #NationalBatteryDay with Duralast - tested in extreme conditions. #ProvenTough',0,0,214,9,,,
B8hop6LgzLE,autozone,2020-02-13 23:30:11.000000,yes,False,b'getinthezone',b'',"b'Turn that refund into a job well done with the help of our free Next Day Delivery - available on over 100,000 parts. #GetInTheZone'",2287,15.2,164,7,,,
B8PqhDRlT3b,autozone,2020-02-07 00:00:11.000000,no,False,b'getinthezone',b'paige.webb88',"b'All paws in, let\xe2\x80\x99s start this DIY project. #GetInTheZone :camera_with_flash: : @paige.webb88'",0,0,583,18,,,
B8Cd8eEpUGl,autozone,2020-02-01 21:00:10.000000,no,False,b'getinthezone',b'',b'Being an AutoZone Rewards member has never been easier! Download our app or enter your phone number in-store to take advantage of your member perks. #GetInTheZone',0,0,174,8,,,
B769S_wgrue,autozone,2020-01-29 23:00:10.000000,yes,False,b'proventough',b'',"b'Duralast: 1. Winter: 0. At AutoZone, we have the #ProvenTough battery you need to dominate the cold.'",2365,6.766,176,4,,,
B7wt4NzhepN,autozone,2020-01-25 23:32:56.000000,no,False,"b'dollypartonchallenge,proventough'",b'',b'Duralast - ready for any situation #DollyPartonChallenge #ProvenTough',0,0,467,19,,,
B7uTHfnBJOM,autozone,2020-01-25 01:00:37.000000,no,False,"b'getinthezone,dollypartonchallenge'",b'',"b'Wherever and whenever you need us, you can find us #GetInTheZone #DollyPartonChallenge'",0,0,1078,17,,,
