shortcode,username,date_utc,is_video,is_sponsored,hashtags,mentions,caption,video_view_count,video_length,likes,comments,likes+comments,location_name,location_latlong
CHA2-XyLhry,avnet,2020-10-31 15:45:36.000000,no,False,b'halloween',b'',"b'Even as we work remotely across Avnet HQ and beyond, we still take #Halloween pretty seriously. Here are some of our most festive team members showing off their submissions to our virtual costume contest.'",0,0,175,1,,,
CGS3CgBleDD,avnet,2020-10-13 19:01:08.000000,no,False,b'',b'',"b'Even in a year that has presented some unique obstacles to our business, our teams in Taiwan are recognized yet again by HR Asia as one the Best Companies to Work for in Asia. Congratulations to you all!'",0,0,103,0,,,
CEXOaGzD_eP,avnet,2020-08-26 18:39:29.000000,no,False,b'womensequalityday',b'',"b""Today is #WomensEqualityDay, when we celebrate a century since the passage of women's suffrage in the United States. Avnet celebrates this moment, as well as the larger ideal it represents: ensuring women the world over have a voice to actively participate in all manner of conversation. \n.\n.\nFrom our RISE employee groups, dedicated to elevating women at Avnet, to all the women pursuing equality around the world, we support every effort to make sure you have an equal opportunity every day.""",0,0,124,2,,,
CDmVIuFDtrd,avnet,2020-08-07 18:55:29.000000,no,False,"b'avnetcares,avnetreachfurther'",b'',"b""An #AvnetCares team from our China office recently paid a visit to the Linjie Autism Rehabilitation Center. This group of dedicated and compassionate employees personally delivered care packages containing children's rehabilitation equipment and pandemic prevention supplies, all of which were purchased by the employees themselves. Even in a time as dark as now, it's acts of kindness like this that shine light into the world. Thanks for spreading kindness and helping #AvnetReachFurther!""",0,0,100,2,,,
CC_v9cWDvNT,avnet,2020-07-23 19:19:30.000000,no,False,"b'covid19,avnetinaction'",b'',"b""When Mindray, the world's leading provider of medical devices and solutions, stepped up to combat the outbreak of #COVID19, they needed the support of a trusted partner. They came to Avnet and, with our support, they were able to deliver tens of thousands of devices to regions in need throughout China. When the businesses holding up the world need help, we're waiting in the wings to lend them a hand. #AvnetinAction""",0,0,111,1,,,
CCEfsOypTDS,avnet,2020-06-30 19:02:11.000000,no,False,b'avnetreachfurther',b'',"b'Congratulations to our team in India on being recognized for Best Workplaces in Electronics for the second straight year, \xe2\x80\x9cfor inspiring trust among your people, instilling pride in them, creating an environment that promotes camaraderie and delivering a great workplace experience for all your employees."" You are truly helping #AvnetReachFurther!'",0,0,89,3,,,
CByjCWgB2qf,avnet,2020-06-23 19:45:04.000000,no,False,"b'inwed20,weareallengineers'",b'',"b'Today we celebrate International Women in Engineering Day. By shining a light on the women who shape the world through technology, we hope to inspire young women to pursue careers in engineering. #INWED20 #WeAreAllEngineers'",0,0,95,2,,,
CAfz4MfDnhb,avnet,2020-05-22 16:35:15.000000,no,False,b'covid19',b'',"b""Ventilators are critical in combating COVID-19. That's why LifeMech, a nonprofit of 180+ doctors, engineers and researchers, sought to develop an open-source ventilator design. It needed to be built quickly at a low cost, using commonly available components and manufacturing capabilities.\n\nLifeMech needed the help of an industry expert to source parts for their prototype, so they turned to Avnet. Through a massive collaboration across the entire Avnet ecosystem, from design chain and supply chain to full production, we managed to fast-track their design in just one month \xe2\x80\x94 roughly 12 to 18 months faster than similar projects.\n\nThrough optimized part selection and a simplified design process, we helped LifeMech achieve their goal of drastically reducing the unit cost (about 3x less than a typical ventilator). We're honored to work with such dedicated and caring people to do our part in the fight against #covid19.""",0,0,142,4,,,
CALRjIgDu-Z,avnet,2020-05-14 17:10:28.000000,no,False,"b'covid19,avnetinaction'",b'',"b""Supporting our communities through this pandemic is the most noble thing we can do with our expertise and influence. That's why we're so proud of our teams in Asia for joining forces with Chinese start-up XIT. Together, they developed an unmanned food delivery vehicle to ensure that workers returning from isolation could still access food while minimizing human contact. It's exactly this blend of technology and humanity that will help us win the fight against #COVID19. #AvnetinAction""",0,0,85,1,,,
CAA5Vq3Dp4G,avnet,2020-05-10 16:26:30.000000,no,False,b'mothersday',b'',"b'We celebrate all women globally, and today we applaud all of the incredible women who have been pulling double, triple, and even quadruple duty as employees, teachers, chefs, coaches and so much more during this uncertain time. Thank you for doing the most important job of them all. Happy #MothersDay.\n\nWe asked our Avnet moms to share some photos of themselves with their families, and the response was overwhelming. Here are just a handful of the dozens of wonderful moments they shared with us.'",0,0,121,3,,,
B_vOfudJv8z,avnet,2020-05-03 19:45:06.000000,no,False,"b'covid19,avnetcares,avnetreachfurther'",b'azedschools',"b""The #COVID19 pandemic has forced students to learn from home, but not every student has the equipment needed to do so. That's why some of our folks from headquarters in Phoenix dropped off nearly 200 pieces of computer equipment to @azedschools, so underserved children can continue to receive the educations they deserve. #AvnetCares #AvnetReachFurther""",0,0,139,2,,,
B_fwE_ODfaj,avnet,2020-04-27 19:30:39.000000,no,False,"b'covid19,avnetinaction'",b'',"b""Our Asia Logistics team has been deemed essential, but one word doesn't do them justice. Their patience, creativity and adaptability are truly inspiring, and ensuring their safety during #COVID19 is our highest priority. #AvnetinAction""",0,0,148,0,,,
B_aclnGjINg,avnet,2020-04-25 18:06:19.000000,yes,False,"b'covid19,avnetinaction'",b'',b'What happened when an Avnet customer urgently needed electronic components to develop lifesaving medical equipment...on Easter Weekend? We sprang into action to help fight #COVID19. Watch to get the full story. #AvnetinAction',835,60.055,142,3,,,
B-2srR0D7By,avnet,2020-04-11 20:52:03.000000,no,False,"b'covid19,avnetreachfurther'",b'',"b""Despite being confined to our homes and acting as parent, teacher, chef, nanny and employee all at once, nothing can wipe the smiles from these faces. Show us how you're coping with #COVID19 social distancing by sharing your own work-from-home photos. #AvnetReachFurther""",0,0,105,0,,,
B-pc3NOjRL_,avnet,2020-04-06 17:23:45.000000,no,False,"b'covid19,avnetreachfurther'",b'',"b""Even amid the #COVID19 pandemic, some of our staff continue to persevere in their essential work getting lifesaving medical technology to those who need it. We\xe2\x80\x99re committed to keeping them safe, and we couldn't be prouder of these incredibly dedicated folks who help #AvnetReachFurther, even in unprecedented times.""",0,0,225,11,,,
B9kP6VBn6gm,avnet,2020-03-10 20:22:59.000000,no,False,"b'internationalwomensday,womenshistorymonth,avnetreachfurther,undiasinnosotras,iwd2020,eachforequal'",b'',"b""As the swell of support for #InternationalWomensDay and #WomensHistoryMonth continues to roll in from all corners of our global Avnet team, we're truly inspired to see this commitment to the women around the world who help #AvnetReachFurther. It's especially touching to see the impact of Mexico's #UnDiaSinNosotras (A Day Without Us), when women throughout the country stayed home from work to demonstrate their enormous contributions to society. The remaining men on our team in Guadalajara wore purple attire and came in to show their support.\n.\n.\n.\n#IWD2020 #EachforEqual""",0,0,118,6,,,
B9eegPwn_xP,avnet,2020-03-08 14:35:17.000000,yes,False,"b'internationalwomensday,avnetreachfurther,avnetcares,iwd2020,eachforequal'",b'',"b""At Avnet, we believe that diversity of thought is essential to lasting business success \xe2\x80\x94 and that it's our responsibility to do everything we can to create an environment in which women on our team can thrive. Happy #InternationalWomensDay!\n.\n.\n.\n#AvnetReachFurther #AvnetCares #IWD2020 #EachforEqual""",397,55.1,56,1,,,
B8hnLpln-77,avnet,2020-02-13 23:17:12.000000,no,False,"b'avnetcares,avnetreachfurther'",b'gabrielsangels',b'Our employees at HQ are enjoying some canine company and showing how much #AvnetCares by helping the great folks at @gabrielsangels put together gift bags for the 150 pups serving our AZ community.\n.\n.\n.\n#avnetreachfurther',0,0,109,3,,,
B8OrMD_n4dm,avnet,2020-02-06 14:46:39.000000,no,False,"b'tbt,avnetreachfurther,wmpo'","b'wmphoenixopen,webbsimpson'","b""#TBT to last week at the @WMPhoenixOpen where we had a blast entertaining our employees, partners, customers and friends. And big congrats to @webbsimpson on your victory. Already looking forward to next year's festivities!\n.\n.\n.\n#AvnetReachFurther #WMPO""",0,0,113,1,,,
B8Hzdr-Hq8s,avnet,2020-02-03 22:44:20.000000,no,False,"b'iot,avnetreachfurther,asuio'",b'arizonastateuniversity',"b'Congratulations to Acoustic Wells, Inc.  for taking home the $100k Avnet #IoT Prize at the @arizonastateuniversity Innovation Open. This Massachusetts Institute of Technology based team developed an easy to use well sensor that uses acoustics to enable oilfield owners to better manage production and workflow.\n.\n.\n.\n#AvnetReachFurther #ASUio'",0,0,142,2,,,
B7bWB_dno3t,avnet,2020-01-17 16:20:34.000000,no,False,"b'avnetcares,avnetreachfurther'",b'',b'Avnet employees teamed up with Benchmark employees for a bike build for charity event where we assembled bikes to give to foster kids in the Phoenix area.\n.\n.\n.\n#AvnetCares #AvnetReachFurther',0,0,95,0,,,
B7Y6Je9njxC,avnet,2020-01-16 17:38:41.000000,yes,False,"b'avnetreachfurther,ces2020,wespeakiot'",b'ces',"b""For those of you who are also having a hard time adjusting back to real life after all of the excitement of @CES, here's a little highlight reel to get you to the weekend. Stay tuned for more video recaps of some of our favorite parts of the show!\n.\n.\n.\n#AvnetReachFurther #CES2020 #WeSpeakIoT""",411,41.735,72,0,,,
B7TqchHHDnu,avnet,2020-01-14 16:44:58.000000,no,False,b'avnetreachfurther',b'',"b""For soldiers in combat, reliable communication is an absolute necessity. With Avnet's help, our customers can develop the next generation of command, control, communications & computers information systems (C4IS).\n.\n.\n.\n#AvnetReachFurther""",0,0,49,0,,,
B7Rv9Sxl1Ja,avnet,2020-01-13 22:54:43.000000,no,False,"b'iotinactionms,iot,avnetreachfurther,wespeakiot'",b'microsoft',b'What an incredible day at #IoTinActionMS. Thanks to @Microsoft for putting on this amazing event where #IoT enthusiasts from far and wide can join together to make a smarter future for us all. #AvnetReachFurther #WeSpeakIoT',0,0,67,0,,,
B7KAej6Jhqh,avnet,2020-01-10 22:45:09.000000,no,False,"b'wespeakiot,avnetreachfurther,ces2020'",b'ces',"b""What an amazing week of tech talks, disruptive demos, ingenious inventions and so much more. We're sad to say goodbye to @CES, but we're thrilled about what this new year will hold.\n.\n.\n.\n#WeSpeakIoT #AvnetReachFurther #CES2020""",0,0,69,1,,,
B7JzzYKHIle,avnet,2020-01-10 20:54:19.000000,no,False,"b'avnetreachfurther,ces2019'","b'ces,microsoft,nxpsemiconductors'",b'@CES would have been incomplete without seeing what our friends at @Microsoft and @nxpsemiconductors were showcasing in their booths. Thanks for sharing your latest and greatest with us!\n.\n.\n.\n#AvnetReachFurther #CES2019',0,0,78,0,,,
B7JgcRGlvso,avnet,2020-01-10 18:05:09.000000,no,False,"b'iot,avnetreachfurther,wespeakiot,ces2020'",b'ces',"b""Today is your last chance to experience the power of our #IoT solutions through our amazing @CES demos. IoT. It's our thing. Swing by and see how we can make it yours!\n.\n.\n.\n#AvnetReachFurther #WeSpeakIoT #CES2020""",0,0,73,0,,,
B7GvjR2H35R,avnet,2020-01-09 16:19:30.000000,no,False,"b'ces2020,wespeakiot,avnetreachfurther'",b'ces',"b""We're halfway through @CES and loving every minute of it! If you're at the show, come pay us a visit and experience our incredible IoT capabilities for yourself.\n.\n.\n.\n#CES2020 #WeSpeakIoT #AvnetReachFurther""",0,0,118,1,,,
B7EN_JtH-3c,avnet,2020-01-08 16:49:28.000000,yes,False,"b'knowhow,avnetreachfurther'",b'',"b""Our sixth and final core value at Avnet is #knowhow. If there's one thing we know after being in this business as long as we have, it's how to adapt to decade after decade of technological evolution\xe2\x80\x94and we plan and starting this new decade off right! In 2020, what does know-how mean to you?\n.\n.\n.\n#AvnetReachFurther""",253,31.233,27,0,,,
B6yZ9hmHrCT,avnet,2020-01-01 18:46:27.000000,yes,False,"b'integrity,avnetreachfurther'",b'',"b""Settling on a New Year's resolution is one thing, but sticking to it takes real #integrity. We asked our team what integrity means to them, but we want to hear your thoughts, as well! #AvnetReachFurther""",268,33.2,37,0,,,
