shortcode,username,date_utc,is_video,is_sponsored,hashtags,mentions,caption,video_view_count,video_length,likes,comments,likes+comments,location_name,location_latlong
CGC9vCgBFvu,bajajfinserv,2020-10-07 14:51:46.000000,no,False,"b'digitalhealthcare,aarogyacare,healthcare,bajajfinservhealth,aarogyacare,smarthealthsmartindia,digitalindia,digitalhealthcare,healthtech'",b'bajajfinserv_health',"b'India experiences the next wave of #digitalhealthcare with the prestigious launch of @bajajfinserv_health .The latest health-tech solutions business from the house of Bajaj Finserv, integrates the fragmented services of the health ecosystem to bring personalised, preventive, and prepaid healthcare to consumers on a mobile platform. Watch Sanjiv Bajaj, Chairman & MD, Bajaj Finserv, share his vision on this new venture and how #AarogyaCare will help to bring quality #healthcare closer to consumers\xe2\x80\x99 reach while taking care of their health financing worries. View excerpts from the digital launch event with the link in bio. \n\n#BajajFinservHealth #AarogyaCare #SmartHealthSmartIndia #DigitalIndia #DigitalHealthcare #HealthTech'",0,0,553,193,,,
CFlkBOzhBWE,bajajfinserv,2020-09-26 04:51:13.000000,yes,False,"b'smarthealthsmartindia,aarogyacare,bajajfinservhealth,healthtech,digitalhealthcare'",b'bajajfinserv_health',"b'Introducing Bajaj Finserv Health, our latest health-tech solutions business, aimed at improving the health outcomes of Indians through an industry-first, one-of-a-kind healthcare offering of \xe2\x80\x98Aarogya Care\xe2\x80\x99. By leveraging technology and core capabilities of the group companies and network partners, @bajajfinserv_health makes comprehensive, preventive, prepaid and personalised healthcare possible for India. \nWatch our launch event to know about the next wave of healthcare transformation. \n\n#SmartHealthSmartIndia #AarogyaCare #BajajFinservHealth #HealthTech #DigitalHealthcare'",2002,3570.833,154,57,,,
CFcc7lsB0NW,bajajfinserv,2020-09-22 15:53:59.000000,no,False,"b'bajajfinservhealth,aarogyacare,smarthealthsmartindia,nextwaveunveiled,digitalhealthcare,smarthealthcare,digitalindia'",b'',"b'Through a unison of health, technology and finance, Bajaj Finserv Health is integrating the fragmented healthcare delivery ecosystem to bring the very first comprehensive, cost-effective and convenient healthcare solution for Indians, by Indians.\nMore information, click the link in bio. \n\n#BajajFinservHealth #AarogyaCare #SmartHealthSmartIndia #NextWaveUnveiled #DigitalHealthcare #SmartHealthcare #DigitalIndia'",0,0,328,55,,,
CFbs4-QBItu,bajajfinserv,2020-09-22 08:54:11.000000,no,False,"b'bajajfinservhealth,bajajfinserv,smarthealthsmartindia,aarogyacare,digitalindia,healthcare,healthtech,innovation,ndhm,digitalhealthcare,smarthealthcare'",b'',"b'Thank you for tuning into the digital launch of #BajajFinservHealth, the latest health-tech solutions business by #BajajFinserv, aimed at improving the health outcomes of every Indian through smarter choices. \n\nDownload link in bio.\n\n#SmartHealthSmartIndia  #AarogyaCare #DigitalIndia\n#Healthcare #HealthTech #Innovation #NDHM  #DigitalHealthcare #SmartHealthcare'",0,0,206,28,,,
CFZcFv3B7qS,bajajfinserv,2020-09-21 11:54:32.000000,yes,False,"b'digitalhealthcare,smarthealthsmartindia,bajajfinserv,smarthealthcare,digitalhealthcare,digitalindia'",b'',"b'Only a few hours to go before we go live with our very first digital media conference on the unveiling of smarter and more convenient healthcare, just for you. Get ready to experience the next wave of transformation in #digitalhealthcare.\nWatch us live, click the link in bio. \n\nDate: September 22, 2020\nTime: 11:00 AM\n\n#SmartHealthSmartIndia #BajajFinserv #SmartHealthcare #DigitalHealthcare #DigitalIndia'",2109,12.51,132,23,,,
CFWirpmBbcL,bajajfinserv,2020-09-20 08:54:49.000000,yes,False,"b'digital,healthcare,smarthealthsmartindia,bajajfinserv,smarthealthcare,digitalhealthcare,digitalindia'",b'',"b'Are you ready to witness the next wave of #digital disruption in Indian #healthcare? Gather around to catch the LIVE action on September 22. Save the date.\n\nDate: September 22, 2020\nTime: 11:00 AM\n\n#SmartHealthSmartIndia #BajajFinserv #SmartHealthcare #DigitalHealthcare #DigitalIndia'",2010,10.005,218,60,,,
CFUnyGaB8-M,bajajfinserv,2020-09-19 15:04:51.000000,yes,False,"b'smarthealthsmartindia,digitalindia,smarthealthcare,digitalhealthcare'",b'',"b'Be a part of history on September 22, 2020 as we script a new chapter in transformational healthcare in India. \nWatch this space for more updates.\n#SmartHealthSmartIndia  #DigitalIndia #SmartHealthcare #DigitalHealthcare'",1904,8.136,220,71,,,
CDdoBu6BdLx,bajajfinserv,2020-08-04 09:47:44.000000,yes,False,"b'monsoon,monsoonseason,monsooncover'",b'',"b'Though rains bring the much-needed respite from the intense heat, they quite often leave behind a trail unexpected medical expenses, incurred due to treatment of water-borne diseases or injury due to an accident.\xc2\xa0\n\nThis Monsoon, avail Monsoon cover and get coverage against medical expenses arising due to these unforeseen situations. Click the link in the bio:\n\n#monsoon #monsoonseason #monsooncover'",2169,11.033,194,104,,,
CCvQEkRBrZl,bajajfinserv,2020-07-17 09:33:00.000000,no,False,"b'medicalemergency,medicalexpenses,easyemis,bajajfinserv,health'",b'',"b'Medical emergencies and expenses can occur anytime, anywhere. Be prepared against any such future emergencies with the Bajaj Finserv Digital Health EMI Network Card. \xc2\xa0\n\nUse the card to divide the cost of all your hospital, pharmacy & diagnostic bills into No Cost EMIs.\n\n#medicalemergency #medicalexpenses #easyemis #bajajfinserv #health'",0,0,477,82,,,
CCdklzqBTrc,bajajfinserv,2020-07-10 12:46:02.000000,yes,False,"b'newnormal,bajajfinserv,tablets,easyemis'",b'',b'Indulging in a virtual celebration has become the #NewNormal. Celebrate special occasions with your loved ones virtually with the latest tablets on easy EMIs. Click the link in bio to explore now. \n\n#BajajFinserv #Tablets #EasyEMIs',1976,10.0,119,78,,,
CCdVeTvBiFN,bajajfinserv,2020-07-10 10:34:01.000000,yes,False,"b'newnormal,eminetworkcard,bajajfinserv,kitchenappliances,easyemis'",b'',b'Showing off your cooking skills for healthy eating is indeed the #NewNormal. Step up your cooking game with the latest kitchen appliances. Shop on easy EMIs with your #EMINetworkCard.\nClick the link in bio to explore now.\n\n#BajajFinserv #KitchenAppliances #EasyEMIs',1271,10.0,82,26,,,
CCdHV2whzK0,bajajfinserv,2020-07-10 08:30:27.000000,yes,False,"b'bajajfinserv,laptops,smartphones,easyemis'",b'',b'Turn your room into a virtual classroom and stay connected with your students with the latest laptops and smartphones available on easy EMIs. Check the link in bio to explore now. \n \n#BajajFinserv #Laptops #Smartphones #EasyEMIs',1468,10.0,87,22,,,
CCajdNSBpDu,bajajfinserv,2020-07-09 08:38:33.000000,yes,False,"b'bajajfinserv,laptops,easyemis'",b'',"b'Make work from home, work for you. Shop for the latest laptops that suit your needs on easy EMIs and manage your work efficiently. Click the link in bio to know more.\n\n#BajajFinserv #Laptops #EasyEMIs'",1136,9.999,88,19,,,
CCX-svTBquQ,bajajfinserv,2020-07-08 08:38:48.000000,yes,False,"b'newnormal,bajajfinserv,furniture,easyemis'",b'',"b'When your work shifts to home, working from home becomes your #NewNormal. Create your perfect workspace at home with comfortable furniture on easy EMIs. Click the link in bio.\n\n#BajajFinserv #Furniture #EasyEMIs'",1061,10.0,85,19,,,
CCVwvPchUCE,bajajfinserv,2020-07-07 11:58:14.000000,yes,False,"b'bajajfinserv,onlinecourses,easyemis'",b'',"b'Learning is not limited to the classrooms. Continue learning anytime, anywhere with e-learning courses available on easy EMIs. Click the link in bio to know more.\n \n #BajajFinserv #OnlineCourses #EasyEMIs'",858,10.0,77,12,,,
CCTB3e9BHNE,bajajfinserv,2020-07-06 10:30:12.000000,yes,False,"b'newnormal,newnormal,bajajfinserv,mynewnormal,easyemis'",b'bajajfinserv',"b'The way we live, work, and socialize has changed in this #NewNormal. Though it is not always easy to adapt, it\xe2\x80\x99s the only way to keep going on.\nTell us what your new normal looks like?\n\n- Share a picture of your new normal using the hashtag #NewNormal\n- Tag @bajajfinserv in your post\n- Nominate your friends \n\n#BajajFinserv #MyNewNormal #EasyEMIs'",917,8.0,85,6,,,
CCQkuIshQkc,bajajfinserv,2020-07-05 11:37:07.000000,yes,False,"b'newnormal,bajajfinserv,ledtv,easyemis'",b'',b'Enjoying movie nights with family at home is the #NewNormal. Get the latest LED TVs on easy EMIs and stream the latest movies at home. Click the link in bio to know more.\n\n#BajajFinserv #LEDTV #EasyEMIs',976,10.0,93,7,,,
CCN_a7fBosE,bajajfinserv,2020-07-04 11:32:42.000000,yes,False,"b'newnormal,eminetworkcard,bajajfinserv,diningtable,easyemis'",b'',b'Bonding with loved ones over family dinners is the #NewNormal. Bring home your favourite dining table set on easy EMIs with your #EMINetworkCard and create endless memories.\nClick the link in bio to know more.\n\n#BajajFinserv #DiningTable #EasyEMIs',900,10.0,105,10,,,
CCNkG_hBmPU,bajajfinserv,2020-07-04 07:34:01.000000,yes,False,"b'newnormal,bajajfinserv,gymequipment,easyemis'",b'',"b""Gyms may be closed, but that's no excuse for not staying fit. Stay committed to your fitness routine even at home with the latest fitness equipment on easy EMIs. #NewNormal\nClick the link in bio to know more.\n \n#BajajFinserv #GymEquipment #EasyEMIs""",791,10.0,79,6,,,
CCLd-Ewh8lu,bajajfinserv,2020-07-03 12:02:00.000000,yes,False,"b'newnormal,staytuned,newnormal,bajajfinserv,easyemis'",b'',"b'Over the past few months, we all have experienced an unprecedented shift in our way of life. We have let go of our old ways of living and are settling into what seems to be our #NewNormal. \n\n#StayTuned to know what our #NewNormal looks like.\n\n#BajajFinserv #EasyEMIs'",1067,7.966,99,9,,,
CCFmMvlBB2G,bajajfinserv,2020-07-01 05:18:24.000000,yes,False,"b'doctorsday,doctorsday2020,happydoctorsday'",b'',"b'A caregiver. A provider. A lifesaver.\nAt work or at home, a doctor wears many hats. \n\nThis #Doctorsday, Bajaj Finserv expresses its gratitude towards doctors who work hard day in, day out, to ensure the well-being of their patients. \n\n#doctorsday2020 #happydoctorsday'",1553,10.004,117,20,,,
CBrhWDYBZ6K,bajajfinserv,2020-06-21 02:15:44.000000,yes,False,"b'fathersday,fathersdaygifts,happyfathersday,fathersday2020,fathersdaygift'",b'',"b""Here's to all the fathers who guided us on the right path, who held our hands when we needed them the most. As time passes, the role reverses, yet the bond remains the same. \nThis #fathersday , give your father an assurance of financial security with Bajaj Finance Fixed Deposit\n\n#fathersdaygifts #happyfathersday #fathersday2020 #fathersdaygift""",1570,13.5,158,50,,,
CBYBxveB9DE,bajajfinserv,2020-06-13 12:34:15.000000,yes,False,"b'globalwellnessday,fitforlife,bajajfinserv,wellness,fitness,health,onedaycanchangeyourwholelife,gwd2020,easyemis'",b'',"b'Ride your way to fitness and keep your health in check. This #GlobalWellnessDay, push yourself in the right direction to stay #FitForLife with bicycles available on easy EMIs. Click the link in bio to explore now. \n#BajajFinserv #wellness #fitness #Health #onedaycanchangeyourwholelife #gwd2020 #EasyEMIs'",878,8.0,70,31,,,
CBX91W0hTcl,bajajfinserv,2020-06-13 11:59:48.000000,yes,False,"b'globalwellnessday,bajajfinserv,wellness,fitness,health,onedaycanchangeyourwholelife,gwd2020,fitforlife,easyemis'",b'',"b'Make the right choice today for a healthier tomorrow. This #GlobalWellnessDay, find the right balance to boost your immunity with fresh groceries available on easy EMIs. Click the link in bio to explore now. \n#BajajFinserv #wellness #fitness #Health #onedaycanchangeyourwholelife #gwd2020 #FitForLife #EasyEMIs'",808,8.0,64,6,,,
