shortcode,username,date_utc,is_video,is_sponsored,hashtags,mentions,caption,video_view_count,video_length,likes,comments,likes+comments,location_name,location_latlong
CIXR66LpO7v,bankmandiri,2020-12-04 05:15:45.000000,no,False,"b'mandiripromo,mandiripromo,mandiricard'",b'',"b'Sahabat, di Jakarta Coffee Week 2020, kamu bisa dapatkan diskon 10%* untuk transaksi dengan mandiri debit atau kartu kredit. Promo berlaku s.d. 6 Desember 2020.\n.\nYuk info juga ke teman atau kerabat kamu supaya gak ketinggalan #mandiripromo. Info lengkap: bmri.id/jacoweek2020\n\n#mandiripromo\n#mandiricard'",0,0,347,40,,,
CIW4AJjpTqf,bankmandiri,2020-12-04 01:29:16.000000,no,False,"b'mandiripromo,mandiricard'",b'',"b'Mandiri presents Urban Sneaker Society 2020. Event multiplayer virtual pertama di Indonesia. Dapatkan berbagai penawaran istimewa khusus bagi nasabah pembuka rekening, nasabah pemegang kartu mandiri debit dan mandiri kartu kredit, serta nasabah mandiri online selama event USS 2020 berlangsung.\n\nInformasi selengkapnya cek bmri.id/uss2020\n\n#mandiripromo\n#mandiricard'",0,0,730,25,,,
CIViSUSJh6g,bankmandiri,2020-12-03 13:00:42.000000,yes,False,"b'mandiripromo,fiestapoin,mandiridebit,mandiricard'",b'',"b'\xe2\x80\xa2 Diskon 25% dengan fiestapoin\n\xe2\x80\xa2 Cicilan 0% hingga 3 bulan\n.\nMemiliki banyak daftar kebutuhan fashion atau kecantikan untuk dibeli? Atau mulai menyiapkan hadiah akhir tahun untuk keluarga? Sahabat, nikmati pengalaman berbelanja lebih mudah dan hemat di SOGO menggunakan Mandiri Debit dan Kartu Kredit dan dapatkan kemudahan cicilan hingga 3 bulan. Jangan lewatkan juga potongan harga 25% dengan melakukan redeem voucher menggunakan Fiestapoin.\n.\nHubungi Mandiri Call 14000 untuk informasi lebih lanjut.\n.\n#mandiripromo\n#fiestapoin\n#mandiridebit\n#mandiricard'",2822,11.038,162,0,,,
CIVGeptpNBd,bankmandiri,2020-12-03 08:57:17.000000,no,False,b'haridisabilitasinternasional',b'',"b'Selamat Hari Disabilitas Internasional.\n\nSemua orang memiliki kesempatan yang sama. Bersama kita wujudkan lingkungan yang inklusif, aksesibel, dan berkelanjutan.\n\n#HariDisabilitasInternasional'",0,0,1146,31,,,
CISARnLpQUD,bankmandiri,2020-12-02 04:05:21.000000,no,False,"b'festivaldiskonnasional,belisatutumbuhseribu,banggabuatanindonesia'",b'',"b'Mari Boeng Belanja Kembali!\n\nSahabat, tidak terasa kita sudah berada di penghujung tahun.\n\nYuk, kita rayakan semangat Bangga Buatan Indonesia dengan belanja produk lokal di Festival Diskon Nasional pada tanggal 16-31 Desember 2020.\n\nUntuk Informasi lebih lanjut, kunjungi festivaldiskonnasional.com\n\n#FestivalDiskonNasional #BeliSatuTumbuhSeribu #BanggaBuatanIndonesia'",0,0,328,80,,,
CIQStEKpPi4,bankmandiri,2020-12-01 12:08:46.000000,yes,False,b'gakpakedonlot',b'',"b'Yang doyan belanja, yang suka barang diskonan, yg bilang ntar dulu, mau nikmati gaji dulu, mau senang-senang dulu, mau mevvah mevvah dulu, pokoknya gimana nanti, nanti gimana dehh...\n\nYuk cek minimovie terbaru dari Bank Mandiri, cerita tentang kehidupan pasangan muda. Redi yang suka boros dan suka belanja barang yang gak penting bersama sang istri Debi, seorang ratu belanja online yang sudah tobat dan sekarang rajin menabung.\n\nLangsung klik link di bio yuk!\n\nBelum punya tabungan? Buka tabungan di Bank Mandiri sekarang melalui join.bankmandiri.co.id\n#gakpakedonlot dan gak perlu ke cabang.'",16803,39.566,1189,30,,,
CIPS8lkpW24,bankmandiri,2020-12-01 02:50:47.000000,no,False,b'kelasmandiri',b'',"b'Sahabat, ikuti Mandiri Webinar Series ""Dunia Pasca Covid, Ada Apa dengan 2021"" pada :\nHari : Rabu, 2 Desember 2020\nPukul : 14.00 - 15.30 WIB\n\nBersama :\n1. M. Chatib Basri - Komisaris Utama Bank Mandiri, Ekonom\n2. Gita Wirjawan - Pengusaha, Founder Ancora Group\n3. Diajeng Lestari - CEO & Founder Hijup.com\n\nModerator :\nBayu Oktara\n\nDaftar sekarang di bmri.id/MandiriWebinarSeries2\n\n#KelasMandiri'",0,0,577,18,,,
CINvPgcpq4A,bankmandiri,2020-11-30 12:19:48.000000,yes,False,"b'festivaldiskonnasional,banggabuatanindonesia,belisatutumbuhseribu'",b'festivaldiskonnasional',"b'Belanja produk lokal di akhir tahun bisa dapet diskon gede-gedean?!! Serius!!!\n\nCatat tanggalnya ya 16-31 Desember 2020 hanya di Festival Diskon Nasional. Kapan lagi bisa belanja produk lokal favorit dengan diskon bombastis! Wah, bisa sekaligus mendukung usaha lokal khususnya UMKM biar ekonomi bisa bangkit lagi.\n\nMakin ga sabar kan menyambut @festivaldiskonnasional ? Jangan sampai kelewatan ya!!!\n\n#FestivalDiskonNasional\n#BanggaBuatanIndonesia\n#BeliSatuTumbuhSeribu'",3161,15.076,239,30,,,
CINnLIxJQcU,bankmandiri,2020-11-30 11:09:03.000000,no,False,b'kelasmandiri',b'',"b'Di era serba digital ini, transaksi secara online makin mudah dilakukan. Eits, tapi kita juga perlu berhati-hati dan selalu waspada ya.  Jangan sampai kemudahan tersebut malah bikin kita rugi.\n\nYuk, simak tips bertransaksi online berikut ini!\n\n#KelasMandiri'",0,0,551,24,,,
CINP2FppBxv,bankmandiri,2020-11-30 07:45:12.000000,no,False,"b'sobat,kitajanganlengah,bumnuntukindonesia'",b'',"b'#Sobat, strategi 3M (Memakai Masker, Mencuci Tangan, Menjaga jarak) tetap menjadi upaya terbaik mencegah dan memutus mata rantai penularan Covid-19. Apabila masyarakat disiplin melakukan Gerakan 3M, kerugian negara bisa ditekan, dan dampak lainnya dari kasus Covid-19 juga akan menurun.\n\nMari kompak dan disiplin dengan Gerakan 3M!\n\n#KitaJanganLengah\n#BUMNUntukIndonesia'",0,0,416,14,,,
