shortcode,username,date_utc,is_video,is_sponsored,hashtags,mentions,caption,video_view_count,video_length,likes,comments,likes+comments,location_name,location_latlong
CIYYpShH3im,bankofireland,2020-12-04 15:34:00.000000,yes,False,b'neverstopcompeting',b'',"b'\xe2\x80\x9cYou can still have a good talent, you just need to find it\xe2\x80\x9d - Portadown Panthers player Jordan on what it means to #NeverStopCompeting'",401,39.039,34,0,,Portadown Rugby Football Club,54.4305567453 -6.4319296071
CISxtMNHV4I,bankofireland,2020-12-02 11:56:30.000000,yes,False,b'neverstopcompeting',b'officialulsterrugby',b'The Portadown Panthers is a Tag Rugby Club for people with mixed abilities. A club that is a symbol of the inclusive nature of rugby. \n\nMargaret shared with us what it means to her and her son to be part of the Panthers and @officialulsterrugby.\n#NeverStopCompeting',679,37.519,90,0,,,
CINld05nOQ4,bankofireland,2020-11-30 10:54:19.000000,yes,False,"b'fraudawareness,cybermonday'",b'',"b'Shop safely online this Cyber Monday.\n\nLearn how to protect yourself against fraudsters stealing your account details and money.\n\nFor information and tips, search ""Bank of Ireland Security"", and together, we won\xe2\x80\x99t let the fraudsters win.\n\n#FraudAwareness #CyberMonday'",254,21.0,16,0,,,
CID2e2MHfcR,bankofireland,2020-11-26 16:24:49.000000,yes,False,b'neverstopcompeting',b'officialulsterrugby',"b'The Portadown Panthers, a club for all abilities was founded by Willie Gribben.\n \nWillie was a former @officialulsterrugby player, rugby coach and mini rugby visionary.\n \nOver the next week, we look at the story of the club, the coaches and the players who #NeverStopCompeting'",755,32.299,110,0,,Portadown Rugby Football Club,54.4305567453 -6.4319296071
CH-T4PPqvGN,bankofireland,2020-11-24 12:32:00.000000,yes,False,"b'fraudawareness,blackfriday'",b'',"b'Stay safe during the Black Friday sales.\n\nLearn how to protect yourself against fraudsters stealing your account details and money.\n\nFor information and tips, search ""Bank of Ireland Security Zone"", and together, we won\xe2\x80\x99t let the fraudsters win.\n\n#FraudAwareness #BlackFriday'",300,21.0,29,1,,,
CHicI6YK57_,bankofireland,2020-11-13 16:45:32.000000,yes,False,b'fraudawareness',b'',"b'Bank of Ireland are committed to your financial wellbeing and want to help protect you against fraudsters stealing your account details and money. \n\nFor information and tips, search ""Bank of Ireland Security"", and together, we won\xe2\x80\x99t let the fraudsters win.\n#FraudAwareness'",676,30.0,72,0,,,
CHiFhO7nwJI,bankofireland,2020-11-13 13:27:53.000000,yes,False,b'neverstopcompeting',"b'lilyp11,leinsterrugby'","b'Bring out that inner fighter, reveal your true character, because once you begin you must #NeverStopCompeting \xe2\x80\x93 @lilyp11, former soccer, basketball and GAA player.\nCurrent wife, momma, sister, daughter, @LeinsterRugby and Ireland rugby player :rugby_football::flexed_biceps::blue_circle:'",327,35.833,28,0,,,
CHdgc5anzkJ,bankofireland,2020-11-11 18:47:07.000000,yes,False,b'neverstopcompeting',b'lilyp11',b'\xe2\x80\x9cDon\xe2\x80\x99t let the trolls get you down. \n\nMake sure you have a happy place\xe2\x80\x9d - @lilyp11 \n\n#NeverStopCompeting',654,44.986,68,1,,,
CHYYD_0H_hk,bankofireland,2020-11-09 18:57:59.000000,yes,False,b'neverstopcompeting',b'lilyp11',"b'Monday Motivation: \n\n""I\'m strong, I\'m motivated, I\'m working hard - Imposter syndrome is us projecting fears, don\'t be afraid to be yourself and keep taking those steps forward"" :flexed_biceps::blue_circle:\n\n@lilyp11, #NeverStopCompeting'",543,46.333,63,0,,,
CHVWlB_HMYk,bankofireland,2020-11-08 14:48:08.000000,yes,False,"b'latelateshow,supportlocal,boibegin'","b'dializeclothing,latelaterte'","b'On Friday night, Paddy Cox, founder of @dializeclothing featured on @latelaterte to showcase his business.\n\xc2\xa0\nBank of Ireland are delighted to support Paddy and will provide financial support, mentoring through a Financial Wellbeing coach, access to our retail sector expert and our local business manager to help Patrick and his business adapt and grow.\n\xc2\xa0\n#LateLateShow #SupportLocal #BOIBegin'",828,47.006,61,1,,,
CHN0WuxnPJL,bankofireland,2020-11-05 16:33:24.000000,yes,False,"b'neverstopcompeting,fromthegroundup'",b'lilyp11',"b'Some tries mean more than others :rugby_football:\n\nOn her 40th Birthday, @lilyp11 gives us a timely reminder to ignore the doubters in life and how special it is when you prove them wrong. :flexed_biceps:\n\n#NeverStopCompeting #FromTheGroundUp'",736,57.433,88,1,,,
CHNLAOtnjgG,bankofireland,2020-11-05 10:33:29.000000,yes,False,"b'neverstopcompeting,fromthegroundup'",b'lilyp11',"b'A very proud Northsider! \nHappy Birthday @lilyp11 :birthday_cake::party_popper::wrapped_gift:.\nShe didn\xe2\x80\x99t take the expected route to the blue of Leinster, but she\xe2\x80\x99s had an epic journey. #NeverStopCompeting #FromTheGroundUp'",957,36.896,133,3,,,
