shortcode,username,date_utc,is_video,is_sponsored,hashtags,mentions,caption,video_view_count,video_length,likes,comments,likes+comments,location_name,location_latlong
CIYihLDKNMF,banquesaudifransi,2020-12-04 17:00:01.000000,no,False,b'\xd8\xa7\xd9\x84\xd8\xa8\xd9\x86\xd9\x83_\xd8\xa7\xd9\x84\xd8\xb3\xd8\xb9\xd9\x88\xd8\xaf\xd9\x8a_\xd8\xa7\xd9\x84\xd9\x81\xd8\xb1\xd9\x86\xd8\xb3\xd9\x8a',b'',b'\xd8\xb9\xd9\x85\xd9\x91\xd8\xb1 \xd8\xa8\xd9\x8a\xd8\xaa\xd9\x83 \xd8\xa8\xd8\xb7\xd8\xb1\xd9\x8a\xd9\x82\xd8\xaa\xd9\x83 \xd9\x85\xd8\xb9 \xd9\x85\xd9\x86\xd8\xaa\xd8\xac \xd8\xa7\xd9\x84\xd8\xa8\xd9\x86\xd8\xa7\xd8\xa1 \xd8\xa7\xd9\x84\xd8\xb0\xd8\xa7\xd8\xaa\xd9\x8a \xd9\x85\xd9\x86 #\xd8\xa7\xd9\x84\xd8\xa8\xd9\x86\xd9\x83_\xd8\xa7\xd9\x84\xd8\xb3\xd8\xb9\xd9\x88\xd8\xaf\xd9\x8a_\xd8\xa7\xd9\x84\xd9\x81\xd8\xb1\xd9\x86\xd8\xb3\xd9\x8a\n\xd8\xa8\xd9\x85\xd9\x8a\xd8\xb2\xd8\xa9 \xd8\xa7\xd9\x84\xd9\x82\xd8\xb3\xd8\xb7 \xd8\xa7\xd9\x84\xd9\x85\xd8\xaa\xd9\x86\xd8\xa7\xd9\x82\xd8\xb5 \xd8\xb9\xd9\x86\xd8\xaf \xd8\xa7\xd9\x84\xd8\xaa\xd9\x82\xd8\xa7\xd8\xb9\xd8\xaf.\n\n\xd8\xa7\xd8\xaa\xd9\x91\xd8\xae\xd8\xb0 \xd8\xa7\xd9\x84\xd9\x82\xd8\xb1\xd8\xa7\xd8\xb1 \xd8\xa7\xd9\x84\xd8\xa2\xd9\x86 \xd8\xb9\xd8\xa8\xd8\xb1 \xd8\xb2\xd9\x8a\xd8\xa7\xd8\xb1\xd8\xa9 \xd8\xa7\xd9\x84\xd9\x85\xd9\x88\xd9\x82\xd8\xb9',0,0,35,1,,,
CIYHJ9UKafy,banquesaudifransi,2020-12-04 13:00:55.000000,no,False,b'\xd8\xa7\xd9\x84\xd8\xa8\xd9\x86\xd9\x83_\xd8\xa7\xd9\x84\xd8\xb3\xd8\xb9\xd9\x88\xd8\xaf\xd9\x8a_\xd8\xa7\xd9\x84\xd9\x81\xd8\xb1\xd9\x86\xd8\xb3\xd9\x8a',b'',b'\xd8\xa7\xd8\xae\xd8\xaa\xd8\xb1 \xd9\x84\xd9\x85\xd9\x86\xd8\xb2\xd9\x84\xd9\x83 \xd8\xb3\xd8\xac\xd8\xa7\xd8\xaf \xd9\x81\xd8\xa7\xd8\xae\xd8\xb1 \xd9\x8a\xd8\xb1\xd8\xb6\xd9\x8a \xd8\xb4\xd8\xba\xd9\x81\xd9\x83 \xd9\x85\xd9\x86 \xd9\x81\xd8\xb1\xd9\x88\xd8\xb9 \xd8\xa7\xd9\x84\xd9\x82\xd9\x81\xd8\xa7\xd8\xb1\xd9\x8a \xd9\x84\xd9\x84\xd8\xb3\xd8\xac\xd8\xa7\xd8\xaf \xd9\x88\xd8\xa7\xd8\xad\xd8\xb5\xd9\x84 \xd8\xb9\xd9\x84\xd9\x89 \xd8\xae\xd8\xb5\xd9\x85 \xd9\x8a\xd8\xb5\xd9\x84 \xd8\xa5\xd9\x84\xd9\x89 15% \xd8\xb9\xd9\x86\xd8\xaf \xd8\xa7\xd8\xb3\xd8\xaa\xd8\xae\xd8\xaf\xd8\xa7\xd9\x85\xd9\x83 \xd8\xa8\xd8\xb7\xd8\xa7\xd9\x82\xd8\xa7\xd8\xaa #\xd8\xa7\xd9\x84\xd8\xa8\xd9\x86\xd9\x83_\xd8\xa7\xd9\x84\xd8\xb3\xd8\xb9\xd9\x88\xd8\xaf\xd9\x8a_\xd8\xa7\xd9\x84\xd9\x81\xd8\xb1\xd9\x86\xd8\xb3\xd9\x8a \xd8\xa7\xd9\x84\xd8\xa7\xd8\xa6\xd8\xaa\xd9\x85\xd8\xa7\xd9\x86\xd9\x8a\xd8\xa9 \xd8\xa3\xd9\x88 \xd8\xa8\xd8\xb7\xd8\xa7\xd9\x82\xd8\xa7\xd8\xaa \xd9\x85\xd8\xaf\xd9\x89 \n\nChoose for your home luxurious carpets that satisfy your passion from Al kaffary Carpet branches and get a discount up to 15% upon paying using your BSF credit cards or Mada cards',0,0,26,0,,,
CIVwB_nqZvZ,banquesaudifransi,2020-12-03 15:00:23.000000,no,False,"b'\xd8\xa7\xd9\x84\xd9\x8a\xd9\x88\xd9\x85_\xd8\xa7\xd9\x84\xd8\xb9\xd8\xa7\xd9\x84\xd9\x85\xd9\x8a_\xd9\x84\xd9\x84\xd8\xa3\xd8\xb4\xd8\xae\xd8\xa7\xd8\xb5_\xd8\xb0\xd9\x88\xd9\x8a_\xd8\xa7\xd9\x84\xd8\xa5\xd8\xb9,internationaldayofpersonswithd'",b'',b'\xd8\xaa\xd8\xa8\xd8\xb1\xd8\xb9\xd9\x83 \xd9\x84\xd8\xac\xd9\x85\xd8\xb9\xd9\x8a\xd8\xa9 \xd8\xa7\xd9\x84\xd8\xa3\xd8\xb7\xd9\x81\xd8\xa7\xd9\x84 \xd8\xb0\xd9\x88\xd9\x8a \xd8\xa7\xd9\x84\xd8\xa5\xd8\xb9\xd8\xa7\xd9\x82\xd8\xa9 \xd9\x8a\xd8\xb5\xd9\x86\xd8\xb9 \xd8\xa7\xd9\x84\xd9\x81\xd8\xb1\xd9\x82!\n\n\xd8\xaa\xd8\xa8\xd8\xb1\xd8\xb9 \xd8\xa8\xd9\x86\xd9\x82\xd8\xa7\xd8\xb7\xd9\x83 \xd9\x85\xd9\x86 \xd8\xac\xd9\x86\xd9\x89 \xd8\xb9\xd8\xa8\xd8\xb1 \xd8\xb2\xd9\x8a\xd8\xa7\xd8\xb1\xd8\xa9 \xd9\x85\xd9\x88\xd9\x82\xd8\xb9 \xd8\xac\xd9\x86\xd9\x89 \xd9\x88\xd8\xb3\xd8\xa7\xd9\x87\xd9\x85 \xd9\x81\xd9\x8a \xd8\xaf\xd8\xb9\xd9\x85 \xd9\x88\xd8\xaa\xd8\xa3\xd9\x87\xd9\x8a\xd9\x84 \xd8\xa3\xd8\xb7\xd9\x81\xd8\xa7\xd9\x84\xd9\x86\xd8\xa7 \xd8\xa3\xd8\xb5\xd8\xad\xd8\xa7\xd8\xa8 \xd8\xa7\xd9\x84\xd8\xa5\xd8\xb1\xd8\xa7\xd8\xaf\xd8\xa9 \xd8\xa7\xd9\x84\xd8\xb9\xd8\xb8\xd9\x8a\xd9\x85\xd8\xa9\n\n#\xd8\xa7\xd9\x84\xd9\x8a\xd9\x88\xd9\x85_\xd8\xa7\xd9\x84\xd8\xb9\xd8\xa7\xd9\x84\xd9\x85\xd9\x8a_\xd9\x84\xd9\x84\xd8\xa3\xd8\xb4\xd8\xae\xd8\xa7\xd8\xb5_\xd8\xb0\xd9\x88\xd9\x8a_\xd8\xa7\xd9\x84\xd8\xa5\xd8\xb9\xd8\xa7\xd9\x82\xd8\xa9\n\nBy donating to the Children With Disability Association you will make a difference!\n\nDonate your Jana points now by visiting Jana website \nhttps://www.fransijana.com.sa/catalogue/view/6358/productname\n\n#internationaldayofpersonswithdisabilities',0,0,38,1,,,
CIVMEQOqep4,banquesaudifransi,2020-12-03 09:46:07.000000,no,False,"b'\xd8\xa7\xd9\x84\xd9\x8a\xd9\x88\xd9\x85_\xd8\xa7\xd9\x84\xd8\xb9\xd8\xa7\xd9\x84\xd9\x85\xd9\x8a_\xd9\x84\xd9\x84\xd8\xa3\xd8\xb4\xd8\xae\xd8\xa7\xd8\xb5_\xd8\xb0\xd9\x88\xd9\x8a_\xd8\xa7\xd9\x84\xd8\xa5\xd8\xb9,internationaldayofpersonswithd'",b'',"b""\xd8\xa7\xd9\x84\xd9\x82\xd8\xaf\xd8\xb1\xd8\xa9 \xd8\xaa\xd8\xa3\xd8\xaa\xd9\x8a \xd8\xa8\xd8\xa7\xd9\x84\xd8\xa5\xd8\xb1\xd8\xa7\xd8\xaf\xd8\xa9 \xd8\xa7\xd9\x84\xd8\xaa\xd9\x8a \xd9\x84\xd8\xa7 \xd8\xaa\xd9\x8f\xd9\x82\xd9\x87\xd8\xb1 \xd9\x88\xd8\xa7\xd9\x84\xd9\x81\xd9\x83\xd8\xb1 \xd8\xa7\xd9\x84\xd8\xb9\xd8\xa7\xd8\xb2\xd9\x85 \xd8\xa7\xd9\x84\xd8\xb0\xd9\x8a \xd9\x8a\xd8\xb5\xd9\x85\xd8\xaf \xd8\xb1\xd8\xba\xd9\x85 \xd8\xa7\xd9\x84\xd8\xaa\xd8\xb9\xd8\xab\xd8\xb1 \xd9\x85\xd8\xaa\xd8\xae\xd8\xb7\xd9\x8a\xd9\x8b\xd8\xa7 \xd8\xac\xd9\x85\xd9\x8a\xd8\xb9 \xd8\xa7\xd9\x84\xd8\xad\xd9\x88\xd8\xa7\xd8\xac\xd8\xb2 \xd8\xa8\xd8\xa5\xd8\xb5\xd8\xb1\xd8\xa7\xd8\xb1 \xd9\x88\xd8\xb5\xd8\xa8\xd8\xb1!\n\n#\xd8\xa7\xd9\x84\xd9\x8a\xd9\x88\xd9\x85_\xd8\xa7\xd9\x84\xd8\xb9\xd8\xa7\xd9\x84\xd9\x85\xd9\x8a_\xd9\x84\xd9\x84\xd8\xa3\xd8\xb4\xd8\xae\xd8\xa7\xd8\xb5_\xd8\xb0\xd9\x88\xd9\x8a_\xd8\xa7\xd9\x84\xd8\xa5\xd8\xb9\xd8\xa7\xd9\x82\xd8\xa9\n\nPower comes with an indomitable will and a determined mind that persists despite stumbling, and that transcends all barriers and defeats all the circumstance's persistence and patience.\n\n#internationaldayofpersonswithdisabilities""",0,0,35,0,,,
CITf1gbq0va,banquesaudifransi,2020-12-02 18:00:23.000000,no,False,"b'\xd8\xa7\xd9\x84\xd8\xa8\xd9\x86\xd9\x83_\xd8\xa7\xd9\x84\xd8\xb3\xd8\xb9\xd9\x88\xd8\xaf\xd9\x8a_\xd8\xa7\xd9\x84\xd9\x81\xd8\xb1\xd9\x86\xd8\xb3\xd9\x8a,bsf'",b'',"b'\xd8\xaa\xd9\x88\xd8\xae\xd9\x89 \xd8\xa7\xd9\x84\xd8\xad\xd8\xb0\xd8\xb1 \xd9\x88\xd8\xaa\xd8\xa3\xd9\x83\xd8\xaf \xd9\x85\xd9\x86 \xd8\xac\xd9\x85\xd9\x8a\xd8\xb9 \xd8\xa7\xd9\x84\xd8\xb9\xd9\x85\xd9\x84\xd9\x8a\xd8\xa7\xd8\xaa \xd8\xa7\xd9\x84\xd8\xaa\xd9\x8a \xd8\xaa\xd8\xaa\xd9\x85 \xd8\xb9\xd9\x84\xd9\x89 \xd8\xad\xd8\xb3\xd8\xa7\xd8\xa8\xd9\x83 \xd9\x88\xd9\x81\xd9\x8a \xd8\xad\xd8\xa7\xd9\x84 \xd9\x85\xd9\x84\xd8\xa7\xd8\xad\xd8\xb8\xd8\xa9 \xd8\xa3\xd9\x8a\xd9\x91 \xd8\xb9\xd9\x85\xd9\x84\xd9\x8a\xd8\xa9 \xd9\x85\xd8\xb4\xd8\xa8\xd9\x88\xd9\x87\xd8\xa9 \xd8\xb3\xd8\xa7\xd8\xb1\xd8\xb9 \xd8\xa8\xd8\xa5\xd8\xa8\xd9\x84\xd8\xa7\xd8\xba #\xd8\xa7\xd9\x84\xd8\xa8\xd9\x86\xd9\x83_\xd8\xa7\xd9\x84\xd8\xb3\xd8\xb9\xd9\x88\xd8\xaf\xd9\x8a_\xd8\xa7\xd9\x84\xd9\x81\xd8\xb1\xd9\x86\xd8\xb3\xd9\x8a\n\nBeware by checking all your account transactions and If you noticed a suspicious transaction, please inform #BSF immediately'",0,0,43,1,,,
CISzMRxqW9M,banquesaudifransi,2020-12-02 11:30:16.000000,no,False,b'\xd8\xa7\xd9\x84\xd8\xa8\xd9\x86\xd9\x83_\xd8\xa7\xd9\x84\xd8\xb3\xd8\xb9\xd9\x88\xd8\xaf\xd9\x8a_\xd8\xa7\xd9\x84\xd9\x81\xd8\xb1\xd9\x86\xd8\xb3\xd9\x8a',b'',b'\xd8\xa3\xd8\xb9\xd8\xb7\xd9\x8a \xd9\x84\xd9\x85\xd9\x86\xd8\xb2\xd9\x84\xd9\x83 \xd9\x85\xd8\xb8\xd9\x87\xd8\xb1 \xd8\xac\xd8\xaf\xd9\x8a\xd8\xaf \xd9\x85\xd9\x86 \xd9\x85\xd9\x81\xd8\xb1\xd9\x88\xd8\xb4\xd8\xa7\xd8\xaa \xd8\xb3\xd9\x8a\xd8\xaa\xd9\x8a \xd8\xaf\xd8\xa8\xd9\x84\xd9\x8a\xd9\x88 \xd9\x88\xd8\xa7\xd8\xb3\xd8\xaa\xd9\x85\xd8\xaa\xd8\xb9 \xd8\xa8\xd8\xae\xd8\xb5\xd9\x85 \xd9\x8a\xd8\xb5\xd9\x84 \xd8\xa5\xd9\x84\xd9\x89 30% \xd8\xb9\xd9\x86\xd8\xaf \xd8\xa7\xd8\xb3\xd8\xaa\xd8\xae\xd8\xaf\xd8\xa7\xd9\x85\xd9\x83 \xd8\xa8\xd8\xb7\xd8\xa7\xd9\x82\xd8\xa7\xd8\xaa #\xd8\xa7\xd9\x84\xd8\xa8\xd9\x86\xd9\x83_\xd8\xa7\xd9\x84\xd8\xb3\xd8\xb9\xd9\x88\xd8\xaf\xd9\x8a_\xd8\xa7\xd9\x84\xd9\x81\xd8\xb1\xd9\x86\xd8\xb3\xd9\x8a \xd8\xa7\xd9\x84\xd8\xa7\xd8\xa6\xd8\xaa\xd9\x85\xd8\xa7\xd9\x86\xd9\x8a\xd8\xa9 \xd8\xa3\xd9\x88 \xd8\xa8\xd8\xb7\xd8\xa7\xd9\x82\xd8\xa7\xd8\xaa \xd9\x85\xd8\xaf\xd9\x89.\n\nGive your home a new look from CityW furniture and enjoy a discount up to 30% upon using your BSF credit cards or mada cards.',0,0,35,1,,,
CIQYq9RKUb8,banquesaudifransi,2020-12-01 13:00:03.000000,no,False,b'\xd8\xa7\xd9\x84\xd8\xa8\xd9\x86\xd9\x83_\xd8\xa7\xd9\x84\xd8\xb3\xd8\xb9\xd9\x88\xd8\xaf\xd9\x8a_\xd8\xa7\xd9\x84\xd9\x81\xd8\xb1\xd9\x86\xd8\xb3\xd9\x8a',b'',b'\xd8\xb4\xd8\xa7\xd9\x87\xd8\xaf \xd9\x85\xd8\xa7 \xd8\xaa\xd8\xad\xd8\xa8 \xd8\xb9\xd9\x84\xd9\x89 STARZPLAY \xd8\xa8\xd8\xae\xd8\xb5\xd9\x85 50% \xd8\xb9\xd9\x84\xd9\x89 \xd8\xa7\xd8\xb4\xd8\xaa\xd8\xb1\xd8\xa7\xd9\x83\xd9\x83 \xd9\x85\xd8\xb9 \xd8\xa8\xd8\xb7\xd8\xa7\xd9\x82\xd8\xa7\xd8\xaa \xd9\x85\xd8\xa7\xd8\xb3\xd8\xaa\xd8\xb1\xd9\x83\xd8\xa7\xd8\xb1\xd8\xaf \xd9\x85\xd9\x86 #\xd8\xa7\xd9\x84\xd8\xa8\xd9\x86\xd9\x83_\xd8\xa7\xd9\x84\xd8\xb3\xd8\xb9\xd9\x88\xd8\xaf\xd9\x8a_\xd8\xa7\xd9\x84\xd9\x81\xd8\xb1\xd9\x86\xd8\xb3\xd9\x8a \n\nEnjoy your movie on STARZPLAY and get 50% off your subscription upon paying with your BSF Mastercard',0,0,23,1,,,
CIOIhBjKhli,banquesaudifransi,2020-11-30 16:00:24.000000,no,False,b'',b'',b'\xd9\x85\xd9\x87\xd9\x85\xd8\xa7 \xd9\x83\xd8\xa7\xd9\x86 \xd8\xb9\xd9\x82\xd8\xa7\xd8\xb1\xd9\x83 \xd8\xa3\xd8\xb1\xd8\xb6 \xe2\x80\x93 \xd9\x81\xd9\x84\xd8\xa9\n\xd9\x86\xd9\x85\xd9\x88\xd9\x91\xd9\x84\xd9\x83 \xd9\x85\xd9\x82\xd8\xa7\xd8\xa8\xd9\x84 \xd8\xb1\xd9\x87\xd9\x86\xd9\x87 \xd8\xa8\xd9\x81\xd8\xaa\xd8\xb1\xd8\xa9 \xd8\xb3\xd8\xaf\xd8\xa7\xd8\xaf \xd9\x85\xd8\xb1\xd9\x86\xd8\xa9.\n\n\xd8\xa7\xd8\xaa\xd9\x91\xd8\xae\xd8\xb0 \xd8\xa7\xd9\x84\xd9\x82\xd8\xb1\xd8\xa7\xd8\xb1 \xd8\xa7\xd9\x84\xd8\xa2\xd9\x86 \xd8\xb9\xd8\xa8\xd8\xb1 \xd8\xb2\xd9\x8a\xd8\xa7\xd8\xb1\xd8\xa9 \xd8\xa7\xd9\x84\xd9\x85\xd9\x88\xd9\x82\xd8\xb9',0,0,40,3,,,
CIL4U9sKKdQ,banquesaudifransi,2020-11-29 19:00:28.000000,no,False,b'',b'',"b'\xd8\xa8\xd8\xa7\xd8\xb3\xd8\xaa\xd8\xae\xd8\xaf\xd8\xa7\xd9\x85 \xd9\x86\xd9\x82\xd8\xa7\xd8\xb7\xd9\x83 \xd9\x85\xd9\x86 \xd8\xac\xd9\x86\xd9\x89 \xd8\xaa\xd8\xb3\xd8\xaa\xd8\xb7\xd9\x8a\xd8\xb9 \xd8\xa7\xd9\x84\xd8\xa7\xd8\xb4\xd8\xaa\xd8\xb1\xd8\xa7\xd9\x83 \xd9\x81\xd9\x8a \xd9\x86\xd8\xa7\xd8\xaf\xd9\x8a Interval Plus \xd9\x88\xd8\xaa\xd8\xb7\xd9\x88\xd9\x8a\xd8\xb1 \xd9\x84\xd9\x8a\xd8\xa7\xd9\x82\xd8\xaa\xd9\x83 \xd9\x88 \xd9\x82\xd9\x88\xd8\xaa\xd9\x83 \xd8\xa7\xd9\x84\xd8\xac\xd8\xb3\xd8\xaf\xd9\x8a\xd8\xa9!\n\n\xd8\xa7\xd8\xb3\xd8\xaa\xd8\xa8\xd8\xaf\xd9\x84 \xd9\x86\xd9\x82\xd8\xa7\xd8\xb7\xd9\x83 \xd8\xa7\xd9\x84\xd8\xa2\xd9\x86 \xd8\xa8\xd9\x82\xd8\xb3\xd9\x8a\xd9\x85\xd8\xa9 \xd8\xa7\xd8\xb4\xd8\xaa\xd8\xb1\xd8\xa7\xd9\x83 \xd9\x84\xd9\x85\xd8\xaf\xd8\xa9 \xd8\xb4\xd9\x87\xd8\xb1 \xd8\xb9\xd8\xa8\xd8\xb1 \xd8\xb2\xd9\x8a\xd8\xa7\xd8\xb1\xd8\xa9 \xd9\x85\xd9\x88\xd9\x82\xd8\xb9 \xd8\xac\xd9\x86\xd9\x89\n\nUsing your Jana points, you can subscribe to Interval Plus and Improve your Fitness and Physical Strength!\n\nRedeem your points now for a one-month subscription by visiting Jana website'",0,0,43,3,,,
CILS1XrKEwP,banquesaudifransi,2020-11-29 13:32:50.000000,no,False,b'\xd8\xa7\xd9\x84\xd8\xa8\xd9\x86\xd9\x83_\xd8\xa7\xd9\x84\xd8\xb3\xd8\xb9\xd9\x88\xd8\xaf\xd9\x8a_\xd8\xa7\xd9\x84\xd9\x81\xd8\xb1\xd9\x86\xd8\xb3\xd9\x8a',b'',b'\xd8\xac\xd8\xaf\xd9\x91\xd8\xaf \xd8\xa3\xd8\xab\xd8\xa7\xd8\xab\xd9\x83 \xd8\xa8\xd8\xae\xd9\x8a\xd8\xa7\xd8\xb1\xd8\xa7\xd8\xaa \xd9\x88\xd8\xa7\xd8\xb3\xd8\xb9\xd8\xa9 \xd9\x85\xd9\x86 \xd9\x85\xd9\x81\xd8\xb1\xd9\x88\xd8\xb4\xd8\xa7\xd8\xaa \xd8\xb1\xd9\x88\xd9\x88\xd9\x85\xd8\xb2 \xd9\x88\xd8\xa7\xd8\xad\xd8\xb5\xd9\x84 \xd8\xb9\xd9\x84\xd9\x89 \xd8\xae\xd8\xb5\xd9\x85 \xd9\x8a\xd8\xb5\xd9\x84 \xd8\xa5\xd9\x84\xd9\x89 30% \xd8\xb9\xd9\x86\xd8\xaf \xd8\xa7\xd9\x84\xd8\xaf\xd9\x81\xd8\xb9 \xd8\xa8\xd8\xa7\xd8\xb3\xd8\xaa\xd8\xae\xd8\xaf\xd8\xa7\xd9\x85 \xd8\xa8\xd8\xb7\xd8\xa7\xd9\x82\xd8\xa7\xd8\xaa #\xd8\xa7\xd9\x84\xd8\xa8\xd9\x86\xd9\x83_\xd8\xa7\xd9\x84\xd8\xb3\xd8\xb9\xd9\x88\xd8\xaf\xd9\x8a_\xd8\xa7\xd9\x84\xd9\x81\xd8\xb1\xd9\x86\xd8\xb3\xd9\x8a \xd8\xa7\xd9\x84\xd8\xa7\xd8\xa6\xd8\xaa\xd9\x85\xd8\xa7\xd9\x86\xd9\x8a\xd8\xa9 \xd8\xa3\xd9\x88 \xd8\xa8\xd8\xb7\xd8\xa7\xd9\x82\xd8\xa7\xd8\xaa \xd9\x85\xd8\xaf\xd9\x89\n\nRenew your furniture with a wide choice of furniture from Roomz and get a discount up to 30% upon paying using your BSF credit cards or Mada cards',0,0,29,0,,,
