shortcode,username,date_utc,is_video,is_sponsored,hashtags,mentions,caption,video_view_count,video_length,likes,comments,likes+comments,location_name,location_latlong
CIYBopaDHsJ,bbva,2020-12-04 12:12:41.000000,no,False,"b'microfinanzas,medioambiente,verde,sostenibilidad,linkenbio,microfinance,environment,green,environmental,sustainability,linkinbio,creandooportunidades,creatingopportunities'",b'',"b'La Fundaci\xc3\xb3n #Microfinanzas BBVA promueve acciones positivas para el #medioambiente a trav\xc3\xa9s de una cultura corporativa #verde que permite integrar los riesgos ambientales y mejorar la oferta de valor tanto para las personas a las que atiende como para sus colaboradores y la sociedad en general. Descubre c\xc3\xb3mo llevar la #sostenibilidad medioambiental a las microfinanzas en el #linkenbio. \n\nThe BBVA #Microfinance Foundation promotes positive actions for the #environment, through a #green corporate culture which allows it to integrate #environmental risks and improve their value offer for the people it serves as well as for its partners and society. Discover how to bring environmental #sustainability to microfinance in #linkinbio.\n\n#CreandoOportunidades #CreatingOpportunities'",0,0,171,19,,,
CITSpP0jBRl,bbva,2020-12-02 16:05:07.000000,no,False,"b'linkinbio,linkinbio,bbva,creandooportunidades,trabajo,trabajodelfuturo,work,futurework'",b'',b'Descubre m\xc3\xa1s sobre las oportunidades laborales del futuro y los desaf\xc3\xados profesionales en #LinkInBio\n\nDiscover the new jobs and challenges of the future #LinkInBio\n\n#BBVA #CreandoOportunidades #Trabajo #TrabajoDelFuturo #Work #FutureWork',0,0,174,20,,,
CIOGiGTqFgn,bbva,2020-11-30 15:43:23.000000,yes,False,"b'linkinbio,creandooportunidades,bbva,educaci\xc3\xb3n,education,ense\xc3\xb1anza,tecnolog\xc3\xada'",b'',"b'De la tarima al Google Classroom. Una abuela, una madre y una nieta que han estudiado en el mismo colegio cuentan c\xc3\xb3mo han vivido los cambios en educaci\xc3\xb3n debido a la tecnolog\xc3\xada. Pero no todo ha cambiado. Lee el art\xc3\xadculo completo en #linkinbio\n\nA grandmother, a mother, and a granddaughter talk about education. It has changed over the years due to technology. But not everything has changed.\n\n#CreandoOportunidades #BBVA #Educaci\xc3\xb3n #Education #Ense\xc3\xb1anza #Tecnolog\xc3\xada'",1312,14.168,67,8,,,
CIGFiEVDczU,bbva,2020-11-27 13:00:24.000000,no,False,"b'blackfriday,linkenbio,linkinbio,creandooportunidades,creatingopportunities,sostenibilidad,sustainability,cambioclimatico,climatechange'",b'',b'#BlackFriday: \xc2\xbfC\xc3\xb3mo afecta al medio ambiente en tiempos de pandemia? \n :backhand_index_pointing_right::backhand_index_pointing_right::backhand_index_pointing_right::backhand_index_pointing_right::backhand_index_pointing_right: #LinkenBio\n \nBlack Friday: How does it affect the environment in times of a pandemic? #LinkinBio\n\n#CreandoOportunidades #CreatingOpportunities #sostenibilidad #sustainability #cambioclimatico #climatechange',0,0,118,13,,,
CIDXgddq-_y,bbva,2020-11-26 11:39:59.000000,yes,False,"b'concurso,linkenbio,creandooportunidades,food,foodporn,foodie,foodlover,foodstagram'",b'cellerrocabbva',"b'#CONCURSO. La pr\xc3\xb3xima cesta de @CellerRocaBBVA puede ser tuya. \n\nSolo tienes que: \n\n:backhand_index_pointing_right: Adivinar el postre navide\xc3\xb1o que preparar\xc3\xa1 Jordi Roca en la pr\xc3\xb3xima cesta. \n:backhand_index_pointing_right: Etiquetar a un amigo con el que lo preparar\xc3\xadas si eres el ganador. \n\nCuantas m\xc3\xa1s veces participes, m\xc3\xa1s posibilidades tienes de ganar. \xc2\xa1Suerte a todos! :Christmas_tree:\n\nAccede a las bases legales en #LinkenBio\n\n#CreandoOportunidades #food #foodporn #foodie #foodlover #foodstagram'",1455,10.0,105,69,,,
CIBNW5oD2UG,bbva,2020-11-25 15:32:35.000000,no,False,"b'datos,seguridad,linkenbio,data,security,linkinbio,creandooportunidades,creatingopportunities,ciberseguridad,cybersecurity'",b'',"b""Cada vez que accedemos a internet, compramos con nuestra tarjeta de cr\xc3\xa9dito o usamos el robot aspirador en casa generamos una gran cantidad de #datos. Nuestro d\xc3\xada a d\xc3\xada deja un rastro digital imperceptible por nosotros y muy codiciado por hackers y empresas con intenciones no claras. Entre todos debemos tomar conciencia de qu\xc3\xa9 informaci\xc3\xb3n compartimos y con qui\xc3\xa9n. Por ello, en BBVA te ayudamos con consejos a c\xc3\xb3mo mejorar la #seguridad de tus datos. Encuentra todas las noticias en #LinkenBio\n\nEvery time we use internet, we use our credit card or the vacuum cleaner robot is used at home, we create #data. Our daily routine leaves an inapreciable digital trace that is highly prized by hackers and companies with dubious intentions. We must take conscious on what information we share and to whom. That's why BBVA helps you giving advice on improving your #security. Find all our articles in #LinkinBio\n\n#CreandoOportunidades #CreatingOpportunities #Ciberseguridad #Cybersecurity""",0,0,168,9,,,
CH0HITFj7a-,bbva,2020-11-20 13:28:02.000000,no,False,"b'linkenbio,linkinbio,creandooportunidades,creatingopportunities,teletrabajo,trabajoh\xc3\xadbrido,remotework,ciberseguridad,cybersecurity'",b'',b'Trabajo h\xc3\xadbrido: unos d\xc3\xadas desde casa y otros desde la oficina. \xc2\xbfC\xc3\xb3mo trabajar de forma segura? Te damos algunos consejos en #Linkenbio.\n\nWorking both from home and the office is the essence of a hybrid work model. But how to work safely? More information in #linkinbio\n\n#CreandoOportunidades #CreatingOpportunities #Teletrabajo #TrabajoH\xc3\xadbrido #RemoteWork #Ciberseguridad #Cybersecurity',0,0,174,18,,,
CHvVU33jxQQ,bbva,2020-11-18 16:55:53.000000,no,False,"b'sostenibilidad,linkenbio,sustainability,linkinbio,creandooportunidades,creatingopportunities,medioambiente,environment,climatechange,cambioclim\xc3\xa1tico'",b'',"b'BBVA ha anunciado los avances en su estrategia frente al cambio clim\xc3\xa1tico con la publicaci\xc3\xb3n de su pol\xc3\xadtica de #sostenibilidad y de su primer informe sobre los riesgos y oportunidades del cambio clim\xc3\xa1tico de acuerdo al  est\xc3\xa1ndar del Grupo de Trabajo de Divulgaciones Financieras sobre el Clima (TCFD, Task Force Climate-related Financial Disclosure, en sus siglas en ingl\xc3\xa9s). Descubre m\xc3\xa1s sobre los resultados en #LinkenBio\n\nBBVA has announced its progress in its climate change strategy with the publication of its #sustainability policy and its first report on the risks and opportunities associated with climate change according to the Task Force on Climate-related Financial Disclosures (TCFD) standard. Find out more about the conclusions in #LinkinBio\n\n#CreandoOportunidades #CreatingOpportunities #medioambiente #environment #climatechange #cambioclim\xc3\xa1tico'",0,0,243,5,,,
CHqQ9WaKnDb,bbva,2020-11-16 17:41:50.000000,yes,False,"b'mirecetasostenible,mirecetasostenible,mandarina,mandarinas,tangerine,tangerines,recetas,elcellerdecanroca,gastronom\xc3\xada,recetasf\xc3\xa1ciles,foodie,foodporn,foods,gastronomy,igfood,igersfood,cellercanroca,joanroca,hermanosroca,rocabrothers,cellerdecanroca,gastronom\xc3\xadasostenible,gastronomiasostenible,sustainablefood,jordiroca,postre,postres'","b'cellerrocabbva,cellerrocabbva'",b'\xc2\xbfSabes sacarle partido a las mandarinas en la cocina? @CellerRocaBBVA nos trae este postre utilizando productos de temporada como la mandarina y el boniato. \xc2\xbfTe animas a prepararlo? Comparte el resultado con el hashtag #MiRecetaSostenible\n\nHow can you use tangerines for cooking? @CellerRocaBBVA suggests the following recipe. Do you fancy cooking it? Share the result using the hashtag #MiRecetaSostenible\n\n#mandarina #mandarinas #tangerine #tangerines #Recetas #ElCellerdeCanRoca #Gastronom\xc3\xada #recetasf\xc3\xa1ciles #foodie #foodporn #foods #gastronomy #igfood #igersfood #cellercanroca #JoanRoca #hermanosRoca #RocaBrothers #cellerdecanroca #gastronom\xc3\xadasostenible #gastronomiasostenible #sustainablefood #jordiRoca #postre #postres',1825,59.9,158,2,,,
CHhsHjeD3zK,bbva,2020-11-13 09:45:41.000000,no,False,"b'diversidad,india,eeuu,raza,sexo,color,religi\xc3\xb3n,inclusi\xc3\xb3n,linkenbio,diversity,casts,civilrights,race,sex,inclusion,linkinbio,creandooportunidades,creatingopportunities'",b'',"b'La historia est\xc3\xa1 llena de hitos sobre la lucha de la humanidad hacia un mundo m\xc3\xa1s inclusivo. Si hubiera que destacar las iniciativas hist\xc3\xb3ricamente m\xc3\xa1s importantes en el \xc3\xa1rea de la #diversidad, nos quedar\xc3\xadamos quiz\xc3\xa1s con estas dos: \n- El modelo de cuotas electorales en #India que reserva asientos en el parlamento indio y m\xc3\xa1s instituciones p\xc3\xbablicas a miembros de las castas m\xc3\xa1s desfavorecidas. \n\n- La ley de derechos civiles en #EEUU de 1964, que prohib\xc3\xada la discriminaci\xc3\xb3n por motivos de #raza, #sexo, #color, #religi\xc3\xb3n u origen en empresas, administraci\xc3\xb3n p\xc3\xbablica y centros educativos.\n\nEn BBVA nos unimos a este compromiso por la #inclusi\xc3\xb3n y hemos sido reconocidos por Intrama como parte del Top30 de empresas espa\xc3\xb1olas con mejores pr\xc3\xa1cticas en este \xc3\xa1mbito. Descubre m\xc3\xa1s sobre ello en #LinkenBio\n\n....\n\nHistory is full of stories that portraits the fight of the human kind for a more inclusive world. If we had to point to the most important historic initiatives in terms of #diversity, we would say these two: \n\n- India\xe2\x80\x99s electoral quota model as it reserves seats in the country\xe2\x80\x99s parliament and in various public institutions for members of the most disadvantaged #casts. \n\n- The 1964 U.S. #civilrights law,  which prohibited discrimination based on #race, #sex, religion or origin at companies, the government and schools. \n\nBBVA joins the commitment to #inclusion and has been reported one of the TOP 30 Spanish companies with the best practices in the field by Intrama. Find out more in #LinkinBio\n\n#CreandoOportunidades #CreatingOpportunities'",0,0,276,7,,,
