shortcode,username,date_utc,is_video,is_sponsored,hashtags,mentions,caption,video_view_count,video_length,likes,comments,likes+comments,location_name,location_latlong
CIYx9uClD8-,bellahadid,2020-12-04 19:14:59.000000,no,False,b'',"b'samvissermakeup,jennifer_yepez'",b'@samvissermakeup On the Face \n@jennifer_yepez On the Hair \nMe on the Style',0,0,990690,2360,,,
CIYvAJsn9EE,bellahadid,2020-12-04 18:49:15.000000,yes,False,b'',b'',b'Baby you remind me of my dreams',4606509,4.266,1468545,6783,,,
CIWyskshXp8,bellahadid,2020-12-04 00:43:27.000000,yes,False,"b'mkeditedby,michaelkors'","b'samvissermakeup,jennifer_yepez,michaelkors'","b'@samvissermakeup @jennifer_yepez \xf0\x9f\xab\x80\xf0\x9f\xab\x81:woman_dancing_medium_skin_tone:\n\nSuch a sweet time going with Michael to see our new Holiday campaign this morning before the store opened @michaelkors ... Happy Holidays everyone , we love you . From Bella and Michael !!!:red_heart_selector::red_heart_selector::red_heart_selector:#MKEditedBy #MichaelKors'",381285,72.9,125304,386,,,
CIWeOOiBnlZ,bellahadid,2020-12-03 21:44:00.000000,no,False,b'momnpopdrop',"b'dressshoppenyc,dressshoppenyc,newyorknico,dressshoppenyc,zblocknyc'","b'Hi everyone\xf0\x9f\xab\x80, please please please Let\xe2\x80\x99s go visit  @dressshoppenyc & Mrs. Saroj Goyal to show her some loving support !!! She has devoted her life to this business and we need to remind her of how important she is! She sells beautiful handmade Indian clothing , jewelry and so so much more that I can\xe2\x80\x99t wait to go buy .. natural soaps and incense ... Sounds wonderful to me .... :smiling_face_with_halo: 83 2nd Ave . New York! \nLet\xe2\x80\x99s go :red_heart_selector::red_heart_selector::red_heart_selector: We love and support you @dressshoppenyc \n\nRest In Peace Purshottam Dass Goyal :red_heart_selector:\n~~~~~ @newyorknico\n\nI stopped by @dressshoppenyc to meet with Saroj Goyal after hearing she has been struggling to keep her doors open since the pandemic. Last September, Saroj lost her husband of 50 years. It\xe2\x80\x99s been unbelievably hard for her to cope with. She has been working at the store 7 days a week because it\xe2\x80\x99s too painful for her to be home alone. It would mean so much to her and the legacy of Mr. Goyal if we rallied together to support this iconic business. Please go visit her at 83 2nd Ave. and show mad love. I bought some natural soaps and incense.\n\nDress Shoppe Has been in business since 1977 in the East Village. They specialize in handmade Indian Clothing and have the biggest selection of Vintage Indian fabrics, statues, furniture, home furnishings, incense, wool shawls, quilted coats, & much more.\n\nThank you @zblocknyc for introducing me to this lovely woman. #momnpopdrop'",0,0,628696,2256,,,
CIUK4GlB0Pa,bellahadid,2020-12-03 00:16:28.000000,no,False,b'',b'',b'Shopaholic',0,0,778738,2040,,,
CIUBd1-Ba6o,bellahadid,2020-12-02 22:54:33.000000,yes,False,b'',b'',,2811391,29.066,701676,1988,,,
CIPk2R3hQwS,bellahadid,2020-12-01 05:27:13.000000,no,False,b'',b'',b'My baby \n He\xe2\x80\x99s grown up so much since this point. I\xe2\x80\x99m very proud',0,0,1208036,2104,,,
CIPL0mLBRxf,bellahadid,2020-12-01 01:48:32.000000,no,True,b'mksoho',b'michaelkors',b'me myself and my @michaelkors Soho bag :black_heart: #MKSoho',0,0,1101503,3515,,,
CIEGw0XBbw0,bellahadid,2020-11-26 18:32:41.000000,no,False,b'',b'fannybourdettedonon',b'Happy Birthday Sister ! I love you to the moon and back. @fannybourdettedonon you got me I got you! Worldwide',0,0,1079028,1547,,,
CIBo8E2hcoK,bellahadid,2020-11-25 19:33:35.000000,no,False,b'',b'queenscarecollective',"b'I\xe2\x80\x99m gonna be real with you guys. I  wake up a majority  of the time sad, fatigued and unmotivated, especially when I\xe2\x80\x99m not working everyday like i usually do. As an empath, I feel my body is telling me I need to not only take care of myself , but continue to engage and support the communities around me . To receive happiness and love in your heart , you must first and foremost give love and happiness to others. Every day (no joke... it brings me joy) I look up, and contact different small groups , or collectives that have singlehandedly been making a conscious effort to help , uplift, share love or provide food/support for whoever around them needs it ... i send them what they need , have a conversation and keep it moving. usually I would just do this without sharing;  it would be too many to post, but sometimes I feel it\xe2\x80\x99s a disservice to these organizations , if I just keep them , and the work that they do, to myself... today I stumbled across @queenscarecollective . They say \xe2\x80\x9csolidarity , not charity\xe2\x80\x9d which to me , is powerful and something we should always direct back to. It\xe2\x80\x99s not doing charity, it\xe2\x80\x99s moving through your everyday life standing in solidarity with your neighbors ,  ones that are less fortunate or people that help our cities run and don\xe2\x80\x99t the have time to care for themselves ... just a reminder to them that they are important and deserve sustenance and support like every living being on this planet. I think it\xe2\x80\x99s so impressive that if we spend just $80 , Queens Care will prepare a whole month worth of farm grown meals for families in need. They deliver meals for 85+ families across the Bronx, but there are still families on their waiting list! This money is not only for food.  if you swipe you can see what these incredible people are doing with our donations. I\xe2\x80\x99m impressed and wanted to share. Let\xe2\x80\x99s help them help others. I love you guys out there so much :black_heart:'",0,0,188986,747,,,
