shortcode,username,date_utc,is_video,is_sponsored,hashtags,mentions,caption,video_view_count,video_length,likes,comments,likes+comments,location_name,location_latlong
CIGMpIqJFEd,biglots,2020-11-27 14:02,no,False,"linkinbio,biglots,blackfriday,shopping,blackfriday2020,thisishowwejingle",familyloveandstyle,"b'Say it with us: deals, deals, deals! :shopping_bags_selector: Sorry, but we\xe2\x80\x99re SO excited about Black Friday! :grinning_squinting_face:\n:speaking_head_selector: The BIGGER than BIG Black Friday Sale is happening NOW, so head in store or go online and shop your heart out. :orange_heart: Seriously, we\xe2\x80\x99ve got so many deals, you may need two carts! :shopping_cart::shopping_cart::winking_face:\n:right_arrow_selector: Head to the #linkinbio to find your store, or start shopping! \n:camera_with_flash: @familyloveandstyle\n\xe2\x80\xa2\n\xe2\x80\xa2\n\xe2\x80\xa2\n#BigLots #BlackFriday #Shopping #BlackFriday2020 #ThisIsHowWeJingle'",0,0,1027,11,1038,,
CIDt9aggiNd,biglots,2020-11-26 14:55,no,False,"linkinbio,biglots,happythanksgiving,thanksgiving2020",,"b'From our Big Lots family to yours, Happy Thanksgiving! :turkey: :fallen_leaf: \n:speech_balloon: We\xe2\x80\x99ve adjusted our holiday hours so you can still grab those last-minute items & we can give our awesome associates a chance to head home and celebrate! :orange_heart: Calling all BIG Rewards Members! You get an extra 15% off EVERYTHING in-store until 1PM & online thru 6AM tomorrow! \n:right_arrow_selector: Head to the #linkinbio to find your store, or shop our Bigger Than BIG Black Friday sale! :shopping_bags_selector:\n\xe2\x80\xa2\n\xe2\x80\xa2\n\xe2\x80\xa2\n#BigLots #HappyThanksgiving #Thanksgiving2020'",0,0,1709,7,1716,,
CIBHE-JprGE,biglots,2020-11-25 14:37,no,False,"linkinbio,thisishowwejingle,biglots,holiday,decor,farmhouse,rustic,biglotsfinds",,b'Going for a rustic-chic farmhouse look this year? Shop our Yule Tidings collection at the #linkinbio :orange_heart:\n:sparkles: #ThisIsHowWeJingle :sparkles:\n\xe2\x80\xa2\n\xe2\x80\xa2\n\xe2\x80\xa2\n#BigLots #Holiday #Decor #Farmhouse #Rustic #BigLotsFinds',0,0,6209,50,6259,,
CH-m_DvJPpo,biglots,2020-11-24 15:18,no,False,"inspo,linkinbio,thisishowwejingle,biglots,holiday,decor,neutralstyle",margaret.ashleigh,"b""This one is for those who like to keep their holiday d\xc3\xa9cor simple & neutral :orange_heart: (We recommend taking notes from @margaret.ashleigh! :pencil_selector:) Her cozy living room + mantle is all the #inspo you'll need to get a jump on your jingle. :Christmas_tree: Shop #linkinbio :Christmas_tree:\n:sparkles: #ThisIsHowWeJingle :sparkles:\n\xe2\x80\xa2\n\xe2\x80\xa2\n\xe2\x80\xa2\n#BigLots #Holiday #Decor #neutralstyle""",0,0,1835,11,1846,,
CH8Kwvtp2Ot,biglots,2020-11-23 16:33,no,False,"linkinbio,thisishowwejingle,biglots,holiday,festive,dog,biglotsfinds,getajumponyourjingle",vitothedogfather,b'It\xe2\x80\x99s the most wonder-FUR time of the year! :paw_prints: :Christmas_tree: \n:speaking_head_selector: Our Bigger than BIG Black Friday Sale is still happening! Head to the #linkinbio to start shopping. :wrapped_gift:\n:sparkles:#ThisIsHowWeJingle:sparkles:\n\xe2\x80\xa2\n\xe2\x80\xa2\n\xe2\x80\xa2\n:camera_with_flash: @vitothedogfather\n#BigLots #Holiday #Festive #Dog #BigLotsFinds #GetAJumpOnYourJingle',0,0,1652,14,1666,,
CH2vte9j_KA,biglots,2020-11-21 14:01,no,False,"fave,thisishowwejingle,biglots,holiday,traditional,festive,decor,getajumponyourjingle",ashlillyotm,"b""We're LOVING @ashlillyotm's festive & traditional decor! :orange_heart::Christmas_tree:\n:speech_balloon: What's your #fave holiday activity? Tell us below for a chance to win a $10 Big Lots gift card! :love_letter:\n#ThisIsHowWeJingle :Christmas_tree::wrapped_gift: :sparkles:\n\xe2\x80\xa2\n\xe2\x80\xa2\n\xe2\x80\xa2\n#BigLots #Holiday #Traditional #Festive #Decor #GetAJumpOnYourJingle\n[No purchase necessary to win. Comment by 11:59pm on 11/22/20 to be entered for a chance to win. Winner will be picked at random and notified via DM on 11/23/20]""",0,0,1158,40,1198,,
CH0O9MVpRRI,biglots,2020-11-20 14:36,no,False,"linkinbio,thisishowwejingle,fridayfeeling,biglots,holiday,decorations,decor,getajumponyourjingle",gardeniaavenueblog,b'Holiday decorations are proven to :sparkles:brighten:sparkles: your spirits! The proof is pictured here :camera_with_flash:\n:right_arrow_selector: Shop the image at the #linkinbio \n#ThisIsHowWeJingle :wrapped_gift: :Christmas_tree:#FridayFeeling\n\xe2\x80\xa2\n\xe2\x80\xa2\n\xe2\x80\xa2\n:camera_with_flash: @gardeniaavenueblog\n#BigLots #Holiday #Decorations #Decor #GetAJumpOnYourJingle',0,0,1793,6,1799,,
CHxmwm1JsPy,biglots,2020-11-19 14:06,no,False,"thisishowwejingle,linkinbio,biglots,holiday,surprisingfinds,decor,getajumponyourjingle",aubreyhearty,b'Pure holiday :sparkles: m a g i c :sparkles:\n\xe2\x80\xa2\n\xe2\x80\xa2\n\xe2\x80\xa2\n#ThisIsHowWeJingle :wrapped_gift: :Christmas_tree: \n:camera_with_flash: @aubreyhearty\n[shop #linkinbio]\n#BigLots #Holiday #SurprisingFinds #Decor #GetAJumpOnYourJingle',0,0,4686,50,4736,,
CHvJpHvJdvm,biglots,2020-11-18 15:13,no,False,"mood,biglotsfinds,linkinbio,thisishowwejingle,biglots,blackfriday,deals,shopping,getajumponyourjingle",mostthingsmom,"b""Our #mood after shopping the Bigger than BIG Black Friday Sale! :star-struck: (happening NOW:double_exclamation_mark_selector:)\n:speech_balloon: What are some of your pin-worthy #BigLotsFinds that you've scored so far? Tell us in the comments! :orange_heart: Don\xe2\x80\x99t forget! You can score BIG without leaving the house.:house_with_garden: Shop #linkinbio to find out how. \n#ThisIsHowWeJingle :Christmas_tree::wrapped_gift: :sparkles:\n\xe2\x80\xa2\n\xe2\x80\xa2\n\xe2\x80\xa2\n:camera_with_flash: @mostthingsmom\n#BigLots #BlackFriday #Deals #Shopping #GetAJumpOnYourJingle""",0,0,2618,35,2653,,
CHsrI0qpSDy,biglots,2020-11-17 16:08,no,False,"thisishowwejingle,biglots,holiday,frontporch,decor,getajumponyourjingle,linkinbio",mothertougher,"b""Traditional holiday vibes for the WIN! :raising_hands: (swipe to see Santa's cutest helper) :smiling_face_with_heart-eyes:\n#ThisIsHowWeJingle :Christmas_tree::wrapped_gift::sparkles:\n\xe2\x80\xa2\n\xe2\x80\xa2\n\xe2\x80\xa2\n:camera_with_flash: @mothertougher\n#BigLots #Holiday #FrontPorch #Decor #GetAJumpOnYourJingle\n:wrapped_gift: Shop #linkinbio! :wrapped_gift:""",0,0,2824,39,2863,,
