shortcode,username,date_utc,is_video,is_sponsored,hashtags,mentions,caption,video_view_count,video_length,likes,comments,likes+comments,location_name,location_latlong
CIYs038LZ5M,bjswholesale,2020-12-04 18:30:08.000000,no,False,b'',b'',"b'If saving were a sport, this would be your championship. Time to take it home. Shop and save now through 12/6/20 while supplies last at BJs.com/HolidayShop.'",0,0,78,2,,,
CIYYP0XBlB0,bjswholesale,2020-12-04 15:30:16.000000,no,False,b'',b'',"b'Who doesn\xe2\x80\x99t love a fun, festive outfit? At BJ\xe2\x80\x99s, we have something to fit every holiday style. Swipe to find your favorite.'",0,0,218,5,,,
CIWBRxMBGfJ,bjswholesale,2020-12-03 17:31:15.000000,yes,False,b'',b'',b'We\xe2\x80\x99re starting to get in the holiday spirit! Comment below to tell us which pillow is most festive to you.',2629,8.185,107,5,,,
CITjPF5L3UO,bjswholesale,2020-12-02 18:30:08.000000,no,False,b'wowwallwednesday',b'',b'Gift giving made easy this holiday. Wine & Country\xe2\x80\x99s Latte Mug Set is perfect for spreading joy all season long. #WowWallWednesday',0,0,176,5,,,
CIRFTqYrqWe,bjswholesale,2020-12-01 19:30:08.000000,no,False,b'',b'',"b'December means cozying up by the fire and getting out your favorite holiday decorations. Turn up the holiday cheer with festive stockings, garland and more from your local Club or on BJs.com/HolidayShop.'",0,0,132,9,,,
CIOWOCcF8mL,bjswholesale,2020-11-30 18:00:14.000000,yes,False,b'',b'',"b'It\xe2\x80\x99s Cyber Week! Buckle up, get pumped, and make sure your Wi-Fi is extra strong. Take no chances with these savings. Hurry and save while supplies last, now through 12/6/20 at BJs.com/HolidayShop.'",1322,11.966,55,2,,,
CIJF5itqPYD,bjswholesale,2020-11-28 17:01:25.000000,no,False,"b'bjssmartsaver,bjswholesalepartner'",b'paulabendfeldt',"b'Savor the flavors of fall this weekend and check out this Mexican Rice Stuffed Butternut Squash recipe by @paulabendfeldt. #BJsSmartSaver #BJsWholesalePartner\n\nMEXICAN RICE STUFFED BUTTERNUT SQUASH \n\nMakes 2 main dishes or four side dish servings. Time: 60 min\n\nIngredients\n1 medium butternut squash\n1 1/2 tbsp Wellsley Farms Olive Oil\nSalt & pepper to taste\n1 cup Wellsley Farms Long Grain Brown Rice \n2 cups vegetable broth\n1 can fire roasted diced tomatoes, drained \n\xc2\xbd cup canned black beans, drained\n\xc2\xbd cup canned corn, drained\n\xc2\xbe cup cilantro, chopped\n\xc2\xbd tsp garlic powder\n\xc2\xbd tsp onion powder\n\xc2\xbd tsp chipotle chili powder\nFeta\n1 avocado, sliced\n\nInstructions \n\xe2\x80\xa2 Preheat the oven to 425 F\n\xe2\x80\xa2 With a knife, punch some holes in your butternut squash, then microwave for 4 min. Halve the butternut squash, scoop out the seeds, then arrange the halves on a baking tray, cut sides up\n\xe2\x80\xa2 Brush with olive oil and sprinkle with salt and pepper. Bake for about 45 min or until fork-tender. Remove from the oven and let cool\n\xe2\x80\xa2 While the squash is baking, cook the brown rice according to package directions using the 2 cups of vegetable broth instead of water\n\xe2\x80\xa2 In a large bowl, combine the rice, tomato, black beans, corn, \xc2\xbd cup of cilantro, garlic powder, and onion powder\n\xe2\x80\xa2 Scoop out the squash flesh, leaving a 3/4-inch border. Reserve for another use \n\xe2\x80\xa2 Stuff the butternut squash with the Mexican rice filling, then return to the oven. Bake at 375 F about 10 min\n\xe2\x80\xa2 Sprinkle fresh cilantro, feta cheese, and top with sliced avocado. Serve warm'",0,0,102,3,,,
CIDx44pq9G9,bjswholesale,2020-11-26 15:30:21.000000,no,False,b'',b'',"b""There's no better time to remember all that we're thankful for. Happy Thanksgiving from all of us to you. :red_heart_selector:""",0,0,172,4,,,
CIBwYtHBrWd,bjswholesale,2020-11-25 20:38:40.000000,no,True,"b'bjssmartsaver,bjswholesalepartner'",b'tabithablue',"b'Fall treats and big savings\xe2\x80\x94what more could you ask for? @tabithablue is making the most out of these fall days with Wellsley Farms baked goods, paired with apple cider. Shop in-Club or on BJs.com today for seasonal must-haves. #BJsSmartSaver #BJsWholesalePartner'",0,0,128,3,,,
CIBJwziKcX8,bjswholesale,2020-11-25 15:01:14.000000,no,False,b'',b'',"b'Dinner is at HAND. Order it all on the BJ\xe2\x80\x99s App and we\xe2\x80\x99ll bring it to your door in as little as 2 hours. Plus, instantly add coupons to your Membership Card to save more. Enjoy Same-Day Delivery and shop now at delivery.BJs.com.'",0,0,55,3,,,
CH_ODw_jTPd,bjswholesale,2020-11-24 21:00:15.000000,no,False,b'',b'',"b'If there\'s ever been a year to get creative with your cooking for Thanksgiving, it\'s this one. Try out our Herbed Apple and Cranberry Cornbread Stuffing recipe for a little something extra at the dinner table. Full recipe below:\n\nIngredients: \n\n4 cups Wellsley Farms Mini Cornbread Loaves, crumbled \nWellsley Farms Cooking Spray\n1 Tbsp vegetable oil\n\xc2\xbd cup chopped Wellsley Farms Yellow Onions\n\xc2\xbd cup chopped celery\n1 cup chopped Wellsley Farms Organic Granny Smith Apples\n\xc2\xbd cup Wellsley Farms Pecan Halves\n\xc2\xbe cup dried cranberries\n1 tsp seasoned salt\n1 tsp ground black pepper\n2 tsp poultry seasoning\n2 cups reduced-sodium organic chicken broth\n2 eggs, beaten\n\nDirections: \n\n1. Spread cornbread crumbs on a baking pan and set aside overnight to dry\n2. Preheat oven to 350 degrees. Spray a 9"" x 13"" baking dish with cooking spray\n3. In a large skillet, heat oil over medium-high heat. Add onion, celery and apple. Saut\xc3\xa9 until tender, about 2 to 3 min\n4. Stir in pecans, dried cranberries and seasoning. Saut\xc3\xa9 1 minute, then add chicken broth\n5. Remove from heat, add cornbread and beaten eggs and toss gently to combine. Spoon mixture into prepared pan\n6. Bake until center is completely heated'",0,0,94,2,,,
CH29dGOKZt5,bjswholesale,2020-11-21 16:01:17.000000,no,False,b'',b'',b'Why wait to save? Shop our Black Friday deals now and start to cross those names off your holiday shopping list. Visit BJs.com/HolidayShop or your local Club for exclusive savings while supplies last.',0,0,149,7,,,
