shortcode,username,date_utc,is_video,is_sponsored,hashtags,mentions,caption,video_view_count,video_length,likes,comments,likes+comments,location_name,location_latlong
CIQz4ciAFiS,bnpparibas,2020-12-01 16:57:49.000000,no,False,b'orangetheworld',b'onufemmesfr',"b""Aung Ja, now 19, is a trafficking survivor from Kachin, Myanmar, who was rescued and returned to her village. She is now recovering with the support of a program implemented by UN Women's local partner, Htoi Gender and Development Foundation. The latter has already trained 125 survivors of trafficking, women in communities at risk, and in camps and villages of displaced people.\n\nSupport @onufemmesfr in the fight to stop violence against women http://bnpp.io/EV1S50CzABH #OrangeTheWorld""",0,0,98,0,,,
CIQKNNvAwki,bnpparibas,2020-12-01 10:53:39.000000,no,False,b'orangetheworld',b'unwomen',"b""Jonanitha Katunzi received training on women's rights through a partnership between @unwomen and a local organization, Equality for Growth. Since taking the course, Katunzi has become a landowner and educated her three children. Support UN Women in the fight to stop violence against women. Jonanitha Katunzi received training on women's rights through a partnership between UN Women and a local organization, Equality for Growth. Since taking the course, Katunzi has become a landowner and educated her three children. Support UN Women in the fight to stop violence against women. http://bnpp.io/t49G50CzaN6 #OrangeTheWorld""",0,0,78,0,,,
CIOWMemAMKs,bnpparibas,2020-11-30 17:59:56.000000,no,False,"b'onu,woman,women,africa,droits,femme,mali,travelgram,humanity'",b'onufemmesfr',"b""Asse\xcc\x81tou Toure\xcc\x81, a 49-year-old Malian woman, survivor of genital mutilation, has devoted most of her life to the fight against this harmful practice. Since 2011, @onufemmesfr has promoted women's rights and supported prevention of gender-based violence, including excisions in Mali, through a program with funding from France. \n \nSupport ONU Femmes France in the fight to stop violence against women https://www.onufemmes.fr\n\n#onu #woman #women #Africa #droits #femme #mali #travelgram #humanity""",0,0,165,1,,,
CH7dppvqoou,bnpparibas,2020-11-23 10:00:01.000000,yes,False,"b'sustainability,wfgm20'",b'womens_forum',"b'For the last day of @womens_forum Global Meeting 2020, Jane Ambachtsheer, Global Head of Sustainability for BNP Paribas Asset Management, gave an inspiring speech on how finance could be a change maker in building resilience.\n\n#sustainability #WFGM20'",409,29.9,41,2,,,
CH0FTs6q82_,bnpparibas,2020-11-20 13:12:40.000000,yes,False,"b'techforgood,genderequality,wfgm20'",b'womens_forum',b'The @womens_forum organised a debate at the Global Meeting 2020 asking if technology could save the world. Rim Tehraoui displayed an inspiring and optimistic view on how we could use tech for serving humanity.\n\n#techforgood #genderequality #WFGM20',474,29.9,45,0,,,
CHxi9L5qcDU,bnpparibas,2020-11-19 13:34:03.000000,yes,False,"b'genderequality,women,woman,quote,quoteoftheday,quotestagram,csr,rse,sky,univers,galaxy,paris,france'",b'womens_forum',"b'This year again, we are joining the Women\xe2\x80\x99s Forum Global Meeting as strategic partner. :folded_hands:\nIn the particular context of the Covid-19 health crisis, it is crucial to work toward a recovery that would be inclusive and more sustainable.  #genderequality @womens_forum\n\n#women #woman #quote #quoteoftheday #quotestagram #csr #rse #sky #univers #galaxy #paris #france'",520,29.9,59,1,,Women's Forum for the Economy & Society,None None
CHNl3Zsg374,bnpparibas,2020-11-05 14:26:14.000000,no,False,b'',b'loopsider',"b'What if it was you? \n\nThis series aims to share the different perspectives of people who are brought together by their commitment, conviction, and common effort to create a more united world. \n\nDon\xe2\x80\x99t miss the last episod on the previous IGTV post about our colleague A. Cippone (BNL) involved w/ NGO Agevolando to support care leavers in Italy :Italy:. These are young people, like social educator S. Marra, who leave foster homes to find themselves on their own.\n/@Loopsider'",0,0,78,2,,Italy,43.0 12.0
CHNlbXBqYXc,bnpparibas,2020-11-05 14:22:55.000000,yes,False,b'',b'loopsider',"b'In this episode, discover the story of our colleagueAndrea Cippone, ESG Risks, BNL :Italy: , who co-founded the NGO Agevolando to support care leavers. These are young people across Italy, like social educator Stefano Marra, who leave foster homes and other state institutions to find themselves on their own. \n\n\xe2\x80\x9cAnd what if it was you?\xe2\x80\x9d a collaboration with @loopsider powered by BNP Paribas.'",773,134.666,40,0,,,
CHNkVQoA9Fr,bnpparibas,2020-11-05 14:12:50.000000,no,False,"b'association,employee,rh,hr,instapic,potd'",b'loopsider',b'And what if it was you? \n\nEvery day our employees volunteer their time to many associations in order to build a better world. @loopsider followed 10 of them to share with us their commitment & show how they improve the lives of the others. \n\n:right_arrow_selector:bnpp.lk/LO \n\n:camera_with_flash: : Social Educator Stefano Marra at the NGO Agevolando\n\n#association #employee #rh #hr #instapic #potd',0,0,98,2,,Italy,43.0 12.0
CGr9ex6g1pP,bnpparibas,2020-10-23 12:58:24.000000,no,False,"b'art,fondation,soutien,creation,mecenat,artiste,artist'",b'fondationbnpp',"b'Belgian Flemish artist, teacher, dancer and choreographer Anne Teresa De Keersmaeker is a figurehead in the world of international choreography. \n\nHer latest solo creation \xe2\x80\x9cThe Goldberg Variations, BWV 988\xe2\x80\x9d which Anne Teresa De Keersmaeker performs herself, accompanied by pianist Pavel Kolesnikov, was presented first in France on 13 October at the Montpellier dance festival 40 bis.\n\nSince meeting the @fondationbnpp in 2013, a partnership based on the transmission of a cultural heritage has been built..\n.\n\n:copyright: Anne Van Aerschot\n\n.\n#art #fondation #soutien #creation #mecenat #artiste #artist'",0,0,83,3,,"Montpellier, France",43.6119 3.8772
CGr8RE7gVJL,bnpparibas,2020-10-23 12:47:48.000000,no,False,"b'art,dance,danse,artiste,potd,creation,artist,fondation,circus'","b'fondationbnpp,alexandervantournhout'","b'Supported by the @fondationbnpp since early 2020, the choreographer @alexandervantournhout and his company, presented the world premiere of Through the Grapevine, its new creation, on 3 October in Marseille.\n\nCircus?  Dance?  Alexander Vantournhout chose not to choose.  And he was right: in just a few years, the 30-something-year-old has become the contemporary scene\xe2\x80\x99s new sensation.\n\nHis creations put the bodies of his performers, including himself, through strenuous physical paces or bring them into relationships with unlikely objects in order to ""explore the creative and kinetic potential of physical limits"". \n.\n\n:copyright: Bart Grietens\n\n.\n#art #dance #danse #artiste #potd #creation #artist #fondation #circus'",0,0,62,0,,"Marseille, France",43.2905 5.4245
CGrj5l_A4n6,bnpparibas,2020-10-23 09:14:53.000000,no,False,"b'art,portrait,creation,mecenat,fondation,automne'","b'kaoriitohime,festivalavignon,fondationbnpp'","b'@kaoriitohime is a Japanese dancer and choreographer supported by the BNP Paribas Foundation since 2015 who has worked with the greatest choreographers of her generation. Based in France since the early 2000s, she has performed with many ballet companies worldwide. \n\nShe presented her new creation \xe2\x80\x9cChers\xe2\x80\x9d in october in Marseille. Kaori Ito created this piece working with letters that the dancers had written to their lost loved ones. Kaori Ito invites our ghosts on stage. Dancing to talk with the dead, to say goodbye and forgive the living. :ghost: :woman_dancing: \n\nDuring the \xe2\x80\x9cSemaine d\xe2\x80\x99Art en Avignon\xe2\x80\x9d organized by the @festivalavignon from 23 to 31 October another piece of the choreographer is programmed, \xe2\x80\x9cLe Tambour de Soie\xe2\x80\x9d co-written with Yoshi Oi\xcc\x88da, and inspired by a traditional No\xcc\x82 theatre play, a traditional Japanese theatre art.\n\nThe @fondationbnpp has supported the choreographer Kaori Ito and her company Hime\xcc\x81 aligned with its commitment to contemporary creation which is placed at the heart of its cultural philanthropy strategy. :clapping_hands: :folded_hands: \n.\n\n:copyright: Gregory Batardon\n\n.\n#art #portrait #creation #mecenat #fondation #automne'",0,0,102,0,,France,47.0 2.0
CGPSIRpqZXR,bnpparibas,2020-10-12 09:41:30.000000,yes,False,"b'teamjeunestalents,sport'","b'brutofficiel,wearetennis'",b'We are pleased to introduce you Jenny from the BNP Paribas Young Talent Team! She is 15 & she is ranked among the top 5 for 15/16 year old in France :France:. \n\n @brutofficiel followed her during her training :tennis:. #TeamJeunesTalents\n\n:right_arrow_selector: bnpp.lk/RG20 \n\n@wearetennis #sport',856,133.066,36,3,,,
