shortcode,username,date_utc,is_video,is_sponsored,hashtags,mentions,caption,video_view_count,video_length,likes,comments,likes+comments,location_name,location_latlong
CIV3cF3ldm2,bookingcom,2020-12-03 16:05:15.000000,no,False,b'',b'bookingcom',"b'With temperatures dropping to downright chilly, we\xe2\x80\x99re embracing the warmth of home - daydreaming of future travels as marshmallows slowly sink into our hot cocoa. But while we\xe2\x80\x99re preparing to hibernate, many animals around the world are living their best life during the cold weather.\n\n:snowflake_selector: Click the link in our bio to discover 5 winter wildlife destinations that are waiting to be explored once the time is right \xe2\x86\x92 @bookingcom :snowflake_selector:'",0,0,2011,66,,,
CH-vtrIpeiS,bookingcom,2020-11-24 16:35:13.000000,no,False,b'futureoftravel',b'bookingcom',"b'It\xe2\x80\x99s no surprise that travelling in the \xe2\x80\x9cnew normal\xe2\x80\x9d will look a bit different than before. More than three-quarters (79%) of travellers will take more health and safety precautions during future trips, while over half of them will avoid travelling to specific destinations altogether.\n\nKeen to learn more on what the future of travel has in store? Tap the link in our bio to visit the full #FutureOfTravel report \xe2\x86\x92 @bookingcom'",0,0,2578,162,,"Bali, Indonesia",-8.50591 115.26015
CH0ZAMVJHdI,bookingcom,2020-11-20 16:04:22.000000,no,False,b'',b'',"b'Sure. We all love an exotic island getaway, surrounded by nothing but sunkissed, white sandy beaches and palm trees. But as the seasons change and temperatures start to drop, we just want to cozy up in front of the fireplace in a far-off winter wonderland.\n\nSo for those of you dreaming of snow-tipped vistas and blissful quiet, hit the link in our bio and discover 6 snowy islands that are waiting to be explored again once the time is right.'",0,0,3494,108,,,
CHk74AFHcIE,bookingcom,2020-11-14 16:01:13.000000,no,False,b'futureoftravel',b'bookingcom',"b""While value can be found in everything, bagging a bargain will become increasingly important for travellers in the years to come. Over half of our travel community (55%) says they're more likely to hunt down promotions and savings than ever before.\n\nClick the link in our bio to see how the #FutureOfTravel will continue to evolve \xe2\x86\x92 @bookingcom""",0,0,2678,134,,,
CHfzFv0pXtm,bookingcom,2020-11-12 16:08:16.000000,no,False,b'futureoftravel',b'bookingcom',b'Spending time at home only made us appreciate travel more. That\xe2\x80\x99s why:\n\n:globe_showing_Americas: 65% of travellers around the globe are excited about the possibility of travelling again\n:globe_showing_Europe-Africa: 61% won\xe2\x80\x99t take travel for granted in the future\n\nHead over to the link in our bio to discover how travel will continue to evolve over the years to come \xe2\x86\x92 @bookingcom #FutureOfTravel',0,0,3947,121,,,
CG7stVTlsqE,bookingcom,2020-10-29 15:39:45.000000,yes,False,b'americaisforeveryone',b'',"b'During a difficult year, including a global pandemic that is keeping us from experiencing travel the way we used to, it\xe2\x80\x99s time to remember that we don\xe2\x80\x99t need to travel far to rediscover some of the international cultures that unite the U.S. as a nation. #AmericaIsForEveryone'",19063,6.0,894,277,,,
CG0Axh9hy_d,bookingcom,2020-10-26 16:01:15.000000,no,False,b'americaisforeveryone',b'',"b'#AmericaIsForEveryone\n\nWe\xe2\x80\x99re inviting Americans to reconnect with some of the cultures and places that unite the U.S. as a nation. We\xe2\x80\x99ve partnered with 10 properties across the country that celebrate some of the amazing cultures from around the world right in their own backyard.\n\nFrom a traditional Dutch inn to converted lofts to a pagoda-inspired hotel, all 10 experiences open for limited bookings exclusively through Booking.com on Nov. 16. Click the link in our bio for full details.\n\nWe advise travelers to follow any travel advice updates from local government and health organizations, including state-to-state travel regulations.'",0,0,2700,180,,"Honolulu, Hawaii",21.3086 -157.8615
CGpsyawl0RY,bookingcom,2020-10-22 15:54:12.000000,no,False,b'futureoftravel',b'',"b'We\xe2\x80\x99re building a new future -- finding innovative, sustainable ways to experience the world and satisfy our wanderlust in the face of disruption.\n\nTap the link in our bio to discover our new Future of Travel report, including 9 trends that will continue to evolve our travel behaviour over the years to come. #FutureOfTravel'",0,0,2813,145,,,
CGkjxhhFS9O,bookingcom,2020-10-20 15:59:14.000000,no,False,b'futureoftravel',b'',"b'Today we\xe2\x80\x99re excited to share our new Future of Travel report, which encapsulated the data insights of over 20,000 travellers across 28 countries and territories into nine accessible predictions. Hit the link in our bio to uncover the trends that will shape the way we experience the world in the year ahead, and beyond. #FutureOfTravel'",0,0,2618,59,,,
CGSfOziJeXR,bookingcom,2020-10-13 15:33:13.000000,no,False,b'explorenextdoor',b'scottcrabtreepix',"b'From 4 months in 4 walls to 4 weeks with no walls.\n\nCampsites became a top trending accommodation type for Australian travellers this winter. It\xe2\x80\x99s easy to see why when you get easy access to views like this, captured by by Aussie traveller @scottcrabtreepix :smiling_face_with_heart-eyes:\n\nHappiness isn\xe2\x80\x99t measured in miles. #ExploreNextDoor'",0,0,3010,108,,,
