shortcode,username,date_utc,is_video,is_sponsored,hashtags,mentions,caption,video_view_count,video_length,likes,comments,likes+comments,location_name,location_latlong
CANvLh1HIF-,boschamazon,2020-05-15 16:08:06.000000,yes,False,b'boschamazon',b'',"b""Bosch may be relentless, but there are some lines he won't cross. Can J. Edgar say the same? #BoschAmazon""",6893,59.233,1032,107,,,
CAIu__UnYdn,boschamazon,2020-05-13 17:30:18.000000,yes,False,b'boschamazon',b'',b'Closure is complicated. #BoschAmazon',4791,47.233,697,23,,,
CAIoAv7H1q0,boschamazon,2020-05-13 16:29:01.000000,no,False,b'boschamazon',"b'aquino_amy,tituswelliverofficial,amazonlive'",b'Consider this an active investigation. Head over to our stories to hear @aquino_amy and @tituswelliverofficial discuss #BoschAmazon on @amazonlive.',0,0,966,13,,,
B_-SDGbHO5s,boschamazon,2020-05-09 16:04:59.000000,yes,False,b'boschamazon',b'',"b""Bosch has the right questions. J. Edgar just isn't ready to give up the information. #BoschAmazon""",6673,59.4,1143,58,,,
B_5ISgaJNg2,boschamazon,2020-05-07 16:03:28.000000,yes,False,b'boschamazon',b'',"b""This isn't the first time a cop has needed Honey Chandler's support. #BoschAmazon""",4881,59.5,694,19,,,
B_2jnNKJ2Wi,boschamazon,2020-05-06 16:04:15.000000,no,False,b'boschamazon',b'',"b'Maddie Bosch works for justice, not a rigged system. #BoschAmazon'",0,0,2026,57,,,
B_z-tGqpnum,boschamazon,2020-05-05 16:03:28.000000,yes,False,b'boschamazon',b'',b'Some cases are more personal than others. #BoschAmazon',5981,52.533,1056,30,,,
B_xaBe1p0fe,boschamazon,2020-05-04 16:04:15.000000,no,False,b'boschamazon',b'',"b""If there's one truth that Bosch knows, it's that the evidence doesn't lie. #BoschAmazon""",0,0,1578,26,,,
B_pysGZps0b,boschamazon,2020-05-01 17:06:06.000000,yes,False,b'boschamazon',b'',"b""You can't lock up an innocent person under the presumption of guilt. #BoschAmazon""",6765,59.5,959,42,,,
B_nHCBwHWqf,boschamazon,2020-04-30 16:05:54.000000,no,False,"b'internationaljazzday,boschamazon'",b'',"b""Time to pull out the vinyl. Listen to Bosch's personal favorites this #InternationalJazzDay. Link in bio. #BoschAmazon""",0,0,3756,178,,,
B_lIMo4BcNx,boschamazon,2020-04-29 21:37:36.000000,no,False,b'boschamazon',b'',"b'Hollywood Homicide is always watching over LA, and you can too. Stay connected to the case with these #BoschAmazon Zoom backgrounds.'",0,0,2817,88,,,
B_kiFMRnKtC,boschamazon,2020-04-29 16:04:32.000000,no,False,b'boschamazon',b'',"b'Bosch will follow the evidence, no matter whose lane it crosses. #BoschAmazon'",0,0,1922,54,,,
B_h9N9CHBK7,boschamazon,2020-04-28 16:03:57.000000,no,False,b'boschamazon',b'',b'J. Edgar needs to trust his instincts to figure out where this homicide leads. #BoschAmazon',0,0,1616,58,,,
B_fYxi3J0fT,boschamazon,2020-04-27 16:07:17.000000,yes,False,b'boschamazon',b'',"b""Just because Daisy's file was closed doesn't mean Bosch has forgotten. #BoschAmazon""",4309,59.5,872,36,,,
B_aPJSHJH1E,boschamazon,2020-04-25 16:06:47.000000,yes,False,b'boschamazon',b'',b'Weakness is there if you know where to look. #BoschAmazon',7337,10.033,1995,46,,,
B_XqQ-3HKZM,boschamazon,2020-04-24 16:06:12.000000,yes,False,b'boschamazon',b'',b'There\xe2\x80\x99s nowhere to run when J. Edgar and Bosch are on your tail. #BoschAmazon',7583,54.366,1738,64,,,
