shortcode,username,date_utc,is_video,is_sponsored,hashtags,mentions,caption,video_view_count,video_length,likes,comments,likes+comments,location_name,location_latlong
CH0RqrABz05,bouyguestelecom,2020-11-20 15:00:07.000000,no,False,b'',b'oksanafiammingo',"b'Pour finir cette semaine en beaute\xcc\x81 @oksanafiammingo nous emme\xcc\x80ne en Haute-Savoie a\xcc\x80 Sciez,:national_park: dans ce magnifique paysage aux couleurs d\xe2\x80\x99automne :maple_leaf:. Merci pour ces belles photos :smiling_face_with_smiling_eyes:\nBouygues Telecom est le re\xcc\x81seau mobile nume\xcc\x81ro 1 en France en zones rurales.'",0,0,118,58,,Sciez Haute Savoie,48.2330969069 4.1766651966
CHuqAp2hoh8,bouyguestelecom,2020-11-18 10:37:23.000000,no,False,b'',b'oksanafiammingo',"b""On continue la semaine avec les superbes photos coup de :red_heart: de @oksanafiammingo. Elle nous emm\xc3\xa8ne aujourd'hui au lac d'Annecy, magnifique endroit pour se ressourcer. \nBouygues Telecom est le r\xc3\xa9seau mobile n\xc2\xb01 en France en zones rurales.""",0,0,159,27,,Lac d'Annecy,45.89936237 6.1278811228
CHr97OBhrKq,bouyguestelecom,2020-11-17 09:33:41.000000,no,False,b'',b'oksanafiammingo',"b""Cette semaine, c'est au tour de @oksanafiammingo de nous faire d\xc3\xa9couvrir son univers :mountain::mount_fuji: \nElle partage avec nous ses endroits favoris de France. Commen\xc3\xa7ons la semaine par la belle r\xc3\xa9gion des Alpes, entre montagne et lac. \nBouygues Telecom est le r\xc3\xa9seau mobile n\xc2\xb01 en France, en zones rurales.""",0,0,173,10,,Alpes,None None
CHQMBTghYkd,bouyguestelecom,2020-11-06 14:38:07.000000,no,False,b'',b'lespetitesmodeuseslilloises',"b'On termine la semaine en beaut\xc3\xa9 avec la magnifique photo de @lespetitesmodeuseslilloises , prise dans le nord de la France. \nMerci pour ces belles photos qui nous donnent le sourire et nous permettent de s\xe2\x80\x99\xc3\xa9vader. RDV la semaine prochaine pour en d\xc3\xa9couvrir plus encore :smiling_face_with_smiling_eyes:\n\nBouygues Telecom est le r\xc3\xa9seau mobile num\xc3\xa9ro 1 en France en zones rurales.'",0,0,132,26,,Cap Gris-Nez,50.8639772939 1.5920896081
CHLCWvwh9tg,bouyguestelecom,2020-11-04 14:37:27.000000,no,False,b'',b'lespetitesmodeuseslilloises',"b'On continue de vous faire voyager avec nous au bord de la mer cette semaine gr\xc3\xa2ce \xc3\xa0 @lespetitesmodeuseslilloises qui nous partage ses souvenirs \xc3\xa0 Leffrinckoucke, dans le Nord de la France :star-struck: \n\nBouygues Telecom est le r\xc3\xa9seau mobile num\xc3\xa9ro 1 en France en zones rurales.'",0,0,124,8,,Leffrinckoucke,51.052 2.4413
CHFz7Lthdr0,bouyguestelecom,2020-11-02 13:55:09.000000,no,False,b'',b'lespetitesmodeuseslilloises',"b'Cette semaine, pour s\xe2\x80\x99\xc3\xa9vader un peu, on vous fait voyager a\xcc\x80 travers les tre\xcc\x80s belles photos de\n@lespetitesmodeuseslilloises, qui nous partage sa belle re\xcc\x81gion : le Nord, au Cap Blanc Nez :anchor:\n\nBouygues Telecom est le re\xcc\x81seau mobile nume\xcc\x81ro 1 en France en zones rurales.'",0,0,201,11,,Cap Blanc-Nez,50.9248973901 1.7097153186
CGzNLzXBOE1,bouyguestelecom,2020-10-26 08:30:19.000000,no,False,"b'pays4ges,4gbouygues'",b'jedism_blog',"b'Merci \xc3\xa0 @jedism_blog pour le partage de son petit coin de paradis en Normandie :umbrella_on_ground::dove: Partons \xc3\xa0 la d\xc3\xa9couverte des plus beaux #Pays4Ges de France couverts en #4GBouygues \n\nBouygues Telecom est le r\xc3\xa9seau mobile num\xc3\xa9ro 1 en France, en zones rurales'",0,0,133,21,,"Gouville-Sur-Mer, Basse-Normandie, France",49.09733 -1.58101
CGnIu_jB9mU,bouyguestelecom,2020-10-21 16:00:32.000000,no,False,b'',b'byoceane_',"b'Aujourd\xe2\x80\x99hui, c\xe2\x80\x99est @byoceane_ qui nous  partage son petit coin de paradis, dans le Gard :mount_fuji: Merci beaucoup pour le partage et n\xe2\x80\x99h\xc3\xa9sitez pas vous aussi \xc3\xa0 nous partager votre endroit pr\xc3\xa9f\xc3\xa9r\xc3\xa9 dans vos r\xc3\xa9gions :camera_with_flash::selfie:\n\nBouygues Telecom est le r\xc3\xa9seau mobile num\xc3\xa9ro 1 en France en zones rurales.'",0,0,159,21,,Département Du Gard,43.7306720951 4.4856837016
CGh00SFBslx,bouyguestelecom,2020-10-19 14:30:18.000000,no,False,b'4gbouygues',b'reepetite',"b'On continue cette semaine de vous faire voyager \xc3\xa0 travers les plus belles r\xc3\xa9gions de France couvertes en #4GBouygues. \nAujourd\xe2\x80\x99hui, le beau Lac des corbeaux dans l\xe2\x80\x99Est de la France. Merci @reepetite pour le partage :smiling_face_with_smiling_eyes: \n\nBouygues Telecom est le r\xc3\xa9seau mobile num\xc3\xa9ro 1 en France en zones rurales.'",0,0,111,14,,Lac des Corbeaux,47.9930555556 6.9058333333
CGZ_SiLhHyY,bouyguestelecom,2020-10-16 13:27:53.000000,no,False,b'',b'diapontika',"b'Aujourd\xe2\x80\x99hui on vous emm\xc3\xa8ne dans le Sud de la France, en Midi-Pyr\xc3\xa9n\xc3\xa9es :sun_selector::snow-capped_mountain:\nMerci @diapontika pour le partage de cette superbe photo de notre belle campagne fran\xc3\xa7aise. \nN\xe2\x80\x99h\xc3\xa9sitez pas, vous aussi, partagez votre endroit coup de coeur en France. \n\nBouygues Telecom est le r\xc3\xa9seau mobile num\xc3\xa9ro 1 en France en zones rurales.'",0,0,129,7,,"Midi-Pyrenees, France",42.8719644773 1.5635420553
CGVFnrnCPje,bouyguestelecom,2020-10-14 15:47:00.000000,no,False,b'4gbouygues',b'lafilleensneakers',b'A la d\xc3\xa9couverte des r\xc3\xa9gions de France couvertes en #4GBouygues et aujourd\xe2\x80\x99hui on repartage la tr\xc3\xa8s belle photo de coucher de soleil de @lafilleensneakers dans sa r\xc3\xa9gion :camera_with_flash:\n\nBouygues Telecom est le r\xc3\xa9seau mobile num\xc3\xa9ro 1 en zones rurales',0,0,105,14,,Loire-Atlantique,47.3333333333 -1.6666666667
CGPwUPDhU-J,bouyguestelecom,2020-10-12 14:04:38.000000,no,False,b'',b'lamaisondejenn',b'Cette semaine on repartage vos endroits favoris dans vos d\xc3\xa9partements de France. \n@lamaisondejenn nous fait d\xc3\xa9couvrir son coin pr\xc3\xa9f\xc3\xa9r\xc3\xa9 dans l\xe2\x80\x99Ain et son histoire :sheaf_of_rice: \nMerci beaucoup et n\xe2\x80\x99h\xc3\xa9sitez pas \xc3\xa0 nous partager vous aussi vos petits endroits coup de :red_heart_selector: de vos r\xc3\xa9gions. \n\nBouygues Telecom est le r\xc3\xa9seau mobile num\xc3\xa9ro 1 en France en zones rurales.',0,0,181,16,,Ain,46.0833333333 5.3333333333
CGHnitXCST0,bouyguestelecom,2020-10-09 10:14:16.000000,yes,False,b'4gbouygues',b'',b'On explore les plus belles r\xc3\xa9gions de France couvertes en #4GBouygues et on vous fait d\xc3\xa9couvrir ces belles couleurs des champs du Gers pour vous faire oublier la grisaille :bouquet::sun:\n\nBouygues Telecom est le r\xc3\xa9seau mobile n\xc2\xb01 en France en zones rurales.',811,10.006,80,10,,Le Gers,43.63596 0.58343
CGC0OTMKO1L,bouyguestelecom,2020-10-07 13:28:59.000000,yes,False,b'pays4ge',b'',"b""Aujourd'hui, d\xc3\xa9couvrez avec nous le tr\xc3\xa8s beau #Pays4Ge de Brouilh-Monbert, magnifique petite commune du Gers :bouquet:\n\nBouygues Telecom est le r\xc3\xa9seau mobile n\xc2\xb01 en France en zones rurales.""",748,10.006,84,9,,Le Brouilh-Monbert,43.6680555556 0.3947222222
CF9z9CiCslD,bouyguestelecom,2020-10-05 14:50:26.000000,yes,False,b'pays4ge',b'',"b'Champs \xc3\xa0 perte de vue, soleil, magnifique #Pays4Ge, douce musique... souvenir de vacances dans le Gers. D\xc3\xa9couvrez avec nous cette semaine cette tr\xc3\xa8s belle r\xc3\xa9gion de France.\n\nBouygues Telecom est le r\xc3\xa9seau mobile n\xc2\xb01 en France en zones rurales.'",878,10.006,91,6,,Le Gers,43.63596 0.58343
CF2H812Cefl,bouyguestelecom,2020-10-02 15:12:21.000000,yes,False,b'pays4ge',b'',"b""On vous partage cette derni\xc3\xa8re photo prise dans le d\xc3\xa9partement de l'Aude. Nature, soleil, champ de tournesols... tout est r\xc3\xa9uni pour capturer la plus belle photo :sun:\n\nBouygues Telecom est le r\xc3\xa9seau mobile n\xc2\xb01 en zones rurales pour la 2\xc3\xa8me ann\xc3\xa9e cons\xc3\xa9cutive. #Pays4Ge""",956,10.006,81,12,,Département de l'Aude,43.2316132904 2.3521379179
CFw8MmXCzDd,bouyguestelecom,2020-09-30 14:52:24.000000,yes,False,b'pays4ges',b'',"b""On d\xc3\xa9couvre les plus beaux #Pays4Ges de l'Aude, avec ce petite coin de paradis \xc3\xa0 Fabrezan, photo souvenir d'un instant de calme au bord de la rivi\xc3\xa8re :fishing_pole:\n\nBouygues Telecom est le r\xc3\xa9seau mobile n\xc2\xb01 en zones rurales pour la 2\xc3\xa8me ann\xc3\xa9e cons\xc3\xa9cutive.""",865,10.006,70,10,,Fabrezan,43.13699 2.69982
CFr595KiILE,bouyguestelecom,2020-09-28 15:57:23.000000,yes,False,b'pays4ges',b'',"b""De\xcc\x81couvrez avec nous cette semaine les tre\xcc\x80s beaux #Pays4Ges de l'Aude. Aujourd'hui on vous emme\xcc\x80ne du co\xcc\x82te\xcc\x81 de Saint-Laurent-de-la-Cabrerisse, petit village plein de charme. \n\nBouygues Telecom est le re\xcc\x81seau mobile nume\xcc\x81ro 1 en zones rurales pour la 2e\xcc\x80me anne\xcc\x81e conse\xcc\x81cutive.""",853,10.006,78,7,,Saint-Laurent-de-la-Cabrerisse,43.08458 2.69981
CFj8ILjii5n,bouyguestelecom,2020-09-25 13:41:39.000000,yes,False,b'pays4ge',b'',"b""On vous emme\xcc\x80ne encore une fois a\xcc\x80 Saint-Hilaire-de-Riez en Vende\xcc\x81e, pour profiter d'un petit moment d'e\xcc\x81vasion devant ce beau #Pays4Ge:smiling_face_selector:\n\nBouygues Telecom est le re\xcc\x81seau mobile nume\xcc\x81ro 1 en zones rurales pour la 2e\xcc\x80me anne\xcc\x81e conse\xcc\x81cutive.""",1008,10.006,81,7,,"Saint-Hilaire-De-Riez, Pays De La Loire, France",46.72275 -1.94685
CFg4hBgiMRb,bouyguestelecom,2020-09-24 09:12:16.000000,yes,False,b'pays4ges',b'',"b""On vous emme\xcc\x80ne aujourd'hui a\xcc\x80 la de\xcc\x81couverte des #pays4ges de Vende\xcc\x81e, a\xcc\x80 la pointe du Payre\xcc\x81 ou\xcc\x80 l'on profite encore un peu des instants de beau temps :sun: :anchor: \n\nBouygues Telecom est le re\xcc\x81seau mobile nume\xcc\x81ro 1 en zones rurales pour la 2e\xcc\x80me anne\xcc\x81e conse\xcc\x81cutive.""",1115,10.006,103,12,,Pointe du Payré,46.42016 -1.59861
CFZ6UDsivv8,bouyguestelecom,2020-09-21 16:15:33.000000,yes,False,b'pays4ges',b'',"b'Cette semaine, on vous fait de\xcc\x81couvrir le de\xcc\x81partement de la Vende\xcc\x81e et ses beaux #Pays4Ges de bord de mer :anchor: Comme un petit air de vacances a\xcc\x80 Saint-Hilaire-de-Riez :smiling_face_selector: \n\nBouygues Telecom est le re\xcc\x81seau mobile nume\xcc\x81ro 1 en zones rurales pour la 2e\xcc\x80me anne\xcc\x81e conse\xcc\x81cutive.'",1145,10.006,89,9,,"Saint-Hilaire-De-Riez, Pays De La Loire, France",46.72275 -1.94685
CFR-Snmi8zP,bouyguestelecom,2020-09-18 14:14:49.000000,yes,False,b'pays4ge',b'',"b""Avant le week-end, on vous partage cette superbe photo prise dans les hauteurs du d\xc3\xa9partement de l'Ain :mountain: Impossible de ne pas immortaliser ce beau #Pays4Ge. \n\nBouygues Telecom est le r\xc3\xa9seau mobile N\xc2\xb01 en France en zones rurales pour la 2\xc3\xa8me ann\xc3\xa9e cons\xc3\xa9cutive.""",1190,10.006,98,26,,Ain,46.0833333333 5.3333333333
CFOtkT-CT3n,bouyguestelecom,2020-09-17 07:50:21.000000,yes,False,"b'pays4ges,4gbouygues'",b'',"b""D\xc3\xa9couverte en hauteur du beau d\xc3\xa9partement de l'Ain et de ses magnifiques #Pays4Ges couverts en #4GBouygues :sunrise_over_mountains: :mobile_phone:\n\nBouygues Telecom est le r\xc3\xa9seau mobile N\xc2\xb01 en France en zones rurales pour la 2\xc3\xa8me ann\xc3\xa9e cons\xc3\xa9cutive.""",1068,10.006,84,11,,Ain,46.0833333333 5.3333333333
CFHg1QdizF-,bouyguestelecom,2020-09-14 12:45:07.000000,yes,False,"b'pays4ges,4gbouygues'",b'',"b""D\xc3\xa9couvrez avec nous les plus beaux #Pays4Ges de France couverts en #4GBouygues. Cette semaine on vous fait voyager dans un superbe d\xc3\xa9partement : l'Ain. \n\nBouygues Telecom est le r\xc3\xa9seau mobile N\xc2\xb01 en France en zones rurales pour la 2\xc3\xa8me ann\xc3\xa9e cons\xc3\xa9cutive.""",62330,10.006,337,12,,Ain,46.0833333333 5.3333333333
