shortcode,username,date_utc,is_video,is_sponsored,hashtags,mentions,caption,video_view_count,video_length,likes,comments,likes+comments,location_name,location_latlong
CIGGZ6YHwB0,braskemsa,2020-11-27 13:08:40.000000,yes,False,b'',b'',"b'O pl\xc3\xa1stico est\xc3\xa1 presente em v\xc3\xa1rios momentos das nossas vidas, trazendo diversos benef\xc3\xadcios. Por isso, al\xc3\xa9m de consumir com consci\xc3\xaancia, \xc3\xa9 essencial fazer o descarte adequado. Assim, o que era res\xc3\xadduo vira mat\xc3\xa9ria-prima reciclada e o pl\xc3\xa1stico segue transformando a sociedade. Para saber mais, acesse o link em nossa bio.'",3671,30.05,769,53,,,
CH0D-hzn7tH,braskemsa,2020-11-20 13:00:29.000000,no,False,b'',b'',"b'Hoje \xc3\xa9 dia de refletirmos sobre o papel de cada um de n\xc3\xb3s para a elimina\xc3\xa7\xc3\xa3o do racismo e refor\xc3\xa7amos nosso compromisso de aumentar a representatividade interna e tornar a Braskem cada vez mais inclusiva. Mais do que garantir um ambiente de trabalho livre de preconceito e discrimina\xc3\xa7\xc3\xa3o, queremos inspirar cada indiv\xc3\xadduo a fazer sua parte para a acabar com o racismo em nosso dia a dia. Acreditamos que com o comprometimento coletivo, podemos construir uma sociedade melhor para todos.'",0,0,1226,109,,,
CGYqeQ3F5e8,braskemsa,2020-10-16 01:06:44.000000,no,False,b'',b'',b'Voc\xc3\xaa sabia que o impacto ambiental de um produto pode estar em diferentes etapas do seu ciclo de vida? Arraste e conhe\xc3\xa7a.',0,0,641,94,,,
CGJEWuUF0Yu,braskemsa,2020-10-09 23:45:03.000000,no,False,"b'juntosparatransformar,paixa,consumoconsciente'",b'',"b'Economia circular \xc3\xa9 pensar em um produto do come\xc3\xa7o ao fim de sua vida, focando sempre na reutiliza\xc3\xa7\xc3\xa3o, redu\xc3\xa7\xc3\xa3o, recupera\xc3\xa7\xc3\xa3o e reciclagem de materiais e energia :recycling_symbol_selector:. E o mais interessante \xc3\xa9 que voc\xc3\xaa pode levar esse conceito para o seu dia a dia e praticar o consumo consciente. Com pequenas a\xc3\xa7\xc3\xb5es podemos gerar um melhor impacto no mundo. Arrasta pra ver :nerd_face:.\n\n#JuntosParaTransformar\n#Paixa\xcc\x83oPorTransformar \n#ConsumoConsciente'",0,0,954,20,,,
CFfNIP0lt87,braskemsa,2020-09-23 17:33:37.000000,no,False,b'',b'',"b'Aqui na Braskem acreditamos que grandes transforma\xc3\xa7\xc3\xb5es partem de pessoas inquietas. E a diversidade entre essas pessoas \xc3\xa9 a chave para chegarmos \xc3\xa0s melhores solu\xc3\xa7\xc3\xb5es sustent\xc3\xa1veis que sempre buscamos. \xc3\x89 por isso que convidamos universit\xc3\xa1rios negros de todo o pa\xc3\xads a participarem de uma semana rica em conte\xc3\xbado e inclus\xc3\xa3o. Vamos apresent\xc3\xa1-los ao Programa de Est\xc3\xa1gio Braskem e ainda dar dicas profissionais valiosas para quem est\xc3\xa1 querendo entrar no mercado de trabalho. N\xc3\xa3o perca, inscreva-se pelo link da bio!'",0,0,945,76,,,
CFcJJ6wFSae,braskemsa,2020-09-22 13:01:10.000000,no,False,b'',b'',"b'Um grande orgulho \xc3\xa9 fazer parte deste time.\n\nA equipe brasileira de paratletismo \xc3\xa9 uma das melhores do mundo. E estar ao lado deles dentro e fora das pistas nos enche de alegria. N\xc3\xb3s seguimos aqui transformando pl\xc3\xa1stico em inova\xc3\xa7\xc3\xa3o. E eles, suor em conquistas.\n\nDeixe uma mensagem aos nossos campe\xc3\xb5es: link na bio.'",0,0,478,15,,,
CE7ZIAUgJ5X,braskemsa,2020-09-09 19:46:22.000000,yes,False,b'',b'',b'Voc\xc3\xaa quer transformar o mundo? Ao lado de pessoas que n\xc3\xa3o s\xc3\xa3o todas iguais? Inscreva-se no Programa de Est\xc3\xa1gio Braskem 2021.',17991,30.033,1714,179,,,
CEmSr8ZFi6X,braskemsa,2020-09-01 15:05:28.000000,no,False,b'',b'',b'Venha transformar o mundo com a Braskem! As inscri\xc3\xa7\xc3\xb5es para o Programa de Est\xc3\xa1gio Braskem 2021 abrem no dia 9 de setembro.',0,0,2376,240,,,
CDcOSp1lGBB,braskemsa,2020-08-03 20:43:16.000000,no,False,b'',b'',"b'Estamos muito felizes em sermos reconhecidos como a 3\xc2\xaa melhor empresa para estagiar, segundo o 11\xc2\xba Pr\xc3\xaamio CIEE Melhores Programas de Est\xc3\xa1gio.\n\nO reconhecimento \xc3\xa9 resultado de uma pesquisa realizada com os(as) nossos(as) estagi\xc3\xa1rios(as) que avalia quest\xc3\xb5es como: perspectivas de carreira, desenvolvimento, satisfa\xc3\xa7\xc3\xa3o e demais aspectos relacionados \xc3\xa0 empresa. \xc3\x89 a paix\xc3\xa3o por transformar presente em todos os n\xc3\xadveis da empresa.'",0,0,1337,112,,,
CB-9YOLlmrE,braskemsa,2020-06-28 15:26:07.000000,no,False,b'',b'',"b'Uma das miss\xc3\xb5es da Braskem \xc3\xa9 de colaborar com uma sociedade melhor para as gera\xc3\xa7\xc3\xb5es atuais e futuras. \xc3\x89 por isso que, no Dia Internacional do Orgulho LGBTQIA+, refor\xc3\xa7amos o nosso compromisso de promover um ambiente de trabalho cada dia mais diverso e inclusivo.'",0,0,703,72,,,
CBDiLwBlmJL,braskemsa,2020-06-05 13:33:17.000000,no,False,b'',b'',"b'Uma conviv\xc3\xaancia harm\xc3\xb4nica com a natureza, em todos os seus n\xc3\xadveis. \xc3\x89 isso que n\xc3\xb3s buscamos dia ap\xc3\xb3s dia como nossa contribui\xc3\xa7\xc3\xa3o na preserva\xc3\xa7\xc3\xa3o da biodiversidade. Esses s\xc3\xa3o alguns de nossos compromissos com o meio ambiente: \xe2\x80\xa2 Desenvolvimento de iniciativas voltadas \xc3\xa0 preserva\xc3\xa7\xc3\xa3o da fauna e flora no entorno das nossas unidades.\n\xe2\x80\xa2 Educa\xc3\xa7\xc3\xa3o ambiental para crian\xc3\xa7as e jovens.\n\xe2\x80\xa2 Contribui\xc3\xa7\xc3\xa3o para implementa\xc3\xa7\xc3\xa3o dos Objetivos de Desenvolvimento Sustent\xc3\xa1vel da ONU.'",0,0,700,66,,,
CBBDE5ullkr,braskemsa,2020-06-04 14:22:59.000000,no,False,b'',b'',"b'Os recentes casos de racismo trouxeram a\xcc\x80 tona a histo\xcc\x81rica luta da populac\xcc\xa7a\xcc\x83o negra contra o racismo e a viole\xcc\x82ncia. \nEste tipo de ac\xcc\xa7a\xcc\x83o vai totalmente contra ao que acreditamos como pilares de uma sociedade mais justa, diversa e igualita\xcc\x81ria. Nossa cultura tem como valor o ser humano e a sua diversidade, por isso reforc\xcc\xa7amos nosso apoio contra todos os tipos de discriminac\xcc\xa7a\xcc\x83o, especialmente o racismo. .\n.\n.\nThe recent cases of racism have brought to fore the age-old movement to combat racism and violence.\nThese kinds of incidents go completely against what we believe are the pillars of a more just, diverse and egalitarian society. A key value of our culture is individual people and their diversity, which is why we reinforce our support against these kinds of discrimination, especially racism.'",0,0,1001,36,,,
