shortcode,username,date_utc,is_video,is_sponsored,hashtags,mentions,caption,video_view_count,video_length,likes,comments,likes+comments,location_name,location_latlong
CHqjFn0Fxji,bridgestone,2020-11-16 20:19:56.000000,no,False,b'',b'',"b'The products created from natural rubber are reliant on the health and well-being of the natural environment, as well as the people who live in it. As a renewable resource, Bridgestone is innovating to produce natural rubber in more sustainable ways. To learn more about our journey toward sustainable procurement, visit the link in our bio.'",0,0,42,0,,,
CHlYlgeFilO,bridgestone,2020-11-14 20:11:58.000000,no,False,b'bsateammatetakeover',b'',"b'\xe2\x80\x9cI became a member of the Bridgestone Americas Veterans Organization (BRAVO) pretty soon after I joined the company. To be a BRAVO member you do not have to have served- anyone at Bridgestone who supports the Military is encouraged to join. We want BRAVO to be a strong community for our members. I hope that BRAVO shows our teammates and leaders the value veterans bring to an organization. In addition to supporting our teammates, BRAVO is involved with several organizations including the Pat Tillman Foundation, which is very near and dear to my heart as Pat Tillman is who inspired me to join the Military after 9/11.\xe2\x80\x9d \xe2\x80\x93 Jason #BSATeammateTakeover'",0,0,69,0,,,
CHip5GwlzZc,bridgestone,2020-11-13 18:45:28.000000,no,False,b'bsateammatetakeover',b'',"b'\xe2\x80\x9cI just celebrated my 3 year anniversary with Bridgestone, working in both our Firestone Building Products group and now on our consumer tire marketing team. I\xe2\x80\x99ve met some incredible people through my job and thanks to our employee resource groups, and I truly feel a sense of comfort and acceptance as a part of the Bridgestone team.\xe2\x80\x9d \xe2\x80\x93 Jason #BSATeammateTakeover'",0,0,56,0,,,
CHdmXKcFp85,bridgestone,2020-11-11 19:38:25.000000,no,False,"b'veteransday,bsateammatetakeover'",b'',"b'\xe2\x80\x9cThis #VeteransDay we honor the service and sacrifice of our military members, past and present, and their families and friends that support them. Each Veterans Day, I take time to reflect on the impact my teammates and colleagues in the Military have had on me, and how fortunate I have been to serve alongside our nation\xe2\x80\x99s best women and men. This year BRAVO sent care packages to several teammates, similar to the care packages military members would receive while away from home. Follow our stories today as I share what Veterans Day means to me and show you a day in my life.\xe2\x80\x9d \xe2\x80\x93 Jason #BSATeammateTakeover'",0,0,86,0,,,
CHbLvFwB84A,bridgestone,2020-11-10 21:08:57.000000,yes,False,"b'veteransday,bebridgestone,bsateammatetakeover'",b'',"b'We are proud to recognize Veterans Day this week and honor our teammates who have answered the call to serve. Jason Pfeffer, current Bridgestone Americas Veterans Organization (BRAVO) president, is taking over our accounts to share more about his career with Bridgestone, how we\xe2\x80\x99re celebrating #VeteransDay and BRAVO, our employee resource group for veteran and non-veteran teammates. Follow along to learn what it means to #BeBridgestone. #BSATeammateTakeover'",413,50.644,70,2,,"Nashville, Tennessee",36.1651 -86.7837
CHDyBELFZ6p,bridgestone,2020-11-01 19:00:00.000000,no,False,"b'swe,we20,practicecuriosity,bebridgestone'",b'',"b'We are proud to participate in #SWE for our seventh year! Visit us at our virtual booth during #WE20 to learn more about career opportunities in Engineering, IT and Manufacturing with Bridgestone. #PracticeCuriosity #BeBridgestone'",0,0,65,0,,,
CG-d1X-lOqX,bridgestone,2020-10-30 17:27:26.000000,no,False,b'',"b'indyachallenge,indianapolismotorspeedway'","b'We are proud to announce our partnership with @indyachallenge to help accelerate the new generation of mobility. Bridgestone will serve as the exclusive tire supplier for the world\xe2\x80\x99s first head-to-head, high-speed autonomous race at @indianapolismotorspeedway on October 23, 2021.'",0,0,75,1,,Indianapolis Motor Speedway,39.795 -86.2347222222
CG5WLtEF2Kw,bridgestone,2020-10-28 17:44:23.000000,no,False,b'bebridgestone',b'',"b'Bridgestone teammates are getting out the (early) vote! In anticipation of the Nov. 3 general election, teammates share selfies with their \xe2\x80\x9cI Voted\xe2\x80\x9d stickers and mail-in ballots to encourage others to #BeBridgestone and vote early. Check Vote.org to find out when and where you can cast your ballot on or before Election Day.'",0,0,102,1,,,
CG2z9w_HXAd,bridgestone,2020-10-27 18:07:13.000000,yes,False,b'',b'',"b'Through Our Way to Serve and its layers of impact, we will set an example for our industry and lead in sustainable mobility. To join our journey toward a more sustainable future, visit the link in our bio.'",549,20.214,117,1,,,
CGoEzgplr_E,bridgestone,2020-10-22 00:45:26.000000,no,False,b'',b'',"b'At the heart of the Maplewood High School Training Center is a fully-functioning Firestone Complete Auto Care store, complete with fixtures, equipment and point-of-sale software. The program gives students an opportunity to interact with customers and practice the skills they\xe2\x80\x99ve learned in the classroom such as oil changes, brake replacements and tire rotations. To learn about our extended partnership, click the link in our bio.'",0,0,104,5,,Maplewood High School (Tennessee),36.2319040585 -86.7498894097
