shortcode,username,date_utc,is_video,is_sponsored,hashtags,mentions,caption,video_view_count,video_length,likes,comments,likes+comments,location_name,location_latlong
CIYRyvpsPBL,brownforman,2020-12-04 14:33:52.000000,no,False,b'',"b'metrounitedway,familyscholarhouse'","b'Last month, Brown-Forman, @metrounitedway, and our GROW ERG partnered on a project at @familyscholarhouse that included meal donations, as well as toys and school supplies for the children of the residents. A team of 30 B-F employees also helped with landscaping and renovating the building\xe2\x80\x99s theatre area.'",0,0,190,2,,"Louisville, Kentucky",38.2525 -85.7554
CIWqYW3M4kF,brownforman,2020-12-03 23:30:16.000000,no,False,b'',b'eljimadortequila',b'You can try something different this holiday season with an @eljimadortequila Eggnog.\n\n1 part el Jimador Tequila\n4 parts Eggnog\n1/2 part  Ginger-flavored liqueur\nGarnish with cinnamon sticks',0,0,175,1,,,
CIQXxK-AfU8,brownforman,2020-12-01 12:52:29.000000,yes,False,b'bf150',b'',"b'In 1961, looking for the ideal bottle gift wrap, Brown-Forman worked with Raymond Lowey to develop the first square gift bag.\n\nWe\xe2\x80\x99re sharing all of our #BF150 stories in our IG Highlights.'",266,15.043,38,0,,,
CIF9Uo0g2D-,brownforman,2020-11-27 11:49:15.000000,yes,False,b'bf150',b'',"b'Since 1936, Brown-Forman employees have received a holiday bonus.\n\nWe\xe2\x80\x99re sharing all of our #BF150 stories in our IG highlights.'",267,15.043,48,1,,,
CIDVWzdgTPQ,brownforman,2020-11-26 11:22:09.000000,yes,False,b'bf150',b'oldforester',"b'In addition to cocktail recipes, @oldforester and other B-F brands have been used in many Thanksgiving meal dishes throughout the years.\n\nWe\xe2\x80\x99re sharing all of our #BF150 stories in our IG Highlights.'",194,15.043,46,0,,,
CIA-A6XAL7v,brownforman,2020-11-25 13:19:02.000000,yes,False,b'bf150',b'',"b'Launched in 2019, PAUSE encourages and empowers everyone at Brown-Forman to pause, consider, and make responsible decisions around alcohol - especially as we head into the holiday season.\n\nWe\xe2\x80\x99re sharing all of our #BF150 stories in our IG Highlights.'",207,15.043,44,0,,,
CH-amu-M5Zf,brownforman,2020-11-24 13:30:37.000000,no,False,b'',b'jackdaniels_us',"b'@jackdaniels_us has unveiled its annual Holiday Calendar which includes multiple bottles within Jack\xe2\x80\x99s portfolio, as well as some other gifts.\n\nLink in bio to learn more.'",0,0,211,2,,"Lynchburg, Tennessee",35.2831 -86.3742
CH7yv0hAySg,brownforman,2020-11-23 13:04:11.000000,yes,False,b'bf150',b'jackdaniels_us',"b'First released in 2012, @jackdaniels_us Sinatra Select pays tribute to Jack\xe2\x80\x99s biggest fan: Frank Sinatra.\n\nWe\xe2\x80\x99re sharing all of our #BF150 stories in our IG Highlights.'",317,15.043,49,1,,,
CHxew8fgYEo,brownforman,2020-11-19 12:57:17.000000,yes,False,b'bf150',b'',"b'For a time during the \xe2\x80\x9890s, Brown-Forman operated a full-service travel agency: B-F Travel.\n\nWe\xe2\x80\x99re sharing all of our #BF150 stories in our IG Highlights.'",262,15.043,52,0,,"Louisville, Kentucky",38.2525 -85.7554
CHvmWiEMZsv,brownforman,2020-11-18 19:24:40.000000,no,False,b'whiskeywednesday',"b'oldforester,semperfifund'","b'Last week, in honor of Veterans Day, @OldForester released ""Honoring Our Military \'20"" for pick up at Whiskey Row in Louisville.\n\nBottled at 100 proof, this Single Barrel Bourbon has notes of sweet dark cherry, vanilla custard, and baked apple. Sales of this speical offering supports the Old Forester donation to @semperfifund. #WhiskeyWednesday'",0,0,341,6,,"Louisville, Kentucky",38.2525 -85.7554
CHsZgEtgY8v,brownforman,2020-11-17 13:35:08.000000,yes,False,b'bf150',b'',"b'During WWII, Brown-Forman honored the holiday bonus for employees serving overseas.\n\nWe\xe2\x80\x99re sharing all of our #BF150 stories in our IG Highlights.'",231,15.043,39,0,,Kentucky,37.5 -85.0
CHpxrtSg0uG,brownforman,2020-11-16 13:08:39.000000,yes,False,b'bf150',b'',"b'In November of 1933, one month prior to the official Repeal of Prohibition in the US, the first whiskey was produced at our current campus.\n\nWe\xe2\x80\x99re sharing all of our #BF150 stories in our IG Highlights.'",311,15.043,68,0,,"Louisville, Kentucky",38.2525 -85.7554
CHi5WvAMntq,brownforman,2020-11-13 21:00:36.000000,no,False,b'veteransday',b'',"b""Earlier this week, Brown-Forman's Luke Whitehead and his father and Veteran, Mr. Eddie Whitehead, conducted a virtual seminar on diversity in the military, as well as reflecting on Mr. Whitehead\xe2\x80\x99s Air Force experience. #VeteransDay""",0,0,84,0,,,
CHiCNMRA8rX,brownforman,2020-11-13 12:59:13.000000,yes,False,b'bf150',b'',"b'As the weather gets cooler in Kentucky, the whiskey that had seeped into the porous wood shrinks and flows back into the liquid - aiding in the maturation process.\n\nWe\xe2\x80\x99re sharing all of our #BF150 stories in our IG Highlights.'",282,15.043,60,0,,Kentucky,37.5 -85.0
CHgpHVJFpBX,brownforman,2020-11-13 00:00:14.000000,no,False,b'',b'jackdaniels_us',"b'Over 60% of @Jackdaniels_Us Tennessee Whiskey volumes are international. Impressive, considering every drop is made in Lynchburg, TN - a town with a population of around 6,300 people.'",0,0,269,3,,,
CHfd6a0spX1,brownforman,2020-11-12 13:03:04.000000,no,False,b'',b'',"b'What does sustainability look like at Brown-Forman? Hear from Suzette Carty, Senior Manager Environmental Sustainability, in this recent interview with Environment + Energy Leader. Link in bio.'",0,0,135,0,,,
