shortcode,username,date_utc,is_video,is_sponsored,hashtags,mentions,caption,video_view_count,video_length,likes,comments,likes+comments,location_name,location_latlong
CHD8LZbhfSL,budweiser,2020-11-01 20:35:36.000000,yes,False,b'beaking',b'iamhalsey',b'From the streets of New York City to the biggest stages of the world. Check the link in bio for @iamhalsey full story :crown: #BeAKing',9328,5.633,1050,39,,,
CG-naz3BuoH,budweiser,2020-10-30 18:51:12.000000,no,False,b'beaking',b'iamhalsey',b'Crown the king :crown: @iamhalsey #BeAKing',0,0,2570,23,,,
CG2pQnaByrp,budweiser,2020-10-27 16:33:59.000000,yes,False,b'beaking',b'iamhalsey',b'Never give in :crown: #BeAKing @iamhalsey',4241,5.666,675,12,,,
CG0IVkFA69v,budweiser,2020-10-26 17:07:11.000000,no,False,"b'halsey,beaking'",b'iamhalsey',b':crown::crown::crown: #Halsey #BeAKing\n\nSee link in bio for @iamhalsey full story.',0,0,1432,8,,Halsey Street,40.685682 -73.915458
CGvMYtVh2Db,budweiser,2020-10-24 19:07:24.000000,yes,False,"b'halsey,beaking'",b'iamhalsey',b'Rolling through the weekend :crown: #Halsey #BeAKing \n\nSee link in bio for @iamhalsey full story.',9346,26.0,1535,13,,,
CGsVuAFAL5Y,budweiser,2020-10-23 16:30:12.000000,no,False,"b'halsey,beaking'",b'',b'Weekend ready :crown: #Halsey #BeAKing',0,0,1926,14,,,
CGnnChVh4QX,budweiser,2020-10-21 20:25:21.000000,no,False,"b'beaking,halsey'",b'iamhalsey',"b'""I found my name in signs and my motivation in the lights.""\xc2\xa0- @iamhalsey \n\nKings aren\'t made overnight #BeAKing #Halsey'",0,0,1865,8,,,
CGkrGWng567,budweiser,2020-10-20 17:03:41.000000,yes,False,"b'beaking,halsey'",b'',b':crown::crown::crown: #BeAKing #Halsey',5549,4.666,982,7,,Halsey Street,40.6857 -73.9155
CGiVm1WgCbo,budweiser,2020-10-19 19:16:49.000000,no,False,"b'nyc,halsey,beaking'",b'',b'From the streets of #NYC to the world\xe2\x80\x99s biggest stages #Halsey #BeAKing :crown:',0,0,1627,9,,,
CGfbemwgLup,budweiser,2020-10-18 16:10:24.000000,no,False,"b'beaking,halsey'",b'iamhalsey',b'\xe2\x80\x9cNew York City often felt like a kingdom in itself. I wrote songs on the subway that I later performed on a sold-out stage.\xe2\x80\x9d - @iamhalsey #BeAKing #Halsey \nSee link in Bio :crown:',0,0,3377,12,,,
CGc2_VwgCKp,budweiser,2020-10-17 16:13:05.000000,no,False,"b'beaking,halsey'",b'',b'From the streets of New York to the world\xe2\x80\x99s biggest stages. Kings aren\xe2\x80\x99t made overnight. See link in bio. #BeAKing #Halsey',0,0,6445,134,,Halsey St,40.6941273522 -73.9068294116
CGaQtF7jmhh,budweiser,2020-10-16 16:00:03.000000,no,False,"b'beaking,halsey'",b'',b'Start your weekend. Crown your weekend #beaking #halsey',0,0,5831,51,,,
CGXVD5fAhoM,budweiser,2020-10-15 12:41:08.000000,yes,False,b'beaking',b'',b'Budweiser x Halsey #BeAKing',4521,63.816,667,11,,,
CGU831lAN96,budweiser,2020-10-14 14:31:44.000000,yes,False,b'beaking',b'iamhalsey',b'Kings aren\xe2\x80\x99t made overnight @iamhalsey #BeAKing',11789,120.096,1240,36,,,
CGLMkPhDRqJ,budweiser,2020-10-10 19:35:21.000000,yes,False,"b'beaking,messi,kingofbeers'",b'',b'Staying busy during the international break :crown:\n#BeAKing #Messi #KingOfBeers',14515,2.9,1717,17,,,
CFmOR2NjT6N,budweiser,2020-09-26 10:58:31.000000,yes,False,"b'beaking,messi,kingofbeers'",b'',b'Return of the :crown: \n\n#BeAKing #Messi #KingOfBeers',6261,4.0,919,20,,"Barcelona, Spain",41.3894 2.1683
CFjtJXlDtHS,budweiser,2020-09-25 11:30:21.000000,no,False,b'beaking',b'',b'They said he was too small. #BeAKing',0,0,1944,20,,"Barcelona, Spain",41.3894 2.1683
CFUXk6vjpec,budweiser,2020-09-19 12:33:16.000000,yes,False,"b'kingofbeers,messi,beaking'",b'',b':crown: :SOON_arrow:\n\n#KingofBeers #Messi #BeAKing',6133,9.566,881,5,,,
CFPR7dpjz9z,budweiser,2020-09-17 13:07:49.000000,yes,False,"b'kingofbeers,messi,beaking'",b'',b'Never give up on Greatness\n\n#KingofBeers #Messi #BeAKing',13597,14.966,2148,18,,,
CFMqfdnA0rR,budweiser,2020-09-16 12:44:37.000000,no,False,"b'kingofbeers,messi,beaking'",b'',b'The King of Football x The King of Beers \n\nLimited Edition Messi bottles are coming :SOON_arrow:: \n\nAvailable to buy in: \nArgentina :Argentina: \nBrazil :Brazil: \nChile :Chile: \nChina :China: \nColombia :Colombia: \nIndia :India: \nRussia :Russia: \nSpain :Spain: \nVietnam :Vietnam: \n\n#KingOfBeers #Messi #BeAKing',0,0,15594,204,,,
