shortcode,username,date_utc,is_video,is_sponsored,hashtags,mentions,caption,video_view_count,video_length,likes,comments,likes+comments,location_name,location_latlong
CIYnUPJhnjW,burgerking,2020-12-04 17:41:57.000000,no,False,b'',b'',b'spend the holiday season with your loved ones\xe2\x80\xa6 like the 2 for $5. would you like to mix and match with that? would you like to mix and match with that?  order the 2 for $5 at BK. :Christmas_tree:',0,0,3466,67,,,
CIQ7zNlBtUI,burgerking,2020-12-01 18:07:01.000000,no,False,b'',b'',b'they\xe2\x80\x99re pretty excited too :grimacing_face:',0,0,11252,165,,,
CH_AUPlBaiy,burgerking,2020-11-24 19:00:09.000000,no,False,b'',b'',b'chicken nuggets have major aries energy',0,0,6525,257,,,
CHsrAEMlVbw,burgerking,2020-11-17 16:07:34.000000,no,False,b'',b'',b'craving a PS5:trade_mark: console? order the 2 for $5 deal at BK or on the BK app for the chance to win your very own PlayStation:registered: 5. \n\nRules: http://bk.com/ps5-sweeps',0,0,11543,195,,,
CHlXRVlBSRB,burgerking,2020-11-14 20:00:28.000000,no,False,b'',b'',b'subtle reminder the Impossible:trade_mark: Whopper is as good as you think it is',0,0,10964,210,,,
CHi5UqmB2pL,burgerking,2020-11-13 21:00:18.000000,no,False,b'',b'bosslogic',"b'they say life imitates art sooooo you know what to do. :artist_palette: @bosslogic \nget the 2 for $5 at BK, the BK app, or at BK.com for a chance to win a PS5:trade_mark: console.\n\xe2\x80\xa2\n\xe2\x80\xa2\n\xe2\x80\xa2\n\xe2\x80\xa2\nNO PURCH NEC. 48 contig. US & DC 18+. Ends 11/22. At part. U.S. rest. Details at bk.com/ps5-sweeps'",0,0,9269,107,,,
CHgCh5HFsDH,burgerking,2020-11-12 18:23:02.000000,no,False,b'',b'',b'collect ya mans',0,0,17747,369,,,
CHYD0ISl7ie,burgerking,2020-11-09 16:00:20.000000,no,False,b'',b'',"b'this could be you but you haven\xe2\x80\x99t ordered the 2 for $5 yet :face_with_rolling_eyes: decide on your duo and order the 2 for $5 at BK, on the BK app, or at BK.com for the chance to win a PS5:trade_mark: console. \n\nRules: bk.com/ps5-sweeps'",0,0,9164,212,,,
CG5Gb1yljZB,burgerking,2020-10-28 15:26:46.000000,no,False,b'',b'',"b'waiting for you to log-in :eyes:\nwhen you purchase a 2 for $5 at bk, on the bk app, or at bk.com, you have the chance to win a PS5:trade_mark: console too.\n\nRules: http://bk.com/ps5-sweeps'",0,0,7918,251,,,
CGxdzn-FE98,burgerking,2020-10-25 16:17:04.000000,no,False,b'',b'',b'that * crunch * has a nice ring to it',0,0,10602,874,,,
CGh8UL_lXeJ,burgerking,2020-10-19 15:36:25.000000,yes,False,b'',b'',"b'best :clapping_hands: unboxing :clapping_hands: video :clapping_hands: ever :clapping_hands: you have the chance to win a PlayStation:registered:5 console when you order a 2 for $5 at BK, on the BK app, or bk.com.\n\nRules: http://bk.com/ps5-sweeps'",37806,28.7,5035,512,,,
CGcurXFFMh5,burgerking,2020-10-17 15:00:27.000000,no,False,b'',b'',"b'in honor of the Whopper being all real, plz be honest with your tags :folded_hands:'",0,0,11196,619,,,
CGXwGDKlYvz,burgerking,2020-10-15 16:37:57.000000,yes,False,b'',b'',b'only the King could handle this many PS5:trade_mark: consoles. just order the 2 for $5 meal for a chance to take one off his hands.\n\xc2\xa0\n\nRules: http://bk.com/ps5-sweeps',39454,18.414,5440,354,,,
CGVNagshz3o,burgerking,2020-10-14 16:55:06.000000,no,False,b'',b'',"b'player ready? our 2 for $5 meal is. starting 10/15 just order a 2 for $5 at BK, on the BK app or bk.com for the chance to win your very own PlayStation:registered:5 console.\n\nRules: https://www.bk.com/ps5-sweeps'",0,0,10540,435,,,
CGQtwp7Fgw7,burgerking,2020-10-12 23:01:45.000000,yes,False,b'',b'',b'what\xe2\x80\x99s in the bag?',81209,15.01,12250,692,,,
CGKtGN5lPUq,burgerking,2020-10-10 15:00:18.000000,no,False,b'',b'',b':two_hearts::hamburger::two_hearts:',0,0,6205,158,,,
CGDLgocF-sK,burgerking,2020-10-07 16:52:25.000000,yes,False,b'',b'',"b'what\xe2\x80\x99s better\xe2\x80\xa6 dills on your Whopper or DEALS on your Whopper? here, have both. get exclusive dinner deal bundles delivered, only on the BK app. https://burgerking.app.link/UKkAhA7VZ9\n.\n.\n.\nLimited time only at participating U.S. restaurants on the BK:registered: App. Delivery valid on orders $10+. Additional fees apply. See bk.com/offer-terms.'",28875,6.0,4869,133,,,
CF15tDKlO9f,burgerking,2020-10-02 13:06:25.000000,no,False,b'',b'',b'it\xe2\x80\x99s actually :OK_hand:cWuh :OK_hand:sohn :OK_hand:wich',0,0,5555,137,,,
CFxOqb0l9Jz,burgerking,2020-09-30 17:33:21.000000,no,False,b'',b'',b'things to look forward to on Wednesdays:\n- a $2 Whopper on the BK app\n- being closer to Friday',0,0,7418,150,,,
CFury-clc2O,burgerking,2020-09-29 17:50:12.000000,no,False,b'',b'drpepper',b'the best things in life are three. get a Double Cheeseburger or Chicken Jr. BLT with fries and a @drpepper for just $3.',0,0,12789,203,,,
CFh70yKlCG6,burgerking,2020-09-24 19:00:08.000000,no,False,b'',b'',"b'ding dong. hear that? that could be the sound of a bundle deal, like this 2 for $5 deal, being delivered straight to your door. but only if you order on the BK app. get a move on, baby.\n.\n.\n.\n2 for $5 deal available for a limited time only at participating U.S. restaurants. prices may vary by market delivery valid on orders $10+. delivery fee may apply. not valid in AK and HI. see bk.com/offers and bk.com/offer-terms'",0,0,8627,218,,,
CFe1d13FZ2L,burgerking,2020-09-23 14:06:51.000000,no,False,b'',b'',"b'yep, that lettuce is real. so is the tomato. and the ketchup. and\xe2\x80\xa6 well, everything. the Whopper is made without any colors, flavors, or preservatives from artificial sources.\n.\n.\nat U.S. Burger King restaurants.'",0,0,7386,174,,,
CFPRHAUhvIp,burgerking,2020-09-17 13:00:33.000000,no,False,b'',b'',"b'turns out real looks as good as it tastes. that\xe2\x80\x99s why the whopper is made without colors, flavors or preservatives from artificial sources.\n.\n.\n.\nat U.S. Burger King restaurants.'",0,0,10226,278,,,
CFH5b69l9vT,burgerking,2020-09-14 16:19:01.000000,no,False,b'',b'',b'the best gifts are flame-grilled',0,0,12109,239,,,
CFCnnshFSY0,burgerking,2020-09-12 15:07:08.000000,no,False,b'',b'',"b'stack that paper and those nuggets. our spicy chicken nuggets and chicken nuggets are only $1 at BK today.\n.\n.\n.\nLimited time only at participating U.S. restaurants. Prices higher in AK, HI, and Suburban NYC.'",0,0,9788,221,,,
CE1oy9cl-oA,burgerking,2020-09-07 14:07:17.000000,no,False,b'labordayon',b'',"b'to anyone on the market for a job, we got you. take #LaborDayOn by checking the link in our bio for job openings at BK or explore the hashtag to be connected with one that\xe2\x80\x99s right for you.'",0,0,3279,220,,,
CErYOidFCRT,burgerking,2020-09-03 14:30:05.000000,no,False,b'1',b'',b'back to school lesson #1: get a kids meal for free with a purchase of $1 or more only on the BK app.\n.\n.\nLimited time only at participating U.S. restaurants. MOTT\xe2\x80\x99s is a registered trademark of Mott\xe2\x80\x99s LLP.',0,0,5974,134,,,
CEpcUdCF18o,burgerking,2020-09-02 20:27:22.000000,no,False,b'',b'',"b'deals for dinner again? yes, sweetie. get exclusive dinner deals delivered only on the BK app.\n.\n.\n.\nLimited time only at participating U.S. restaurants on the BK app. Delivery valid on orders $10+. Delivery fee may apply. Not valid in AK and HI. See bk.com/offers and bk.com/offer-terms.'",0,0,9912,213,,,
CEUbM_QF7AD,burgerking,2020-08-25 16:33:34.000000,no,False,b'',b'',"b'you don\xe2\x80\x99t need to keep your distance from our juicy, crispy, delicious chicken nuggets. which is why our regular and spicy nuggets are only $1 at BK today.\n \nLimited time only at participating U.S. restaurants. Prices higher in AK, HI, and Suburban NYC.'",0,0,10504,193,,,
CEHTmRrFyvQ,burgerking,2020-08-20 14:16:59.000000,no,False,b'',b'',b'\xe2\x80\x9chey gorgeous\xe2\x80\x9d - us to the Whopper',0,0,9061,263,,,
CECod8phVFT,burgerking,2020-08-18 18:43:08.000000,no,False,b'',b'',b'summer heat got nothing on this. chill out with a Chocolate or Vanilla Mini Shake for just $1 at BK.\nLimited time only at participating U.S. restaurants. Prices may vary by market.',0,0,9325,120,,,
CD6gjPjlUcR,burgerking,2020-08-15 15:00:02.000000,no,False,b'',b'',"b'the burger of your wildest steakhouse dreams. a flame-grilled beef patty (or 2), bacon, crispy onions, and steakhouse sauce. :sparkles:get it now at BK or on the app.'",0,0,19198,234,,,
CD4XKQNFRU1,burgerking,2020-08-14 18:59:30.000000,no,False,b'',b'',b'how they looking:eyes:',0,0,8619,194,,,
CDylJ4qF8T-,burgerking,2020-08-12 13:06:20.000000,no,False,b'',b'',b'this will keep both your hands full. get the 2 for $4 croissan\xe2\x80\x99wich deal only at BK.',0,0,6982,118,,,
CDhPzHVBuG9,burgerking,2020-08-05 19:32:38.000000,no,False,b'',b'',b'there\xe2\x80\x99s such a thing as a good breakup',0,0,11898,206,,,
CDO01V3lDRd,burgerking,2020-07-29 15:50:41.000000,no,False,b'',b'',"b'it\xe2\x80\x99s flame-grilled, single or double stacked decadence, topped with bacon, crispy onions, steakhouse sauce, and a sesame seed bun. it\xe2\x80\x99s the steakhouse king. get it on the BK app.'",0,0,14917,314,,,
CDJelOplnG3,burgerking,2020-07-27 14:00:03.000000,no,False,b'',b'',"b'go from seeing double to eating double. now you can get double the flame-grilled whopper for just $5 with the 2 for $5 deal. or mix n\xe2\x80\x99 match with chicken fries, the big fish, or the original chicken sandwich.'",0,0,8572,218,,,
CC_EjpXlA77,burgerking,2020-07-23 13:00:14.000000,no,False,b'',b'',"b'at the rate 2020 has been going, there are no rules, so let\xe2\x80\x99s just all agree it\xe2\x80\x99s christmas. now time to unwrap your gifts (as in the 2 for $5 mix n\xe2\x80\x99 match deal).'",0,0,12058,409,,,
CB5s6kAFDNe,burgerking,2020-06-26 14:26:03.000000,no,False,b'',b'',"b'sleeping in doesn\xe2\x80\x99t seem like the better option now, huh? try the Impossible:trade_mark: Croissan\xe2\x80\x99wich with a patty made from plants now at BK.'",0,0,13867,770,,,
CB3FQH0lh52,burgerking,2020-06-25 14:00:59.000000,no,False,b'',b'',"b'a house isn\xe2\x80\x99t a home until it\xe2\x80\x99s an official Home of the Whopper. you can win our iconic sign for your home and free delivery for the summer by ordering delivery on the BK:registered: app now through July 24th.\n\xe2\x80\xa2\n\xe2\x80\xa2\n\xe2\x80\xa2\n\xe2\x80\xa2\n\xe2\x80\xa2\nNo purchase necessary. Valid 50 US & DC only, age 18+. Ends 7/24/20. See Official Rules at bk.com/HOTW for free method of entry, prize details, and odds. Free delivery prize based on one delivery per week for 12 weeks, fulfilled via digital coupon on the app.'",0,0,9760,183,,,
CBs5OrkF_1B,burgerking,2020-06-21 15:04:30.000000,yes,False,b'whopperdance',b'',b'we couldn\xe2\x80\x99t pick a fav since all of them are our fav. :woman_dancing_light_skin_tone::fire::hamburger: do your #WhopperDance on TikTok now to get a $1 Whopper. www.bk.com/whopperdance',29102,30.033,2753,115,,,
CBlMsQnFHNc,burgerking,2020-06-18 15:20:42.000000,yes,False,b'whopperdance',"b'tiktok,avani,loren,nathandavisjrndj,burgerking'","b'do ya #WhopperDance, get ya whopper. you can now order and customize a $1 Whopper with a @tiktok dance. learn the moves from @avani, @loren and @nathandavisjrndj to order your way.\xc2\xa0tiktok.com/@burgerking\n.\n.\nRules: bk.com/whopperdance'",36391,31.316,3990,189,,,
CBd4IlXl8hj,burgerking,2020-06-15 19:05:21.000000,no,False,b'',b'',"b""it\xe2\x80\x99s not a dream, but it is time to wake up. the Impossible:trade_mark: Croissan'wich has a patty made from plants and is now available at BK.""",0,0,14849,374,,,
CA87SGGlUQI,burgerking,2020-06-02 23:57:55.000000,no,False,b'',b'',"b'\xe2\x80\xaawe stand with you in support of equality and justice for black lives and we will use our platform, our position, and our voice to do so.\xe2\x80\xac \xe2\x80\xaawhen it comes to people\xe2\x80\x99s lives, there\xe2\x80\x99s only one way to have it. without discrimination\xe2\x80\xac.'",0,0,28239,860,,,
CAaY9UallP1,burgerking,2020-05-20 14:03:49.000000,no,False,b'',b'',"b'tag someone who needs to spice up their quarantine\xc2\xa0:fire:\xc2\xa0 crunchy, juicy, spicy chicken nuggets are back at BK for only $1.\n(available in-store and on the BK app)'",0,0,16982,608,,,
CAYBG8dFDmK,burgerking,2020-05-19 15:56:56.000000,no,False,b'',b'',"b':fire:: the 3 for $3 deal.\n:fire::fire:: our flame-grill.\n:fire::fire::fire:: getting the flame-grilled, 100% beef with no fillers or preservatives Double Cheeseburger as part of the 3 for $3 deal.\n.\n.\n.\nLimited time only at participating U.S. restaurants. Includes value fries and soft drink. Prices higher in AK, HI and Suburban NYC. :copyright_selector: 2020 The Coca-Cola Company'",0,0,18488,319,,,
CAK-8HTlvhy,burgerking,2020-05-14 14:27:51.000000,no,False,b'spiceupyourquarantine',b'',"b'quarantine day 59: sick of same old, same old? same.\xc2\xa0 so spice up your quarantine with 8 white meat spicy chicken nuggets for $1. :fire:\xc2\xa0 order now on the BK app. #SpiceUpYourQuarantine'",0,0,13976,219,,,
B_5x0DQFiet,burgerking,2020-05-07 22:06:04.000000,no,False,b'',b'',b'hold up. wait a minute. it\xe2\x80\x99s a whopper.',0,0,15138,306,,,
B_yD4HxlMYB,burgerking,2020-05-04 22:09:59.000000,no,False,b'',b'',"b'if you\xe2\x80\x99re looking for a sign, this is it.'",0,0,13604,229,,,
B_kiTcKFdPn,burgerking,2020-04-29 16:06:29.000000,no,False,b'',b'',"b'the 100% seasoned white meat BLT chicken jr is 100% here for you. get it now as part of the 3 for 3 combo.\n\nLimited time only at participating U.S. restaurants. Includes value fries and soft drink. Prices higher in AK, HI and Suburban NYC. :copyright_selector: 2020 The Coca-Cola Company'",0,0,12624,228,,,
B_V3eAyldBN,burgerking,2020-04-23 23:22:49.000000,no,False,b'',b'',"b'sometimes you want 100% flame-grilled beef with no fillers or preservatives. sometimes you want seasoned 100% white meat chicken. but you always want a good deal. get either sandwich plus fries and a drink with the 3 for $3 combo at BK. \nLimited time only at participating U.S. restaurants. Prices higher in AK, HI and Suburban NYC. :copyright: 2020 The Coca-Cola Company'",0,0,15418,324,,,
B_IKhDxFeNl,burgerking,2020-04-18 15:39:54.000000,no,False,b'',b'',"b'it\xe2\x80\x99s time to power up, fam. watch our streamers to find out how to get $0 delivery fee and maybe even deals on some of your favorite items \xe2\x80\x93 and we\xe2\x80\x99re not talkin\xe2\x80\x99 game items. we\xe2\x80\x99re talkin\xe2\x80\x99 real life menu items.\n\nlimited time only at participating U.S. restaurants.'",0,0,10362,212,,,
B-19uaxlYCD,burgerking,2020-04-11 14:01:48.000000,no,False,b'',b'',"b'you can grab a bite from the comfort of your own home. introducing Jalape\xc3\xb1o Cheddar Bites, only at BK. get them delivered on the Burger King app.\n.\n.\nLimited time only at participating U.S. restaurants.'",0,0,9944,283,,,
B-wu4v9lOvE,burgerking,2020-04-09 13:15:56.000000,no,False,b'stayhome',b'',"b""healthcare workers stay at work for us, so #stayhome for them. \nBK is offering $0 delivery fee on orders $10+ to help you stay home. we're also donating Whopper sandwiches to nurses. to join us in supporting nurses, text THANKS to 20222 to make your donation to American Nurses Foundation.\n.\n.\n.\nBK:registered: is donating 250,000 Whopper:registered: sandwiches to registered nurses to be distributed by the American Nurses Foundation. Text message campaign administered by the Foundation. Msg & data rates may apply. valid at participating U.S. restaurants on the BK App.""",0,0,5093,97,,,
B-vaAVvF7OS,burgerking,2020-04-09 00:54:13.000000,no,False,b'',b'',"b'no, like, for real the Big King XL is really big\xe2\x80\x94like a \xc2\xbd lb of flame-grilled beef big. include the Big King XL in your next delivery order to see if you can take one down.\n.\n.\nlimited time only at participating us restaurants. weight based on pre-cooked patties.'",0,0,16103,243,,,
B-u7NCdFcuV,burgerking,2020-04-08 20:25:05.000000,no,False,b'',b'',b'we\xe2\x80\x99d tell you to choose wisely...\nbut you really can\xe2\x80\x99t go wrong',0,0,6775,591,,,
B-so8RyFrXl,burgerking,2020-04-07 23:07:01.000000,no,False,b'',b'',"b'you can get 8 of these\xc2\xa0crispy, golden chicken nuggets for $1. p.s. that\xe2\x80\x99s a whole lot of chicken nuggets. .\n.\n.\nlimited time only at participating U.S. restaurants.'",0,0,13768,181,,,
B-p0mkVlJQy,burgerking,2020-04-06 20:51:12.000000,no,False,b'',b'',"b'on the bright side, you don\xe2\x80\x99t need to be six feet apart from this. get 8 nuggets for $1 on the BK App or bk.com'",0,0,11195,120,,,
B-haXgtFdbI,burgerking,2020-04-03 14:28:01.000000,no,False,b'',b'',b'social distancing... but make it spicy... and cheesy. introducing Jalape\xc3\xb1o Cheddar Bites. get \xe2\x80\x98em delivered straight to your door on the BK app or BK.com.',0,0,10604,184,,,
B-e07dQlV3i,burgerking,2020-04-02 14:22:24.000000,no,False,b'',b'',"b'GO BIG, OR GO H\xe2\x80\x94oh wait\xe2\x80\xa6well, since you\xe2\x80\x99re already home, you can go big and be home at the same time when you get the Big King XL delivered after ordering in the BK App.\n.\n.\n.\nlimited time only at participating restaurants.'",0,0,22827,329,,,
B-cYDCUFXRP,burgerking,2020-04-01 15:31:33.000000,no,False,b'',b'',"b'Uber Eats:heavy_check_mark: Grubhub:heavy_check_mark: Postmates:heavy_check_mark: $0 Delivery Fee on orders $10+:heavy_check_mark:\n.\n.\nOffer valid through 4/19/20 at participating BK:registered: U.S. restaurants. Min. $10+ order required, excl.\xc2\xa0applicable\xc2\xa0taxes and fees. Prices may be higher than in restaurant. Terms apply. See delivery apps for details.'",0,0,11096,143,,,
B-KjbFtBt7O,burgerking,2020-03-25 17:24:37.000000,no,False,b'',b'',"b""hope everyone's hanging in there :red_heart_selector: we're still here to help you stay home & stay fed. order on the BK app for minimum contact delivery.""",0,0,11690,272,,,
B-FKEkBlmOG,burgerking,2020-03-23 15:06:53.000000,no,False,b'',b'',"b':bell: that\xe2\x80\x99s the lunch bell :bell:. starting today, you can get two free kids meals per day with any purchase when you order ahead on the BK app. drive thru one of our restaurants to pick them up with minimum contact. let us take care of you while you take care of your family.'",0,0,11652,356,,,
B94Zp6CllPJ,burgerking,2020-03-18 16:12:56.000000,no,False,b'',b'',b'the Impossible Whopper\xe2\x80\x99s knockin\xe2\x80\x99. or it\xe2\x80\x99s the driver. get a free Impossible Whopper with any $15+ bk order on Uber Eats.',0,0,9413,227,,,
B92YWGAhvwJ,burgerking,2020-03-17 21:23:00.000000,no,False,b'',b'',b'let us take care of you while you take care of yourself. order ahead through the BK app and pick up via drive thru or get free delivery. (at part. U.S. restaurants. see app for details.)',0,0,15488,434,,,
B9o73ivlX7t,burgerking,2020-03-12 16:04:03.000000,no,False,b'',b'',b'the 4 nuggets are out of the bag. 8 nuggets for $1 for a limited time at bk.',0,0,11780,206,,,
B9O3Vhjlv5J,burgerking,2020-03-02 13:04:11.000000,no,False,b'',b'',"b'for once, you\xe2\x80\x99ll wanna wake up.\nget 2 Croissan\xe2\x80\x99wich sandwiches for $4, or 2 doubles for $5, now at bk.\n.\n.\n.\n\nAt part. U.S. restaurants. Restrictions apply. Prices may vary.'",0,0,16826,298,,,
B9E0x4ll_eJ,burgerking,2020-02-27 15:29:27.000000,no,False,b'',b'',"b'hello, my name is Chris P. Chicken'",0,0,15271,324,,,
B8v9caEhRX8,burgerking,2020-02-19 13:01:06.000000,no,False,b'',b'',b'the beauty of real food is that it gets ugly. that\xe2\x80\x99s why we are rolling out a whopper free from artificial preservatives. coming by the end of 2020 to all restaurants in the U.S.',0,0,32636,1084,,,
B8g6DNOlyzW,burgerking,2020-02-13 16:42:50.000000,no,False,b'',b'',b'how to not cry over sliced onions: fry them.',0,0,19623,230,,,
B8OtF8OFgj0,burgerking,2020-02-06 15:03:17.000000,no,False,b'burgerquinn',b'',b'a flame-grilled Whopper is just what Harley Quinn needs to get over her ex-flame. amirite? #burgerquinn',0,0,19238,440,,,
