shortcode,username,date_utc,is_video,is_sponsored,hashtags,mentions,caption,video_view_count,video_length,likes,comments,likes+comments,location_name,location_latlong
CIZLw6DFE2X,caltexaustralia,2020-12-04 23:00:27.000000,no,False,"b'caltexaustralia,starmart'",b'',"b""Don't get confused :eyes: It may look like a pie, but take one bite and you'll be transported to cheeseburger heaven! :raising_hands:\n\nGet your hands on our new Cheeseburger Pie at your local Caltex Star Mart and taste the mouth watering beef, zesty pickles, diced onions, tomato sauce and oozing cheese :hamburger: \n\n#CaltexAustralia #StarMart""",0,0,36,1,,,
CIR_uNOAKz8,caltexaustralia,2020-12-02 04:00:34.000000,no,False,"b'caltexaustralia,starmart,coffee'",b'',"b'Wherever you are this summer, stay cool with a refreshing Iced Coffee :sun_selector: What will you be chilling with? :raising_hands: \n\n:round_pushpin: Available at your local Caltex Star Mart.\n\n#CaltexAustralia #StarMart  #Coffee'",0,0,28,1,,,
CH894v-lJW2,caltexaustralia,2020-11-24 00:00:31.000000,yes,False,"b'caltexaustralia,starmart'",b'',"b'Move over Cheeseburger Spring Rolls, the Cheeseburger Pie has arrived! :raising_hands::hamburger: Bite into golden flaky pastry loaded with a 100% Aussie beef patty, melted cheese, gherkins, onions and tomato sauce. Grab one today at Caltex Star Mart and tag a mate who needs to try this:backhand_index_pointing_down:\n\n#CaltexAustralia #StarMart'",275,7.0,22,1,,,
CH1WYtqlezS,caltexaustralia,2020-11-21 01:00:42.000000,yes,False,"b'caltexaustralia,caltexapp'",b'',"b""Don't line up, sign up :mobile_phone_with_arrow: Our Caltex app will save you time when filling up at Caltex :raising_hands: Link in bio.\n\n#CaltexAustralia #CaltexApp""",228,10.0,19,1,,,
CHwoNoarDNf,caltexaustralia,2020-11-19 05:00:12.000000,no,False,b'caltexaustralia',b'ubereats_aus',"b'Spend less time shopping and more time studying with Caltex Star Mart @ubereats_aus :books: :mobile_phone: We have a range of snacks, treats and drinks delivered straight to your door for all your crunch time needs!\n\n*UberEats delivery available at participating stores only.\n\n#CaltexAustralia'",0,0,15,1,,,
CHq1c_4lWOb,caltexaustralia,2020-11-16 23:00:27.000000,no,False,"b'caltexaustralia,starmart'","b'mymusclechef,mountfranklin'","b""It's about time you upped your lunch game with this tasty deal! Pick up this filling @mymusclechef Chicken Chipotle Burrito Bowl and add on a 600ml @mountfranklin water for only $2 extra* :flexed_biceps: \n\n *Limit of one drink per main meal purchased. Only available at participating stores displaying the offer. Product range may vary by store. Not in conjunction with any other offer. Excludes hot meals made on site at participating stores that offer this service.\n\n#CaltexAustralia #StarMart""",0,0,24,1,,,
CHl5lJmjd31,caltexaustralia,2020-11-15 01:00:21.000000,yes,False,"b'caltexaustralia,starmart'",b'monsterhydro',b'Striking you with energy and hydration :high_voltage: @monsterhydro is now available at Caltex Star Mart to keep you energised throughout the day :flexed_biceps:\n\n#CaltexAustralia #StarMart',148,6.5,11,1,,,
CHgwBGpldeX,caltexaustralia,2020-11-13 01:00:32.000000,no,False,"b'caltexaustralia,starmart'",b'',"b""Caltex Star Mart has all of your bathroom essentials :raising_hands: Don't run empty on toilet paper or hand sanitiser! Grab and go today!\n\n#CaltexAustralia #StarMart""",0,0,18,3,,,
CHeY607DM_H,caltexaustralia,2020-11-12 03:00:17.000000,yes,False,"b'caltexaustralia,starmart'",b'monsterhydro',b'Get your energy and hydration kick with the NEW @monsterhydro :raising_hands: Step up your performance and try the new range at Caltex Star Mart :flexed_biceps:\n\n#CaltexAustralia #StarMart',190,8.0,16,4,,,
CHYz4vrFOVw,caltexaustralia,2020-11-09 23:00:25.000000,no,False,"b'caltexaustralia,starmart'",b'',"b""Gram your sam :camera: When your sandwich look this good, it's hard to resist :smiling_face_with_heart-eyes: Pick one up from Caltex Star Mart and get snapping! \n\n#CaltexAustralia #StarMart""",0,0,16,2,,,
CHYz4vrFOVw,caltexaustralia,2020-11-09 23:00:25.000000,no,False,"b'caltexaustralia,starmart'",b'',"b""Gram your sam :camera: When your sandwich look this good, it's hard to resist :smiling_face_with_heart-eyes: Pick one up from Caltex Star Mart and get snapping! \n\n#CaltexAustralia #StarMart""",0,0,16,2,,,
CHW4QmTAvqm,caltexaustralia,2020-11-09 05:00:09.000000,no,False,b'caltexaustralia',b'ubereats_aus',"b""Feel like something sweet, but don't want to leave the couch? Order one of our delicious treats via the @ubereats_aus app :raising_hands: \n\n*UberEats delivery available at participating stores only.\n\n#CaltexAustralia""",0,0,19,1,,,
