shortcode,username,date_utc,is_video,is_sponsored,hashtags,mentions,caption,video_view_count,video_length,likes,comments,likes+comments,location_name,location_latlong
CIYsRH2BCsc,canonusa,2020-12-04 18:25:13.000000,no,False,"b'canonmemories,canon'",b'jkayephotography',"b'""I find that many times I\'m in such a rush to get to the top of a hike/mountain to take photos, that I often don\'t slow down and enjoy all the photos I could take along the way. This photo and hike reminded me to slow down and enjoy the ride, which I feel like can apply to a lot of things in life!"" :fallen_leaf: :mountain_selector: Thank you for sharing your #CanonMemories with us, @jkayephotography!\nCamera: #Canon EOS 7D Mark II\nLens: Canon EF-S 10-22mm f/3.5-4.5 USM\nHave a photo and memory you\'re thankful for? Submit them at canon.us/canonmemories'",0,0,16215,95,,Shenandoah National Park,None None
CIWXoB0BOdi,canonusa,2020-12-03 20:46:21.000000,no,False,b'canon',b'paulzizkaphoto',"b'Photo by @paulzizkaphoto ""Overlap of seasons. Colourful avalanche slopes escape the first snowfall of the season in fire-ravaged Kootenay National Park, British Columbia, Canada. This was shot around sunset time, when in the past I would have likely pulled out the tripod in order to ensure image sharpness. How nice to be handholding for an extra 30 minutes or so around sunset and sunrise due to the incredible image stabilization built into the 70-200.""\n\n:camera_with_flash:: #Canon EOS R5\nLens: RF70-200mm F4 L IS USM'",0,0,13445,42,,Kootenay National Park,50.6284505749 -116.059028983
CIV2c9GBH2B,canonusa,2020-12-03 15:56:29.000000,no,False,"b'canonmemories,canon'",b'andreweatworld',"b'""My girlfriend and I were sitting by Indian Lake, in New York, eating our lunch, when a mama duck came out, asking for food. She took one bite of a cracker and abruptly left. A few seconds later, all of her babies came rushing out, squeaking and stumbling over each other to find the nice people their mother just told them about."" :duck:Thank you for sharing your #CanonMemories with us, @andreweatworld!\nCamera: #Canon EOS 5D Mark IV\nLens: Canon EF 16\xe2\x80\x9335mm f/2.8L III USM\nHave a photo and memory you\'re thankful for? Submit them at canon.us/canonmemories'",0,0,17286,90,,"Indian Lake, New York",43.7825 -74.2722
CITYeRRhs1B,canonusa,2020-12-02 16:57:21.000000,yes,False,"b'lensdaywednesday,learnwithcanon,teamcanon'",b'tonytran.photography',"b'Welcome back to another episode of #LensdayWednesday, where each week we will be highlighting the wide range of Canon lenses. \n\nIn this episode, Marketing Specialist Tony Tran (@tonytran.photography), goes over Canon\xe2\x80\x99s new bright prime lens from the EOS R series lineup, the RF50mm F1.8 STM. Stay tuned as Tony shares why the RF50mm F1.8 STM is a must-have in his camera bag, or pocket. #LearnwithCanon #TeamCanon'",13716,58.005,2756,26,,,
CITF128Bs0Z,canonusa,2020-12-02 14:13:14.000000,no,False,b'canonexploreroflight',b'jenwuphoto',"b'Check out what\'s in #CanonExplorerOfLight @jenwuphoto\'s gear bag! \n\n""What\xe2\x80\x99s in my bag? When I go on a photography trip, I take different gear depending on the subjects I am photographing!\n\nFor landscape photography I take both camera bodies EOS 5D Mark IV and EOS 5DS R. I will take my three core lenses: EF 16-35mm f/4L IS USM, the EF 24-70mm f/2.8L II USM and the EF 70-200mm f/2.8L IS II USM. Then depending on the location, I will pick one or two others for a different perspective, such as the EF 14mm f/2.8L II USM, EF 11-24mm f/4L USM, TS-E 17mm f/4L tilt-shift, TS-E 24mm f/3.5L tilt-shift or EF 180mm f/3.5L Macro USM. For night photography adventures, I only bring the EOS 5D Mark IV camera bodies and swap out the 16-35mm f/4 for a 16-35 f/2.8 that I will use for night and daytime landscapes. Plus I will bring the EF 24mm f/1.4L II USM, perhaps the EF 14mm f/2.8L II USM. Also, a battery grip for extended battery life to use for time-lapse and circular star trails. For wildlife, I will bring the EF 24-70mm f/2.8L II USM, EF 100-400mm f/4.5-5.6L IS II USM, EF 200-400mm f/4L USM Extender 1.4x and Extender EF 1.4x III. I bring the EOS 5D Mark IV body with grip and/or EOS-1D X Mark III.""\n\nCamera Bodies: \nEOS 5D Mark IV \nEOS 5DS R \n\nCanon EF Lenses & gear \nEF 11-24mm f/4L USM \nEF 16-35mm f/4L IS USM \nEF 16-35mm f/2.8L III USM \nEF 24-70mm f/2.8L II USM \nEF 70-200mm f/2.8L IS II USM \nEF 100-400mm f/4.5-5.6L IS II USM \nEF 14mm f/2.8L II USM \nTS-E 17mm f/4L \nTS-E 24mm f/3.5L II \nEF 24mm f/1.4L II USM \nEF 200-400mm f/4L IS USM Extender 1.4x \nExtender EF 1.4x III \nEF 180mm f/3.5L Macro USM \nBattery Grip BG-E11 for 5DS R \nBattery Grip B6-E20 for 5D mark IV'",0,0,27018,137,,,
CIRU7OLhipz,canonusa,2020-12-01 21:46:34.000000,no,False,"b'canonexploreroflight,canon'","b'peter_hurley,robertmerrillstudio'","b'Photo by #CanonExplorerOfLight @peter_hurley ""I had just finished a shoot at @robertmerrillstudio and Robert was roaming around, so I jumped at the chance to get a new headshot of this ruggedly handsome character. We go way back to our modeling days in NYC and when I closed down my LA studio he graciously let me shoot in his. It had been a while since I last photographed him and in 5 minutes we had a slew of incredible images. This one stood out to me the most.""\n\n:camera_with_flash: #Canon EOS R\nLens: EF 70-200mm f/4L USM'",0,0,9996,57,,,
CIQ0RjkBQ63,canonusa,2020-12-01 17:01:15.000000,no,False,"b'canonexploreroflight,canon'","b'peter_hurley,evypoumpouras'","b'Photo by #CanonExplorerOfLight @peter_hurley ""I absolutely love working with @evypoumpouras! It\xe2\x80\x99s great when clients have a clear vision for their brand and take it upon themselves to continually create new content on a regular basis to promote it. Over the years Evy and I have been working consistently together to do just that. For this image I wanted to not only convey her strength through the expression, but capture a clean black and white horizontal image that was shot wide on purpose to emphasize the graphic nature of the chair that we used as a prop.""\n\n:camera_with_flash: #Canon EOS R5\nLens: RF 15-35mm F2.8 L IS USM'",0,0,4983,24,,,
CIQf0woBQqT,canonusa,2020-12-01 14:02:33.000000,no,False,"b'canonexploreroflight,canon'","b'peter_hurley,chloelittlewing'","b'#CanonExplorerOfLight @peter_hurley is taking over our page today! ""The connection between the photographer and subject is paramount. For me it\xe2\x80\x99s everything and I know the images are created through that rapport. So when I was developing a new background as well as lights and I needed to test them out, I was so glad to have @chloelittlewing help me. We\xe2\x80\x99d been working together for years and we\xe2\x80\x99ve always had that special connection that is the foundation for something great to happen.""\n\n:camera_with_flash: #Canon EOS 5D Mark III\nLens: EF 100mm f/2.8L Macro IS USM'",0,0,8158,46,,,
CIOqVkXBJQL,canonusa,2020-11-30 20:55:56.000000,no,False,b'',b'parker_burkett',"b'Swipe to learn how @parker_burkett captured this photo ""The human element, is one of my favorite additions to a photo. Adding a person\'s point of view or photographing someone in the distance can add so much to a photo, for aesthetics as well as for scale, but also to make you feel as though you are actually there. Those could be your legs sitting on the edge of a beautiful vista. I always love to hear people\xe2\x80\x99s thoughts on this type of photography. \n\nDoes this photo make you feel immersed in the crisp fall air and breathtaking sight in front of you?\xe2\x80\x9d'",0,0,16980,74,,Indian Head,44.1131082 -73.8209717
CIN76RzB-If,canonusa,2020-11-30 14:10:15.000000,no,False,b'canonexploreroflight',b'lindsayadler_photo',"b'Photo by #CanonExplorerOfLight @lindsayadler_photo ""What happens when you mix red, green and blue light? If you know about additive color you know it makes white! \n\nThis extraordinarily colorful image was created in the studio using 3 strobes and my knowledge of color! \n\nI remember back in middle school when my teacher overlapped 3 projectors (red, green, blue) to show how we could create RGB, CMY, and white light depending on how we positioned the colors. At the time I never realized how this would end up leading to an amazing photographic technique decades later! I guess the lesson is pay attention in school? Or maybe it is\xe2\x80\xa6 don\xe2\x80\x99t be afraid to experiment in the studio! :D \n\nFor this shot my main light was a Magnum reflector (hard light modifier) with a red gel and two zoom reflectors (one green and one blue) offset below my subject. Of course the incredible hair and makeup helped to make this shot even more eye-catching! \n\nI captured this with my Canon EOS R and my RF 24-105mm F4 lens. I love this lens because it is so versatile -- I can quickly change between a full length shot and a closeup beautiful crop like this one in a snap!""'",0,0,11368,45,,,
