shortcode,username,date_utc,is_video,is_sponsored,hashtags,mentions,caption,video_view_count,video_length,likes,comments,likes+comments,location_name,location_latlong
CIXJVs0nXTb,capitaland,2020-12-04 04:00:46.000000,no,False,"b'archidaily,design,retail,retaildesign,innovation,shopping'","b'jewelchangiairport,funansg,live.lyf.here,theworkprojectglobal,_5fivegraphy,jaelynnekei'","b""Four of our projects are honoured at Singapore Institute of Architects Architectural Design Awards 2020, which recognises the pursuit of architectural excellence and motivates architects to push the boundaries with innovative solutions.\n\n:trophy:\xc2\xa0@jewelchangiairport\xc2\xa0- Building of the Year and Design Award: Redefining the archetype of airport terminals catering to locals and tourists alike\n\xc2\xa0\n:trophy:\xc2\xa0@funansg - Merit Award: For reimagining a multi-faceted and differential retail environment\n\xc2\xa0\n:trophy:\xc2\xa0@live.lyf.here lyf Funan Singapore - Merit Award: Southeast Asia's largest coliving property for millennials & the millennial-minded\n\n:trophy:\xc2\xa0@theworkprojectglobal Asia Square Tower 2 - Merit Award: Coworking office with an orthogonal design\n\n:camera_with_flash:\xc2\xa0 Photo of Jewel Changi Airport by @_5fivegraphy; photo of Funan by @jaelynnekei\n\n#archidaily #design #retail #retaildesign #innovation #shopping""",0,0,183,2,,,
CIVRRryHqS_,capitaland,2020-12-03 10:31:38.000000,no,False,"b'capitaland,capitalandsustainability,sustainability,capitalandesg,esg,green,builtenvironment,innovation,challenge,capitalandsustainabilityxchall,csxc,realestate,ideas'",b'patrick_kasingsing',"b':evergreen_tree:If you ever had an idea or innovation to shape a greener and more sustainable built environment, now\xe2\x80\x99s your chance to shine. Gold, growth & glory awaits! Join the inaugural CapitaLand Sustainability X Challenge. Registration is open now. CapitaLand INSIDE shares the 4 things you need to know! Swipe up in our stories for details!\n Photo by @patrick_kasingsing\n\n#CapitaLand #CapitaLandSustainability #Sustainability #CapitaLandESG #ESG #Green #BuiltEnvironment #Innovation #Challenge #CapitaLandSustainabilityXChallenge #CSXC #RealEstate #Ideas'",0,0,72,0,,,
CIUrlAUnvJU,capitaland,2020-12-03 05:02:14.000000,no,False,"b'china,chongqing,rafflescity,rccq,harrypotter,christmas,magic'",b'',"b'This holiday season, all you need is a little imagination to travel to places! :sparkles:\n\nShoppers at Raffles City Chongqing get to relive the pages and scenes from Harry Potter with Southwest China\'s first ever ""A Magical Harry Potter Holiday"" exhibition right in the mall!  Don your favourite House Robe and walk down Diagon Alley in style :woman_mage_selector::mage:, strike a pose at Platform 9 3/4 :locomotive: and put your Quidditch skills to a test - it\'s a magical Christmas at Raffles City Chongqing indeed! :sparkles::evergreen_tree::sparkles:\n\nSwipe :right_arrow_selector: for more photos! \n\n#China #Chongqing #RafflesCity #RCCQ #HarryPotter #Christmas #magic'",0,0,93,0,,Raffles City Chongqing,29.5682222222 106.58375
CIPc04-HMiQ,capitaland,2020-12-01 04:17:43.000000,yes,False,"b'capitaland,capitalandhopefoundation,sgunited,singaporetogether,philanthropy,csr,volunteerism,championofgood,organisationofgood,companyofgood'",b'',"b'Tom (not his real name) did not have the best start in life. His father was abusive, and one of his sisters had leukaemia. These challenging family circumstances led Tom\xe2\x80\x99s mother into depression. She was later deemed unfit to take care of her children. One day, a family service centre connected the then 12-year old Tom with a CapitaLand employee Edward (not his real name) through a programme for underprivileged children supported by CapitaLand\xe2\x80\x99s philanthropic arm CapitaLand Hope Foundation. \n\nTheir first meeting marked the beginning of a lasting connection \xe2\x80\x93 seven years and counting. Edward introduced Tom to activities like ice skating, table tennis, and cycling. They gradually built an emotional bond as they spent more time together. Tom would confide in Edward and Edward would provide support to Tom as best as he could.  Watch: https://www.youtube.com/watch?v=zaTz1oPRLos&feature=youtu.be\n\nCapitaLand is a strong advocate of staff volunteerism, believing that it is not only a meaningful way to contribute to the community but also further multiplies its giving effort as well as provides staff a sense of purpose by showing care for the underprivileged. More: https://www.capitaland.com/volunteerism\n\n#CapitaLand #CapitaLandHopeFoundation #SGUnited #SingaporeTogether #Philanthropy #CSR #Volunteerism #ChampionofGood #OrganisationOfGood #CompanyofGood'",494,131.653,47,1,,,
CINjHBNndUm,capitaland,2020-11-30 10:33:33.000000,no,False,"b'guesswhere,capitaland,china,architecture,design,art,facades,facadesmood,rafflescity'",b'bo_ss_bo',"b""This fantastical display of art gives this building's facade an extra dimension and a pop of colour. It's vibrant colours, contrasting with the steel and concrete of the surrounding area, make this a piece of art-chitecture. Can you #guesswhere this installation calls home? Swipe left for reveal!\n. \n:camera_with_flash: @bo_ss_bo\n.\n#Capitaland #china #architecture #design #art #facades #facadesmood #rafflescity""",0,0,97,1,,,
CIDTBVgn7UT,capitaland,2020-11-26 11:00:33.000000,no,False,"b'ecapitamall,blackfriday,onlineshopping,deals'","b'funansg,xavier_dess,capitalandmallssg'","b':black_heart: BLACK FRIDAY: Get a $30 eCapitaVoucher when you spend $100 at www.ecapitamall.com from 27-30 Nov! Why not start adding your favourites to cart already? Stay tuned to #eCapitaMall for a special flash deal at midnight & get up to 50% cashback on your orders!\n.\n:shopping_bags_selector: Earn $:keycap_2::keycap_0::keycap_0: worth of eCapitaVouchers at @funansg with $1,000 spent in a single receipt. Be the top spender at the mall and earn a $1,000 shopping spree! T&Cs apply.\n.\n:camera: @xavier_dess \n.\n@capitalandmallssg #blackfriday #onlineshopping #deals'",0,0,131,0,,,
CIC5806n3YS,capitaland,2020-11-26 07:21:29.000000,no,False,b'',b'',"b'Mr Ameerali Jumabhoy was a visionary leader who ignited the evolution of the serviced residence industry with the opening of the first international-class serviced residence in Asia Pacific, The Ascott Singapore, in 1984.\n\xc2\xa0\nThe Ascott brand, and the distinctive logo he created, has grown from a single building in Singapore to a global brand with more than 760 properties in over 30 countries. Ascott remains close to the hearts of many, and Mr Jumabhoy\xe2\x80\x99s legacy will continue to touch the lives of tens of thousands of people around the world.\n\xc2\xa0\nOur thoughts are with the Jumabhoy family.'",0,0,84,0,,,
CIAAYoaHsTT,capitaland,2020-11-25 04:19:59.000000,no,False,"b'crazyrichasian,capitaland,inside,daiso,singapore,fashion,style,budget,accessories,styleguide,men,women,cool,casual,chic,outfit,ootd,basic,oversizedshirt,grunge,aesthetic,street'",b'',"b'Take a guess \xe2\x80\x93 Which accessories are from Daiso?\xc2\xa0\n\nIn Singapore, being cool is the name of the game! If you\xe2\x80\x99re not a #CrazyRichAsian but looking to jazz up your wardrobe at a budget, CapitaLand INSIDE has rounded up some creative and surprising accessories from Daiso. You heard that right. Daiso.\xc2\xa0\xc2\xa0\n\xc2\xa0\nHere\xe2\x80\x99s our very budget, yet very chic style guide for men and women who still want to be cool, casual and look good \xe2\x80\x93 from head to toe \xe2\x80\x93 during these austere times. Check out our IGS for the story!\n\n#CapitaLand #INSIDE #Daiso #Singapore #Fashion #Style #Budget #Accessories #StyleGuide #Men #Women #Cool #Casual #Chic #Outfit #OOTD #Basic #OversizedShirt #Grunge #Aesthetic #Street'",0,0,119,0,,,
CH9c4mxnhLr,capitaland,2020-11-24 04:31:18.000000,no,False,"b'capitaland,architecture,residential,guesswhere,funfact,amazingarchitecture,sgarchitecture,architecturelovers,architect,homes,buildings,design,architecturephotography,architecturedesign,archdaily,photooftheday,explorer,wanderlust'","b'rspdesigners,zahahadidarchitects'","b'This #CapitaLand development in prime District 10 designed by the late Pritzker Architecture Prize winner Zaha Hadid is a popular photo spot among #architecture enthusiasts. Each of the seven 36-storey #residential towers has a unique flower-shaped layout which allows for natural ventilation across individual apartments. The lower floors gently taper inwards, leaving more space for landscaping and lifestyle facilities. #Guesswhere or click for our stories :up_arrow_selector:.\n \n#Funfact: From an aerial view, one can sight the various petal-like design on top of each tower. \n \n:camera_with_flash: @rspdesigners\n.\n.\n.\n@zahahadidarchitects #amazingarchitecture #sgarchitecture #architecturelovers #architect #homes #buildings #design #architecturephotography #architecturedesign #archdaily #photooftheday #explorer #wanderlust'",0,0,99,0,,,
CH4PeNlnaEm,capitaland,2020-11-22 03:58:14.000000,yes,False,"b'sgcontest,contestsg,sggiveaway,gdp,capitaland,graduates,buildyourdream,inside,managementassociate,jobs,careers'",b'capitaland',"b"":man_cook_medium-light_skin_tone::cooking::fork_and_knife_with_plate_selector: Once a newbie both in the kitchen and at the workplace, Jeremiah Lee has come a long way.\n\nHe shares how being respected and heard has impacted him personally and professionally, and how he is glad that CapitaLand's Graduate Development Programme (GDP) embraces diversity and honours Respect as a core value of CapitaLand.\n\nFind out more about GDP: http://bit.ly/GDPJeremiahIGS\n\nSTAND A CHANCE TO WIN: snag some mystery prizes (worth more than S$50 each) when you answer this: What is the CapitaLand Core Value that Jeremiah strongly believes in?\n\nAll you need to do is:\n\n1. Follow @capitaland & like this post\n2. Leave a comment with your answer and tag 2 friends (multiple entries allowed)\n3. Make sure to keep your account public!\n\n3 lucky winners will be selected at random when the contest ends on Sunday noon, 29 Nov 2020. T&Cs apply.\n\n#sgcontest #contestsg #sggiveaway #GDP #CapitaLand #Graduates #buildyourdream #INSIDE #ManagementAssociate #jobs #careers""",1216,137.226,126,134,,,
