shortcode,username,date_utc,is_video,is_sponsored,hashtags,mentions,caption,video_view_count,video_length,likes,comments,likes+comments,location_name,location_latlong
CFCZGj0FkW-,carlsberg,2020-09-12 13:01:17.000000,yes,False,"b'lfc,probablythebest'",b'',b'Cheers to the new season! Stay safe and grab a cold Carlsberg when supporting the reds.\n#LFC #probablythebest',4980,10.0,1264,14,,,
CDJUOSClmQC,carlsberg,2020-07-27 12:29:41.000000,yes,True,"b'probablythebest,ynwa,lfc'",b'',b'What a season! Can we make the next one even better? Probably. \n\nWatch the whole film on carlsberg.com (link in bio)\n\n#probablythebest #ynwa #LFC',5909,10.0,925,9,,,
CC_3CtTl0Fy,carlsberg,2020-07-23 20:21:23.000000,no,True,b'',b'liverpoolfc',b':counterclockwise_arrows_button: repost from @liverpoolfc the best in the world. Probably.',0,0,1636,16,,,
CC-btGqFVA1,carlsberg,2020-07-23 07:04:37.000000,yes,True,"b'probablythebest,ynwa,lfc'",b'',b'Cheers to the Premier League Champions #probablythebest #ynwa #lfc',9845,7.793,2141,46,,,
CB5f99jFsyc,carlsberg,2020-06-26 12:32:55.000000,no,False,"b'ynwa,lfc,probablythebest'",b'',b'#YNWA #LFC #probablythebest',0,0,698,10,,,
CB5f78vllah,carlsberg,2020-06-26 12:32:38.000000,no,False,"b'ynwa,lfc,probablythebest'",b'',b'#YNWA #LFC #probablythebest',0,0,1214,9,,,
CB5f6XDlPfp,carlsberg,2020-06-26 12:32:25.000000,no,False,"b'ynwa,lfc,probablythebest'",b'',b'#YNWA #LFC #probablythebest',0,0,544,4,,,
CB5f4Ynla78,carlsberg,2020-06-26 12:32:09.000000,no,False,"b'ynwa,lfc,probablythebest'",b'',b'#YNWA #LFC #probablythebest',0,0,577,0,,,
CB5f2GQF_pS,carlsberg,2020-06-26 12:31:51.000000,no,False,"b'ynwa,lfc,probablythebest'",b'',b'#YNWA #LFC #probablythebest',0,0,2932,63,,,
CB5f0HVlQQx,carlsberg,2020-06-26 12:31:34.000000,no,False,"b'ynwa,lfc,probablythebest'",b'',b'#YNWA #LFC #probablythebest',0,0,530,0,,,
CB5fx-qFEJM,carlsberg,2020-06-26 12:31:17.000000,no,False,"b'ynwa,lfc,probablythebest'",b'',b'#YNWA #LFC #probablythebest',0,0,580,0,,,
CB5fvpYlf_M,carlsberg,2020-06-26 12:30:58.000000,no,False,"b'ynwa,lfc,probablythebest'",b'',b'#YNWA #LFC #probablythebest',0,0,1071,7,,,
CB5ftMMl1Uh,carlsberg,2020-06-26 12:30:38.000000,no,False,"b'ynwa,lfc,probablythebest'",b'',b'#YNWA #LFC #probablythebest',0,0,997,6,,,
CB33fs8FJd7,carlsberg,2020-06-25 21:22:15.000000,yes,True,"b'probably,probablythebest,ynwa,lfc'",b'',b'Premier League Champions? #Probably #Probablythebest #YNWA #LFC',11972,10.0,2856,144,,,
CB071UUDKLZ,carlsberg,2020-06-24 18:00:14.000000,no,False,"b'probably,livcry,ynwa,lfc'",b'',"b'We can\xe2\x80\x99t be at Anfield tonight, but we can still raise a glass to the Reds #probably #LIVCRY #YNWA #lfc'",0,0,2267,27,,,
