shortcode,username,date_utc,is_video,is_sponsored,hashtags,mentions,caption,video_view_count,video_length,likes,comments,likes+comments,location_name,location_latlong
CHdBLKOFtHR,carmax,2020-11-11 14:14,yes,False,,,"b'In honor of Veterans Day, we salute all who have proudly served our country. We\xe2\x80\x99re grateful for our Veteran associates who share the value of service with the CarMax team.'",395,33.013,58,0,58,,
CHably7FYq0,carmax,2020-11-10 14:06,no,False,jobs,,"b'Ready to redefine your career? We\xe2\x80\x99re hiring for 3,500 positions at our corporate offices, contact centers, and 220 stores nationwide. We\xe2\x80\x99re looking for customer service reps, sales consultants, auto mechanics, and more! Apply today at careers.carmax.com. Link in bio. #jobs'",0,0,95,13,108,,
CG-OinNF9wa,carmax,2020-10-30 15:13,no,False,carstumes,,b'Car buying is a treat when there are no tricks. #carstumes',0,0,162,7,169,,
CF0BkxBFPqG,carmax,2020-10-01 19:36,no,False,,"jamienotis,doughehner","b'So happy to help @jamienotis and @doughehner find their forever, or should we say, Florida car. Car shopping with two kids isn\xe2\x80\x99t easy, so Jamie started online before test-driving her favorites.\xc2\xa0Made it easy to roll in and off the lot\xc2\xa0in her new SUV\xe2\x80\x94a comfy ride with plenty of room for kids and grandparents too! To see more Jamie\xe2\x80\x99s CarMax experience, check out the link in bio.'",0,0,2008,50,2058,,
CFH51ABl50d,carmax,2020-09-14 16:22,no,False,,,"b'Thanks to our associates going above and beyond during the pandemic, we\xe2\x80\x99re 16th on PEOPLE\xe2\x80\x99s 50 Companies Who Care! We are so proud of our associates and their passion for helping others. Link in bio.'",0,0,275,17,292,,
CEm0m_yl19l,carmax,2020-09-01 20:09,yes,False,"mustangfanclub,mustangnation,mustangsofinstagram",,b'Deciding you want a Ford Mustang is just half the battle. Which Mustang is right for you? Check out the link in our bio for the break down! #mustangfanclub #mustangnation #mustangsofinstagram',6039,21.181,173,21,194,,
CEcJQjQFqoQ,carmax,2020-08-28 16:30,no,False,"hondacivic,hondaaccord,honda,cars,carsofinstagram",,b'Which wheel would you get behind? Click the link in our bio to check out the differences between the 2019 Civic and the 2019 Accord. #hondacivic #hondaaccord #honda #cars #carsofinstagram',0,0,193,27,220,,
CEXSmkUl6jC,carmax,2020-08-26 19:16,no,False,"honda,hondacivic,hondaaccord,cars,carsofinstagram",,b'There\xe2\x80\x99s a Honda for everyone. Compare the 2019 Civic and 2019 Accord and find your Honda BFF. Link in Bio #honda  #hondacivic #hondaaccord #cars #carsofinstagram',0,0,105,8,113,,
CEAJLucl1-X,carmax,2020-08-17 19:34,yes,False,"hondaaccord,hondacivic,honda,hondanation,hondalove",,"b'What separates two of the best-selling sedans in America, the Honda Accord and the Civic? Watch the full video in our bio to find out. #hondaaccord #hondacivic #honda #hondanation #hondalove'",3985,27.386,129,8,137,,
CD4BDxzFLT5,carmax,2020-08-14 15:46,no,False,"toyota,toyotacamry,cars,carsofinstagram",,b'Get an insider look at the redesign and updates to the 2018 Toyota Camry. Link in bio. #toyota #toyotacamry #cars #carsofinstagram',0,0,95,7,102,,
CDjFo4qlgkq,carmax,2020-08-06 12:42,no,False,,,b'Now\xe2\x80\x99s the perfect time to practice with your student driver.',0,0,121,7,128,,
CC6UCFxF2CL,carmax,2020-07-21 16:40,yes,False,"toyotacamry,camry,toyotanation",,"b'The sedan is not dead! The Toyota Camry was completely redesigned in 2018, its \xe2\x80\x98widemouth\xe2\x80\x99 grille was removed and replaced by a sleek appearance that will look good for years to come \xe2\x80\x93\xe2\x80\x93 but does its lack of overall power let it down? \nFull video in\xc2\xa0Bio! \n#toyotacamry #camry #toyotanation'",4299,19.181,141,7,148,,
CCtqUyzlcg3,carmax,2020-07-16 18:44,yes,False,"loveisforever,loveislove",,"b'We were casting a real couple for our commercial last summer, when we first met Kathi and Gloria. We laughed and cried as they told us their incredible love story and by the end of the shoot, we too, had fallen in love. Our hearts go out to Kathi as she mourns the loss of her beautiful wife, Gloria. #loveisforever #loveislove'",2974,110.423,148,15,163,,
CCotawdFIsH,carmax,2020-07-14 20:37,yes,False,"fordf150,fordtrucks,fordnation",,"b'The Ford F-150 is one of the most iconic trucks you can buy today. The 2018 model year delivers a utilitarian look and feel, with impressive handling capabilities \xe2\x80\x93\xe2\x80\x93 but how does it match-up to its competitors? Full video link in the bio. #fordf150 #fordtrucks #fordnation'",3206,20.514,111,4,115,,
CCOcJrpFpOl,carmax,2020-07-04 15:43,no,False,,,b'Here\xe2\x80\x99s to having a 4th of July that sparkles.',0,0,165,7,172,,
CBs33l5FDcE,carmax,2020-06-21 14:52,yes,False,,,b'Here\xe2\x80\x99s to all the dads out there. Happy Father\xe2\x80\x99s Day!',1726,15.0,143,6,149,,
CBB7qyVFpAr,carmax,2020-06-04 22:37,no,False,,,b'We stand with the Black community and our associates. You matter.',0,0,540,37,577,,
CAx_bFmlVCF,carmax,2020-05-29 18:04,yes,False,,,"b'When you sell us a car, your peace of mind is our priority.'",1632,10.013,131,8,139,,
CAseckUlqPd,carmax,2020-05-27 14:38,no,False,,,"b'From distancing to disinfecting, we\xe2\x80\x99re following recommended CDC guidelines to keep our stores and cars clean.'",0,0,161,6,167,,
CAff6ZTFUZ0,carmax,2020-05-22 13:41,yes,False,,,b'Here\xe2\x80\x99s to all the students moving up and moving on. Enjoy the ride!',3123,8.011,201,13,214,,
CAAkY_tlB7_,carmax,2020-05-10 13:24,yes,False,,,b'Wishing all our moms a smooth and peaceful drive this Mother\xe2\x80\x99s Day.',1358,14.993,136,9,145,,
