shortcode,username,date_utc,is_video,is_sponsored,hashtags,mentions,caption,video_view_count,video_length,likes,comments,likes+comments,location_name,location_latlong
CIYuA_fHpZv,carnival,2020-12-04 18:40:37.000000,no,False,"b'choosefun,carnival'",b'',b'You\xe2\x80\x99ve just boarded and you immediately double check your bag for this MUST HAVE item to fun up your sail. What is yours - tell us in the comments! :backhand_index_pointing_down:\n\nWe\xe2\x80\x99ve heard everything from a lucky set of swim-trunks for the hairy chest contest to back-up flip flops for dancing the night away on Lido Deck! :rolling_on_the_floor_laughing::rolling_on_the_floor_laughing: #ChooseFun #Carnival',0,0,9615,358,,,
CIW2ZxRlqJe,carnival,2020-12-04 01:15:18.000000,no,False,b'choosefun',b'',"b""Third monolith appears in California desert today. Think it's trying to tell us something... #ChooseFun""",0,0,7367,137,,,
CIVsaMxsLbI,carnival,2020-12-03 14:28:52.000000,no,False,b'',b'',b'Important update regarding select sailings in February 2021 and the inaugural sailing of Mardi Gras.',0,0,7007,378,,,
CITYPWEh9uc,carnival,2020-12-02 16:54:12.000000,yes,False,"b'choosefun,carnival'",b'shaq',"b'No one misses sailing as much as our Chief Fun Officer, @shaq.  What\xe2\x80\x99s your perfect onboard day? Let us know in the comments! #ChooseFun #Carnival'",30409,14.5,3480,104,,,
CIQ1GOdhTqi,carnival,2020-12-01 17:08:27.000000,no,False,"b'carnivalmardigras,choosefun'",b'',b'Guy\xe2\x80\x99s Pig & Anchor Smokehouse  Brewhouse on Mardi Gras is everything you know and love\xe2\x80\xa6 but with a few things up its sleeve :winking_face: Link in bio to learn more about Mardi Gras! #CarnivalMardiGras #ChooseFun',0,0,9287,168,,,
CID8Ki4B6Qw,carnival,2020-11-26 17:00:09.000000,yes,False,"b'choosefun,carnival'",b'shaq',"b'Turkey day schmurkey day! :chicken: > :turkey:\nWe\xe2\x80\x99ll be feasting on Big Chicken from @Shaq, whether the chicken talks... is another discussion :winking_face: No matter what\xe2\x80\x99s on your table today, Carnival wishes you all a Happy Thanksgiving! #ChooseFun #Carnival'",19611,7.666,1841,13,,,
CIBXY4dnWNs,carnival,2020-11-25 17:00:50.000000,yes,False,"b'choosefun,carnival'",b'groovetheworld',"b""Ever wanted to know what Mardi Gras' Cruise Director @groovetheworld's favorite destination to travel to is or what his best dance moves are? Tag a friend who needs these tips and tricks before sailing with us :smiling_face_with_sunglasses::passenger_ship: #ChooseFun #Carnival""",18372,59.833,1421,42,,,
CH_BvgmBOe3,carnival,2020-11-24 19:12:50.000000,yes,False,"b'choosefun,carnival'",b'',"b'Currently dreaming :thought_balloon:of chilling by the pool and enjoying the :hamburger::tropical_drink:, all on Mardi Gras! More fun is on its way - see you there! #ChooseFun #Carnival'",44157,27.833,6053,181,,,
CHvC7UrohCn,carnival,2020-11-18 14:15:17.000000,no,False,b'',b'',b'Important update regarding early 2021 U.S. sailings.',0,0,10537,902,,,
CHs-VZXnUwg,carnival,2020-11-17 18:56:38.000000,yes,False,"b'choosefun,carnival'",b'',b'Making our pool schedule for when we are on Mardi Gras :party_popper::rolling_on_the_floor_laughing:\n10AM Serenity Pool :woman_getting_massage_selector:\n11AM Tides Pool :water_wave:\n12PM Beach Pool :beach_with_umbrella:\n1PM Loft19 Pool :smiling_face_with_sunglasses:\n2PM Havana Pool :tropical_drink:\n3PM Patio Pool :sun_selector:\nSounds like a good day to us! \n#ChooseFun #Carnival',33634,22.0,4545,194,,,
