shortcode,username,date_utc,is_video,is_sponsored,hashtags,mentions,caption,video_view_count,video_length,likes,comments,likes+comments,location_name,location_latlong
CIYpUVFjP0Q,carrefourbrasil,2020-12-04 17:59:26.000000,no,False,b'',b'',"b'O processo de internaliza\xc3\xa7\xc3\xa3o come\xc3\xa7ar\xc3\xa1 pelos quatro hipermercados no Rio Grande do Sul, em um projeto piloto, incluindo a loja Passo D\xe2\x80\x99Areia, em Porto Alegre. O novo modelo \xc3\xa9 o ponto inicial para transforma\xc3\xa7\xc3\xa3o do seu modelo de seguran\xc3\xa7a e faz parte dos compromissos anunciados pela rede. O processo de recrutamento e o treinamento dos profissionais para as lojas contar\xc3\xa1 com associa\xc3\xa7\xc3\xa3o que re\xc3\xbane empreendedores negros da regi\xc3\xa3o de Porto Alegre. \n\nTodo o processo de internaliza\xc3\xa7\xc3\xa3o da seguran\xc3\xa7a ter\xc3\xa1 como foco a implementa\xc3\xa7\xc3\xa3o de pr\xc3\xa1ticas antirracistas e de uma cultura de respeito aos direitos humanos, al\xc3\xa9m de considerar a representatividade da popula\xc3\xa7\xc3\xa3o brasileira (50% de mulheres e 56% de negros) como um compromisso. A data de admiss\xc3\xa3o dos novos colaboradores est\xc3\xa1 prevista para o dia 14 de dezembro em todas as lojas Carrefour da regi\xc3\xa3o, seguindo as etapas de contrata\xc3\xa7\xc3\xa3o.'",0,0,2856,448,,,
CIG9JzNj_SO,carrefourbrasil,2020-11-27 21:06:26.000000,no,False,b'',b'',"b'O Carrefour segue em contato com a fami\xcc\x81lia do Sr. Joa\xcc\x83o Alberto Silveira Freitas. Desde o primeiro momento, a empresa entrou em contato com o Sr. Joa\xcc\x83o Batista, pai, para oferecer apoio a\xcc\x80 fami\xcc\x81lia neste momento de dor irrepara\xcc\x81vel. Em 21 de novembro, o CEO do Grupo Carrefour Brasil, Noe\xcc\x88l Prioux, ligou diretamente para o senhor Joa\xcc\x83o Batista para reforc\xcc\xa7ar que a empresa na\xcc\x83o mediria esforc\xcc\xa7os na ajuda a\xcc\x80 fami\xcc\x81lia. Na quarta-feira, dia 25, o Carrefour conversou com a esposa do Sr. Joa\xcc\x83o Alberto, Sra. Milena Borges, que direcionou o contato para o seu advogado.\n\nEnquanto as tratativas com os advogados da fami\xcc\x81lia seguem avanc\xcc\xa7ando, o Carrefour oferecera\xcc\x81 dois apoios imediatos para avaliac\xcc\xa7a\xcc\x83o da fami\xcc\x81lia: \n\n1. Ajuda emergencial a\xcc\x80 fami\xcc\x81lia como uma forma de garantir amparo neste momento.\n2. Assistente social para dar apoio psicolo\xcc\x81gico a Sra. Milena Borges (viu\xcc\x81va), a Thai\xcc\x81s (filha mais velha) e a ex-mulher do Sr. Joa\xcc\x83o Alberto, com a qual teve tre\xcc\x82s filhos.\n\nComo ponto inicial da transformac\xcc\xa7a\xcc\x83o radical de seu modelo de seguranc\xcc\xa7a, a empresa esta\xcc\x81 em processo de contratac\xcc\xa7a\xcc\x83o de pessoas para internalizar a seguranc\xcc\xa7a da loja Passos D\xe2\x80\x99Areia ate\xcc\x81 a pro\xcc\x81xima sexta-feira, 4 de dezembro. As outras duas lojas da rede na cidade de Porto Alegre ja\xcc\x81 esta\xcc\x83o sendo preparadas para receber este processo.\n\nO Carrefour entende que somente ouvindo e aprendendo com as pessoas e organizac\xcc\xa7o\xcc\x83es comprometidas com o combate ao racismo pode efetivamente contribuir para a mudanc\xcc\xa7a do racismo estrutural na sociedade. Por isso, foi criado o Comite\xcc\x82 Externo de Livre Expressa\xcc\x83o sobre a Diversidade e Inclusa\xcc\x83o. Em breve, sera\xcc\x81 aberto um canal para ampliar ac\xcc\xa7o\xcc\x83es e o dia\xcc\x81logo com outras organizac\xcc\xa7o\xcc\x83es no pai\xcc\x81s, que ira\xcc\x83o contribuir para que o ocorrido em Porto Alegre na\xcc\x83o mais acontec\xcc\xa7a.\n\nO Carrefour sabe que nada trara\xcc\x81 a vida do senhor Joa\xcc\x83o Alberto de volta, mas espera poder ajudar a fami\xcc\x81lia neste momento de dor irrepara\xcc\x81vel. E continua avanc\xcc\xa7ando para implementar as medidas que ajudara\xcc\x83o a contribuir para o combate \xc3\xa0 discriminac\xcc\xa7a\xcc\x83o racial no Brasil.'",0,0,5098,1198,,,
CIDo3FqDyPm,carrefourbrasil,2020-11-26 14:11:23.000000,no,False,b'',b'',"b'Como primeiras a\xc3\xa7\xc3\xb5es concretas do Comit\xc3\xaa Externo de Livre Express\xc3\xa3o sobre Diversidade e Inclus\xc3\xa3o, temos:\n\n- Ado\xc3\xa7\xc3\xa3o de pol\xc3\xadtica de toler\xc3\xa2ncia zero ao racismo e \xc3\xa0 discrimina\xc3\xa7\xc3\xa3o por raz\xc3\xb5es de ra\xc3\xa7a e etnia, origem, condi\xc3\xa7\xc3\xa3o social, identidade de g\xc3\xaanero, orienta\xc3\xa7\xc3\xa3o sexual, idade, defici\xc3\xaancia e religi\xc3\xa3o no Carrefour e em toda sua cadeia de valor.\n\n- Uma cl\xc3\xa1usula de combate ao racismo ser\xc3\xa1 inserida em todos os contratos com fornecedores e, se comprovado o fato, seu descumprimento implicar\xc3\xa1 em rompimento do contrato. Fornecedores que j\xc3\xa1 t\xc3\xaam essa cl\xc3\xa1usula em contrato ser\xc3\xa3o valorizados.\n\n- Ado\xc3\xa7\xc3\xa3o de regras rigorosas de recrutamento e treinamento para transformar profundamente o time de seguran\xc3\xa7a, com orienta\xc3\xa7\xc3\xa3o e apoio e em parceria com organiza\xc3\xa7\xc3\xb5es reconhecidas no combate a todo tipo de discrimina\xc3\xa7\xc3\xa3o.\n\n- Oferecer qualifica\xc3\xa7\xc3\xa3o diferenciada para negras e negros para acelera\xc3\xa7\xc3\xa3o na carreira no Carrefour,  al\xc3\xa9m do apoio a institui\xc3\xa7\xc3\xb5es de ensino distribu\xc3\xaddas pelo pa\xc3\xads para forma\xc3\xa7\xc3\xa3o profissional de jovens negros e negras.\n\nEm respeito \xc3\xa0 mem\xc3\xb3ria de Jo\xc3\xa3o Alberto Silveira Freitas, nesta quinta-feira todas as nossas lojas estiveram fechadas at\xc3\xa9 as 14h. O resultado dos dias 26 e 27 de novembro ser\xc3\xa1 revertido para a\xc3\xa7\xc3\xb5es de combate ao racismo e \xc3\xa0 promo\xc3\xa7\xc3\xa3o da diversidade, valor somado ao Fundo de R$ 25 milh\xc3\xb5es j\xc3\xa1 anunciado e ao resultado do dia 20 de novembro. \n\nEsses compromissos n\xc3\xa3o trazem de volta a vida de Jo\xc3\xa3o Alberto, mas esperamos que representem um importante passo de um longo caminho no combate \xc3\xa0 discrimina\xc3\xa7\xc3\xa3o racial.'",0,0,11961,1788,,,
CHzPgf-DisZ,carrefourbrasil,2020-11-20 05:22:00.000000,no,False,b'',b'',"b'Sobre a brutal morte do senhor Jo\xc3\xa3o Alberto Silveira Freitas na loja em Porto Alegre, no bairro Passo D\xe2\x80\x99Areia:\n\nO Carrefour informa que adotar\xc3\xa1 as medidas cab\xc3\xadveis para responsabilizar os envolvidos neste ato criminoso. Tamb\xc3\xa9m romper\xc3\xa1 o contrato com a empresa que responde pelos seguran\xc3\xa7as que cometeram a agress\xc3\xa3o. O funcion\xc3\xa1rio que estava no comando da loja no momento do incidente ser\xc3\xa1 desligado. Em respeito \xc3\xa0 v\xc3\xadtima, a loja ser\xc3\xa1 fechada. Entraremos em contato com a fam\xc3\xadlia do senhor Jo\xc3\xa3o para dar o suporte necess\xc3\xa1rio. \n\nO Carrefour lamenta profundamente o caso. Ao tomar conhecimento deste inexplic\xc3\xa1vel epis\xc3\xb3dio, iniciamos uma rigorosa apura\xc3\xa7\xc3\xa3o interna e, imediatamente, tomamos as provid\xc3\xaancias cab\xc3\xadveis para que os respons\xc3\xa1veis sejam punidos legalmente. Para n\xc3\xb3s, nenhum tipo de viol\xc3\xaancia e intoler\xc3\xa2ncia \xc3\xa9 admiss\xc3\xadvel, e n\xc3\xa3o aceitamos que situa\xc3\xa7\xc3\xb5es como estas aconte\xc3\xa7am. Estamos profundamente consternados com tudo que aconteceu e acompanharemos os desdobramentos do caso, oferecendo todo suporte para as autoridades locais.'",0,0,46439,91492,,,
CHxstAkAaj_,carrefourbrasil,2020-11-19 14:58:38.000000,no,False,b'todosmerecempanetone',b'',"b'No Natal do Carrefour, ningu\xc3\xa9m fica de fora da ceia. Para que esse per\xc3\xadodo seja saboroso e inesquec\xc3\xadvel pra todos, voc\xc3\xaa tamb\xc3\xa9m encontra nas lojas o nosso Panetone de Frutas sem gl\xc3\xbaten e sem lactose. Mais uma op\xc3\xa7\xc3\xa3o para a sua fam\xc3\xadlia, mais um motivo para compartilhar. #TodosMerecemPanetone'",0,0,1402,5283,,,
CHvBVtalCjM,carrefourbrasil,2020-11-18 14:01:14.000000,no,False,"b'actforfood,todosmerecemselection'",b'',"b'O cuidado com o alimento que chega at\xc3\xa9 sua casa come\xc3\xa7a muito antes da g\xc3\xb4ndola. Para garantir um maior padr\xc3\xa3o de maciez, a produ\xc3\xa7\xc3\xa3o da nossa carne Selection passa por r\xc3\xadgidos cuidados na cria\xc3\xa7\xc3\xa3o bovina, apoiando fazendas que respeitam o meio ambiente, e traz cortes bovinos selecionados e perfeitos para o seu churrasco. Alimentar pessoas e cuidar do planeta s\xc3\xa3o compromissos do Carrefour. #ActForFood #TodosMerecemSelection'",0,0,1101,2152,,,
CHs7Jtclzaz,carrefourbrasil,2020-11-17 18:30:07.000000,yes,False,b'comeremcasa',b'cybercookoficial',b'17 de novembro \xc3\xa9 o Dia da Criatividade. O @cybercookoficial adora inovar no ambiente perfeito: A cozinha! Seu card\xc3\xa1pio merece esta Abobrinha recheada com atum e requeij\xc3\xa3o. Perfeita para #ComerEmCasa',56877,92.789,1420,1064,,,
CHi3mNms98r,carrefourbrasil,2020-11-13 20:45:13.000000,no,False,b'comeremcasa',b'cybercookoficial',"b'O Chimichurri \xc3\xa9 um famoso tempero argentino para carnes que fica delicioso com p\xc3\xa3o, torradinhas e com quase tudo o que voc\xc3\xaa quiser!  Confira essa receita muito simples e r\xc3\xa1pida do @cybercookoficial.\n\nVoc\xc3\xaa vai precisar de:\n:right_arrow_selector: 2 colheres (sopa) de alho desidratado\n:right_arrow_selector: 3 folhas de louro mo\xc3\xaddas\n:right_arrow_selector: 1 colher (ch\xc3\xa1) de pimenta-do-reino branca\n:right_arrow_selector: azeite de oliva a gosto\n:right_arrow_selector: 2 colheres (sopa) de piment\xc3\xa3o vermelho desidratado\n:right_arrow_selector: vinagre branco a gosto\n:right_arrow_selector: \xc3\xa1gua a gosto\n:right_arrow_selector: 2 colheres (sopa) de salsa desidratada\n:right_arrow_selector: 2 colheres (sopa) de or\xc3\xa9gano desidratado\n\nComo fazer: Coloque todos os temperos em um vidro com tampa, com um pouco de \xc3\xa1gua para hidratar. Junte cerca de 1 1/2 x\xc3\xadcara (ch\xc3\xa1) de vinagre branco e 1/2 x\xc3\xadcara (ch\xc3\xa1) de azeite.  Deixe descansar por 12 horas e re\xc3\xbana a familia para #ComerEmCasa'",0,0,43358,809,,,
CHffUwcAduv,carrefourbrasil,2020-11-12 13:15:24.000000,no,False,b'todosmerecempenne',b'',"b'O penne integral da marca Viver, do Carrefour, tem a fibra que voc\xc3\xaa precisa para valorizar seu molho caseiro e juntar toda a fam\xc3\xadlia em torno de uma refei\xc3\xa7\xc3\xa3o cheia de sabor. Bon App\xc3\xa9tit! #TodosMerecemPenne'",0,0,871,555,,,
CHdG4Cmgtf-,carrefourbrasil,2020-11-11 15:03:17.000000,no,False,b'',b'',"b'Temperos sempre \xc3\xa0 m\xc3\xa3o, cebola sem chorar e outras dicas para facilitar o seu dia a dia cozinhando. Vem com a gente dar uma olhadinha nos stories e conhe\xc3\xa7a essas e outras dicas para arrasar na cozinha sempre!'",0,0,519,409,,,
