shortcode,username,date_utc,is_video,is_sponsored,hashtags,mentions,caption,video_view_count,video_length,likes,comments,likes+comments,location_name,location_latlong
CIYihjsLQdO,cartier,2020-12-04 17:00:14.000000,no,False,"b'cartiergifts,makeeverymomentprecious,cartierwithlove,celebratewithcartier'",b'',"b'Holiday magic, delivered. Discover the new Cartier Objects collections, now online and in boutiques. \n#CartierGifts #MakeEveryMomentPrecious #CartierWithLove #CelebrateWithCartier'",0,0,33312,86,,,
CIV9up4AVKt,cartier,2020-12-03 17:00:22.000000,yes,False,"b'cartiergifts,makeeverymomentprecious,cartierwithlove,celebratewithcartier'",b'',"b'An exquisite balancing act. Find magic in the joy of writing with the new stationery, writing accessories, notebooks and more. #CartierGifts \n#MakeEveryMomentPrecious #CartierWithLove #CelebrateWithCartier'",44065,41.2,6795,40,,,
CITY71thVRC,cartier,2020-12-02 17:00:23.000000,yes,False,"b'cartiergifts,makeeverymomentprecious,cartierwithlove,celebratewithcartier'",b'',"b'When the Cartier panth\xc3\xa8re comes out to play, the precious objects sway. Discover the new Cartier Objects collections, now online and in boutiques. #CartierGifts\n#MakeEveryMomentPrecious #CartierWithLove #CelebrateWithCartier'",54993,36.033,7916,49,,,
CIQ0I1hrFLo,cartier,2020-12-01 17:00:13.000000,no,False,"b'cartiergifts,makeeverymomentprecious,cartierwithlove,celebratewithcartier'",b'',"b'Let the holiday games begin with the new Cartier Objects collections, now online and in boutiques. #CartierGifts \n#MakeEveryMomentPrecious #CartierWithLove #CelebrateWithCartier'",0,0,20907,59,,,
CILqVDuAEHy,cartier,2020-11-29 16:58:09.000000,no,False,"b'makeeverymomentprecious,cartierwithlove,celebratewithcartier'",b'',b'The shape of perfection. #MakeEveryMomentPrecious #CartierWithLove #CelebrateWithCartier',0,0,43465,239,,,
CIJFtQ1gl09,cartier,2020-11-28 16:59:39.000000,no,False,"b'makeeverymomentprecious,cartierwithlove,celebratewithcartier'",b'',b'Exquisite gifts for a magical celebration. #MakeEveryMomentPrecious #CartierWithLove #CelebrateWithCartier',0,0,87105,516,,,
CIIcYVwgrrl,cartier,2020-11-28 10:58:32.000000,no,False,"b'makeeverymomentprecious,cartierwithlove,celebratewithcartier'",b'',b'An enchanting moment in time. #MakeEveryMomentPrecious #CartierWithLove #CelebrateWithCartier',0,0,46099,218,,,
CIGg4EQgyAZ,cartier,2020-11-27 16:59:20.000000,no,False,"b'makeeverymomentprecious,cartierwithlove,celebratewithcartier'",b'',b'Sparkling decisions. The panther meets her match. #MakeEveryMomentPrecious #CartierWithLove #CelebrateWithCartier',0,0,35307,208,,,
CID8KvuL-bf,cartier,2020-11-26 17:00:15.000000,no,False,"b'makeeverymomentprecious,cartierwithlove,celebratewithcartier'",b'',b'Better than any wishlist. #MakeEveryMomentPrecious #CartierWithLove #CelebrateWithCartier',0,0,25086,116,,,
CIDS3xMAz48,cartier,2020-11-26 10:59:15.000000,no,False,"b'makeeverymomentprecious,cartierwithlove,celebratewithcartier'",b'',b'For the one who deserves everything. #MakeEveryMomentPrecious #CartierWithLove #CelebrateWithCartier',0,0,32775,181,,,
