shortcode,username,date_utc,is_video,is_sponsored,hashtags,mentions,caption,video_view_count,video_length,likes,comments,likes+comments,location_name,location_latlong
CIWE1BnhmxW,caterpillarinc,2020-12-03 18:02:06.000000,no,False,b'poweredbycat',b'eaglecrusher',"b'We\'re always inspired by Cat engine customers like @eaglecrusher who don\'t take ""no"" for an answer. When C.L. Woods brought up an idea he had for a unique rock crusher, his bosses gave him a hard pass. :person_gesturing_NO: But he wasn\'t about to let those two little letters keep him from his dreams... :fast-forward_button: Fast forward to today and Eagle Crusher is a leading seller of rubber-tired crushing plants in the world. #PoweredByCat\n\nWant to see more? Check out our Insta story for details.'",0,0,1880,10,,,
CIT_mW2BeeT,caterpillarinc,2020-12-02 22:37:56.000000,no,False,"b'letsdothework,cattrials'",b'',"b""As a kid, Lance loved PAC-MAN:trade_mark: and he's been passionate about video games ever since \xe2\x80\x94 from designing and selling a console to restoring old arcade games. This year he brought that passion to his role as senior art director for Cat Trial 9.\n\n\xe2\x80\x9cNearly 40 years ago, I was sitting at a grade school just two miles away from the Maze construction site with all of my PAC-MAN:trade_mark: stuff on me \xe2\x80\x93 the PAC-MAN:trade_mark: watch, the lunch box, t-shirt and hat. At home there were the toys and the board game, the trading cards, the cereal\xe2\x80\xa6 it was ridiculous. So, to be part of this project some 40 years later \xe2\x80\x93 it was surreal.\xe2\x80\x9d\n\nRead the full story at cat.com/95. #LetsDoTheWork #CatTrials""",0,0,2422,13,,,
CILxFjXhKn-,caterpillarinc,2020-11-29 17:57:12.000000,no,False,"b'letsdothework,gifting'",b'',b'Find gifts for everyone on your list with our 2020 holiday gift guide. Check out the links in Stories.\n\n#LetsDoTheWork #Gifting',0,0,5137,52,,,
CIIxKVklbUs,caterpillarinc,2020-11-28 14:00:10.000000,no,False,b'',b'',"b'Running a small business is hard work. We see our customers do it every day \xe2\x80\x93 they work with their customers, manage finances, support employees, make business plans and give back to their communities. It\xe2\x80\x99s a lot. To small business owners who have kept going this year...:raising_hands:\n\nToday let\xe2\x80\x99s give more than a high five and shop, eat and buy from the small businesses in your community. Who\xe2\x80\x99s with us? :person_raising_hand:\n\nTag a small business that you\xe2\x80\x99re supporting this year.'",0,0,4524,18,,,
CIDkIxBL7ZJ,caterpillarinc,2020-11-26 13:30:10.000000,no,False,b'happythanksgiving',b'',"b""No matter what you're doing for Thanksgiving this year, we hope your day is a sweet one!\n\n#HappyThanksgiving""",0,0,7379,28,,,
CH8WDuhBh6C,caterpillarinc,2020-11-23 18:12:24.000000,no,False,b'letsdothework',b'',"b'Kenny Nichols, long-time dozer operator and Cat equipment owner, has dedicated his life to doing the work he loves. After climbing on a dozer for the first time at seven-years-old, he\xe2\x80\x99s spent the last 84 years logging over 110,000 hours operating dozers \xe2\x80\x94 making him one of the most experienced dozer operators around.\n\nAt 91 years old Kenny is still at it, and has no plans to retire anytime soon. ""Why quit something you like doing?""\n\nRead more about Kenny at cat.com/95. #LetsDoTheWork'",0,0,16380,176,,,
CH59sSEBpyc,caterpillarinc,2020-11-22 20:02:04.000000,yes,False,"b'letsdothework,cattrials'",b'',b'What does it take to recreate a giant game board in the dirt? Find out what machines and technology helped build our maze. \n\nWatch the full behind-the-scenes video at cat.com/trial9. \n\n#LetsDoTheWork #CatTrials',69549,122.105,7694,51,,,
CH29VMgspH8,caterpillarinc,2020-11-21 16:00:11.000000,no,False,b'letsdothework',b'',"b'Our GC products, like this 330 GC Hydraulic Excavator, are made for the cost-conscious customer who wants simple, best-in-class machines to do the work. See our News highlights to learn more about how our GC line of products is meeting needs from bustling cities to remote mine sites. #letsdothework'",0,0,10184,36,,,
CH2sKWOrI0C,caterpillarinc,2020-11-21 13:30:09.000000,no,False,b'podcast',b'',"b'Like you, our leaders have been navigating the unknown this year. Hear lessons in teamwork and adaptability in this newest podcast with Vice President Nigel Lewis. Listen on your favorite podcast app by searching for ""The Caterpillar Podcast"". #podcast'",0,0,1960,3,,,
CH0bsC1hF0K,caterpillarinc,2020-11-20 16:27:41.000000,no,False,"b'cattrials,pacman40th'",b'',b'Playing our version of PAC-MAN takes some real skills. Meet the people and players at cat.com/trial9. #CatTrials #PACMAN40th',0,0,6759,24,,,
CHv99KAsGnc,caterpillarinc,2020-11-18 22:51:10.000000,yes,False,b'caterpillar95',b'',"b'Dude, think you know the \xe2\x80\x9880s and \xe2\x80\x9890s? See how the last century came to a close for us and our customers with extraordinary infrastructure feats, major introductions and more in this video. Learn about at caterpillar.com/history #Caterpillar95'",55810,59.866,6057,34,,,
