shortcode,username,date_utc,is_video,is_sponsored,hashtags,mentions,caption,video_view_count,video_length,likes,comments,likes+comments,location_name,location_latlong
CIY6RewjVTp,cbstv,2020-12-04 20:27:58.000000,yes,False,b'dollyoncbs',b'dollyparton',"b""@DollyParton tells us how we can all spread holiday cheer. Join us for Dolly's one-hour special this Sunday, December 6 at 8:30pm ET/8pm PT on CBS! #DollyonCBS""",2491,49.619,366,2,,,
CIY0wfUD9iE,cbstv,2020-12-04 19:42:18.000000,yes,False,b'',"b'macgyvercbs,magnumpicbs,bluebloods_cbs'",b'Watch your favorite Friday night shows tonight starting at 8/7c on CBS!\n\n@macgyvercbs @magnumpicbs @bluebloods_cbs',4494,98.096,612,13,,,
CIW-oFNB-vS,cbstv,2020-12-04 02:28:14.000000,yes,False,b'',b'dollyparton',"b'...and on the 4th day, @DollyParton shares a fun Christmas memory.'",2565,81.166,339,3,,,
CIW9ggjhffC,cbstv,2020-12-04 02:17:55.000000,yes,False,b'',b'theunicorncbs',b'More exclusive behind the scenes conversations with the cast will be on @theunicorncbs',2189,61.366,248,1,,,
CIWUpP8jESy,cbstv,2020-12-03 20:20:19.000000,no,False,b'',"b'theequalizercbs,cbsallaccess'","b'She\xe2\x80\x99s got the receipts, 2020. In 2021, she\xe2\x80\x99s coming for you. @theequalizercbs premieres February 7 on CBS and @CBSAllAccess. :american_football:'",0,0,999,27,,,
CIUKrFpBgpG,cbstv,2020-12-03 00:15:39.000000,yes,False,b'dollyoncbs',"b'dollyparton,cbsallaccess'","b""...and on the 5th day, @DollyParton tells us the best gift she\xe2\x80\x99s ever given. Join us for Dolly's one-hour special this Sunday, December 6 at 8:30pm ET/8pm PT on CBS and @CBSAllAccess. #DollyOnCBS""",2399,62.933,290,3,,,
CIS-VfWBPv-,cbstv,2020-12-02 13:07:39.000000,no,False,b'icymi',"b'thetalkcbs,amandakloots,elainewelteroth,sharonosbourne,sherylunderwood,carrieanninaba'","b'#ICYMI: @thetalkcbs is welcoming two new hosts! :party_popper: @AmandaKloots and @ElaineWelteroth are set to join @SharonOsbourne, @Sherylunderwood and @CarrieAnnInaba on January 4th, 2021.'",0,0,660,15,,,
CIRc1rPhCxL,cbstv,2020-12-01 22:56:00.000000,yes,False,b'dollyoncbs',"b'dollyparton,cbsallaccess'","b""The countdown to A Holly Dolly Christmas continues, and on the 6th day, @DollyParton shares what her favorite Christmas ornament is. We can't wait for Dolly's one-hour special this Sunday, December 6 at 8:30pm ET/8pm PT on CBS and @CBSAllAccess. #DollyOnCBS""",1605,37.866,286,4,,,
CIQwOyrh85F,cbstv,2020-12-01 16:27:11.000000,yes,False,"b'dollyoncbs,lssc,dollyparton'","b'dollyparton,colbertlateshow,barackobama'",b'This is now a @dollyparton stan account... you\xe2\x80\x99re welcome. :red_heart_selector:#DollyonCBS @colbertlateshow @barackobama #LSSC #DollyParton',2449,27.733,397,11,,,
CIQcp02hsAA,cbstv,2020-12-01 13:34:51.000000,no,False,b'',"b'vanityfair,colbertlateshow,stephenathome'",b'Colbert sleighs on the cover of  @vanityfair for their holiday issue! :sled::Christmas_tree: @colbertlateshow @stephenathome',0,0,428,3,,,
