shortcode,username,date_utc,is_video,is_sponsored,hashtags,mentions,caption,video_view_count,video_length,likes,comments,likes+comments,location_name,location_latlong
CHgVERssSfJ,cemex,2020-11-12 21:05:01.000000,no,False,b'',b'',"b'Stronger roads for up to 30,000 cars a day! :automobile: That\xe2\x80\x99s the new Las Calzadas, the freshly-paved streets in Northeast Mexico covering an area of 100,000 m2. We are proud to have participated in this project by supplying hydraulic concrete, a rapid-setting product that is ready to go just three days after application. :Mexico:'",0,0,7469,14,,San Pedro Garza García,25.6567 -100.4
CHYROIJMW25,cemex,2020-11-09 17:57:29.000000,no,False,"b'buildingabetterfuture,sustainability,climatechange,climateaction'",b'',"b'We keep working for a low-carbon future. At CEMEX we endeavor to develop and adapt new technology to help us achieve our ambition to deliver a net-zero CO2 concrete globally, and this project is no exception. We are proud to share that the U.S. Department of Energy has awarded us a grant for a carbon capture feasibility study in collaboration with Membrane Technology and Research (MTR) at our Balcones plant in New Braunfels, Texas. There we will install a new membrane technology on the plant\xe2\x80\x99s production process, which will act as a semi-permeable barrier to facilitate the capture of CO2 emissions and, in time, develop a system that optimizes cement process while minimizing capture costs. This technology combines our expertise with MTR\xe2\x80\x99s for a more sustainable future. \n\n#buildingabetterfuture #sustainability #climatechange #climateaction'",0,0,5868,11,,Texas,31.0 -100.0
CG26KssMKBi,cemex,2020-10-27 19:01:06.000000,no,False,b'',b'',"b'At CEMEX we\xe2\x80\x99re committed to building a low-carbon future, which is why we\xe2\x80\x99ve joined forces with Synhelion to create the first-ever solar-driven cement plant. Through our joint research we\xe2\x80\x99ve developed a solar receiver that captures heat from the sun and converts it to provide process heat at unparalleled temperatures beyond 1,500 \xc2\xb0C, closing the carbon cycle by turning CO2 into clean solar fuels\xe2\x80\x94becoming the very first initiative to comprehensively decarbonize the cement industry. :sun_selector: Look out for the launch of our pilot plant in 2022 for a sunnier future!'",0,0,1610,11,,,
CG0J1TVspYR,cemex,2020-10-26 17:20:16.000000,no,False,b'',b'',"b'Hemos logrado un gran avance para que la construccio\xcc\x81n neutra en carbono se convierta en realidad. Vertua, nuestro primer concreto con 0 emisiones netas de CO2, \xc2\xa1pronto estara\xcc\x81 disponible a nivel mundial! Este concreto, el cual ya ha sido aplicado en proyectos clave en Europa, logra una reduccio\xcc\x81n de hasta el 70% en las emisiones de carbono incorporadas y compensa el resto a trave\xcc\x81s de acciones como la reforestacio\xcc\x81n. :deciduous_tree: \xc2\xa1Estamos muy orgullosos de anunciar este paso en nuestra estrategia de accio\xcc\x81n clima\xcc\x81tica!'",0,0,930,0,,,
CG0Jm_lMprA,cemex,2020-10-26 17:18:19.000000,no,False,b'',b'',"b'We\xe2\x80\x99ve reached a milestone toward carbon neutral construction becoming a reality. Vertua, our first-ever net-zero CO2 concrete, will soon become available worldwide! This concrete, which has already been successfully supplied to key projects in Europe, achieves up to a 70% reduction in embodied carbon emissions, and offsets the rest through actions like reforestation. :deciduous_tree: We are so proud to announce this leap forward in our climate action strategy! Link in bio.\n\nHemos logrado un gran avance para que la construccio\xcc\x81n neutra en carbono se convierta en realidad. Vertua, nuestro primer concreto con 0 emisiones netas de CO2, \xc2\xa1pronto estara\xcc\x81 disponible a nivel mundial! Este concreto, el cual ya ha sido aplicado en proyectos clave en Europa, logra una reduccio\xcc\x81n de hasta el 70% en las emisiones de carbono incorporadas y compensa el resto a trave\xcc\x81s de acciones como la reforestacio\xcc\x81n. :deciduous_tree: Estamos muy orgullosos de anunciar este paso en nuestra estrategia de accio\xcc\x81n clima\xcc\x81tica!'",0,0,590,0,,,
CG0JQtrsXFD,cemex,2020-10-26 17:15:16.000000,no,False,b'',b'',"b'We\xe2\x80\x99ve reached a milestone toward carbon neutral construction becoming a reality. Vertua, our first-ever net-zero CO2 concrete, will soon become available worldwide! This concrete, which has already been successfully supplied to key projects in Europe, achieves up to a 70% reduction in embodied carbon emissions, and offsets the rest through actions like reforestation. :deciduous_tree: We are so proud to announce this leap forward in our climate action strategy! Link in bio.'",0,0,395,3,,,
CGqVE02sbkz,cemex,2020-10-22 21:46:06.000000,no,False,b'keeprolling',"b'rebelrielly,cemex'","b""Hello from the Sunshine State!:sun_selector: We're in Sunny Isles, Florida, working on another amazing project we can't wait to show you. Thanks @rebelrielly for the great shots! Don\xe2\x80\x99t forget to tag your photos @CEMEX if you see us rolling! #KeepRolling :United_States:""",0,0,677,6,,"Sunny Isles Beach, Florida",25.93386 -80.12182
CGnpEXGMMSK,cemex,2020-10-21 20:43:04.000000,no,False,"b'wbcsd,reportingmatters,buildingabetterfuture,wbcsd,reportingmatters,construyendounmejorfuturo'","b'radleyyeldar,radleyyeldar'","b'We\xe2\x80\x99re Top Performers! Our 2019 Integrated Report, Innovating for a Better World, has been recognized by the World Business Council for Sustainable Development #WBCSD and @radleyyeldar in this year\xe2\x80\x99s #ReportingMatters. This annual publication reviews member company sustainability reports, showing continued progress in corporate sustainability reporting and disclosure. #BuildingABetterFuture https://www.cemex.com/investors/reports/home :globe_showing_Europe-Africa:\n\n\xc2\xa1Excelentes resultados! Nuestro Reporte Integrado 2019, Innovando para un mundo mejor, fue reconocido por el Consejo Empresarial Mundial para el Desarrollo Sostenible #WBCSD y @radleyyeldar en esta edici\xc3\xb3n de #ReportingMatters. Esta publicaci\xc3\xb3n anual califica el desempe\xc3\xb1o de los informes de sostenibilidad de las empresas miembro, mostrando un progreso continuo en los informes y divulgaci\xc3\xb3n de sostenibilidad corporativa. #ConstruyendoUnMejorFuturo https://www.cemex.com/investors/reports/home :globe_showing_Europe-Africa:'",0,0,1712,6,,,
CGTeBBJsxfE,cemex,2020-10-14 00:41:41.000000,no,False,b'cemex',b'',"b'#CEMEX has taken the lead in ""green"" financing by successfully extending our Facilities Agreement with one of the largest sustainability-linked loans in the world. This agreement allows us to improve our debt maturity profile and underscores our commitment to sustainability. Learn more at the link in bio. $CX'",0,0,2697,4,,,
CGP9eBrsqn8,cemex,2020-10-12 15:59:34.000000,no,False,b'',b'',"b'We\xe2\x80\x99re proud to present our collaboration with sculptor Kurt Gebauer, a one-of-a-kind project for us! :flexed_biceps_medium-light_skin_tone: We worked with Gebauer, a legend of Czech fine arts, to bring this great sculpture to life by providing sand from our Kluk sandpit, in the Czech Republic. The final result was an impressive work of 1,200 tons and 42 meters in length, 12 meters in width, and 2.6 meters in height. We couldn\xe2\x80\x99t be more excited to have met this artistic challenge and support the work of this internationally acclaimed artist. :smiling_face_with_sunglasses:'",0,0,310,0,,,
