shortcode,username,date_utc,is_video,is_sponsored,hashtags,mentions,caption,video_view_count,video_length,likes,comments,likes+comments,location_name,location_latlong
CIQ3ldtM0Il,centurylink,2020-12-01 17:30:13.000000,no,False,b'rescuechristmas',b'salvationarmyus',b'Help CenturyLink #RescueChristmas by donating to @salvationarmyus through our virtual Holiday Giving Campaign this year.\r\n\r\nLink in bio.',0,0,34,31,,,
CII4F7lgkFT,centurylink,2020-11-28 15:00:53.000000,yes,False,b'smallbusinesssaturday',b'',b'Small has never been bigger. Happy #SmallBusinessSaturday!',205,11.4,26,13,,,
CIDul_zA7-_,centurylink,2020-11-26 15:01:40.000000,yes,False,b'',b'',b'Happy Thanksgiving from CenturyLink! :turkey:',165,10.166,21,6,,,
CHsp5yxlfOj,centurylink,2020-11-17 15:57:59.000000,no,False,"b'familytime,family,internet,download,streaming,centurylink,video,thanksgiving,holiday,holidays,wifi,tech,technology'",b'',b'Don\xe2\x80\x99t let your friends and family rack up data charges while they\xe2\x80\x99re visiting! Click the link in our bio to download this customizable WiFi sign so your loved ones can browse and scroll without fear. Link in bio.\n\n...\n\n#familytime #family #internet #download #streaming #CenturyLink #video #thanksgiving #holiday #holidays #WiFi #Tech #technology',0,0,20,42,,,
CHdtPEJgxJs,centurylink,2020-11-11 20:38:29.000000,no,False,b'veteransday',b'',b'We salute all the brave men and women who served our country. #VeteransDay',0,0,76,32,,,
CHYd9qJsUg3,centurylink,2020-11-09 19:48:51.000000,no,False,"b'holiday,virutal,lumen,christmas,family,technology,virtualholidays'",b'',"b'With the holiday season coming up, we\xe2\x80\x99re all eager to spend time with loved ones, but for many people, family traditions will be different this year. If it\xe2\x80\x99s not possible for your nearest and dearest to gather in person, consider some interactive options that go beyond a typical video chat. Learn how to share family photos online for the holidays at the link in our bio.\n\n...\n\n#Holiday #virutal #Lumen #Christmas #family #technology #virtualholidays'",0,0,40,31,,,
CG7pf9EAW8q,centurylink,2020-10-29 15:11:39.000000,no,False,"b'tv,movies,tvshows,cable,cordcutting,internet,streaming,sports,news,wifi,centurylink'",b'',b':heavy_check_mark: Your shows\n:heavy_check_mark: Your movies\n:heavy_check_mark: Your sports\n:heavy_check_mark: Your news\nYour custom TV recommendation is available at centurylink.com\n\n...\n#tv #movies #tvshows #cable #cordcutting #internet #streaming #sports #news #WiFi #CenturyLink',0,0,30,48,,,
CG2fvX2Angk,centurylink,2020-10-27 15:10:10.000000,no,False,"b'shopping,onlineshopping,onlineshoppers,onlinesafety,internet,internetsafety,centurylink,stayconnected'",b'',b'Ready to do some online shopping? Read our guide to online deals and how to avoid scams. Link in bio.\n\n...\n\n#shopping #onlineshopping #onlineshoppers #onlinesafety #internet #internetsafety #CenturyLink #stayconnected',0,0,28,25,,,
CGntOKAB2NE,centurylink,2020-10-21 21:19:37.000000,yes,False,"b'internet,wifi,centurylink,tech,technology,home,work'",b'',b'The time for weak Internet has passed.\n...\n#internet #WiFi #CenturyLink #Tech #Technology #home #Work',467,15.0,34,35,,,
CGkpAYrs8vZ,centurylink,2020-10-20 16:44:51.000000,no,False,"b'customer,internet,customerservice,lumencx,custexp,ex,cx,customerfirst,award,newsweek,isp,centurylinkcx,centurylink'",b'newsweek',"b'We\xe2\x80\x99re proud to be named to @Newsweek\xe2\x80\x99s 2021 list of America\xe2\x80\x99s Best #Customer Service brands. We stood out in the #Internet Service Providers category based on feedback from +25,000 surveys. Link in bio.\n\n...\n\n#Customerservice #LumenCX #Custexp #EX #CX #CustomerFirst #Award #Newsweek #ISP #CenturyLinkCX #CenturyLink'",0,0,124,51,,,
