shortcode,username,date_utc,is_video,is_sponsored,hashtags,mentions,caption,video_view_count,video_length,likes,comments,likes+comments,location_name,location_latlong
CIYij2GoZeZ,chanelofficial,2020-12-04 17:00:23.000000,no,False,"b'chanelmetiersdart,chanel,le19m,maisonlemarie'","b'le19m,maison_lemarie,y0laa'","b""Romanticism with touches of rock \xe2\x80\x94 a lustrous black silhouette punctuated by trompe-l'oeil golden medallions.\n\n\xe2\x80\x98Le Cha\xcc\x82teau des Dames\xe2\x80\x99,\nCHANEL 2020/21 Me\xcc\x81tiers d\xe2\x80\x99art collection.\n\nSee all the looks at chanel.com\n\n#CHANELMetiersdart #CHANEL @Le19M #Le19M @Maison_Lemarie #MaisonLemarie @y0laa""",0,0,85601,225,,Château de Chenonceau,47.3246160062 1.0703971982
CIYbsGUI4W8,chanelofficial,2020-12-04 16:00:29.000000,yes,False,"b'chanelmetiersdart,chanel,le19m,maisonmichel'","b'le19m,maisonmichel,madeleine_fs'","b'A sheer, delicate silhouette elevated with a statement hat by Maison Michel \xe2\x80\x94 the CHANEL \xe2\x80\x98Le Cha\xcc\x82teau des Dames\xe2\x80\x99 2020/21 Me\xcc\x81tiers d\xe2\x80\x99art collection, captured in movement at the Cha\xcc\x82teau de Chenonceau.\n\nSee all the looks at chanel.com\n\n#CHANELMetiersdart #CHANEL @Le19M #Le19M @MaisonMichel #MaisonMichel @Madeleine_Fs'",369401,13.4,63071,330,,Château de Chenonceau,47.3246160062 1.0703971982
CIYU1FuI1J-,chanelofficial,2020-12-04 15:00:24.000000,no,False,"b'chanelmetiersdart,chanel,le19m,maisonlemarie,caussegantier'","b'le19m,maison_lemarie,causse_gantier,louisedechevigny'","b'Geometric layers define masculine-feminine nonchalance.\n\n\xe2\x80\x98Le Cha\xcc\x82teau des Dames\xe2\x80\x99,\nCHANEL 2020/21 Me\xcc\x81tiers d\xe2\x80\x99art collection.\n\nSee all the looks at chanel.com\n\n#CHANELMetiersdart #CHANEL @Le19M #Le19M @Maison_Lemarie #MaisonLemarie @Causse_Gantier #CausseGantier @LouisedeChevigny'",0,0,101895,343,,Château de Chenonceau,47.3246160062 1.0703971982
CIYN9N8oqxp,chanelofficial,2020-12-04 14:00:28.000000,yes,False,"b'chanelmetiersdart,chanel,le19m,maisonlemarie'","b'le19m,maison_lemarie,clea_brt'","b'The majesty of a ruffled white collar \xe2\x80\x94 the CHANEL \xe2\x80\x98Le Cha\xcc\x82teau des Dames\xe2\x80\x99 2020/21 Me\xcc\x81tiers d\xe2\x80\x99art collection, captured in movement at the Cha\xcc\x82teau de Chenonceau.\n\nSee all the looks at chanel.com\n\n#CHANELMetiersdart #CHANEL @Le19M #Le19M @Maison_Lemarie #MaisonLemarie @Clea_brt'",219520,11.466,46058,204,,Château de Chenonceau,47.3246160062 1.0703971982
CIYHG7zo11r,chanelofficial,2020-12-04 13:00:31.000000,no,False,"b'chanelmetiersdart,chanel,le19m,desrues'","b'le19m,maisondesrues,blesnyaminher'","b'An ultra-short suit-body revisits the emblematic CHANEL tweed jacket with daring proportions and richly-coloured sequins.\n\n\xe2\x80\x98Le Cha\xcc\x82teau des Dames\xe2\x80\x99,\nCHANEL 2020/21 Me\xcc\x81tiers d\xe2\x80\x99art collection.\n\nSee all the looks at chanel.com\n\n#CHANELMetiersdart #CHANEL @Le19M #Le19M @MaisonDesrues #Desrues @BlesnyaMinher'",0,0,126758,489,,Château de Chenonceau,47.3246160062 1.0703971982
CIYAOT0op-G,chanelofficial,2020-12-04 12:00:29.000000,yes,False,"b'chanelmetiersdart,chanel,le19m,ateliermontex'","b'le19m,ateliermontex,y0laa'","b'A voluminous floral-printed denim skirt echoes the castle tapestries \xe2\x80\x94 the CHANEL \xe2\x80\x98Le Cha\xcc\x82teau des Dames\xe2\x80\x99 2020/21 Me\xcc\x81tiers d\xe2\x80\x99art collection, captured in movement at the Cha\xcc\x82teau de Chenonceau.\n\nSee all the looks at chanel.com\n\n#CHANELMetiersdart #CHANEL @Le19M #Le19M @AtelierMontex #AtelierMontex @y0laa'",293827,10.466,52943,248,,Château de Chenonceau,47.3246160062 1.0703971982
CIX93Jbpn9y,chanelofficial,2020-12-04 11:39:43.000000,no,False,"b'chanelmetiersdart,chanel,le19m,lesage'","b'le19m,lesage,laurenjdg'","b'The dark blue of the night sky embroidered by Lesage with subtle hints of green and peach.\n\n\xe2\x80\x98Le Cha\xcc\x82teau des Dames\xe2\x80\x99,\nCHANEL 2020/21 Me\xcc\x81tiers d\xe2\x80\x99art collection.\n\nSee all the looks at chanel.com\n\n#CHANELMetiersdart #CHANEL @Le19M #Le19M @Lesage #Lesage @LaurenjdG'",0,0,66665,172,,Château de Chenonceau,47.3246160062 1.0703971982
CIXyje7IRr0,chanelofficial,2020-12-04 10:01:02.000000,yes,False,"b'chanelmetiersdart,chanel,le19m,desrues,goossens'","b'le19m,maisondesrues,goossens_paris,kdhwillems'","b'A sequinned mini-skirt playfully references the black-and-white chequered motif of the grand gallery floor \xe2\x80\x94 the CHANEL \xe2\x80\x98Le Cha\xcc\x82teau des Dames\xe2\x80\x99 2020/21 Me\xcc\x81tiers d\xe2\x80\x99art collection, captured in movement at the Cha\xcc\x82teau de Chenonceau.\n\nSee all the looks at chanel.com\n\n#CHANELMetiersdart #CHANEL @Le19M #Le19M @MaisonDesrues #Desrues @Goossens_Paris #Goossens @KdhWillems'",454692,10.9,61549,362,,Château de Chenonceau,47.3246160062 1.0703971982
CIXrskYoPRd,chanelofficial,2020-12-04 09:00:59.000000,no,False,"b'chanelmetiersdart,chanel,le19m,desrues,lesage'","b'le19m,maisondesrues,lesage,vittoria'","b'Feminine simplicity in powder pink, accented with sinuous golden embroidery by Lesage.\n\n\xe2\x80\x98Le Cha\xcc\x82teau des Dames\xe2\x80\x99,\nCHANEL 2020/21 Me\xcc\x81tiers d\xe2\x80\x99art collection.\n\nSee all the looks at chanel.com\n\n#CHANELMetiersdart #CHANEL @Le19M #Le19M @MaisonDesrues #Desrues @Lesage #Lesage @Vittoria'",0,0,83859,284,,Château de Chenonceau,47.3246160062 1.0703971982
CIWIIZHiN72,chanelofficial,2020-12-03 18:31:25.000000,yes,False,"b'chanelmetiersdart,chanel,le19m,desrues,maisonlemarie,maisonmichel,lesage,massaro,ateliermontex,caussegantier,kristenstewart'","b'le19m,maisondesrues,maison_lemarie,maisonmichel,lesage,massaro_paris,ateliermontex,causse_gantier'","b'An evening at the castle \xe2\x80\x94 the CHANEL \xe2\x80\x98Le Cha\xcc\x82teau des Dames\xe2\x80\x99 2020/21 Me\xcc\x81tiers d\xe2\x80\x99art show, a contemporary evocation of the Cha\xcc\x82teau de Chenonceau, revealed in the presence of Kristen Stewart. The actress and House ambassador will also be the muse for the collection\xe2\x80\x99s campaign.\n\n#CHANELMetiersdart #CHANEL @Le19M #Le19M @MaisonDesrues #Desrues @Maison_Lemarie #MaisonLemarie @MaisonMichel #MaisonMichel @Lesage #Lesage @Massaro_Paris #Massaro @AtelierMontex #AtelierMontex @Causse_Gantier #CausseGantier #KristenStewart'",7577829,59.566,303537,3475,,Château de Chenonceau,47.3246160062 1.0703971982
