shortcode,username,date_utc,is_video,is_sponsored,hashtags,mentions,caption,video_view_count,video_length,likes,comments,likes+comments,location_name,location_latlong
CIOBohfMu3l,chevrolet,2020-11-30 15:00:21.000000,yes,False,"b'chevy,boltev'",b'',b'We\xe2\x80\x99re positive you\xe2\x80\x99re going to love this. Learn how you can have an at-home Level 2 charger installed for your #Chevy #BoltEV. Check out the link in our bio for the full video.',40738,13.5,5095,75,,,
CH_O7jzHnf2,chevrolet,2020-11-24 21:07:58.000000,yes,False,b'silverado',b'',b'Hard work never goes unnoticed. Introducing the #Silverado Carhartt Special Edition.',44003,15.043,10316,171,,,
CH8whJMnBNA,chevrolet,2020-11-23 22:03:59.000000,yes,False,b'chevylove',b'',"b""'Tis the season to be a Chevy neighbor by helping each other. Tell us about someone you know going the extra mile for a chance to be featured on our page by using #ChevyLove.""",17099,4.533,4708,34,,,
CHvb7kcA2yV,chevrolet,2020-11-18 17:53:38.000000,no,False,b'chevycolorado',b'',"b""It's gritty. It's tough. It's ready to play. Thanks for sharing, Jonathan R. #ChevyColorado""",0,0,62510,318,,,
CHqOIioHPhK,chevrolet,2020-11-16 17:16:50.000000,no,False,b'chevyblazer',b'',b'Take on the holiday rush with confidence and style. #ChevyBlazer',0,0,28139,212,,,
CHivWc4Hgdp,chevrolet,2020-11-13 19:33:10.000000,no,False,b'silverado',b'',"b'When you see the #Silverado Midnight Edition in your town, stand back and watch it perform like a boss.'",0,0,52577,307,,,
CHdJ879L-VR,chevrolet,2020-11-11 15:30:14.000000,no,False,b'camaro',b'',"b""Get up and out. This kind of power can't be contained. #Camaro""",0,0,46829,362,,,
CHYK7JCF8Xf,chevrolet,2020-11-09 17:02:31.000000,yes,False,b'bolteuv',b'',"b""What's all the buzz about? Not only is #BoltEUV our first electric vehicle with available Super Cruise driver assistance feature, it also has technologies like the Power Flow Screen to let drivers know if they\xe2\x80\x99re using regenerative braking and how much charge they have left.""",34579,9.966,6580,48,,,
CHDopG2HtEu,chevrolet,2020-11-01 17:38:16.000000,yes,False,b'',b'',"b'12 generations of Suburban invite you to join the colorful tradition of ""papel picado"" and celebrate \xe2\x80\x9cD\xc3\xada de los Muertos\xe2\x80\x9d.'",26601,23.0,5859,303,,,
CG8MpY8DPvN,chevrolet,2020-10-29 20:18:52.000000,yes,False,"b'chevy,boltev'",b'',b'Charge with ease and convenience with these #Chevy #BoltEV tips. Check out the link in our bio for the full video.',24506,9.4,5273,134,,,
CG5WGIRHKbF,chevrolet,2020-10-28 17:44:06.000000,yes,False,b'halloween',b'',"b'Trunk-or-treat is only as exciting as you make it. This year, transform your #Halloween setup into an epic adventure.'",27658,59.98,5913,109,,,
CG473uHnP81,chevrolet,2020-10-28 13:54:45.000000,yes,False,"b'idrivefor,chevy'",b'americancancersociety',"b'Thank you to everyone who shared their story with us and to the @AmericanCancerSociety for their nonstop dedication to finding a cure. We still want to hear from you, use #IDriveFor and #Chevy will contribute $5 (up to $220,000) for every post.*'",12633,25.833,3057,12,,,
CGpu7ktHZ1J,chevrolet,2020-10-22 16:12:47.000000,yes,False,"b'idrivefor,chevy'",b'americancancersociety',"b'Words of hope that are so inspiring it is hard for us to even find the words to describe them. Now, we want to hear from you, tell us who or what inspires you with #IDriveFor and #Chevy will contribute $5 (up to $220,000) to the @AmericanCancerSociety.'",13343,59.566,3294,89,,,
CGSdwNVlTWa,chevrolet,2020-10-13 15:20:15.000000,yes,False,b'chevytrailblazer',b'',"b""Whether you\xe2\x80\x99re going off the grid or headed downtown, there's an All-New 2021 #ChevyTrailblazer for you.""",35149,15.0,6700,217,,,
CGFeSgvnUnb,chevrolet,2020-10-08 14:14:43.000000,no,False,b'idrivefor',b'',b'Let\xe2\x80\x99s take steps together even\xc2\xa0when we\xe2\x80\x99re apart. Sign up for a virtual\xc2\xa0walk. Link in bio.\xc2\xa0#IDriveFor',0,0,5060,41,,,
CF912GZFzmb,chevrolet,2020-10-05 15:06:45.000000,yes,False,b'chevytrailblazer',b'',"b'Nonstop city life rolls into your nonstop newsfeed. The All-New 2021 #ChevyTrailblazer RS, with enough edge for dark mode.\xe2\x80\x8b'",33441,15.0,6423,252,,,
CF0OWCTnmNB,chevrolet,2020-10-01 21:28:17.000000,no,False,b'idrivefor',b'americancancer',"b'We all have a person who drives us to find a cure for breast cancer. Share with us who that person is with #IDriveFor and Chevy will\xc2\xa0contribute $5 (up to $220,000) to the @AmericanCancer\xc2\xa0Society.*'",0,0,5078,219,,,
CFw_UDRBFTc,chevrolet,2020-09-30 15:19:56.000000,yes,False,"b'chevy,boltev'",b'',b'The #Chevy #BoltEV has street smarts when it comes to energy saving. Check out the link in our bio for the full video.',39823,10.671,7180,108,,,
CFubh9znIHN,chevrolet,2020-09-29 15:28:50.000000,yes,False,"b'chevy,boltev'",b'',"b""Charging your #Chevy #BoltEV is fast and simple because, let's face it, you have other things to do.""",44912,9.013,7403,143,,,
CFpO_9ZHyqm,chevrolet,2020-09-27 15:03:03.000000,yes,False,b'chevysuburban',b'',"b""Nothing is more important to us than family, that's why we've spent over 85 years perfecting the family vehicle. #ChevySuburban""",47760,60.059,7602,141,,,
