shortcode,username,date_utc,is_video,is_sponsored,hashtags,mentions,caption,video_view_count,video_length,likes,comments,likes+comments,location_name,location_latlong
CIW8Tj4nh4O,china_state_construction,2020-12-04 02:06:52.000000,no,False,b'witnesshappiness',b'',"b""The submission period for the CSCEC Photography Contest of #WitnessHappiness only has 3 days left.:sparkles: All CSCECers, CSCEC fans, and photograph fans worldwide are welcome! You can win a lot of prizes. And your works may have the opportunity to be displayed on our social media platform. Don't wait, come and join us. :light_bulb:Link in bio""",0,0,1264,4,,,
CIUS8ccIVNp,china_state_construction,2020-12-03 01:28:03.000000,yes,False,"b'witnesshappiness,witnesshappiness,cscec,project,construction,technology,openday'",b'',"b""#WitnessHappiness Did you know in Singapore, 1 in 25 people live in a home built by CSCEC Singapore?\nWelcome to Singapore on CSCEC\xe2\x80\x99s #WitnessHappiness Cloud Open Day! Today, we will have a close look at CSCEC\xe2\x80\x99s largest industrial project in Singapore: the Bulim Square project at Jurong Innovation District (JID). Covering an area of 400,000 square metres, the square will become the first landmark at JID.  Smart technologies, such as Building Information Modeling (BIM) and Integrated Digital Delivery (IDD) are being used in the project. During the epidemic, the project actively improved the living conditions of workers through a series of measures, including the construction of workers' dormitories.\n\nWhat kind of sparks will be generated when the Jurong Innovation Zone encounters CSCEC Singapore? Follow our BIM manager Rob to explore what's happening in one of our on-going mega projects. #CSCEC #project #construction #technology #openday""",125,895.0,23,1,,,
CIPGQOTAe3n,china_state_construction,2020-12-01 00:59:52.000000,no,False,"b'cscecproject,cscec,dubai,traffic,construction'",b'cscec_middleeast',"b""#cscecproject Dubai is at the forefront of smart communication. Recently, the Dubai Intelligent Transportation Center, which was jointly constructed by @cscec_middleeast, was officially opened. It is currently one of the world's largest integrated traffic control platform management centers with the most advanced intelligent system technology. The intelligent transportation system of the center undertakes the functions of comprehensive transportation management, effectively applying information technology, data communication transmission technology, electronic sensing technology, etc. During its operation, the coverage of ITS roads in Dubai city will increase from the current 11% to 60%, so as to accurately predict and manage traffic flow and quickly formulate emergency plans. \nIn the future, CSCEC will continue to built and witness a better life with its professional and technological ability. \n#CSCEC #Dubai #traffic #construction""",0,0,820,0,,,
CIHelXTB6D-,china_state_construction,2020-11-28 01:58:33.000000,no,False,"b'emporis,emporis,skyscraper,cscec'",b'',"b'Two high-rise architectures constructed by CSCEC won #Emporis Skyscraper Awards!  Recently, the #Emporis announced that ten buildings from around the world won the prize, among them Beijing Leeza SOHO and Tianjin Chow Tai Fook Center made the list. \n\nLocated in southwest Beijing, Leeza SOHO is a masterpiece by the architectural legend Zaha Hadid, which perfectly achieves the perfect combination of architecture, technology, art and ingenuity. Straddling by a subway service tunnel, the tower\xe2\x80\x99s design divides its volume into two halves enclosed by a single facade shell, creating the world\xe2\x80\x99s tallest atrium at 200m. This rotation of the atrium intertwines Leeza SOHO\xe2\x80\x99s two halves in a dynamic \xe2\x80\x98pas de deux\xe2\x80\x99.\n\nPreviously, it was awarded the 2018 ""World\'s Top 10 Most Beautiful Buildings"" for its world-class design and construction difficulty, Archdaily\xe2\x80\x99s ""Most Anticipated Building"" in 2019 and the Best Tall Building 200-299 meters 2020 Award of Excellence.\n\nTwo high-rise architectures constructed by CSCEC won the w Tai Fook Center, the tallest building in northern China. #Skyscraper #cscec'",0,0,2228,3,,,
CIFBGdRnX2I,china_state_construction,2020-11-27 03:02:39.000000,yes,False,"b'handynasty,witnesshappiness'",b'',"b'Han Dynasty was a prosperous dynasty of ancient China. Han Culture Expo Park built by CSCEC is located at Shaanxi and perfectly presents #HanDynasty. Today, let us travel back in time and feel the unique charm of the Han Dynasty . #WitnessHappiness'",5880,60.233,317,0,,,
CIDK8Ewhzus,china_state_construction,2020-11-26 09:49:56.000000,no,False,"b'witnesshappiness,extraordinarystructure,architectureinteraction,cscecsite,cscecpower,witnesshappiness,category,witnesshappiness,category'","b'cscecnews,china_state_construction,china_state_construction'","b':camera_with_flash:With the theme of #WitnessHappiness, CSCEC Photography Contest is now starting to solicit works worldwide.\nSubmissions of works refer to the following four categories: #ExtraordinaryStructure #ArchitectureInteraction #CSCECSite #CSCECPower\nSUBMISSION\n:backhand_index_pointing_right:Facebook:\nParticipants can post to @CSCECNews inbox or group-CSCEC Global. Please include #WitnessHappiness, #category and the name of your work in the caption.\n:backhand_index_pointing_right:Instagram:\nParticipants can post to @china_state_construction inbox, or post your works on your Instagram page and @china_state_construction. Please include #WitnessHappiness, #category and the name of your work in the caption.\nThe submission date is from Nov. 26th to DEC.6th. Amazing prizes are waiting for you to win! :light_bulb:Link in bio'",0,0,4981,3,,,
CH4cQQVgI5V,china_state_construction,2020-11-22 05:49:50.000000,yes,False,b'',b'',"b'Chinese traditional architecture not only shows superb skill, but also profound aesthetic meaning.\nRecently, China\xe2\x80\x99s largest complex of ancient buildings in a courtyard-like imitation of the Song Dynasty, the Avalokitesvara Dharmadhatu Zhengfa\xc2\xa0Lecture\xc2\xa0Temple project, officially passed the completion acceptance. The project team drew inspiration from the ancient Chinese mortise and tenon technique, gorgeously combining the wood decorations and concrete beams. With ingenuity, CSCECers built the pure wooden architecture, by hand-polishing beams and columns with a DBH of more than one meter.\nInheriting traditional construction concepts and techniques, CSCEC will continue to devote itself to the development of more poetic living aesthetics.'",158,133.426,14,0,,,
CH1wYjCDccL,china_state_construction,2020-11-21 04:47:46.000000,no,False,"b'museum,chineseart'",b'',"b'Do you know that Hong Kong also has a \xe2\x80\x9cForbidden City Museum\xe2\x80\x9d?\nOn November 18, Hong Kong Palace Museum built by China State Construction Engineering (Hong Kong) Limited, a subsidiary of China State Construction held the completion ceremony for its building structure. \nHong Kong Palace Museum combines Hong Kong\xe2\x80\x99s contemporary urban culture with Chinese traditional visual art culture and spatial culture, which not only presents the fascination of traditional Chinese culture, but also reflects the unique city style of Hong Kong. The project is expected to be completed by the end of 2021 and open to the public in 2022, which will bring brand new artistic and cultural experience to Hong Kong citizens and its tourists. #museum#chineseart'",0,0,1847,3,,,
CHzlqX-h197,china_state_construction,2020-11-20 08:36:59.000000,yes,False,"b'witnesshappiness,witnesshappiness,cscec,cloudopenday'",b'',"b'#WitnessHappiness  Do you want to know how prosperous the Han Dynasty was 2000 years ago? Have you ever wondered about the ingenuity of ancient Chinese architectural structures? This time, the #WitnessHappiness cloud open day will go to Hanzhong, Shaanxi where #CSCEC has built a Han Culture Expo Park, with a total area of 153,800 square meters, to perfectly present the culture and architectural decorative style of the Han Dynasty. Now, follow our expositor to witness the construction stories of this magnificent palace, trace back Han history and experience Han culture together. #cloudopenday'",84,821.66,9,3,,,
CHgtKNbMUUD,china_state_construction,2020-11-13 00:35:32.000000,no,False,"b'construction,ecofriendly,greentech,cscec'",b'',"b'Green construction technology to build a modern campus. The China-Singapore Tianjin Eco-City 12-year School project, contracted by CSCEC, was recently awarded the \xe2\x80\x9cLeadership in Sustainable Design and Performance Award\xe2\x80\x9d in the \xe2\x80\x9cAsia-Pacific Leadership in Green Building Award 2020"" by World Green Building Council.\n\nThe campus located in the Binhai Tourist area of Tianjin has a total construction area of 53,600 square meters. Adhering to the people-oriented design concept, the project team adopted green construction technology to create a safe and durable, resource-saving and livable modern campus. Let\xe2\x80\x99s take a look: \n:white_heavy_check_mark: Multi-functional roof landscape: the concept of urban agriculture is introduced to the roof, as seen by the roof garden made on the building.\n:white_heavy_check_mark: Solar panels on the roof of the natatorium\xef\xbc\x9athe panels can improve the efficiency of renewable energy.\n:white_heavy_check_mark: The curtain wall is made of materials with strong thermal insulation performance, effectively reducing the heat radiation by more than 30%.\n:white_heavy_check_mark: Indoor light: full use of natural lighting and intelligent lighting control system for differential lighting, to achieve energy conservation.\n#construction #ecofriendly #greentech #cscec'",0,0,435,1,,,
