shortcode,username,date_utc,is_video,is_sponsored,hashtags,mentions,caption,video_view_count,video_length,likes,comments,likes+comments,location_name,location_latlong
CITtliKJSJB,cibc,2020-12-02 20:00:32.000000,no,False,b'cibcmiracleday',b'',"b'When so much changes, their dreams don\xe2\x80\x99t. Thanks to our clients, employees, and charities for helping kids like Emma, Liam and Nate rise above. #CIBCMiracleDay'",0,0,91,0,,,
CITY9NGsJou,cibc,2020-12-02 17:00:19.000000,no,False,"b'campquality,cibcmiracleday'",b'',"b'\xe2\x80\x9cFor kids with cancer, camp is one of the few opportunities that they have to connect with kids with similar experiences. At Camp Quality, we strive to improve the quality of life for children living with cancer and blood disorders through camps and year-round family support programs.\n\nDue to the pandemic, we had to reimagine the program this year. It was essential for us to continue to connect kids to their camp community because children with cancer have experienced isolation before COVID-19 physical distancing measures were put in place.\n\nThis summer, we were able to bring the magic of camping to kids\xe2\x80\x99 homes and welcomed campers to our Camp-at-Home program. The kids were able to experience all of the fun that comes with camping and participate in a five day virtual program that allowed them to connect with other campers. We wouldn\xe2\x80\x99t have been able to run our virtual program without the support from CIBC Children\xe2\x80\x99s Foundation. The funding allowed us to impact the lives of 220 campers and their families.\xe2\x80\x9d\n\n#CampQuality #CIBCMiracleDay'",0,0,107,1,,,
CITEU-0J_wa,cibc,2020-12-02 14:00:33.000000,yes,False,b'cibcmiracleday',b'',"b'#CIBCMiracleDay is a proud tradition that helps kids worldwide access vital support services and programs for the last 36 years. Since 1984, CIBC Miracle Day has raised over $250 million globally. This year we continue our tradition because although so much has changed, our commitment to help children and youth realize their ambitions remains stronger than ever.'",1123,74.526,69,3,,,
CIG2w4eAR78,cibc,2020-11-27 20:10:39.000000,no,False,b'',b'',"b""\xe2\x80\x9cWhen I was a teenager, I ran a lawn care and landscaping business. The experience taught me that healthy financial habits are about more than making money\xe2\x80\x94they're also about making strategic investments and saving.\n\nI was lucky to learn this lesson at a young age, but not everyone is so privileged. A few years ago, I was offered the opportunity to teach grade school classes about financial literacy with an organization called Junior Achievement Canada[PE1] (JA). JA sends volunteers into public schools to introduce students to the basics of finances. The curriculum includes engaging games and exercises that get kids excited about saving.\n\nGiven COVID-19, JA has changed its programming to be virtual. It's already a challenge getting youth excited about financial literacy in a classroom\xe2\x80\x94but it's even harder online. The effort is worth it, though. It makes me feel like I'm fulfilling my purpose. If you can make a lightbulb go off for a child who's never cared about saving or investing before, you can change their life. It's never too early or too late to learn the basics of financial literacy.\xe2\x80\x9d\n\n-Steve T., Personal and Business Banking at CIBC""",0,0,146,2,,,
CIDnl4KA7kG,cibc,2020-11-26 14:00:21.000000,no,False,b'',b'',"b""My parents taught me the importance of volunteering at a young age. It's always been a huge part of my life. Even in his eighties, my dad still volunteers more than I do! Our work in the community is something we bond over. I love being able to help people, and he taught me that.\n\nA few years ago, my dad found a local church that was collecting scarves for homeless members of our community, so I decided to make a few. Over the past three years, I've made and donated more than 150. I crocheted them by hand. I've always loved handmade gifts because they feel more personal. I hope whoever receives my scarves feels that love.\n\nGoing into the winter this year, I've been thinking about what the holidays must be like for people without homes\xe2\x80\x94and especially for homeless kids. For those without a sense of family or tradition, I wanted to donate something extra special. This year I'm making gift baskets for a local LGBTQ+ youth shelter. I'm grateful to have the opportunity to follow my purpose by supporting my community, and to have a chance to make a difference with everyday kindness.\n\n-Melissa H., technology, infrastructure and innovation at CIBC""",0,0,72,1,,,
CH0K0ZCjC01,cibc,2020-11-20 14:00:18.000000,no,False,b'transgenderdayofremembrance',b'',"b'In honour of #TransgenderDayofRemembrance, we recognize and pay respect to members of the trans and non-binary community who have lost their lives due to anti-trans violence. This year, to continue to show our support we introduced new training to promote inclusivity for trans and non-binary clients and team members, and encouraged our team members to include pronouns in their email signatures.'",0,0,158,12,,,
CHqXjj6A7zx,cibc,2020-11-16 18:39:12.000000,no,False,b'flm2020',b'cfee_',"b'I\'ve always liked working with youth. I strongly believe all kids are unique, and they all have potential. We have a duty to level the playing field and set kids up for success, by extending a helping hand. \n\nAfter I started my career in financial services, I went out of my way to talk to kids about money. Growing up, no one taught me about money and investing. Providing the foundational building blocks of a financial education at an early age can be a huge opportunity to change the way kids think about life. Earlier this year, I started working with the team at The Canadian Foundation for Economic Education (CFEE). We recently launched the ""My Money, My Future Challenge,"" a competition to develop an innovative learning resource to help improve financial literacy. We\'re inviting kids from across Canada to participate and help design the resource in a way that works for how they learn. The grand prize is $10,000. It\'s been a challenging year, and we\'ve had to imagine the competition as a fully virtual experience. But it\'s so rewarding to see the vision come to life. I\'m incredibly proud of what we\'re building with CFEE and I\'m grateful that my team at CIBC has supported and encouraged me to make this dream a reality.\n\n-Cassandra J., personal and banking business\n#FLM2020 @cfee_'",0,0,86,1,,,
CHc4ypEgtRt,cibc,2020-11-11 13:00:16.000000,no,False,"b'remembranceday,lestweforget'",b'',b'On #RemembranceDay we remember and honour all who offer their courage and sacrifice while serving our country. #LestWeForget',0,0,470,5,,,
CG-X2MhHiaE,cibc,2020-10-30 16:35:10.000000,no,False,b'',b'',"b""My husband Dr. Abbas Naqvi and I moved from Pakistan to Canada in 2012 hoping for a better life for our family. We are both dentists, and planned to carry over our careers to our new country. Our goal from day one was to be practicing dentists in Canada but first, the retraining and re-licensure needed to be completed. \n\nBalancing studies and family life with three young children while adapting to a new country was financially and emotionally challenging. With the support of my diversely experienced husband, I studied for nearly 3 years and finally in 2018, got licensed and started practicing. \n\nEvery dentist dreams of being able to deliver patient care at the highest possible standard for their patients which is only possible through practice ownership, as it provides the decision making power we need. We finally achieved this goal and made the leap recently by acquiring a practice (now called Waterloo Dental) in September. It feels amazing to reach this goal. I feel truly blessed. \n\nEmpathy was a huge part of our decision-making process when finding a bank to support the practice, and we found CIBC Business Banking to be the perfect fit. Our Advisor, Simon Belz , is totally invested in our success, and his advice on how to make the practice as profitable as possible, is invaluable. He's a true partner. \n\nAs a result of our learning experience in the equivalency process, my husband laid the foundation of CIDE, a training facility, in late 2016 to support internationally trained dentists. I now help train these dentists, on top of running my practice. We are grateful to have the opportunity to help others find the same success that we've found. It feels incredible to help people achieve their dreams. www.cideonline.ca""",0,0,75,4,,,
CG7ipiSnXYt,cibc,2020-10-29 14:11:50.000000,no,False,b'',b'',"b'I\'ve had a beard for a very long time. You could say it\'s ""grown"" to be a big part of my identity. It\'s also symbolic of my commitment to philanthropy. Whether I\'m painting it pink for the CIBC Run for the Cure or getting different trims for Movember, my beard is a big fundraiser. \n\nI have personally felt the impact of cancer. I have survivors in my family, and my father passed away from cancer 10 years ago. So every year, I try to raise $10,000 for cancer-related charities. But nonprofits are having a hard time this year. I wanted to do more. I decided that if I raise $100,000, I will completely shave my face. No one has seen me without facial hair since 2006, including my wife. And thanks to the pandemic, my beard is bigger than ever. But reaching the goal would be worth it. \n\nI know $100,000 is a lot of money, but I believe you don\'t realize your full potential unless you set exceptional goals. And I\'m on track. I\'ve already hit $90,000. \n \nI\'m grateful to have a team behind me that feels so passionate about supporting our community. Things may be tough right now, but if I can make things a little brighter by losing a beard, then I\'m happy to shave it off. \n\nGreg M. works in finance at CIBC.'",0,0,148,10,,,
