shortcode,username,date_utc,is_video,is_sponsored,hashtags,mentions,caption,video_view_count,video_length,likes,comments,likes+comments,location_name,location_latlong
CIQ0JGsHzN0,clifbar,2020-12-01 17:00:14.000000,no,False,b'givingtuesday',"b'kailightner,climbing4change'","b'Founded by CLIF Athlete @KaiLightner , @Climbing4Change is an organization focused on making the outdoor industry more inclusive. This #GivingTuesday, we are proud to support Kai and his team with a donation of $10,000. Want to get involved? Be the change and learn how you can donate through the link in our bio.'",0,0,593,11,,,
CIBYkEEgzxl,clifbar,2020-11-25 17:11:55.000000,yes,False,"b'2,feedyouradventure'",b'john_john_florence',"b'In this exclusive webisode, @John_John_Florence is forced to give up on his chance at a world title and begins the long journey of working his way back to the top. Watch the full CLIF Cut #2 of Tokyo Rising linked in our bio.\n#FeedYourAdventure'",2628,30.025,424,5,,,
CH-zY_WgtLI,clifbar,2020-11-24 17:07:12.000000,no,False,b'feedyouradventure',b'americanforests',b'Have a sweet and spicy holiday season with our deliciously wholesome Iced Gingerbread seasonal flavor. Through our ongoing partnership with @americanforests every purchase you make helps us get closer to our goal of planting one million trees by 2025\xe2\x80\x94and that means you\xe2\x80\x99re eating for something bigger. #FeedYourAdventure',0,0,1461,45,,,
CH8UpefHyqE,clifbar,2020-11-23 18:00:12.000000,yes,False,b'clifcouch',b'hollylawrencetri',b'World Champion triathlete. Candy aficionado. Future flute teacher? Meet CLIF athlete @HollyLawrenceTri as she takes her turn on the latest edition of #CLIFCouch Watch the full episode on our IGTV.',3273,17.733,365,5,,,
CHx7rPBgJtj,clifbar,2020-11-19 17:10:33.000000,yes,False,"b'1,feedyouradventure,tokyorising'",b'john_john_florence',b'Get a behind-the-scenes look at @John_John_Florence \xe2\x80\x99s life during one of the most exciting\xe2\x80\x94and turbulent\xe2\x80\x94years of his career with this exclusive webisode from CLIF. Check out CLIF Cut #1 from Tokyo Rising linked in our bio. #FeedYourAdventure #tokyorising',4939,30.025,819,7,,,
CHvV0dQHzIf,clifbar,2020-11-18 17:00:22.000000,yes,False,"b'clifhacks,clifhacks'",b'',"b'We\xe2\x80\x99ve all had a cup of Joe (or a thousand), but how about a BALL of Joe? Transform your next CLIF BAR Coffee Collection bar into snackable bites of energy with this latest tip from #clifhacks. \n\nRemember to keep posting your own #CLIFHacks !'",2827,23.433,501,12,,,
CHsxZoxAdl7,clifbar,2020-11-17 17:03:29.000000,no,False,b'feedyouradventure',b'',"b""30 years ago today our founder, Gary Erickson, and his friend Jay embarked on a 175-mile bike ride in Northern California. This legendary ride later became known as the \xe2\x80\x9cEpiphany Ride\xe2\x80\x9d because it is where Gary first thought of the idea to create CLIF BAR. \n\n30 years later, we\xe2\x80\x99re still here. A family and employee-owned company with a mission to pump as much good into the world as possible. \n\nWe\xe2\x80\x99d like to thank everyone who has supported us along the way and allowed us to achieve everything we have over these past 30 years. We couldn't have done it without you all. :red_heart_selector::red_heart_selector::red_heart_selector:\n\n#FeedYourAdventure\n\nPhotos from Passo Gavia, Italy 1986""",0,0,2278,63,,,
CHf5C9LDIIe,clifbar,2020-11-12 17:00:19.000000,yes,False,"b'feedyouradventure,tokyorising'","b'john_john_florence,parallelsea'","b'We are very happy to announce the release of CLIF Athlete @john_john_florence \xe2\x80\x98s newest film, Tokyo Rising. \n\nThe film delivers a powerful, fly-on-the-wall look at the world champion surfer\xe2\x80\x99s battle to reach the highest profile competition of his career. Will an injury derail his dream, or can he hold onto his place at the top of the rankings?\n\nLearn more linked in our bio or watch the full film on Amazon Prime video.\n\nVideo by @parallelsea \n#FeedYourAdventure #tokyorising'",2716,30.033,518,16,,,
CHawBRmneg4,clifbar,2020-11-10 17:05:13.000000,no,False,"b'clifadventureambassador,feedyouradventure'",b'tiffpenguin',b'Sometimes a cozy A-frame in the woods is all the adventure you need.\nPhoto by #CLIFAdventureAmbassador @Tiffpenguin\n#FeedYourAdventure',0,0,1542,17,,b'Washington State',47.4425860774 -122.2481542268
CHYKFXdnirH,clifbar,2020-11-09 16:55:15.000000,yes,False,b'clifhacks',b'',"b'These crispy, creamy CLIF Nut Butter Bar treats are a cut above the rest\xe2\x80\x94and they couldn\xe2\x80\x99t be easier to make.\n\nNow share your own #clifhacks, and let\xe2\x80\x99s see how many new tips we can find!'",3272,18.0,581,22,,,
