shortcode,username,date_utc,is_video,is_sponsored,hashtags,mentions,caption,video_view_count,video_length,likes,comments,likes+comments,location_name,location_latlong
CIYXuRwMoga,cocacolasrbija,2020-12-04 15:25:52.000000,yes,False,b'najlep\xc5\xa1ipoklonsiti',b'',"b'Ukoliko \xc5\xbeeli\xc5\xa1 da osvoji\xc5\xa1 neku od 1000 dnevnih nagrada, odgledaj video kako da se registruje\xc5\xa1 i pro\xc4\x8ditaj pravila nagradne igre na sajtu coca-cola.rs!\nI ne zaboravi: #najlep\xc5\xa1ipoklonsiti! :wrapped_gift:'",3484,42.066,175,81,,,
CIQKXmugQRm,cocacolasrbija,2020-12-01 10:55:13.000000,yes,False,b'',b'',"b'Prona\xc4\x91i kod ispod zatvara\xc4\x8da promotivnog pakovanja, ukucaj ga na link u opisu profila i osvoji jednu od 1000 dnevnih nagrada! :Santa_Claus::wrapped_gift:'",6342,15.033,311,333,,,
CIDgIt6gjEM,cocacolasrbija,2020-11-26 12:55:09.000000,no,False,b'',b'',b'Ove godine sa spiska \xc5\xbeelja za Deda Mraza mo\xc5\xbee\xc5\xa1 precrtati bar jednu od 1.000 dnevnih nagrada koje mo\xc5\xbee\xc5\xa1 osvojiti u Coca-Cola novogodi\xc5\xa1njoj promociji.\xc2\xa0:Santa_Claus::wrapped_gift:\nU\xc4\x8destvuj na\xc2\xa0coca-cola.rs\xc2\xa0od 1. decembra!\xc2\xa0:glowing_star:',0,0,835,321,,,
CH4_ySAjyME,cocacolasrbija,2020-11-22 11:00:11.000000,yes,False,b'',b'',b'Podari najlep\xc5\xa1i poklon najmilijima! :red_heart_selector:\nLink u bio! :up_arrow:',165957,13.033,1955,49,,,
CHr5SGVgZ8i,cocacolasrbija,2020-11-17 08:54:06.000000,yes,False,b'',b'',b'Ove godine najlep\xc5\xa1i poklon si ti! :red_heart_selector:\nCelu pri\xc4\x8du pogledaj na linku u bio! :up_arrow_selector:',351445,59.96,11822,138,,,
CGh1fKlghIB,cocacolasrbija,2020-10-19 14:37:59.000000,yes,False,b'',b'',"b'Nikada ne zaboravi koliko smo ja\xc4\x8di kada smo zajedno, ta misao neka zauvek bude u tvom srcu. :red_heart_selector:'",2417,119.96,132,5,,,
CB5KT_5AWrM,cocacolasrbija,2020-06-26 09:23:41.000000,no,False,"b'beapp,beapp,cokestudiosessions'",b'',b'Neverovatni koncerti najpopularnijih zvezda se nastavljaju na #BeApp. Preuzmi #BeApp preko linka u na\xc5\xa1em bio i pridru\xc5\xbei se live nastupu Katy Perry no\xc4\x87as u 3h. #CokeStudioSessions',0,0,154,12,,,
CAaYf6nAxuJ,cocacolasrbija,2020-05-20 13:59:55.000000,no,False,b'',b'',"b'Coca-Cola sistem kao odgovoran partner zajednice u kojoj posluje preko pola veka pre svega veruje da snaga u borbi sa virusom korona le\xc5\xbei u solidarnosti i pouzdanim partnerima.\nUsmerili smo svoje aktivnosti na one koji su se od po\xc4\x8detka borili sa COVID-19, medicinskim radnicima, vojsci, policiji, volonterima, kao i najugro\xc5\xbeenijima. Coca-Cola Fondacija donirala je 200.000 dolara Crvenom krstu za podr\xc5\xa1ku najugro\xc5\xbeenijim gra\xc4\x91anima u Srbiji. Donirali smo vi\xc5\xa1e 150.000 litara na\xc5\xa1ih proizvoda Klini\xc4\x8dkom centru Srbije u saradnji sa Fondom B92, obroke za medicinske radnike u saradnji sa Woltom, IT opremu Klini\xc4\x8dkom centru Srbije i za\xc5\xa1titnu opremu. \nUjedinjeni mo\xc5\xbeemo sve!'",0,0,300,10,,,
CANS53BHSBt,cocacolasrbija,2020-05-15 12:00:54.000000,no,False,"b'beapp,cokestudiosessions'","b'djjazzyjeff,atrak,diplo,djkhaled,tinashenow,steveaoki,robinthicke'","b'Koncerti preko 100 umetnika, 60 dana u jednoj aplikaciji - @djjazzyjeff, @atrak, @diplo, @djkhaled, @tinashenow, @steveaoki, @robinthicke i mnogi drugi. Preuzmi #BeApp sa linka u bio i pridru\xc5\xbei nam se u\xc5\xbeivo. #CokeStudioSessions'",0,0,151,1,,,
CANS53BHSBt,cocacolasrbija,2020-05-15 12:00:54.000000,no,False,"b'beapp,cokestudiosessions'","b'djjazzyjeff,atrak,diplo,djkhaled,tinashenow,steveaoki,robinthicke'","b'Koncerti preko 100 umetnika, 60 dana u jednoj aplikaciji - @djjazzyjeff, @atrak, @diplo, @djkhaled, @tinashenow, @steveaoki, @robinthicke i mnogi drugi. Preuzmi #BeApp sa linka u bio i pridru\xc5\xbei nam se u\xc5\xbeivo. #CokeStudioSessions'",0,0,151,1,,,
