shortcode,username,date_utc,is_video,is_sponsored,hashtags,mentions,caption,video_view_count,video_length,likes,comments,likes+comments,location_name,location_latlong
CIS2jvsgMCA,cognizant,2020-12-02 11:59:42.000000,no,False,"b'chc2020,fitness,becognizant,digitaltransformation,ai,data,automation,iot,cloud,softwareengineering,interactive,lifeatcognizant,futureofwork,greatplace2work'",b'',"b""Not signed up for #CHC2020 yet? Here are the stories of two of our #fitness heroes for a little inspiration.\n\nSaju Scaria is a marathon runner who completed the coveted Spice Coast Marathon in 2019. In 2020, apart from completing his first Ultra Trial run at Vagamon, he surpassed 1000 km of running. He is the brand ambassador of two fitness clubs of Cognizant Kochi, the Flying Feet and the Pedalions. \n\nSunil George has been the Kochi Program Lead and one of our ambassadors for Cognizant Health Challenge for the past two years. Here\xe2\x80\x99s his career advice \xe2\x80\x93 \xe2\x80\x9cThe challenge reinforces the importance of fitness and its significance in our professional life. Personally, it has helped me in achieving many of my personal goals. I have completed three full marathons, 40+ half marathons and a few long distance cycling events.\xe2\x80\x9d\n\nRegister today, and let's get healthy together! #BeCognizant \n___________________________\n\n#digitaltransformation #ai #data #automation #iot #cloud #softwareengineering #interactive #lifeatcognizant #futureofwork #GreatPlace2Work""",0,0,1408,6,,,
CIQRcSagrnZ,cognizant,2020-12-01 11:56:53.000000,no,False,"b'lookback,hungary,digitaltransformation,ai,data,automation,iot,cloud,softwareengineering,interactive,lifeatcognizant,becognizant,futureofwork,greatplace2work,giveback'",b'',"b""Building a greener world \xe2\x80\x94 here's a #lookback at an internal workshop for The European Week for Waste Reduction at our office in #Hungary. :recycling_symbol:\n___________________________\n\n#digitaltransformation #ai #data #automation #iot #cloud #softwareengineering #interactive #lifeatcognizant #becognizant #futureofwork #GreatPlace2Work #giveback""",0,0,1288,1,,,
CIF-o4PAZb2,cognizant,2020-11-27 12:00:13.000000,no,False,"b'techinpink2020,cognizantforthecure,flashbackfriday,digitaltransformation,ai,data,automation,iot,cloud,softwareengineering,interactive,lifeatcognizant,becognizant,futureofwork,greatplace2work'",b'esteelauder',"b'Our leadership around the globe, supporting the @EsteeLauder #TechinPink2020 campaign to end breast cancer! #CognizantfortheCure #FlashbackFriday\n___________________________\n\n#digitaltransformation #ai #data #automation #iot #cloud #softwareengineering #interactive #lifeatcognizant #becognizant #futureofwork #GreatPlace2Work'",0,0,895,4,,,
CIDZ2uplJbn,cognizant,2020-11-26 12:00:19.000000,no,False,"b'nationalcakeday,digitaltransformation,ai,ar,vr,automation,iot,cloud,tech,devops,paas,softwareengineering,interactive,lifeatcognizant,becognizant,greatplace2work'",b'',b'What is your favorite cake flavor? #NationalCakeDay :birthday_cake::shortcake:\n__________________________\n\n#digitaltransformation #ai #ar #vr #automation #iot #cloud #tech #devops #paas #softwareengineering #interactive #lifeatcognizant #becognizant #GreatPlace2Work',0,0,3552,39,,,
CH-QT-qgNv6,cognizant,2020-11-24 12:00:41.000000,no,False,"b'budapest,digitaltransformation,ai,data,automation,iot,cloud,softwareengineering,interactive,lifeatcognizant,becognizant,futureofwork,greatplace2work'",b'',"b'Meet Bence Kor\xc3\xa1ny, a Delivery Excellence champ responsible for the CIS projects in #Budapest. He has been playing soccer for the past 9 years at Cognizant. He\'s team captain and plays defensive midfield. ""Playing on a team with someone shows the real attitude and habit of a person. It helped me also a lot to deal with the stress piling up at the office. It keeps me in shape, focused and has taught me to lose but not to give up at any time because: it is not about winning at any cost, but I truly hate to lose!\xe2\x80\x9d\n\nWords of advice \xe2\x80\x94 ""Be searching for those opportunities, positions which fit You the most! Don\'t be an opportunist! For yourself, only the best is good enough!""\n\nGive Bence a big shout-out! :raising_hands:\n\n___________________________\n\n#digitaltransformation #ai #data #automation #iot #cloud #softwareengineering #interactive #lifeatcognizant #becognizant #futureofwork #GreatPlace2Work'",0,0,1021,3,,,
CH7rS9Rgg0b,cognizant,2020-11-23 11:58:45.000000,no,False,"b'digitaltransformation,ai,data,automation,iot,cloud,softwareengineering,interactive,lifeatcognizant,lifeatsoftvision,futureofwork,greatplace2work,teamwork'",b'softvisionteam',"b'Perfect 10 \xe2\x80\x94 Bogdan Vasile Oltean, Alexandru Boitor, Roxana Top and Mirela Stencoane from our @softvisionteam complete 10 years of working together as a team, a feat in itself!\nTheir key to success: \xe2\x80\x9cCommunication, trust, working as a team.\xe2\x80\x9d\n___________________________\n\n#digitaltransformation #ai #data #automation #iot #cloud #softwareengineering #interactive #lifeatcognizant #lifeatsoftvision #futureofwork #GreatPlace2Work #teamwork'",0,0,1369,2,,,
CHz9qLpgJk7,cognizant,2020-11-20 12:05:17.000000,no,False,"b'volunteers,philippines,becognizant,digitaltransformation,ai,ar,vr,automation,iot,cloud,tech,devops,paas,softwareengineering,interactive,lifeatcognizant,futureofwork,greatplace2work,giveback'",b'',"b""Our Outreach #volunteers in the #Philippines created handmade 'thank you' bags for more than 251 housekeeping and security staff members who have dedicated selfless hours to ensure the safety of all employees. :folded_hands: #BeCognizant\n___________________________\n\n#digitaltransformation #ai #ar #vr #automation #iot #cloud #tech #devops #paas #softwareengineering #interactive #lifeatcognizant #futureofwork #GreatPlace2Work #giveback""",0,0,1108,0,,,
CHyBgYynlts,cognizant,2020-11-19 18:00:35.000000,yes,False,"b'ai,covid19'",b'',b'How quickly can we reopen societies and restart economies paralyzed by the pandemic? Cognizant and XPRIZE are using #AI to fight #COVID19.',2633,36.433,281,0,,,
CHxYCz8gnIb,cognizant,2020-11-19 11:58:07.000000,no,False,"b'movember,internationalmensday,digitaltransformation,ai,data,automation,iot,cloud,softwareengineering,interactive,lifeatcognizant,lifeatsoftvision,futureofwork,greatplace2work'",b'softvisionteam',b'Our colleagues from the @softvisionteam join the #Movember campaign! #InternationalMensDay :man:\n\n___________________________\n\n#digitaltransformation #ai #data #automation #iot #cloud #softwareengineering #interactive #lifeatcognizant #lifeatsoftvision #futureofwork #GreatPlace2Work',0,0,1403,1,,,
CHuzf0gs6yU,cognizant,2020-11-18 12:00:19.000000,no,False,"b'becognizant,covid19,digitaltransformation,ai,data,automation,iot,cloud,softwareengineering,interactive,lifeatcognizant,futureofwork,greatplace2work,stayhomestayhealthy'",b'',"b""It's good to #becognizant \xe2\x80\x94 take these simple steps to fight #COVID19. :folded_hands:\n___________________________\n\n#digitaltransformation #ai #data #automation #iot #cloud #softwareengineering #interactive #lifeatcognizant #futureofwork  #GreatPlace2Work #stayhomestayhealthy""",0,0,1340,1,,,
