shortcode,username,date_utc,is_video,is_sponsored,hashtags,mentions,caption,video_view_count,video_length,likes,comments,likes+comments,location_name,location_latlong
CIYfUvkAuQQ,colgatepalmoliveco,2020-12-04 16:32:33.000000,yes,False,"b'optimisminaction,smilestrong'",b'',"b'The stories, achievements, and unwavering smiles of these three individuals embody the spirit of #OptimismInAction and inspire us all to #SmileStrong and create the positive change we want to see. Watch this moving video above.'",1463,30.0,299,2,,,
CIYQVMfMrqU,colgatepalmoliveco,2020-12-04 14:21:33.000000,yes,False,"b'wearecolgate,diversity,supplychain'",b'',"b'Congrats to our Supplier Diversity Team, recognized as 2020 All-Stars by Minority Business USA. We\xe2\x80\x99re committed to supporting minority and women-owned suppliers to enable the success of their businesses and ours. #WeAreColgate #diversity #supplychain'",1087,12.366,155,8,,,
CITexVEAf0a,colgatepalmoliveco,2020-12-02 17:51:07.000000,no,False,b'gethumming',"b'humbycolgate,headspace'","b'These days, we could all benefit from being kinder to our minds. That\xe2\x80\x99s why @humbyColgate has partnered with @headspace to help hum users build healthy, happy habits in only a few minutes a day. Recharge with Mindful Moments by Headspace and unlock a 60-day free trial to Headspace Plus. You\xe2\x80\x99ll be on your way to stress less and smile more, with better brushing and a more mindful routine. #gethumming today!'",0,0,304,4,,,
CITFQrtMkSM,colgatepalmoliveco,2020-12-02 14:08:34.000000,yes,False,"b'caring,creandosonrisasqueunen,wearecolgate'",b'',"b'Happy 95th Anniversary to Team Colgate Mexico! Gracias for your continued, #caring excellence across every aspect of our business. Felicidades a todos los Colgateros! #CreandoSonrisasQueUnen  #WeAreColgate'",1228,38.666,305,12,,,
CIQgV69g9b5,colgatepalmoliveco,2020-12-01 14:07:07.000000,no,False,"b'givingtuesday,optimisminaction,wearecolgate'",b'',"b'Caring = giving. In 2020, we\xe2\x80\x99ve distributed over $20M in essential health & hygiene products to people in need, and we look forward to continuing our outreach. On #GivingTuesday, please give to a cause close to your heart. #OptimismInAction #WeAreColgate'",0,0,439,2,,,
CIOJvCfgsam,colgatepalmoliveco,2020-11-30 16:11:06.000000,no,False,"b'vegan,recycled,circulareconomy,stockingstuffer'",b'helloproducts',"b'Our friends at @helloproducts have created your new fave #vegan lip balm. Moisturize with a super smooth blend of coconut & olive oils, packaged in a tube made of 60% post-consumer #recycled materials, promoting the #circulareconomy.  Available in delicious, sweet natural mint or strawberry flavor. Perfect #stockingstuffer!'",0,0,187,1,,,
CIGNvPzAxqN,colgatepalmoliveco,2020-11-27 14:12:34.000000,yes,False,"b'gift,gethumming,innovation,oralhealth'",b'humbycolgate',"b'Give the #gift of better brushing with hum, a new smart toothbrush and coaching app from Colgate. Skip the humbug and #GetHumming! Check out: @humbycolgate  #innovation #oralhealth'",1252,15.0,225,3,,,
CIDrAqRHzJP,colgatepalmoliveco,2020-11-26 14:30:33.000000,yes,False,"b'thanks,smiles,happythanksgiving,wearecolgate'",b'',"b'Sending heartfelt #thanks to our Colgate colleagues, families and partners around the world. Throughout this tough year, you\xe2\x80\x99ve always been there for us. We\xe2\x80\x99re so grateful for your #smiles and support. #HappyThanksgiving #WeAreColgate'",738,28.733,103,0,,,
CIBHWbjDbUI,colgatepalmoliveco,2020-11-25 14:40:32.000000,yes,False,"b'dental,caring'",b'',"b'The biggest secret of childhood is that cavities hold kids back. When you choose Colgate, you\xe2\x80\x99re helping us provide #dental care & education to kids around the world via our Colgate Bright Smiles, Bright Futures program. #caring'",921,15.033,147,1,,,
CH79ElxsKSR,colgatepalmoliveco,2020-11-23 14:34:33.000000,yes,False,"b'smile,poweredbysalt'",b'',"b'Innovative oral care with an ancient, antibacterial ingredient! New Colgate Active Salt Toothpaste has natural salt crystals to help fight germs, promoting strong teeth & healthy gums with regular brushing. Available now in the Philippines. #smile #PoweredBySalt'",1427,5.966,158,2,,,
