shortcode,username,date_utc,is_video,is_sponsored,hashtags,mentions,caption,video_view_count,video_length,likes,comments,likes+comments,location_name,location_latlong
CIYLEQJrMxs,commerzbank,2020-12-04 13:35:09.000000,no,False,"b'skyline,reflections,mainhattan,skyscraper,frankfurtdubistsowunderbar,tgif,sonnenuntergang,lights,potd,aneurerseite,anihrerseite,coba,commerzbank'",b'ad_pictures_',b'Wir w\xc3\xbcnschen euch einen traumhaften Start ins Wochenende und sagen vielen Dank an :camera_with_flash: @ad_pictures_ f\xc3\xbcr dieses wundersch\xc3\xb6ne Motiv! :smiling_face_with_heart-eyes:\n#skyline #reflections #mainhattan #skyscraper #frankfurtdubistsowunderbar #tgif #sonnenuntergang #lights #potd #aneurerseite #anihrerseite #coba #commerzbank',0,0,799,4,,,
CIQqbPTDVeZ,commerzbank,2020-12-01 15:35:15.000000,no,False,"b'weltaidstag,aidshilfe,gibaidskeinechance,solidaritaet,diversity,aneurerseite,anihrerseiter,coba,commerzbank'",b'aidshilfefrankfurt',b'Anl\xc3\xa4sslich des Welt-Aids-Tags zeigen unsere Kolleginnen und Kollegen auch in diesem Jahr Solidarit\xc3\xa4t. Schon seit zehn Jahren engagieren sie sich f\xc3\xbcr den Verkauf von B\xc3\xa4rchen zugunsten der @aidshilfefrankfurt. Das Engagement finden wir toll! Weiter so! :clapping_hands: \n#weltaidstag #aidshilfe #gibaidskeinechance #solidaritaet #diversity #aneurerseite #anihrerseiter #coba #commerzbank',0,0,425,3,,,
CIIMi3Fjha9,commerzbank,2020-11-28 08:40:13.000000,no,False,"b'advent,kerzen,banking,lichter,adventskranz,br\xc3\xa4uche,aneurerseite,anihrerseite,coba,commerzbank'",b'',"b'Mobil geht bei uns nicht nur Banking, sondern auch Advent - passt in jede Hosentasche. :winking_face: Stellt ihr auch einen Adventskranz auf? :candle_selector: \n#advent #kerzen #banking #lichter #adventskranz #br\xc3\xa4uche #aneurerseite #anihrerseite #coba #commerzbank'",0,0,308,19,,,
CIDycjFLYgl,commerzbank,2020-11-26 15:35:12.000000,no,False,"b'blackfriday,blackweek,cybermonday,blackfridaydeals,deal,kwk,aneurerseite,anihrerseite,coba,commerzbank'",b'',"b'Black Week genutzt und goldene Uhr geshoppt, aber jetzt klafft ein schwarzes Loch in deinem Portemonnaie? Dann einfach unser Girokonto weiterempfehlen und 100 Euro f\xc3\xbcr jeden Neukunden kassieren! :play_button_selector:scom.ly/werben:reverse_button_selector:\n#blackfriday #blackweek #cybermonday #blackfridaydeals #deal #kwk #aneurerseite #anihrerseite #coba #commerzbank'",0,0,149,1,,,
CH8FNSulxTZ,commerzbank,2020-11-23 15:45:13.000000,no,False,"b'kollegen,colleagues,hockey,feldhockey,bundesliga,hockeylife,nachwuchs,karriere,career,aneurerseite,anihrerseite,coba,commerzbank'",b'',b'Leistungssport trifft Bankkarriere. :field_hockey: :cross_mark: :bank: Unser Kollege Felix gibt alles f\xc3\xbcr unsere Kunden. Auch als Feldhockey-St\xc3\xbcrmer bringt er in der 1. Bundesliga H\xc3\xb6chstleistung. Was ihn antreibt? Das erf\xc3\xa4hrst du hier :play_button_selector:scom.ly/hockeyundkarriere:reverse_button_selector: \n#kollegen #colleagues #hockey #feldhockey #bundesliga #hockeylife #nachwuchs #karriere #career #aneurerseite #anihrerseite #coba #commerzbank',0,0,371,14,,,
CH0V5Q3jYb5,commerzbank,2020-11-20 15:37:06.000000,no,False,"b'vorlesetag2020,lesen,lieblingsbuch,bildung,leseratte,aneurerseite,anihrerseite,coba,commerzbank'","b'annettefrier,commerzbankstiftung,stiftunglesen'","b'\xe2\x80\x9eLesen ist etwas Wunderbares!\xe2\x80\x9c, findet @annettefrier, frisch von @commerzbankstiftung und @stiftunglesen gek\xc3\xbcrte Lesepreis-Tr\xc3\xa4gerin. :hugging_face: Welches Buch liegt aktuell bei euch auf dem Nachttisch? :open_book::nerd_face:\n#vorlesetag2020 #lesen #lieblingsbuch #bildung #leseratte #aneurerseite #anihrerseite #coba #commerzbank'",0,0,246,6,,,
CHsgbnJA6lZ,commerzbank,2020-11-17 14:35:15.000000,no,False,"b'internationalerstudententag,startkonto,student,banking,geldsparen,aneurerseite,anihrerseite,coba,commerzbank'",b'',b'Alles Gute zum internationalen Studententag! :graduation_cap: Zahlt ihr noch Kontof\xc3\xbchrungsgeb\xc3\xbchren? Das geht besser - mit unserem kostenlosen StartKonto. :smiling_face_with_sunglasses: Mehr Infos findet ihr hier :play_button_selector:scom.ly/startkonto:reverse_button_selector: \n#internationalerstudententag #startkonto #student #banking #geldsparen #aneurerseite #anihrerseite #coba #commerzbank',0,0,231,2,,,
CHpzN_Oo9YW,commerzbank,2020-11-16 13:30:53.000000,yes,False,"b'commerzbanktower,einblicke,virtuellef\xc3\xbchrung,hochhaus,skyline,frankfurtskyline,architektur,architecture,aneurerseite,anihrerseite,coba,commerzbank'",b'',b'Der Commerzbank Tower geh\xc3\xb6rt zu den beliebtesten Foto-Motiven in Frankfurt. :smiling_face_with_heart-eyes::camera_with_flash: Lehnt euch zur\xc3\xbcck und genie\xc3\x9ft eine virtuelle F\xc3\xbchrung durch Deutschlands h\xc3\xb6chstes B\xc3\xbcrogeb\xc3\xa4ude! :cityscape_at_dusk: \n#commerzbanktower #einblicke #virtuellef\xc3\xbchrung #hochhaus #skyline #frankfurtskyline #architektur #architecture #aneurerseite #anihrerseite #coba #commerzbank',3801,137.053,461,16,,,
CHgByTAhKZM,commerzbank,2020-11-12 18:20:13.000000,yes,False,"b'pferdeschw\xc3\xa4nze,pferdeschwaenze,grandeffie,effiegermany,gold,effie,dfbfrauen,dfb,kampagne,equality,aneurerseite,anihrerseite,coba,commerzbank'","b'gwa_agenturen,thjnk,dfb_frauenteam'",b'Wow! Nach Doppel-Gold beim Effie 2020 hat @gwa_agenturen unsere #pferdeschw\xc3\xa4nze-Kampagne nun auch mit dem Grand Effie als beste Kommunikationsma\xc3\x9fnahme ausgezeichnet \xe2\x80\x93 eine gro\xc3\x9fe Ehre! Danke f\xc3\xbcr eine tolle Teamleistung an @thjnk und @dfb_frauenteam !\xc2\xa0:party_popper::black_heart:\xc2\xa0:red_heart_selector:\xc2\xa0:yellow_heart:\n#pferdeschwaenze #grandeffie #effiegermany #gold #effie #dfbfrauen #dfb #kampagne #equality #aneurerseite #anihrerseite #coba #commerzbank',3143,12.966,365,15,,,
CHalKFZrecJ,commerzbank,2020-11-10 15:30:12.000000,no,False,"b'herbst,waldspaziergang,naturfotografie,bl\xc3\xa4tterfallen,herbstzauber,commerzbanklogo,aneurerseite,anihrerseite,coba,commerzbank'",b'',b'Was man nicht alles beim Herbstspaziergang entdeckt ... :face_with_tears_of_joy: Was habt ihr schon Spannendes gefunden? :magnifying_glass_tilted_right: \n#herbst #waldspaziergang #naturfotografie #bl\xc3\xa4tterfallen #herbstzauber #commerzbanklogo #aneurerseite #anihrerseite #coba #commerzbank',0,0,436,13,,,
CHQE26GIHiR,commerzbank,2020-11-06 14:32:53.000000,yes,False,"b'pferdeschw\xc3\xa4nze,pferdeschw\xc3\xa4nze,kampagne,gold,effie,dfbfrauen,dfb,equality,aneurerseite,anihrerseite,coba,commerzbank'",b'dfb_frauenteam',b'Whaaaat? Einmal Gold? Nein. Gleich zweimal Gold! Yes! :flexed_biceps: Unsere bereits vielfach pr\xc3\xa4mierte #pferdeschw\xc3\xa4nze Kampagne r\xc3\xa4umt auch beim Effie Award ab und das @dfb_frauenteam ist genauso aus dem H\xc3\xa4uschen wie wir! :party_popper::black_heart: :red_heart_selector: :yellow_heart:\n#pferdeschw\xc3\xa4nze #kampagne #gold #effie #dfbfrauen #dfb #equality #aneurerseite #anihrerseite #coba #commerzbank',3847,24.086,307,8,,,
CHLKHmDn0Rg,commerzbank,2020-11-04 15:45:19.000000,no,False,"b'deutscherlesepreis,preisverleihung,lesef\xc3\xb6rderung,lesepreis,freudeamlesen,lesebotschafterin,lesebotschafter,aneurerseite,anihrerseite,coba,commerzbank'","b'commerzbankstiftung,stiftunglesen'","b'Wir gratulieren: Annette Frier erh\xc3\xa4lt den Deutschen Lesepreis der @commerzbankstiftung und der @stiftunglesen f\xc3\xbcr ihr prominentes Engagement in der Lesef\xc3\xb6rderung! :orange_book::trophy: Seit 2012 engagiert sie sich f\xc3\xbcr die Lesef\xc3\xb6rderung von Kindern und Jugendlichen. Herzlichen Dank, liebe Annette Frier, f\xc3\xbcr deine Begeisterung und Unterst\xc3\xbctzung. :hugging_face: :yellow_heart: Mehr von der Preisverleihung seht ihr hier :right_arrow_selector:scom.ly/deutscher-lesepreis-2020:left_arrow_selector: \n#deutscherlesepreis #preisverleihung #lesef\xc3\xb6rderung #lesepreis #freudeamlesen #lesebotschafterin #lesebotschafter #aneurerseite #anihrerseite #coba #commerzbank'",0,0,480,6,,,
CHIlThdDQJg,commerzbank,2020-11-03 15:45:10.000000,no,False,"b'danke,sicherheit,safety,kunden,aneurerseite,anihrerseite,coba,commerzbank'",b'',b'Keine Chance f\xc3\xbcr Betr\xc3\xbcger! Unsere Serviceberaterin aus W\xc3\xbcrzburg hat einen mutma\xc3\x9flichen Enkeltrick-Betrug in H\xc3\xb6he von 398.000 Euro verhindert. :thumbs_up: Wir freuen uns \xc3\xbcber unsere aufmerksame Kollegin und f\xc3\xbcr die gl\xc3\xbcckliche Kundin. :star-struck: \n#danke #sicherheit #safety #kunden #aneurerseite #anihrerseite #coba #commerzbank',0,0,906,30,,,
CHBCz58oOyz,commerzbank,2020-10-31 17:29:17.000000,yes,False,"b'halloween,s\xc3\xbc\xc3\x9fesodersaures,horror,spooky,ghost,sparen,aktien,tipps,aneurerseite,anihrerseite,coba,commerzbank'",b'',b'... dann ist Wertpapiersparen die L\xc3\xb6sung f\xc3\xbcr dich! :woman_zombie_selector: :ghost:  Commerzbank.de/Sparen\n#halloween #s\xc3\xbc\xc3\x9fesodersaures #horror #spooky #ghost #sparen #aktien #tipps #aneurerseite #anihrerseite #coba #commerzbank',3648,6.0,187,11,,,
