shortcode,username,date_utc,is_video,is_sponsored,hashtags,mentions,caption,video_view_count,video_length,likes,comments,likes+comments,location_name,location_latlong
CID8gZTs94g,conagrafoodservice,2020-11-26 17:03:06.000000,no,False,b'',b'',b'We are extremely thankful for our social community. We wish you all a happy and healthy Thanksgiving Day.',0,0,24,1,,,
CHf1pgylbsa,conagrafoodservice,2020-11-12 16:30:30.000000,no,False,"b'foodservice,restaurant,carryout,delivery,adapt,menuideas'",b'',"b'Doing more with less, cutting costs and thinking differently. That\xe2\x80\x99s the right menu for right now. We\xe2\x80\x99re here to help with inspiring recipes, exclusive rebates and 5 doable menu adaptations\n\n#foodservice #restaurant #carryout #delivery #adapt #menuideas'",0,0,7,0,,,
CHYwvR5s3Pe,conagrafoodservice,2020-11-09 22:32:56.000000,no,False,"b'carryout,delivery,foodservice,adapt,menuideas'",b'',b'Operators love this guide. Find out why while there\xe2\x80\x99s still time. Download our adaptable menu guide for ready-to-go recipes and smart ways to drive revenue today. Link in bio\n\n#carryout #delivery #foodservice #adapt #menuideas',0,0,11,0,,,
CG2segdFdEt,conagrafoodservice,2020-10-27 17:01:39.000000,yes,False,"b'gardein,udis,krusteaz,pam'",b'',"b'It seems like everything has changed except this: customers still want great taste and fresh options. Serve up the meals they want to go or dine in. Get our inspired adaptable menu recipes, link in bio.\n\n#Gardein #Udis #Krusteaz #PAM'",64,12.0,9,1,,,
CGGUFoHFr-5,conagrafoodservice,2020-10-08 22:05:13.000000,yes,False,b'',b'',"b'What can you make with Gardein Chick\xe2\x80\x99n Strips? Short answer: Just about everything. Serve them saut\xc3\xa9ed, in pasta, stir fried, in salads. FInd even more inspiration on our website, link in bio.'",78,9.066,12,0,,,
CFkl6QqFICQ,conagrafoodservice,2020-09-25 19:46:32.000000,yes,False,"b'foodservice,foodserviceworkers'",b'',"b'Today is National Foodservice Workers Day. So we wanted to say thank you to our industry with a video that celebrates every chef, cook, server, dishwasher, host, delivery person and manager.\n\n#foodservice #foodserviceworkers'",78,22.433,11,0,,,
CFdE9bzjkZJ,conagrafoodservice,2020-09-22 21:44:45.000000,yes,False,b'',b'',b'Carrying out is definitely in! And we have some chef\xe2\x80\x99s tips that will give your carry out customers the experience of a restaurant-crafted meal at home. Follow the link in our bio for the full video and to learn more!',100,59.991,18,0,,,
CEpBbihFxPg,conagrafoodservice,2020-09-02 16:32:26.000000,no,False,b'',b'',b'Here\xe2\x80\x99s another on-trend recipe for take-out or delivery. Mumbai Vegetable Naan brings global flavors to your customers\xe2\x80\x99 doors. Simply package it up in a small or medium sized pizza box.',0,0,12,0,,,
CEU97jinQxD,conagrafoodservice,2020-08-25 21:37:03.000000,no,False,b'',b'angiesboomchickapop',"b'Here\xe2\x80\x99s another on-trend idea for take-out or delivery. Give your customers the option of packaged snacks, like @angiesboomchickapop. It\xe2\x80\x99s a great alternative to fries and the perfect snack for streaming a movie at home.'",0,0,19,1,,,
CEFWkB7D0Gr,conagrafoodservice,2020-08-19 20:04:27.000000,no,False,b'',b'',"b""Spicy is in even when it\xe2\x80\x99s take-out. Like this Italian-Vietnamese fusion B\xc3\xa1nh M\xc3\xac sandwich, loaded with mortadella, kimchi, cucumber, jalape\xc3\xb1os, cilantro and a zesty carrot slaw featuring Gulden's Spicy Mustard. Watch the video (link in bio) then kick it up in your kitchen.""",0,0,13,0,,,
CDcPbEKjPhA,conagrafoodservice,2020-08-03 20:53:12.000000,no,False,"b'gardeinmeatlessmonday,meatlessmonday,gardein,plantbased,vegan,vegetarian,meatless,meatfree,veganrecipes,veganfood,vegansofig,veganfoodshare'",b'',b'TGIMM. Thank goodness it\xe2\x80\x99s Meatless Monday because this Gardein Thai Chick\xe2\x80\x99n Salad will make everyone\xe2\x80\x99s day. It\xe2\x80\x99s a photo worthy entr\xc3\xa9e with an irresistible blend of fresh flavors. \n\n#gardeinmeatlessmonday #meatlessmonday #gardein #plantbased #vegan #vegetarian #meatless #meatfree #veganrecipes #veganfood #vegansofig #veganfoodshare',0,0,19,1,,,
CDcPbEKjPhA,conagrafoodservice,2020-08-03 20:53:12.000000,no,False,"b'gardeinmeatlessmonday,meatlessmonday,gardein,plantbased,vegan,vegetarian,meatless,meatfree,veganrecipes,veganfood,vegansofig,veganfoodshare'",b'',b'TGIMM. Thank goodness it\xe2\x80\x99s Meatless Monday because this Gardein Thai Chick\xe2\x80\x99n Salad will make everyone\xe2\x80\x99s day. It\xe2\x80\x99s a photo worthy entr\xc3\xa9e with an irresistible blend of fresh flavors. \n\n#gardeinmeatlessmonday #meatlessmonday #gardein #plantbased #vegan #vegetarian #meatless #meatfree #veganrecipes #veganfood #vegansofig #veganfoodshare',0,0,19,1,,,
CDHK9s_ldN2,conagrafoodservice,2020-07-26 16:30:11.000000,no,False,b'plantbasedparty',"b'hipcityveg,gardein'","b'Stand out by ordering in! \r\n\nJuly 24-26, buy a 100% plant-based takeout/delivery meal, or cook one at home, and post a pic tagged with #PlantBasedParty. If you don\xe2\x80\x99t feel like cooking, order this delicious Disco Chick\xe2\x80\x99n Sandwich from @hipcityveg featuring @gardein Chick\xe2\x80\x99n Breast. In support of this summer\xe2\x80\x99s Plant-based Party Gardein has made a donation to benefit Support + Feed and REVERB. Visit plantbasedpty.com to learn more!'",0,0,18,0,,,
CDEfURVDA6S,conagrafoodservice,2020-07-25 15:30:18.000000,no,False,b'plantbasedparty',"b'veggiegrill,gardein'","b'Ready for a win-win-win situation? From July 24-26, you\xe2\x80\x99re invited to a Plant-Based Party for the Planet! \n\nBuy or cook a 100% plant-based meal (how about trying this Nashville Hot Chickin\xe2\x80\x99 Sandwich from @veggiegrill and @gardein?) and post a photo of it using #PlantBasedParty to raise awareness. In support of this summer\xe2\x80\x99s Plant-based Party Gardein has made a donation to benefit Support + Feed and REVERB. Visit plantbasedpty.com to learn more!'",0,0,30,2,,,
CCrEbvcgURp,conagrafoodservice,2020-07-15 18:34:23.000000,no,False,"b'foodservice,fooddelivery,foodserviceindustry,restaurants,restauranthelp,cheflife,chef,restaurantindustry,chefs,chefsofinstagram,thegreatamericantakeout'",b'myrestauranthelp',b'Looking for ways to get H.E.L.P.? Conagra Foodservice is proud to sponsor this week\xe2\x80\x99s episode of the @myrestauranthelp podcast and bring you relevant tools and support. You can find the episode by searching Restaurant H.E.L.P. wherever you get your podcasts.\n\n#foodservice #fooddelivery #foodserviceindustry #restaurants #restauranthelp #cheflife #chef #restaurantindustry #chefs #chefsofinstagram #thegreatamericantakeout',0,0,18,1,,,
CCWvGncggTY,conagrafoodservice,2020-07-07 21:03:11.000000,no,False,"b'pizza,foodservice,pizza,pizzaholic'",b'',"b'Pizza, pizza, pizza. Today there\xe2\x80\x99s a pie for every palate. Our options include gluten free, dessert pizza, plant based and many other tastes. Check out the link in our bio for dozens of different pizza recipe ideas\n\n#pizza #foodservice #pizza:pizza: #pizzaholic'",0,0,22,0,,,
CBv7Zo0AFQ6,conagrafoodservice,2020-06-22 19:20:15.000000,no,False,"b'delivery,takeout,pickup'",b'',"b'Flexitarian, gluten-free and grain bowls. Those terms aren\xe2\x80\x99t usually associated with take-out and delivery. But the rules have changed and so have the options. Follow the link in our bio for innovative take-out recipes for every daypart. \n#delivery #takeout #pickup'",0,0,14,0,,,
CA53qIogVP6,conagrafoodservice,2020-06-01 19:28:34.000000,no,False,"b'meatlessmonday,gardein,plantbased,vegan,vegetarian,meatless,meatfree,veganrecipes,veganfood,vegansofig,veganfoodshare'","b'meatlessmonday,gardein'","b'Big news: The National Restaurant Association Show announced that our Gardein Crabless Cakes just won a 2020 Food and Beverage (FABI) Award. The FABI Awards recognize food and beverage products that break new ground in taste, creativity and profit potential. Learn more here in the bio link \n@meatlessmonday @gardein #meatlessmonday #gardein #plantbased #vegan #vegetarian #meatless #meatfree #veganrecipes #veganfood #vegansofig #veganfoodshare'",0,0,40,1,,,
B_2zmgKgbU8,conagrafoodservice,2020-05-06 18:24:00.000000,no,False,b'',b'',"b'Conagra Foodservice responds: Everyone is sharply focused on safety. The teams in our facilities take great pride in operating with safety top-of-mind, including the safety of one another and of the food we make. To learn more about our response click on the link in our bio'",0,0,13,0,,,
B_qMH5pD5y4,conagrafoodservice,2020-05-01 20:48:07.000000,no,False,"b'plantbasedparty,plantbasedparty'",b'plantbasedpty',b'What is your restaurant offering for this weekends\xe2\x80\x99 #plantbasedparty? Join the plant-based community to help raise money for food banks and frontline workers by promoting your best plant-based dishes and encouraging your patrons to post on social using #plantbasedparty! @plantbasedpty \nTo learn more visit plantbasedpty.com',0,0,28,0,,,
B_YKIuhAr1c,conagrafoodservice,2020-04-24 20:44:27.000000,no,False,b'',b'',"b'Conagra Foodservice responds: During this crisis and year round, we are providing product donations to Feeding America. It\xe2\x80\x99s the largest hunger relief organization in the U.S. with a network of over 200 food banks.'",0,0,31,2,,,
B_S_pFLAAyh,conagrafoodservice,2020-04-22 20:36:36.000000,no,False,b'',b'',"b'On this Earth Day, the focus turns to issues like climate change, water resources, waste and sustainable sourcing. But at Conagra Foodservice, we\xe2\x80\x99re working every day to help create a sustainable global food supply.'",0,0,17,0,,,
B-0RW4DF8-p,conagrafoodservice,2020-04-10 22:14:53.000000,no,False,b'',b'',b'Food safety isn\xe2\x80\x99t just a commitment. It\xe2\x80\x99s in our culture. We strive for a zero-defect culture throughout our supply chain and 100% of our full-time production facilities are GFSI-certified.',0,0,30,0,,,
B-h8TArgxK2,conagrafoodservice,2020-04-03 19:24:32.000000,no,False,b'',b'',b'Making our food for so many that rely on it happens because of our facility team members\xe2\x80\x99 exceptional work. We\xe2\x80\x99re providing these team members bonuses to express our gratitude for all they\xe2\x80\x99re doing during this extraordinary time. Thank you to all of our production and distribution facility employees. Learn more in the link in our bio',0,0,30,0,,,
B92gxSjA56a,conagrafoodservice,2020-03-17 22:36:41.000000,no,False,"b'spd,saintpatricksday,nachos,irish'",b'',b'Sl\xc3\xa1inte! (Translation: Your customers are going to feel very lucky indeed when you serve up this hearty recipe for Ro-Tel Irish Pub Nachos)\n\n#spd #SaintPatricksDay #nachos #irish',0,0,22,0,,,
B9hhplalwxX,conagrafoodservice,2020-03-09 19:00:19.000000,no,False,"b'gardeinmeatlessmonday,meatlessmonday,gardein,plantbased,vegan,vegetarian,meatless,meatfree,veganrecipes,veganfood,vegansofig,veganfoodshare'",b'',b'Did we post the wrong image on this Meatless Monday? No way\xe2\x80\x94those are Gardein Meatless Meatball Parm Sliders. And they taste even better than they look!\n\n#gardeinmeatlessmonday #meatlessmonday #gardein #plantbased #vegan #vegetarian #meatless #meatfree #veganrecipes #veganfood #vegansofig #veganfoodshare',0,0,21,1,,,
B9ZX3x6FMXt,conagrafoodservice,2020-03-06 15:00:58.000000,no,False,"b'frozenfoods,banquet,mega,megabowls'",b'',"b'It\xe2\x80\x99s National Frozen Food Day and we\xe2\x80\x99re celebrating with a legend. For more than 65 years Banquet has cooked up genuine comfort food customers of all ages love. Today, that includes Banquet Mega Bowls. \n#frozenfoods #banquet #mega #megabowls'",0,0,11,0,,,
B9PZPT8n_-A,conagrafoodservice,2020-03-02 18:00:29.000000,no,False,"b'gardeinmeatlessmonday,meatlessmonday,gardein,plantbased,vegan,vegetarian,meatless,meatfree,veganrecipes,veganfood,vegansofig,veganfoodshare'",b'',"b'Got :seedling::flexed_biceps: on the mind? We do too! So much so that we created a website just for Gardein Foodservice. If you\xe2\x80\x99re looking for product info, recipes inspiration, or ways to grow your business, check out our link in the bio \n#gardeinmeatlessmonday #meatlessmonday #gardein #plantbased #vegan #vegetarian #meatless #meatfree #veganrecipes #veganfood #vegansofig #veganfoodshare'",0,0,30,1,,,
B9J-eWeHCP7,conagrafoodservice,2020-02-29 15:30:24.000000,no,False,"b'nacho,leapday,gardein,plantbased,vegan,vegetarian,meatless,meatfree,veganrecipes,veganfood,vegansofig,veganfoodshare'",b'',"b'Today is #NACHO average day. Leap into #leapday with some :seedling::flexed_biceps: beefless nachos. Add your favorite twist or spice to make it your own, just don\xe2\x80\x99t forget your Gardein!\n\n#gardein #plantbased #vegan #vegetarian #meatless #meatfree #veganrecipes #veganfood #vegansofig #veganfoodshare'",0,0,35,0,,,
