shortcode,username,date_utc,is_video,is_sponsored,hashtags,mentions,caption,video_view_count,video_length,likes,comments,likes+comments,location_name,location_latlong
CIW0Qw1hZz2,continental_tire,2020-12-04 00:56:54.000000,yes,False,b'cruisingthecontinentalus',"b'eversley,rutledgewood'",b'#CruisingtheContinentalUS with @eversley & @rutledgewood ... a road trip from LA to Atlanta!',1548,15.0,459,7,,,
CIWmaGGB33V,continental_tire,2020-12-03 22:55:32.000000,no,False,"b'cruisingthecontinentalus,supra,route66'","b'rutledgewood,eversley,toyotausa'",b'Have you been following our #CruisingTheContinentalUS adventures?! @rutledgewood and @eversley are traveling from LA to ATL and stopping along the way to see the country and all of their favorite road side attractions.. @toyotausa #Supra #Route66',0,0,828,13,,,
CIUjlyEhV5Q,continental_tire,2020-12-03 03:52:26.000000,no,False,"b'cruisingthecontinentalus,nsx,extremecontact'","b'rutledgewood,eversley,acura'",b'Have you gone to CruisingTheContinentalUS.com yet and entered to win a free set of tires!? @rutledgewood and @eversley are literally driving around the country sharing the good word about our new Extreme Contact DWS 06 Plus tires AND giving some away! Check out the site or keep an eye out as they might be passing through your town soon.. #CruisingTheContinentalUS @Acura #NSX #ExtremeContact',0,0,520,2,,,
CIRqnJKBjgh,continental_tire,2020-12-02 00:56:25.000000,yes,False,b'',b'',b'The VikingContact 7. The confidence you need this winter.',2070,14.4,388,10,,,
CIO0XxmhXsA,continental_tire,2020-11-30 22:27:59.000000,yes,False,"b'cruisingthecontinentalus,extremecontact'","b'rutledgewood,eversley,bmwperformancedrivingschools'",b'What a crazy morning! @rutledgewood and I (@eversley) popped down to the @bmwperformancedrivingschools to drive their new BMW GT4 race cars and it was a blast! Make sure you check our stories out as we post about our trip #CruisingTheContinentalUS #ExtremeContact',1347,58.0,212,2,,b'The Thermal Club',33.6023469192 -116.152894496
CIMXISMBqds,continental_tire,2020-11-29 23:31:39.000000,yes,False,"b'cruisingthecontinentalus,extremecontactdws06plus'","b'rutledgewood,eversley,acura,hondaracing_hpd,toyotausa,toyotaracing'",b'Hey everyone it\xe2\x80\x99s @rutledgewood and @eversley and we\xe2\x80\x99re taking over the Continental Tire channels for the next week as we go #CruisingTheContinentalUS!!! @acura @hondaracing_hpd @toyotausa @toyotaracing #ExtremeContactDWS06Plus',1771,59.813,247,7,,,
CIKNX2QBbRf,continental_tire,2020-11-29 03:25:53.000000,no,False,"b'trackhawk,srt8,cars,jeep,jeeplove,moparnation,jeepnation,srtaddicts,srt8fam,hemi,srt8jeep,srt,jeepsrt8,itsajeepthing,jeeplife,dodge,jeepsrt8club,grandcherokee,automotivephotography,jeepgrandcherokee,jeepsrt,moparmilitia,moparperformance,moparadditcts,moparornocar,moparfam,srt8fam,sandiego,srtjeep,musclecar'",b'demonvisionsrt',b'Never met a sunset we didn\xe2\x80\x99t like :sunrise_over_mountains::smiling_face_with_sunglasses:\n\n:camera_with_flash:: @demonvisionsrt - Enjoy your weekend! Got some really cool stuff coming soon! :smiling_face_with_sunglasses: \n.\n.\n.\n.\n#trackhawk #srt8 #cars #jeep #jeeplove #moparnation #jeepnation #srtaddicts #srt8fam #hemi #srt8jeep #srt #jeepsrt8 #itsajeepthing #jeeplife #dodge #jeepsrt8club #grandcherokee #automotivephotography #jeepgrandcherokee #jeepsrt #moparmilitia #moparperformance #moparadditcts #moparornocar #moparfam #Srt8fam #sandiego #srtjeep #musclecar',0,0,702,4,,,
CIHbxCohVn6,continental_tire,2020-11-28 01:33:56.000000,no,False,"b'audi,rs5,rs5sportback,sportback,audisport,audisportback,b9,b9sportback,audirs5,b9rs5,verde,bronzewheels,contis,dws06,carwash,nardo,nardogray,allseasons,nardogrey,meguires,zaino,chemicalguys,hamptons,hamptonbays,swapalease'",b'bklyngarage',b':sparkles::sparkles::sparkles: \n\n:camera_with_flash:: @bklyngarage - So pretty when it\xe2\x80\x99s clean. #audi #rs5 #rs5sportback #sportback #audisport #audisportback #b9 #b9sportback #audirs5 #b9rs5 #verde #bronzewheels #contis #dws06 #carwash #nardo #nardogray #allseasons #nardogrey #meguires #zaino #chemicalguys #hamptons #hamptonbays #swapalease',0,0,578,4,,,
CIDq_ZanZDK,continental_tire,2020-11-26 14:30:02.000000,no,False,b'',b'',b'Happy Thanksgiving!',0,0,563,3,,,
CIDq_ZanZDK,continental_tire,2020-11-26 14:30:02.000000,no,False,b'',b'',b'Happy Thanksgiving!',0,0,563,3,,,
