shortcode,username,date_utc,is_video,is_sponsored,hashtags,mentions,caption,video_view_count,video_length,likes,comments,likes+comments,location_name,location_latlong
CIY-JU3p6aP,corona,2020-12-04 21:01:26.000000,no,False,"b'thisisliving,uruguay'",b'diegoweisz',b'That sweet spot between day and night. #ThisIsLiving\xe2\x81\xa3\n\xe2\x81\xa3\n:camera:: @diegoweisz\xe2\x81\xa3\n\xe2\x81\xa3\n#Uruguay \xe2\x81\xa3\n\xe2\x81\xa3',0,0,5421,34,,b'Uruguay',-32.733333 -56.65
CIYKfi6hyai,corona,2020-12-04 13:30:19.000000,yes,False,"b'thisisliving,moorea,frenchpolynesia'",b'cobiandewey',b'The best way to explore somewhere new? Dive right in. #ThisIsLiving\xe2\x81\xa3\n\xe2\x81\xa3\n:camera:: @cobiandewey\xe2\x81\xa3\n\xe2\x81\xa3\n#Moorea #FrenchPolynesia\xe2\x81\xa3',12042,14.766,1977,10,,,
CIVpbAABTl_,corona,2020-12-03 14:05:12.000000,yes,False,"b'thisisliving,tulum,mexico'","b'matiasderada,arturoplataa,nirvananh,regallardoescobar'","b'65 million years ago, a meteorite impact and millennia of collapsing limestone left a mysterious water world underneath the jungle of the Yucatan peninsula in Mexico. \xe2\x81\xa3\n\xe2\x81\xa3\nWatch @matiasderada, @arturoplataa, @nirvananh, and @regallardoescobar discover the great importance of these cenotes. #ThisIsLiving\n\n#Tulum #Mexico'",7266,243.933,902,47,,,
CIT0nDhhr_q,corona,2020-12-02 21:02:07.000000,yes,False,"b'tulum,mexico'","b'matiasderada,arturoplataa,nirvananh,regallardoescobar'","b'For the ancient Mayans, the cenotes were the gates of the underworld. For Matias and his friends, they were an opportunity to discover how everything in nature is connected.\xe2\x81\xa3\n\xe2\x81\xa3\nWatch The Underground Ocean by Matias De Rada, coming tomorrow on IGTV and YouTube.\xe2\x81\xa3\n\xe2\x81\xa3\n@matiasderada @arturoplataa @nirvananh @regallardoescobar\xe2\x81\xa3\n\xe2\x81\xa3\n #Tulum #Mexico\xe2\x81\xa3'",24267,14.966,3102,38,,,
CITBNcihfMl,corona,2020-12-02 13:32:46.000000,no,False,"b'thisisliving,lagoatitlan,guatemala'","b'lafortunaatitlan,caoilfhionnrose'","b'The @lafortunaatitlan is powered entirely by solar energy, built from bamboo, and filled with furniture carved by local Guatemalan artisans using trees harvested from the surrounding area.\xe2\x81\xa3\n\xe2\x81\xa3\nThe husband and wife duo behind the hotel have combined their years of working in environmental protection and the tourist industry to create this unique paradise on the shores of Lake Atitlan.\xe2\x81\xa3\n\xe2\x81\xa3\nExpect days of uninterrupted relaxation in one of five private bungalows, nestled in lush jungle with a view of Atitla\xcc\x81n\xe2\x80\x99s volcanic coastline. A must-do? The outdoor showers beneath the star-speckled night sky will make you fall in love with the world all over again. #ThisIsLiving\xe2\x81\xa3\n\xe2\x81\xa3\n:camera:: @caoilfhionnrose\xe2\x81\xa3\n\xe2\x81\xa3\n#LagoAtitlan #Guatemala \xe2\x81\xa3'",0,0,3931,36,,b'Lago Atitl\xc3\xa1n',14.7390266948 -91.1489295959
CIRPrzJhme8,corona,2020-12-01 21:00:46.000000,no,False,"b'freerangehumans,thisisliving'",b'',b'Corona Studios presents Free Range Humans.\xe2\x81\xa3\n\xe2\x81\xa3\nEight brave pioneers decided to leave behind a conventional life indoors to pursue a more meaningful life outside. Watch all eight episodes now on IGTV & YouTube.\xe2\x81\xa3\n\xe2\x81\xa3\n#FreeRangeHumans #ThisIsLiving\xe2\x81\xa3',0,0,1540,6,,,
CIQfwAPhLR-,corona,2020-12-01 14:02:27.000000,yes,False,"b'freerangehumans,thisisliving'",b'jasondecairestaylor',"b'EPISODE 8 // THE UNDERWATER SCULPTOR\xe2\x81\xa3\n\xe2\x81\xa3\nJason (@jasondecairestaylor) became like many art graduates in the UK \xe2\x80\x94 an artist with a degree, but no real purpose. Until he decided to combine his love for scuba diving with his artistic talent, creating art with the purpose of saving the world.\xe2\x81\xa3\n\xe2\x81\xa3\nWatch Free Range Humans, an eight-part original series from Corona Studios, now on IGTV and YouTube.\xe2\x81\xa3\n\xe2\x81\xa3\n#FreeRangeHumans #ThisIsLiving\xe2\x81\xa3'",4797,14.993,914,6,,,
CIOq5FLB_Dt,corona,2020-11-30 21:00:47.000000,no,False,"b'freerangehumans,thisisliving'",b'',b'Corona Studios presents Free Range Humans.\xe2\x81\xa3\n\xe2\x81\xa3\nEight brave pioneers decided to leave behind a conventional life indoors to pursue a more meaningful life outside. Watch all eight episodes now on IGTV & YouTube.\xe2\x81\xa3\n\xe2\x81\xa3\n#FreeRangeHumans #ThisIsLiving\xe2\x81\xa3',0,0,1363,3,,b'China',51.422484125 -0.489390985
CIN3h2vhKC3,corona,2020-11-30 13:32:28.000000,yes,False,"b'freerangehumans,thisisliving'",b'darsea_liu',"b'EPISODE 7 // THE WAVE BREAKER \xe2\x81\xa3\n\xe2\x81\xa3\nDarci (@darsea_liu) was raised in a traditional family, who wanted her to become a ballerina. But when Darci was introduced to surfing, everything changed - for her, and for surfing history in China.\xe2\x81\xa3\n\xe2\x81\xa3\nWatch Free Range Humans, an eight-part original series from Corona Studios, now on IGTV and YouTube.\xe2\x81\xa3\n\xe2\x81\xa3\n#FreeRangeHumans #ThisIsLiving\xe2\x81\xa3'",5270,14.993,1005,10,,b'China',51.422484125 -0.489390985
CIMFgzlhu6l,corona,2020-11-29 20:55:41.000000,no,False,"b'freerangehumans,thisisliving'",b'',b'Corona Studios presents Free Range Humans.\xe2\x81\xa3\xe2\x81\xa3\n\xe2\x81\xa3\xe2\x81\xa3\nEight brave pioneers decided to leave behind a conventional life indoors to pursue a more meaningful life outside. Watch all eight episodes now on IGTV & YouTube.\xe2\x81\xa3\xe2\x81\xa3\n\xe2\x81\xa3\xe2\x81\xa3\n#FreeRangeHumans #ThisIsLiving\xe2\x81\xa3\xe2\x81\xa3',0,0,1443,8,,,
