shortcode,username,date_utc,is_video,is_sponsored,hashtags,mentions,caption,video_view_count,video_length,likes,comments,likes+comments,location_name,location_latlong
CIQ35rknUev,couchetardqc,2020-12-01 17:32:57.000000,no,False,b'',b'',"b'Pour nous, 1er d\xc3\xa9cembre rime avec calendrier de l\xe2\x80\x99avent ! Ouvre une porte du calendrier chaque jour et tu pourrais gagner un prix instantan\xc3\xa9 ! :victory_hand_medium-light_skin_tone:\xe2\x81\xa3\n\xe2\x81\xa3\nClique le lien dans la bio pour jouer. :sparkles:'",0,0,69,2,,,
CIOrPDPn5EC,couchetardqc,2020-11-30 21:04:52.000000,yes,False,b'',b'',b'DERNI\xc3\x88RE CHANCE :exploding_head:  Il ne reste qu\xe2\x80\x99une semaine pour nous montrer tes talents de lancer au but. Tu pourrais gagner des prix instantan\xc3\xa9s ou un r\xc3\xa9am\xc3\xa9nagement de ton salon. Clique le lien dans la bio pour participer. :sparkles:',791,6.033,17,0,,,
CH0UOvhH2De,couchetardqc,2020-11-20 15:24:14.000000,yes,False,b'',b'',"b'On dit \xc3\xa7a, on dit rien, mais les cartes pr\xc3\xa9pay\xc3\xa9es font un excellent cadeau \xc3\xa0 mettre sous le sapin ou dans le bas de No\xc3\xabl... :Christmas_tree:'",1278,13.043,20,0,,,
CHfyhKwACCO,couchetardqc,2020-11-12 16:04:17.000000,yes,False,b'',b'',b'Fais le plein d\xe2\x80\x99\xc3\xa9nergie avec Rockstar ! Profite de notre offre coup de c\xc5\x93ur jusqu\xe2\x80\x99au 7 d\xc3\xa9cembre. :collision:',8227,5.0,43,0,,,
CHdc9qCnFpy,couchetardqc,2020-11-11 18:18:23.000000,yes,False,b'',b'',b'Derniers produits vedettes = derni\xc3\xa8re chance pour participer \xc3\xa0 notre concours pour courir la chance de remporter 6000$ ou 1 an d\xe2\x80\x99essence gratuite. Ne rate pas ta chance ! :exploding_head:\xe2\x81\xa3\n\xe2\x81\xa3\n:sparkles: Lien dans la bio pour participer :sparkles:',224,14.076,18,0,,,
CHbHIkWnv19,couchetardqc,2020-11-10 20:28:03.000000,yes,False,b'',b'',"b'Allez, laisse-toi tenter par notre offre coup de c\xc5\x93ur... :clinking_beer_mugs:'",1421,5.0,10,0,,,
CG-M_fkncFV,couchetardqc,2020-10-30 15:02:05.000000,yes,False,b'',b'',b'Part le week-end du bon pied avec les bas Prends \xc3\xa7a Chill offert \xc3\xa0 l\xe2\x80\x99achat d\xe2\x80\x99une caisse de 30 canettes Coors Light. :star-struck:\xe2\x81\xa3\n\xe2\x81\xa3\nCoors Original aussi disponible en magasin.',1841,8.203,22,1,,,
CG2x2aqHNiC,couchetardqc,2020-10-27 17:48:25.000000,no,False,b'',b'',"b'Les vins R\xc3\xa9volution : le partenaire de jeu id\xc3\xa9al. \xc3\x80 seulement 11,49$ c\xe2\x80\x99est le temps d\xe2\x80\x99en profiter ! :eyes:'",0,0,62,7,,,
CG0RPjtHQYh,couchetardqc,2020-10-26 18:25:01.000000,no,False,b'',b'',"b"":wine_glass: CONCOURS TERMIN\xc3\x89  La tempe\xcc\x81rature d'aujourd'hui nous rend nostalgique des belles journe\xcc\x81es d'automne sur le quai... :loudly_crying_face:\xe2\x81\xa3\xe2\x81\xa3\n\xe2\x81\xa3\xe2\x81\xa3\nPour se consoler, on fait tirer 10 cartes-cadeaux Couche-Tard d'une valeur de 75$ chacune. Fais le calcul, c\xcc\xa7a fait pas mal de bouteilles Revolution\xe2\x80\xa6 :smirking_face:\xe2\x81\xa3\xe2\x81\xa3\n\xe2\x81\xa3\xe2\x81\xa3\nPour participer : \xe2\x81\xa3\xe2\x81\xa3\n:backhand_index_pointing_right: Aime la publication & suis-nous sur Instagram \xe2\x81\xa3\xe2\x81\xa3\n:backhand_index_pointing_right: Identifie un ami en commentaire \xe2\x81\xa3\xe2\x81\xa3\n\xe2\x81\xa3\xe2\x81\xa3\nLe concours prend fin le 2 novembre a\xcc\x80 23h59. Les gagnants seront se\xcc\x81lectionne\xcc\x81s au hasard parmi les commentaires.\xe2\x81\xa3\xe2\x81\xa3""",0,0,266,186,,,
CGsrUZcHmCZ,couchetardqc,2020-10-23 19:38:57.000000,no,False,b'',b'',"b'A\xcc\x80 seulement 11,49 $ chez Couche-Tard, les nouveaux ce\xcc\x81pages des vins Revolution sont un ve\xcc\x81ritable passe-partout ! Psst. Ils font un excellent accord avec les crottes de fromage. :face_with_hand_over_mouth:'",0,0,60,4,,,
CGkhB5OHV8O,couchetardqc,2020-10-20 15:35:44.000000,yes,False,b'',b'',"b'OFFRE EXCLUSIVE CHEZ COUCHE-TARD  Garde tes pieds bien au chaud avec les bas ""prends \xc3\xa7a chill"" \xc3\xa0 l\'achat d\'une caisse de 30 canettes Coors Light. Offre valide jusqu\'au 9 novembre, dans les Couche-Tard participants. :raising_hands_medium-light_skin_tone:\n\nCoors Original aussi disponible en magasin.'",11166,35.696,39,8,,,
CGZ_llhH39b,couchetardqc,2020-10-16 13:33:27.000000,yes,False,b'',b'',b'Besoin d\xe2\x80\x99un petit remontant ? :umbrella_with_rain_drops: Profite de cette offre charmante... :slightly_smiling_face:',14241,5.0,130,2,,,
CGXDEZfHr_L,couchetardqc,2020-10-15 10:04:46.000000,yes,False,b'',b'',b'Notre concours produits vedettes OD est de retour cette ann\xc3\xa9e ! Participe et tu pourrais gagner 6000 $ ou 1 an d\xe2\x80\x99essence. :face_screaming_in_fear: \xe2\x81\xa3\n\xe2\x81\xa3\nLien dans la bio pour participer :sparkles:',271,14.076,17,1,,,
CGVpbHFnJbh,couchetardqc,2020-10-14 21:00:12.000000,yes,False,b'',b'',b'Difficile de r\xc3\xa9sister \xc3\xa0 une offre comme celle-l\xc3\xa0... :smirking_face:',21246,5.0,109,1,,,
CGDIQSEnJab,couchetardqc,2020-10-07 16:24:01.000000,yes,False,b'',b'',"b'Notre promo essence est de retour avec de nouveaux produits ! Me\xcc\x82me concept : a\xcc\x80 chaque fois que tu ache\xcc\x80tes un produit participant, tu e\xcc\x81conomises 3 sous/litre jusqu\xe2\x80\x99a\xcc\x80 concurrence de 12 sous/litre. Profites-en ! :waving_hand_medium-light_skin_tone:'",229,10.238,11,0,,,
CF-THMTndoV,couchetardqc,2020-10-05 19:25:48.000000,yes,False,b'',b'',"b""En cette journe\xcc\x81e mondiale des enseignants, nous tenons a\xcc\x80 les remercier pour leur bon travail surtout en ces temps difficiles. Identifie dans les commentaires un enseignant qui me\xcc\x81rite d'e\xcc\x82tre reconnu pour son excellent travail. \xe2\x81\xa3:red_heart_selector:""",2569,23.566,21,6,,,
CFzQvytnEJp,couchetardqc,2020-10-01 12:31:27.000000,yes,False,b'',b'',"b'Fans de breuvages chauds \xc3\xa9pic\xc3\xa9s, le chocolat chaud citrouille et \xc3\xa9pices a r\xc3\xa9cemment fait son entr\xc3\xa9e chez nous ! :jack-o-lantern:\xe2\x81\xa3\n\xe2\x81\xa3\nOffert pour une dur\xc3\xa9e limit\xc3\xa9e dans les magasins participants.\xe2\x81\xa3'",8878,6.0,69,1,,,
CFuEOQKnUf1,couchetardqc,2020-09-29 12:04:52.000000,yes,False,b'',b'',"b""Journe\xcc\x81e nationale du cafe\xcc\x81  Amateurs de cafe\xcc\x81, nous sommes la\xcc\x80 pour vous ! Aujourd'hui seulement, obtenez un cafe\xcc\x81 gratuit lors de votre visite dans un Couche-Tard. \xe2\x81\xa3:hot_beverage:\n\xe2\x81\xa3\n:backhand_index_pointing_right_medium-light_skin_tone: Promotion uniquement disponible via l'application Couche-Tard.""",8888,6.533,60,0,,,
CFfOYd1nXu-,couchetardqc,2020-09-23 17:45:26.000000,yes,False,b'',b'',"b""On l'avoue... on a un faible pour nos offres. De\xcc\x81couvre nos coups de c\xc5\x93ur du moment de\xcc\x80s maintenant en magasin. \xe2\x81\xa3:smirking_face:\n\xe2\x81\xa3\nOffre valide jusqu'au 12 octobre 2020.""",323,5.0,19,0,,,
CFUjGG1HZPs,couchetardqc,2020-09-19 14:14:25.000000,yes,False,"b'tousensemble,5millionsderepas'",b'',"b""Grace a\xcc\x80 votre ge\xcc\x81ne\xcc\x81rosite\xcc\x81, nous avons remis 273 000 repas aux banques alimentaires du Que\xcc\x81bec. Aidez-nous a\xcc\x80 atteindre notre objectif, soit celui de remettre 5 millions de repas. C'est simple, faites le plein chez Couche-Tard ! :waving_hand_medium-light_skin_tone:\xe2\x81\xa3\n#tousensemble #5millionsderepas""",317,6.333,23,1,,,
CFR4TdwH85d,couchetardqc,2020-09-18 13:21:31.000000,no,False,b'',b'slocheofficiel',"b'Psst. @slocheofficiel fait tirer 24 verres Sloche sur leur compte Instagram. Si on e\xcc\x81tait vous, on irait se garrocher sur leur dernie\xcc\x80re publication. :woman_cartwheeling_light_skin_tone:'",0,0,150,7,,,
CEou5wbn69O,couchetardqc,2020-09-02 13:58:21.000000,yes,False,b'',"b'chefcookit,chocofavoris,lambertbags,guruenergie,horacejewelry,bikinivillage,piknicmtl,igloofest_mtl,stokesstores,mustsociete,davidstea,womance,kasemedesign'","b""Couche-Tard est fier de s'associer a\xcc\x80 @chefcookit pour vous faire gagner votre MEILLEURE anne\xcc\x81e a\xcc\x80 vie ! Cours la chance de remporter plus de 10 000$ en prix a\xcc\x80 gagner, gracieusete\xcc\x81 de nous-me\xcc\x82me et de belles entreprises d'ici. \xe2\x81\xa3\xe2\x81\xa3:sparkles:\n\xe2\x81\xa3\xe2\x81\xa3\nPOUR PARTICIPER : \xe2\x81\xa3\xe2\x81\xa3\n\xe2\x81\xa3\n:backhand_index_pointing_right_medium-light_skin_tone: Rendez vous sur www.chefcookit.com/concours/qc \n:backhand_index_pointing_right_medium-light_skin_tone: Participez au concours en entrant vos infos\n:backhand_index_pointing_right_medium-light_skin_tone: Partagez le concours avec vos amis en les identifiant plus bas! \xe2\x81\xa3\xe2\x81\xa3\n\xe2\x81\xa3\xe2\x81\xa3\nBonne chance!\xe2\x81\xa3\xe2\x81\xa3\n\xe2\x81\xa3\nLes beaux partenaires : @chocofavoris,\n@lambertbags,\xe2\x81\xa3 @guruenergie,\xe2\x81\xa3 @horacejewelry, @bikinivillage, @piknicmtl,\xe2\x81\xa3 @igloofest_mtl,\n@stokesstores, @mustsociete, @davidstea, @womance\xe2\x81\xa3 & @kasemedesign""",7612,7.0,56,19,,,
CEcI1dJnxQA,couchetardqc,2020-08-28 16:28:33.000000,yes,False,b'',b'od_officiel',"b""Pour une deuxie\xcc\x80me anne\xcc\x81e conse\xcc\x81cutive, nous sommes les fiers partenaires de @od_officiel ! C\xcc\xa7a commence biento\xcc\x82t et on est plus qu'excite\xcc\x81s... :face_screaming_in_fear: Avez-vous ha\xcc\x82te autant que nous?! :hugging_face:""",597,6.0,47,4,,,
CEZZ_BSHeIi,couchetardqc,2020-08-27 14:59:14.000000,yes,False,b'',b'kindercanada',"b""@kindercanada + l'un de nos breuvages = match parfait. \xe2\x81\xa3:party_popper:\n\xe2\x81\xa3\n:chocolate_bar: De\xcc\x81tails de l'offre dans notre bio.""",27148,8.0,363,5,,,
CERpyRPnXEw,couchetardqc,2020-08-24 14:46:54.000000,yes,False,b'',"b'couchetardqc,slocheofficiel'","b"":roller_coaster: CONCOURS - Pour souligner l'arrive\xcc\x81e de la nouvelle saveur Sloche a\xcc\x80 La Ronde, nous avons de\xcc\x81cide\xcc\x81 de faire tirer 4 paires de billets quotidiens.\n\xe2\x81\xa3\xe2\x81\xa3\nPour participer, suis ces 2 e\xcc\x81tapes : \xe2\x81\xa3\xe2\x81\xa3\n:backhand_index_pointing_right_medium-light_skin_tone: Tag ici 1 ami avec qui tu veux siroter la nouvelle Sloche entre deux mane\xcc\x80ges\xe2\x81\xa3\xe2\x81\xa3\n:backhand_index_pointing_right_medium-light_skin_tone: Partage la publication en story en identifiant @couchetardqc et @slocheofficiel\xe2\x81\xa3\xe2\x81\xa3\n\xe2\x81\xa3\xe2\x81\xa3\nLes gagnants seront annonce\xcc\x81s ce vendredi a\xcc\x80 12h. \xe2\x81\xa3\xe2\x81\xa3\n\xe2\x81\xa3\xe2\x81\xa3\nBonne chance a\xcc\x80 tous. :dizzy:""",672,6.0,74,22,,,
CEMUNkBHyRd,couchetardqc,2020-08-22 13:01:31.000000,yes,False,"b'tousensemble,5millionsderepas'",b'',"b""\xc3\x80 l'achat d'essence ou en ajoutant un don \xc3\xa0 votre transaction, vous contribuez ainsi \xc3\xa0 fournir des repas \xc3\xa0 des gens dans le besoin. :folded_hands_light_skin_tone: #tousensemble #5millionsderepas""",488,5.066,34,0,,,
CEH9Vo-HGWq,couchetardqc,2020-08-20 20:23:23.000000,yes,False,b'',b'',"b'Petite fringale avant ton 5 \xc3\xa0 7 ? Ne laisse pas la faim l\xe2\x80\x99emporter et fait le plein de Nos Favoris, toujours \xc3\xa0 petits prix. :smiling_face_with_heart-eyes:'",365,10.838,30,0,,,
CECIdlqnNqL,couchetardqc,2020-08-18 14:04:55.000000,yes,False,b'',b'revesdenfantsqc',"b'Cette anne\xcc\x81e, on se ge\xcc\x80le le cerveau pour la cause ! Ajoutez 2$ \xc3\xa0 votre transaction et obtenez une Sloche gratuite lors de votre prochaine visite. Tous les profits iront a\xcc\x80 @revesdenfantsqc :sparkles:'",8932,11.706,98,12,,,
CD3nR27nh02,couchetardqc,2020-08-14 12:01:20.000000,yes,False,"b'tousensemble,5millionsderepas'",b'',"b'Les banques alimentaires ont encore et toujours besoin de nous. Pour les aider, c\xe2\x80\x99est simple, vient faire le plein chez Couche-Tard ! :waving_hand_medium-light_skin_tone: #tousensemble #5millionsderepas'",396,6.2,31,1,,,
CD1WzOjn6S1,couchetardqc,2020-08-13 14:58:48.000000,yes,False,b'',b'',b'As-tu entendu la bonne nouvelle ? Nos grillades sont enfin de retour ! Avoue que tu as faim maintenant... :hot_dog:',653,8.305,32,0,,,
CDwARaHH283,couchetardqc,2020-08-11 13:05:34.000000,no,False,"b'teamrpccassandra,teamrpclucie,teamrpc2fillesordinaires,teamrpcchloe'",b'',"b"":rocket: CONCOURS - Cet e\xcc\x81te\xcc\x81, a\xcc\x80 l'occasion du retour de notre jeu Roche, Papier & Cadeaux, nous nous sommes associe\xcc\x81s a\xcc\x80 vos influenceurs pre\xcc\x81fe\xcc\x81re\xcc\x81s pour vous offrir la chance de remporter une carte-cadeau d\xe2\x80\x99une valeur de 100$.\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\n \xe2\x81\xa3\nPour participer, c\xe2\x80\x99est simple : \xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\n1. Identifie en commentaire un ami avec qui tu partagerais tes prix Roche, Papier & Cadeaux \xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\n2. Identifie l\xe2\x80\x99e\xcc\x81quipe de l\xe2\x80\x99influenceur pour laquelle tu joues : \n#TeamRPCCassandra\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\n#TeamRPCLucie\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\n#TeamRPC2FillesOrdinaires\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\n#TeamRPCChloe\xcc\x81 \xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\n \xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\nParmi tous les participants, nous ferons tirer une carte-cadeau par e\xcc\x81quipe d\xe2\x80\x99influenceur. Au total, 4 cartes-cadeaux seront remises ! Bonne chance a\xcc\x80 tous ! \xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3:sparkles:\n\xe2\x81\xa3\n* Pour lire les re\xcc\x80glements, clique le lien dans notre bio. \xe2\x81\xa3""",0,0,515,831,,,
CDl6h5Yn_aO,couchetardqc,2020-08-07 15:05:45.000000,yes,False,b'',b'',b'Psst. La tendance de l\xe2\x80\x99heure t\xe2\x80\x99est maintenant offerte a\xcc\x80 l\xe2\x80\x99achat d\xe2\x80\x99une caisse de 12 Pabst. :victory_hand_medium-light_skin_tone:\xe2\x81\xa3\n\xe2\x81\xa3\nKronenbourg e\xcc\x81galement disponible en magasin.',1948,7.869,39,0,,,
CDUc3SyHUOP,couchetardqc,2020-07-31 20:16:44.000000,yes,False,"b'tousensemble,5millionsderepas'",b'foodbankscanada',"b'Besoin de faire le plein? Le choix est simple! Visitez un magasin Couche-Tard, peu importe la banni\xc3\xa8re d\xe2\x80\x99essence affili\xc3\xa9e pour redonner \xc3\xa0 votre communaut\xc3\xa9. @foodbankscanada #tousensemble\xc2\xa0#5millionsderepas'",344,9.0,29,0,,,
CDTwHm1H0tK,couchetardqc,2020-07-31 13:45:48.000000,yes,False,b'sloche',b'slocheofficiel',b'La nouvelle saveur #Sloche provoque des d\xc3\xa9hanchements incontr\xc3\xb4lables.\n@slocheofficiel',761,7.133,54,3,,,
CDB5r3cHCNu,couchetardqc,2020-07-24 15:23:06.000000,yes,False,b'',b'klondikebar',"b'Mets la patte sur un biscuit GRATUIT! Ach\xc3\xa8te un biscuit g\xc3\xa9ant @klondikebar et si la caisse ruuugit, obtiens un deuxi\xc3\xa8me gratuit! Jusqu\xe2\x80\x99au 17 ao\xc3\xbbt. :cookie:'",21119,11.105,71,0,,,
CC_JsEoHVR_,couchetardqc,2020-07-23 13:46:00.000000,yes,False,b'',b'',"b'Commence \xc3\xa0 craquer tes doigts d\xc3\xa8s maintenant et vient nous d\xc3\xa9fier \xc3\xa0 Roche, Papier et Cadeaux ! Tu cours la chance de remporter l\xe2\x80\x99un des 7500 prix quotidiens ! :raising_hands_medium-light_skin_tone:'",975,15.0,54,5,,,
CC6Dw60HP-o,couchetardqc,2020-07-21 14:17:27.000000,yes,False,b'',b'beachday.everyday',b'Boost ta cour gr\xc3\xa2ce \xc3\xa0 @beachday.everyday ! Ach\xc3\xa8te un produit participant et cours la chance de remporter des accessoires pour embellir ta cour ! Jusqu\xe2\x80\x99au 17 ao\xc3\xbbt. :palm_tree:',27768,10.005,125,5,,,
CCwCT46HLUY,couchetardqc,2020-07-17 16:52:30.000000,yes,False,b'',b'',"b'Chez Couche-Tard, on ne manque pas de produits d\xe2\x80\x99ici ! D\xc3\xa9couvre-les pendant tes vacances. :sun_with_face:'",522,11.973,31,4,,,
CCoUqwtHswb,couchetardqc,2020-07-14 16:59:54.000000,yes,False,b'',b'',"b""Chez Couche-Tard, on carbure aux e\xcc\x81conomies! Ache\xcc\x80te un des produits participants et e\xcc\x81conomise jusqu'a\xcc\x80 12 sous le litre! :smiling_face_with_sunglasses:""",376,9.246,32,0,,,
CCeQKgkH4l0,couchetardqc,2020-07-10 19:06:49.000000,yes,False,b'',b'',"b""Soyez pre\xcc\x82ts pour un e\xcc\x81te\xcc\x81 pe\xcc\x81tillant et rempli de saveurs avec nos varie\xcc\x81te\xcc\x81s de boissons alcoolise\xcc\x81es! \xe2\x81\xa3:man_surfing_medium-light_skin_tone:\n\xe2\x81\xa3\nL'a\xcc\x82ge le\xcc\x81gal pour consommer de l'alcool est de 18 ans.""",556,6.733,30,0,,,
CCbB54FH9qM,couchetardqc,2020-07-09 13:04:30.000000,yes,False,"b'tousensemble,5millionsderepas'",b'',"b'Les banques alimentaires ont des besoins grandissants. Pour les aider, c\xe2\x80\x99est simple, venez faire le plein chez Couche-Tard! :waving_hand_medium-light_skin_tone: \xe2\x81\xa3\n\xe2\x81\xa3\n#tousensemble #5millionsderepas'",252,6.0,28,0,,,
CCY4yjGnh2R,couchetardqc,2020-07-08 17:07:07.000000,yes,False,b'',b'',"b'Amateur de poutines, ce produit est pour vous! Avec ses frites ondul\xc3\xa9es, son fromage et sa sauce d\xc3\xa9lectable, la Poutine Day Everyday est parfaite pour un late-night snack ou pour un d\xc3\xaener vite fait, bien fait. :face_savoring_food:'",992,6.7,51,4,,,
CCMOCmBnbLS,couchetardqc,2020-07-03 19:01:57.000000,yes,False,b'',b'sleemanbeer',"b'Ce week-end, transforme ta cour arri\xc3\xa8re en terrain de jeu avec la caisse @sleemanbeer! Identifie un ami que tu mettrais au d\xc3\xa9fi au lancer de poches! :boxing_glove:'",442,6.166,18,1,,,
