shortcode,username,date_utc,is_video,is_sponsored,hashtags,mentions,caption,video_view_count,video_length,likes,comments,likes+comments,location_name,location_latlong
CH-x35dHKe1,cummins,2020-11-24 16:55,yes,False,"cummins,ramtrucks",,"b""How do you build an engine that will run for over 1 million miles? Well that's easy, thanks to our employees at the Columbus Mid-Range Engine Plant. Get a behind-the-scenes look at how we redefine what a truck can do :backhand_index_pointing_up: \n\n#Cummins #RamTrucks""",20930,224.068,4959,67,5026,,
CH9MiW5H7Mj,cummins,2020-11-24 02:08,no,False,"marinemonday,cummins",sffdpio,"b""#MarineMonday or fighting fires? :fire: Either way, thank the @sffdpio. Powered by three Cummins QSK19-M Tier III engines, the St. Francis fire boat has the capacity to pump over 18,000 gallons of water per minute. We're proud to power products that support the safety of our communities in every corner of the world. #Cummins""",0,0,2196,6,2202,,
CHqBz63HyhU,cummins,2020-11-16 15:29,no,False,"cummins,generationh,hydrogen",,"b'Hi, there. :waving_hand: We\xe2\x80\x99re the 101-year old company that has something to say about Hydrogen. \n\nLearn more at the link in our bio! #Cummins #GenerationH #Hydrogen'",0,0,1256,1,1257,,
CHqBWmMnhz9,cummins,2020-11-16 15:25,no,False,"cummins,generationh,hydrogen",,"b'What does a spaceship, train and bus all have in common? Hydrogen. \n\nLearn more at the link in our bio! #Cummins #GenerationH #Hydrogen'",0,0,1097,0,1097,,
CHqA7nlnDXT,cummins,2020-11-16 15:21,no,False,"cummins,generationh,hydrogen",,b'An element with so much potential we\xe2\x80\x99re giving it its own day :spiral_calendar:\n\nLearn more at the link in our bio! #Cummins #GenerationH #Hydrogen',0,0,1929,17,1946,,
CHqAneCHq8o,cummins,2020-11-16 15:18,no,False,"cummins,generationh,hydrogen",,b'Could hydrogen be the :key: to a decarbonized future? \n\nLearn more at the link in our bio! #Cummins #GenerationH #Hydrogen',0,0,681,6,687,,
CHqAPSvnO4f,cummins,2020-11-16 15:15,no,False,"cummins,generationh,hydrogen",,b'Good news: we\xe2\x80\x99re turning hydrogen ideas into reality. \n\nLearn more at the link in our bio! #Cummins #GenerationH #Hydrogen',0,0,1313,6,1319,,
CHp_uROHgQ5,cummins,2020-11-16 15:10,no,False,"cummins,generationh,hydrogen",,b'Hydrogen could help enable us to reach 50% of electricity generation using renewables by the 2030\xe2\x80\x99s. \n\nLearn more at the link in our bio! #Cummins #GenerationH #Hydrogen',0,0,1068,5,1073,,
CHp_LBxnBeb,cummins,2020-11-16 15:06,no,False,"cummins,generationh,hydrogen",,b'Hydrogen. It\xe2\x80\x99s the future. And it\xe2\x80\x99s happening right now. \n\nLearn more at the link in our bio! #Cummins #GenerationH #Hydrogen',0,0,818,8,826,,
CHp-paJngGb,cummins,2020-11-16 15:01,no,False,"cummins,generationh,hydrogen",,"b'We don\xe2\x80\x99t predict the future, we just innovate for it. \n\nLearn more at the link in our bio! #Cummins #GenerationH #Hydrogen'",0,0,541,1,542,,
CHp9rFxHC5I,cummins,2020-11-16 14:53,no,False,"cummins,generationh,hydrogen",,b'It\xe2\x80\x99s Cummins Hydrogen Day and we\xe2\x80\x99re ready!:droplet:\n\nLearn more at the link in our bio! #Cummins #GenerationH #Hydrogen',0,0,982,1,983,,
CHiMGRgj1kh,cummins,2020-11-13 14:25,no,False,"hydrogen,cummins,generationh",,"b'If Hydrogen was your best friend in high school, it would totally be named \xe2\x80\x9cMost likely to lead the world to a carbon-free future.\xe2\x80\x9d Talk about a glow up. We\xe2\x80\x99re taking #hydrogen out of the chemistry lab and into the spotlight during our virtual Hydrogen Day event. Register now at the link in bio! #Cummins #GenerationH'",0,0,2180,28,2208,,
