shortcode,username,date_utc,is_video,is_sponsored,hashtags,mentions,caption,video_view_count,video_length,likes,comments,likes+comments,location_name,location_latlong
CITYqzdFUF4,deloitte,2020-12-02 16:57:45.000000,no,False,b'holidayshopping',b'',"b'Meet Francesca, the festive shopper. She is all about buying gifts for her loved ones. Does this sound like you? Click the link in the bio to read our report about the #holidayshopping trends emerging in the market.'",0,0,1114,5,,,
CIQw8-jAXW_,deloitte,2020-12-01 16:32:47.000000,yes,False,"b'givingtuesday,covid19,impactthatmatters'","b'lifeatdeloitteus,deloittechina,deloitteindia,deloitte_es,deloittecareersuk,deloittecanada'","b'This #GivingTuesday we celebrate the generosity of our Deloitte community and their response to the #COVID19 pandemic. \n\nFrom raising relief funds to 3D printing masks, our colleagues around the globe are truly making an #ImpactThatMatters. :clapping_hands::clapping_hands::clapping_hands:\n\nFeaturing: @lifeatdeloitteus @deloittechina @deloitteindia @deloitte_es @deloittecareersuk @deloittecanada'",4565,206.666,381,2,,,
CHdXrUKn7Gr,deloitte,2020-11-11 17:30:15.000000,yes,False,b'globalmarketingtrends',b'',b'Did you know 14% of people who first entered the gig economy during the pandemic were the most satisfied of ALL workers? #GlobalMarketingTrends',4063,25.033,316,7,,,
CHavdLlnIU7,deloitte,2020-11-10 17:00:49.000000,yes,False,"b'futureoffood,sustainability'",b'beardfoundation',b'James Beard Foundation collaborators open up their kitchens and their imaginations to the Future of Food. \n\nDeloitte is proud to sponsor the @beardfoundation Leadership Awards in celebrating innovation across America\xe2\x80\x99s food ecosystem.\n.\n.\n#futureoffood #sustainability',3934,40.933,284,1,,,
CHYBS5hHezo,deloitte,2020-11-09 15:38:28.000000,no,False,"b'wellbeing,hctrends'",b'',b'Is there a more important issue than workforce #wellbeing right now? See what else is trending in our 2021 #HCTrends. Register to get your copy at https://deloi.tt/2JNsIol',0,0,1459,2,,,
CHJPwO0Hq6r,deloitte,2020-11-03 21:56:08.000000,yes,False,b'globalmarketingtrends',b'',b'56% of people interacted directly with a brand in the last year. Will you be one of them this year? Check out our 2021 #GlobalMarketingTrends report.',3798,20.033,282,5,,,
CG244dVAIl2,deloitte,2020-10-27 18:52:39.000000,yes,False,b'globalmarketingtrends',b'',b'1/4 customers will walk away from a brand if they do not agree with its decisions. Are you one of them? Check out our 2021 #globalmarketingtrends report for more.',4636,20.014,362,6,,,
CG0gxgcgyr2,deloitte,2020-10-26 20:48:27.000000,yes,False,"b'mentalhealth,worldmentalhealthday,millennialsurvey,oyw,mentalhealth'",b'oneyoungworld',"b':double_exclamation_mark_selector:Let\xe2\x80\x99s talk about #mentalhealth:double_exclamation_mark_selector:\n.\nIn alignment with #worldmentalhealthday Deloitte collaborated with @oneyoungworld on their \xe2\x80\x9cTable Talks\xe2\x80\x9d series to discuss the importance of mental health and the workplace, reflecting on our 2020 #MillennialSurvey insights. \n.\n:backhand_index_pointing_right: Deloitte Global\xe2\x80\x99s Bec Dyce shares her experience in discussion with #OYW Ambassadors working in the mental health space :clapping_hands: sharing tips :clapping_hands: that everyone can take for improving their #mentalhealth \n.\n:movie_camera: Watch the full video on IGTV [link in story].'",7709,60.006,331,17,,b'Worldwide',40.7536668 -73.9950324
CGp4gHJAkVF,deloitte,2020-10-22 17:42:21.000000,yes,False,b'techtrends',b'',"b'If we know one thing, it\xe2\x80\x99s that change is constant. #techtrends 2021 spots trends that are disrupting business and equipped you to lead with confidence. Find us online to sign up to receive a report when it drops.'",6254,17.9,480,7,,,
CGSeyIsH3OK,deloitte,2020-10-13 15:29:21.000000,yes,False,b'deloitteomnia',b'',b':light_bulb: Bright minds\n:person_in_lotus_position_medium_skin_tone: Flexible methodology\n:robot_face: World-class audit technology\n#DeloitteOmnia brings them all together to deliver a more focused audit.',5168,29.966,431,12,,,
CGP2YvqAQa6,deloitte,2020-10-12 15:04:49.000000,yes,False,"b'covid19,impactthatmatters,remoteworking,workfromhome,wellbeing'",b'',"b'During #COVID19, many business leaders observed what Deloitte has long known: people who can work from any place at any time are more productive:check_mark:creative :check_mark:and efficient.:check_mark::clapping_hands:\n.\n:backhand_index_pointing_right:Learn more findings in our 2020 Global Impact Report [link in bio]\n.\n#ImpactThatMatters #remoteworking #workfromhome #wellbeing'",5221,30.233,353,10,,b'Worldwide',40.7536668 -73.9950324
CGFYR2snc9x,deloitte,2020-10-08 13:22:22.000000,yes,False,b'techtrends',b'',b'Earning trust in the tech age is both a 360-degree challenge and opportunity. Explore how ethical technology is becoming business-critical in the #TechTrends collection via Deloitte Insights.',4414,30.033,347,3,,,
CGDxfyaosz6,deloitte,2020-10-07 22:24:13.000000,no,False,b'wnba',b'wnba',b'Possible is why we watch. Congratulations to Seattle on only seeing possible en route to their #WNBA finals victory! Deloitte is a proud sponsor of and trusted advisor to the @WNBA.',0,0,858,6,,,
