shortcode,username,date_utc,is_video,is_sponsored,hashtags,mentions,caption,video_view_count,video_length,likes,comments,likes+comments,location_name,location_latlong
CIWLd-ZpzM6,delta,2020-12-03 19:00:16.000000,no,False,b'',b'',"b""When you're ready to go, we're ready to take you.""",0,0,19933,364,,,
CIQ0I7Tl7RI,delta,2020-12-01 17:00:13.000000,no,False,b'',b'jazzabel',b'WFH goals.\n\nPhoto: @jazzabel',0,0,7533,109,,b'Crater Lake National Park',None None
CIDnkjmsXEL,delta,2020-11-26 14:00:16.000000,no,False,b'atl',b'',"b'What are you grateful for today?\n\nPhoto: Adriana M. - Flight Attendant, #ATL'",0,0,8221,305,,,
CH5IXstMfSE,delta,2020-11-22 12:15:13.000000,no,False,b'',b'bdelao89',b'Good morning world. :waving_hand: \n\nPhoto: @bdelao89',0,0,14207,180,,,
CH22ddVsQnR,delta,2020-11-21 15:00:15.000000,no,False,b'',b'',b'The only time we\xe2\x80\x99ll say we\xe2\x80\x99re over Seattle.',0,0,31566,266,,"b'Seattle, Washington'",47.6046 -122.3308
CHx6Xu1A6o9,delta,2020-11-19 16:58:13.000000,no,False,b'',b'megstraightup',"b'""This year, we have to make our own adventures.""\n\nPhoto: @megstraightup'",0,0,13328,161,,,
CHs-v0LBWvW,delta,2020-11-17 19:00:14.000000,no,False,b'atl',b'',"b'Everyone has more than one happy place. Find yours.\n\nPhoto: Christina W. - Business Analyst, #ATL'",0,0,13830,137,,b'Up in the Air',None None
CHqTFOOJeL3,delta,2020-11-16 18:00:12.000000,no,False,b'',b'lensballvacations',b'Where to next? :crystal_ball: \n\nPhoto: @lensballvacations',0,0,12522,185,,,
CHid1NPgoq1,delta,2020-11-13 17:00:14.000000,no,False,b'',b'travelthroughrodric',"b'The iconic Riverfront Park in Downtown Spokane is the perfect place to get out of the house and get some fresh air. Visit on a Friday, Saturday or Sunday at sunset and watch the Pavilion at Riverfront come to life during one of its free, dynamic light shows.\n\nPro tip: Don\xe2\x80\x99t forget your mask! Face coverings are required at indoor and outdoor public spaces in the state of Washington.\n\nPhoto: @travelthroughrodric'",0,0,7208,67,,b'Pavilion at Riverfront',47.6626892886 -117.4191002532
CHgNo1uJsp5,delta,2020-11-12 20:00:14.000000,no,False,b'',b'wherekatieis',"b""We're suckers for a good sunset, and Moab has some of the best.\n\n@wherekatieis's favorite is at Dead Horse Point State Park. Her tip for first timers: Get there about an hour before sunset so you can get a good spot, set up and enjoy the views.""",0,0,11641,100,,b'Dead Horse Point State Park',38.4973996141 -109.7302436829
