shortcode,username,date_utc,is_video,is_sponsored,hashtags,mentions,caption,video_view_count,video_length,likes,comments,likes+comments,location_name,location_latlong
CIVUhmOKdNa,dhl_global,2020-12-03 11:00:09.000000,yes,False,b'wehelpsanta',b'',b'Santa can\xe2\x80\x99t do it alone. We are happy to help. #wehelpsanta',2752,24.433,557,41,,,
CITLNmrsSNs,dhl_global,2020-12-02 15:00:13.000000,no,False,"b'seoul,southkorea,dhl,aroundtheworld,dhlworldwideshipping,delivery,excellencesimplydelivered,online,shopping,ecommerce,onlineshopping,night,street,cars'",b'late.ha',"b'Long days :sun_selector:, even longer nights :night_with_stars: - but we are always there :victory_hand_selector:\n:camera: @late.ha :world_map_selector::round_pushpin: #Seoul #SouthKorea :South_Korea:\n\n#DHL #AroundTheWorld #DHLworldwideshipping #Delivery #ExcellenceSimplyDelivered #Online #Shopping #Ecommerce #Onlineshopping #Night #Street #Cars'",0,0,2210,22,,,
CIPhvesi58C,dhl_global,2020-12-01 05:00:21.000000,yes,False,"b'happyholidays,24daysofdhl,momentsthatdeliver'",b'',"b'Win amazing prizes with our Advent Calendar! :wrapped_gift: \nTo celebrate the holiday season, we\xe2\x80\x99ve teamed up with our partners to deliver you special prizes every day until the 24th December. :Santa_Claus:\nClick on the link in the bio and find today\xe2\x80\x99s date to enter! \n\n#HappyHolidays #24daysofDHL #MomentsThatDeliver'",3455,42.966,592,36,,,
CIOBpD9qLPi,dhl_global,2020-11-30 15:00:47.000000,yes,False,"b'dhl,aroundtheworld,dhlworldwideshipping,delivery,excellencesimplydelivered,bobsleigh,bob,bobteam,online,shopping,ecommerce,onlineshopping,rollingstones,officiallogisticspartner,dhlunzipped,groningermuseum,exhibition,rock,mickjagger,music,keithrichards,rocknroll,stones'",b'groningermuseum',"b'HELLLOOOO @groningermuseum! The Rolling Stones UNZIPPED Exhibit, delivered by DHL opened up and we have delivered a very special guitar :guitar:\n\n#DHL #AroundTheWorld #DHLworldwideshipping #Delivery #ExcellenceSimplyDelivered #Bobsleigh #Bob #Bobteam #Online #Shopping #Ecommerce #Onlineshopping #RollingStones #OfficialLogisticsPartner #DHLUNZIPPED #GroningerMuseum #Exhibition #Rock #MickJagger #Music #KeithRichards #RocknRoll #Stones'",3296,59.8,401,23,,b'Groninger Museum',53.2121911789 6.5663013112
CILjx81KwZU,dhl_global,2020-11-29 16:01:04.000000,yes,False,b'wehelpsanta',b'',"b'We have been partnering up with Santa for years. If you want to help, try ordering and sending your presents as early as possible. #wehelpsanta'",3718,20.0,716,28,,,
CIIZp1mCki-,dhl_global,2020-11-28 10:34:43.000000,no,False,b'dhlfashion',b'mbfwrussia',"b'Face masks aren\xe2\x80\x99t the only fashion staple in 2020! Take a glimpse behind the scenes at the @mbfwrussia \xe2\x80\x93 delivered by DHL, where our signature red and yellow was matched only by fashionable garms and even more fashionable people! #DHLFashion'",0,0,1853,18,,,
CIGTQInF6Ok,dhl_global,2020-11-27 15:00:20.000000,no,False,"b'posttower,orangetheworld,highrise,orange,internationaldayfortheeliminat,endtheviolence,stopviolence,skyscraper'","b'unbonn,unwomen'","b'On the occasion of the International Day for the Elimination of Violence against Women on Wednesday, our corporate headquarters in Bonn, #PostTower, took part in the campaign #OrangeTheWorld, to help spread the message. Along with other landmarks and buildings the #highrise was illuminated in #orange.\n#internationaldayfortheeliminationofviolenceagainstwomen #endtheviolence #stopviolence #skyscraper\n@unbonn @unwomen'",0,0,2185,12,,,
CIBJpa_HhRs,dhl_global,2020-11-25 15:00:12.000000,no,False,"b'california,longbeach,usa,dhl,aroundtheworld,dhlworldwideshipping,delivery,excellencesimplydelivered,online,shopping,ecommerce,onlineshopping,iceicebaby,icecream,iscream,ice,gelato,sweettooth,icecreamlover,tasty'",b'konaiceofcentraltustin',b'Ice cream :soft_ice_cream: is always a good idea! Especially in #California.\n:camera: @konaiceofcentraltustin :world_map_selector::round_pushpin: #LongBeach #USA :United_States:\n\n#DHL #AroundTheWorld #DHLworldwideshipping #Delivery #ExcellenceSimplyDelivered #Online #Shopping #Ecommerce #Onlineshopping #IceIceBaby #IceCream #iScream #Ice #Gelato  #SweetTooth #Icecreamlover #Tasty',0,0,1668,34,,"b'Long Beach, California'",33.7692 -118.1938
CIBJpa_HhRs,dhl_global,2020-11-25 15:00:12.000000,no,False,"b'california,longbeach,usa,dhl,aroundtheworld,dhlworldwideshipping,delivery,excellencesimplydelivered,online,shopping,ecommerce,onlineshopping,iceicebaby,icecream,iscream,ice,gelato,sweettooth,icecreamlover,tasty'",b'konaiceofcentraltustin',b'Ice cream :soft_ice_cream: is always a good idea! Especially in #California.\n:camera: @konaiceofcentraltustin :world_map_selector::round_pushpin: #LongBeach #USA :United_States:\n\n#DHL #AroundTheWorld #DHLworldwideshipping #Delivery #ExcellenceSimplyDelivered #Online #Shopping #Ecommerce #Onlineshopping #IceIceBaby #IceCream #iScream #Ice #Gelato  #SweetTooth #Icecreamlover #Tasty',0,0,1668,34,,"b'Long Beach, California'",33.7692 -118.1938
CH8ALBSnj-a,dhl_global,2020-11-23 15:01:11.000000,no,False,"b'picasso,leipzig,germany,dhl,aroundtheworld,dhlworldwideshipping,delivery,excellencesimplydelivered,online,shopping,ecommerce,onlineshopping,art,painting,van,streetart,creative,artsy,gallery'",b'galerieleuenroth',b'This could be the next #Picasso. What do you think? (Painted by Adrian Mudder.)\n:camera: @galerieleuenroth :world_map_selector::round_pushpin: #Leipzig #Germany :Germany:\n\n#DHL #AroundTheWorld #DHLworldwideshipping #Delivery #ExcellenceSimplyDelivered #Online #Shopping #Ecommerce #Onlineshopping #Art #Painting #Van #Streetart #Creative #Artsy #Gallery',0,0,2705,65,,,
CH2o0npq7PK,dhl_global,2020-11-21 13:00:56.000000,no,False,b'berlin',b'',"b""Do you know? :Germany: Germany's first mobile pop-up store :shopping_bags_selector: opened its doors :bus: for clients from :round_pushpin: #Berlin? Yellow-painted :yellow_heart: DHL parcel busses will support the company to cope with increased demand during the peak :Santa_Claus: :Mrs._Claus: Christmas season, while still providing sufficient protection against infection. Customers can pick up their parcels from the buses, as well as return them.""",0,0,3276,54,,,
CH0SztelPyh,dhl_global,2020-11-20 15:10:07.000000,no,False,"b'oslo,norway,dhl,aroundtheworld,dhlworldwideshipping,delivery,excellencesimplydelivered,motorcycle,motorbike,bikelife,online,shopping,ecommerce,onlineshopping,rider,moto,bigyellowmachine,fast,streetbike,bikes,driver'",b'streetoftrees',"b'The vehicle may be :pinching_hand: tiny, but the niceness of the driver is :two_hearts: huge. \n:camera: @streetoftrees :world_map_selector::round_pushpin: #Oslo #Norway :Norway:\n\n#DHL #AroundTheWorld #DHLworldwideshipping #Delivery #ExcellenceSimplyDelivered #Motorcycle#Motorbike #Bikelife #Online #Shopping #Ecommerce #Onlineshopping #Rider #Moto #BigYellowMachine #Fast #Streetbike #Bikes #Driver'",0,0,1774,25,,,
CHvIFP5AaVC,dhl_global,2020-11-18 15:00:12.000000,no,False,"b'seoul,southkorea,dhl,aroundtheworld,dhlworldwideshipping,delivery,excellencesimplydelivered,onthestreet,truck,order,gift,online,shopping,ecommerce,onlineshopping,street,streetlife,van,yellow,autumn,korea,fall,leaves,autumncolors,fallcolors'",b'easting97kim',b'Forever friends! :call_me_hand:\n:camera: @easting97kim :world_map_selector::round_pushpin: #Seoul #SouthKorea :South_Korea:\n\n#DHL #AroundTheWorld #DHLworldwideshipping #Delivery #ExcellenceSimplyDelivered #OnTheStreet #Truck #Order #Gift #Online #Shopping #Ecommerce #Onlineshopping #Street #Streetlife #Van #Yellow #Autumn #Korea #Fall #Leaves #Autumncolors #Fallcolors',0,0,1869,41,,,
