shortcode,username,date_utc,is_video,is_sponsored,hashtags,mentions,caption,video_view_count,video_length,likes,comments,likes+comments,location_name,location_latlong
CIYj53-JFs3,diageo,2020-12-04 17:12:08.000000,no,False,"b'guinness,guinnessstorehouse,wintervillage'",b'guinness',"b'Today the Guinness Storehouse will open their snowy gates, inviting all to a festive shopping experience like no other. \n\nFor the month of December, the home of @guinness will be transformed into the ultimate Winter Village, complete with an exciting line-up of local craft makers, artists and much more.\n \nThe Winter Village will run for the month of December from 2pm \xe2\x80\x93 8pm Wednesday \xe2\x80\x93 Sunday, starting today December 4th.\n\nTo find out more about the Winter Village visit https://www.guinness-storehouse.com/en/winter-village\n \n#Guinness #GuinnessStorehouse #WinterVillage \n\nDrink responsibly. DRINKiQ.com.'",0,0,347,2,,,
CIYaP02pZwn,diageo,2020-12-04 15:47:45.000000,no,False,"b'jw200,johnniewalker,keepwalking'","b'johnniewalker,marketingweeked'","b'As @johnniewalker marks 200 years, hear from our Global Consumer Planning Director Andrew Geoghegan on how brand milestones can help you look to the future and celebrate the past in his latest @marketingweeked column.\n\n#JW200 #JohnnieWalker #KeepWalking\n\nDrink responsibly. DRINKiQ.com\n\nRead here: https://www.marketingweek.com/andrew-geoghegan-brand-birthdays-realign-future-celebrate-past/'",0,0,1471,9,,,
CITk2QWgRtc,diageo,2020-12-02 18:49:39.000000,yes,False,b'thebalancechallenge',"b'wateraid,wateraid'","b'We\xe2\x80\x99ve launched a new social media responsible drinking campaign. \n\nIn partnership with @wateraid, this new augmented reality filter - available on Instagram - challengers users to test their balance through a series of poses and is designed to encourage people to swap an alcoholic drink for water this festive period.\n\nVisit @wateraid to donate directly.\n\n#TheBalanceChallenge\n\nDrink responsibly. DRINKiQ.com'",5232,115.413,438,6,,,
CISwxplpLIq,diageo,2020-12-02 11:09:10.000000,no,False,"b'ecommerce,diageo'",b'',"b'\xe2\x80\x9cHow can you take something, unpick it and do it in a new way because you can digitize the solution? How can you create better value for our customers and create better digital experiences for our consumers, using real-time data to maximize innovation in #eCommerce? This is how we think at #Diageo. It\xe2\x80\x99s all about creating efficient, effective and ambitious solutions which are super impactful across all our world-class brands.\xe2\x80\x9d \xe2\x80\x93 Paula Dart, VP eCommerce Global COE\xe2\x81\xa3 \n\xe2\x81\xa3\nDiscover more about eCommerce at Diageo.com/careers\xe2\x81\xa3\n\xe2\x81\xa3\nDrink responsibly. DRINKiQ.com'",0,0,306,4,,"b'London, United Kingdom'",51.5141 -0.1094
CISlni5gW38,diageo,2020-12-02 09:31:44.000000,yes,False,b'spiritofprogress',b'',"b'We\xe2\x80\x99ve made big strides reducing our environmental impact, but won\xe2\x80\x99t stop until we\xe2\x80\x99ve reduced it everywhere, we can: cutting down packaging, increasing recycled content and eliminating all waste :recycling_symbol_selector:\n\nFind out more on Diageo.com #SpiritofProgress\n\nDrink responsibly. DRINKiQ.com'",2079,12.966,232,6,,,
CIP8oy6MjGJ,diageo,2020-12-01 08:55:15.000000,yes,False,"b'diageo,spiritofprogress'",b'',"b'Every day this decade, we will commit to making more with less. From breweries in Kenya to distilleries in Scotland, every #Diageo drink will be made using 30% less water than today :droplet:\n\nFind out more on Diageo.com #SpiritofProgress\n\nDrink responsibly. DRINKiQ.com.'",1563,12.966,172,2,,,
CINwUFrpzL-,diageo,2020-11-30 12:28:55.000000,no,False,b'thailand',b'',"b'\xe2\x80\x9cDiageo adapts quickly and successfully to change. Through introducing \xe2\x80\x98agile teams\xe2\x80\x99 in recent months, we have been able to create small, focused, cross-functional teams in #Thailand that work together to achieve unified success in a forever changing world.\xe2\x80\x9d \xe2\x80\x93 Nok Laohaphan, Traditional Trade Director :Thailand: \xe2\x81\xa3\n\xe2\x81\xa3\nYou\xe2\x80\x99ll find career-enhancing challenges all across our business, find your next move today at Diageo.com/careers\xe2\x81\xa3\n\xe2\x81\xa3\nDrink responsibly. DRINKiQ.com'",0,0,1316,8,,"b'Bangkok, Thailand'",13.7522 100.494
CINasZgA9M1,diageo,2020-11-30 09:20:05.000000,yes,False,b'spiritofprogress',b'',"b'We have already cut our carbon in half, but we must do more, which is why we\xe2\x80\x99re committed to being net zero carbon in our direct operations by 2030, using renewable energy across all of our brands.\n\nFind out more on Diageo.com #SpiritofProgress\n\nDrink responsibly. DRINKiQ.com.'",2024,12.966,216,3,,,
CIF5WdTp1Cq,diageo,2020-11-27 11:13:58.000000,no,False,"b'marketing,diageo'",b'',"b'\xe2\x80\x9cThere is a certain honour that comes with #marketing brands with such stature and history. It pushes you to constantly think, inspire and execute at the absolute highest level.\xe2\x80\x9d - Sphe Mdakane, Assistant Brand Manager, South Africa :South_Africa:\xe2\x81\xa3\n\xe2\x81\xa3\nJoin #Diageo and be a torchbearer for some of the world\xe2\x80\x99s most iconic brands. Find out more at Diageo.com/careers\xe2\x81\xa3\n\xe2\x81\xa3\nDrink responsibly. DRINKiQ.com'",0,0,415,4,,"b'Johannesburg, South Africa'",-26.1073303 28.0552237
CIFtg1VgON5,diageo,2020-11-27 09:30:36.000000,yes,False,b'spiritofprogress',b'',"b'Our commitment is to attract and retain the most diverse talent while creating the most inclusive culture. Our ambition is to increase representation of leaders from ethnically diverse backgrounds to 45% by 2030. \n\nIt\xe2\x80\x99s the right thing to do, and it\xe2\x80\x99s right for our business. Find out more on Diageo.com #SpiritofProgress\n\nDrink responsibly. DRINKiQ.com'",1711,12.966,194,2,,,
