shortcode,username,date_utc,is_video,is_sponsored,hashtags,mentions,caption,video_view_count,video_length,likes,comments,likes+comments,location_name,location_latlong
CIBF-IzJHEs,dickssportinggoods,2020-11-25 14:28,yes,False,recognizegame,,b'Straight outta \xe2\x80\x9889. The Air Jordan Retro 4 \xe2\x80\x9cFire Red\xe2\x80\x9d is back. The coveted colorway drops on 11/28 at 10 AM ET.\xc2\xa0 You copping? #RecognizeGame',91118,6.033,2816,25,2841,,
CH-k161Di0-,dickssportinggoods,2020-11-24 15:00,no,False,,,b'Meet your soon-to-be favorite gift under the :Christmas_tree:.\xe2\x80\x8b',0,0,40450,30,40480,,
CH8ADTbjoYF,dickssportinggoods,2020-11-23 15:00,no,False,,,"b""'Tis the season of style. Drop your favorite in the comments. :backhand_index_pointing_down:\xe2\x80\x8b""",0,0,70422,56,70478,,
CH5bQHWjIEu,dickssportinggoods,2020-11-22 15:00,no,False,,,b'Best gifts. Best brands. Which pair are you copping? :running_shoe::wrapped_gift:',0,0,91381,136,91517,,
CH26VihJmZy,dickssportinggoods,2020-11-21 15:34,yes,False,recognizegame,,b'The Air Jordan 35 \xe2\x80\x9cBayou Boys\xe2\x80\x9d is inspired by the character of the Big Easy and the drive of NOLA\xe2\x80\x99S\xc2\xa0 newest legend. Get yours in select stores and online now.\xc2\xa0\n#Recognizegame',4054,8.316,516,1,517,,
CHxxBEYpV5h,dickssportinggoods,2020-11-19 15:36,yes,False,vanscheckerboardday,,b'This is how our team\xc2\xa0wears Vans. How do you\xc2\xa0wear yours? Celebrate\xc2\xa0#VansCheckerboardDay\xc2\xa0with a fresh pair.',54477,9.1,14682,33,14715,,
CHvOGm0pqmT,dickssportinggoods,2020-11-18 15:53,yes,False,recognizegame,,b'Nike\xe2\x80\x99s latest Air Jordan colorway is a nod to life on the bayou and inspired by the vibrant diversity of NOLA. The Air Jordan 35 \xe2\x80\x9cBayou Boys\xe2\x80\x9d drops on 11/21 at 10 AM ET. You copping?\xc2\xa0#RecognizeGame',539975,8.316,6585,95,6680,,
CHsjRx0DsBz,dickssportinggoods,2020-11-17 15:00,yes,False,,,b'Yule thank us later. Layer on the coziest fleece. :snowflake_selector:\xe2\x80\x8b',137785,4.033,22731,27,22758,,
CHp-e52sLWa,dickssportinggoods,2020-11-16 15:00,yes,False,,,b'Quick! You can only pick three. Drop your choices in the comments!\xe2\x80\x8b',66023,10.0,8037,34,8071,,
CHnKO_2AHb3,dickssportinggoods,2020-11-15 12:45,yes,False,,,b'All the colors. All the warmth. Which would you gift? :wrapped_gift:',6526,3.966,969,11,980,,
