shortcode,username,date_utc,is_video,is_sponsored,hashtags,mentions,caption,video_view_count,video_length,likes,comments,likes+comments,location_name,location_latlong
CIZQWhwBLBB,dillards,2020-12-04 23:40:31.000000,no,False,b'',b'',b'Warm on the inside & waterproof on the outside! :check_mark:',0,0,458,2,,,
CIZHpS6h2SC,dillards,2020-12-04 22:24:26.000000,no,False,b'',b'',"b'Feel good florals, just in time for your holiday wishlist! :cherry_blossom::check_mark:'",0,0,646,4,,,
CIXDQhIhmpy,dillards,2020-12-04 03:07:37.000000,no,False,b'',b'',b'Tag your extra friend to let her know she needs this velvet & leopard print combo! :star-struck::paw_prints:',0,0,745,15,,,
CIWttSohekQ,dillards,2020-12-03 23:59:19.000000,no,False,b'',b'',b'Living room-ready in leopard! :paw_prints:',0,0,991,9,,,
CIWbd5qhk26,dillards,2020-12-03 21:19:56.000000,no,False,b'',b'',b'The coziest gift on their wishlist! :sparkles: Which pair are your favorite?',0,0,1020,9,,,
CIUjzYSBwRU,dillards,2020-12-03 03:54:17.000000,no,False,b'',b'',b'\xe2\x80\x98Tis the season for sparkles! :glowing_star::star-struck:',0,0,794,6,,,
CIUQo6XBko6,dillards,2020-12-03 01:06:50.000000,no,False,b'',b'',b'A cozy close up!:sparkles:',0,0,328,1,,,
CITvWhaBeul,dillards,2020-12-02 20:15:58.000000,no,False,b'',b'',b'They\xe2\x80\x99re even softer than they look :cloud_selector::sparkling_heart:',0,0,855,8,,,
CIR-L2lhPBj,dillards,2020-12-02 03:47:06.000000,no,False,b'',b'',b'Cool & cozy! Feeling good never looked so great! :sparkles:',0,0,1330,6,,,
CIRj526hR7t,dillards,2020-12-01 23:57:27.000000,no,False,b'',b'',b'Laid-back layers:fallen_leaf:',0,0,660,3,,,
CIRQTppBmWZ,dillards,2020-12-01 21:06:12.000000,no,False,b'tuesdayshoesday',b'',b'Bringing on the cool fit vibes for #TuesdayShoesday :high_voltage:',0,0,245,2,,,
CIO-TlwhFVb,dillards,2020-11-30 23:50:26.000000,no,False,b'',b'',b'Never over neutrals :fallen_leaf::star-struck:',0,0,571,5,,,
CIO02Q8BgHC,dillards,2020-11-30 22:27:47.000000,no,False,b'',b'',"b'Tune in at 4pm CST on December 1st to Tiffany Mohr, Donna Karan Education Training Manager, as she takes you through a step-by-step self-care ritual featuring your favorite products from the Cashmere Mist fragrance collection! :sparkles:'",0,0,291,0,,,
CIOVcwQhIaQ,dillards,2020-11-30 17:53:25.000000,no,False,b'',b'',b'Casual Monday essentials:glowing_star:',0,0,1133,5,,,
CIMz1N5BCz-,dillards,2020-11-30 03:40:25.000000,no,False,b'',b'',b'Cold-weather closet staples!:fallen_leaf:',0,0,616,2,,,
CIMesKcByva,dillards,2020-11-30 00:35:41.000000,no,False,b'',b'',b'Cozy in cashmere!:smiling_face_with_heart-eyes:',0,0,1125,4,,,
CIMH4tPBgn-,dillards,2020-11-29 21:16:25.000000,no,False,b'',b'',b'The perfect gift for your future cyclist! :red_heart_selector::bicycle:',0,0,758,1,,,
CIKRFr7hAJ5,dillards,2020-11-29 03:58:21.000000,no,False,b'',b'',b'Casual sweater dress moment :star-struck:',0,0,1033,2,,,
CIKA3LtB4-L,dillards,2020-11-29 01:36:34.000000,no,False,b'',b'',b'Saturday night sweater :fallen_leaf::check_mark:',0,0,921,7,,,
CIJmgkHhCu0,dillards,2020-11-28 21:46:17.000000,no,False,b'',b'',b'Saturday slippers :sparkles:',0,0,361,3,,,
CIHoMh4BLsn,dillards,2020-11-28 03:22:33.000000,no,False,b'',b'',b'Friday night fit!:star-struck:',0,0,732,4,,,
CIHKT9uBQaP,dillards,2020-11-27 23:01:25.000000,no,False,b'',b'',b'Viva la velvet! :sparkles:',0,0,2473,29,,,
CIG19umBF_A,dillards,2020-11-27 20:03:37.000000,no,False,b'',b'',b'A piece this gorgeous deserves to live on! Swipe to see how to transform these beautiful bassinets into a practical piece of furniture to cherish long after baby is grown! :sparkles:',0,0,705,6,,,
CIE8K1mhKGo,dillards,2020-11-27 02:19:21.000000,no,False,b'',b'',b'Tag someone who needs to know this is on the top of your holiday wishlist this year! :paw_prints::smiling_face_with_heart-eyes:',0,0,2712,43,,,
CIChR1fBixy,dillards,2020-11-26 03:45:54.000000,no,False,b'',b'',"b'Hello, sweater weather :fallen_leaf:'",0,0,2147,9,,,
CICQbl1Bj6V,dillards,2020-11-26 01:18:41.000000,no,False,b'',b'',b'Major sleeve envy :star-struck:',0,0,588,4,,,
CIB4le5hwZ5,dillards,2020-11-25 21:50:19.000000,no,False,b'',b'',b'Edgy details to complete your look for fall! :multiplication_sign:',0,0,455,1,,,
CH_7XPNhmdD,dillards,2020-11-25 03:36:06.000000,no,False,b'',b'',b'This season\xe2\x80\x99s sweater lineup! :star-struck:',0,0,382,10,,,
CH_uOcxBU5x,dillards,2020-11-25 01:41:19.000000,no,False,b'',b'',b'Living-room ready! :sparkles:',0,0,781,16,,,
CH-62WahoP6,dillards,2020-11-24 18:12:22.000000,no,False,b'tuesdayshoesday',b'',b'Kicking our feet up for the coziest #TuesdayShoesday! :smiling_face_with_3_hearts:',0,0,491,4,,,
CH9c8V5hk4Y,dillards,2020-11-24 04:31:48.000000,no,False,b'',b'',b'Add a little shine!:sparkles:',0,0,404,9,,,
CH9J5nHh7Rh,dillards,2020-11-24 01:45:25.000000,no,False,b'',b'',"b""Tune in to Est\xc3\xa9e Lauder's Educational Expert, Jenna Robbins, as she shares tips on finding the perfect Holiday gifts for everyone on your list! Tune in tomorrow at 4pm CST!""",0,0,177,0,,,
CH8rT-2B7y-,dillards,2020-11-23 21:18:08.000000,no,False,b'',b'',b'A cozy close up!',0,0,522,3,,,
CH6bQ0kBT4h,dillards,2020-11-23 00:19:24.000000,no,False,b'',b'',b'Sweater weather is in full swing:fallen_leaf:',0,0,669,1,,,
CH4I1KaBMd1,dillards,2020-11-22 02:59:52.000000,no,False,b'',b'',b'Dreaming of this fall color scheme :fallen_leaf:',0,0,2546,26,,,
CH3vkJaB_Zi,dillards,2020-11-21 23:19:05.000000,no,False,b'',b'',b'Feel good fluff! :sparkles:',0,0,828,2,,,
CH1l3wLhceB,dillards,2020-11-21 03:15:54.000000,no,False,b'',b'',b'Feeling festive!:sparkles:',0,0,3970,27,,,
CH1e6guBuyi,dillards,2020-11-21 02:15:07.000000,no,False,b'',b'',b'The outfit to wear all season long! :fallen_leaf:',0,0,868,9,,,
CH1MqxehEHP,dillards,2020-11-20 23:35:40.000000,no,False,b'',b'',"b'Jewel-tone satin paired with a chic faux fur coat? Yes, please! :star-struck:'",0,0,2858,13,,,
CHyzajPBCqX,dillards,2020-11-20 01:16:31.000000,no,False,b'',b'',b'Leopard print is always a good idea! :paw_prints::star-struck:',0,0,983,6,,,
CHyau-zh4J5,dillards,2020-11-19 21:40:52.000000,no,False,b'',b'',b'Activewear that looks great at every angle! :sparkles:',0,0,407,4,,,
CHwbPHWBFHP,dillards,2020-11-19 03:06:46.000000,no,False,b'',b'',b'Don\xe2\x80\x99t cover your outfit- compliment it!:smiling_face_with_heart-eyes:',0,0,580,6,,,
CHwUeOOBk4O,dillards,2020-11-19 02:07:40.000000,no,False,b'',b'interiordesignerella',"b'Whether you dress them up or down, these boots are a wardrobe staple! :fallen_leaf::smiling_face_with_heart-eyes: @interiordesignerella'",0,0,1259,11,,,
CHwATTVBsWW,dillards,2020-11-18 23:11:25.000000,no,False,b'',b'',b'Spotted: the coziest sweater for spending time at home for the holidays! :paw_prints:',0,0,1994,5,,,
CHvt0k3hNmA,dillards,2020-11-18 20:29:56.000000,no,False,b'',b'',"b""Come and get your holiday glow-up! Join Emily as she shares her insider tips to brighten, hydrate, and plump your skin! Everything she uses is included in Clinique's Festive Favorites gift set- a great value! Tune in Friday, November 20th at 12pm CST!""",0,0,114,0,,,
