shortcode,username,date_utc,is_video,is_sponsored,hashtags,mentions,caption,video_view_count,video_length,likes,comments,likes+comments,location_name,location_latlong
CIUFy0koZ7A,dishnetwork,2020-12-02 23:32:16.000000,no,False,b'',b'nexstar.tv',"b'Nexstar, the owner of many local stations, made the unfortunate decision to take away these channels.  Visit dishpromise.com to find out if you are impacted. Contact Nexstar at 972-373-8800 or email at license@nexstar.tv to let them know you want your local channel back.'",0,0,50,126,,,
CIQsWFPnVSC,dishnetwork,2020-12-01 15:52:02.000000,yes,False,b'',b'',b'This month get in the holiday spirit with this cozy cabin in the snowy woods. Tune in now to channel 199.',446,8.033,37,13,,,
CIJdi__H4_q,dishnetwork,2020-11-28 20:28:04.000000,yes,False,b'',"b'traceadkins,mattstellmusic,francescamusic,circleallaccess'","b'See @traceadkins, @mattstellmusic and @francescamusic LIVE and for free tonight. Join DISH and @circleallaccess at 9PM ET on Ch. 102.'",346,15.033,18,0,,,
CIEHomyHhjq,dishnetwork,2020-11-26 18:40:25.000000,no,False,b'',b'nexstar.tv',"b'Nexstar, the owner of many local stations, is making outrageous demands. If they are not met, Nexstar will take away these channels from DISH. They are using this negotiation tactic to get viewers like you upset, so you put pressure on DISH to accept their contract terms. Visit dishpromise.com to find out if you are impacted. Make your voice heard and call Nexstar\xe2\x80\x99s Corporate Office at 972-373-8800 or Email them at license@nexstar.tv.'",0,0,30,67,,,
CICJU-hoqxe,dishnetwork,2020-11-26 00:17:15.000000,yes,False,b'',"b'alisweeney,hallmarkchannel'","b'We asked @alisweeney about her holiday favorites! See what they are and watch her new movie, Good Morning Christmas! tonight at 8PM ET on @HallmarkChannel.'",286,42.366,13,3,,,
CH_aSM5nSdj,dishnetwork,2020-11-24 22:47:12.000000,no,False,b'',b'friends',b'Watch Thanksgiving-themed @Friends episodes with DISH On Demand. Which will you watch first?',0,0,25,2,,,
CH3QUYnn83Y,dishnetwork,2020-11-21 18:46:08.000000,yes,False,b'',"b'opry,circleallaccess,ladya,russelled,christomlin'","b'Get more live country music from the @Opry with DISH and @circleallaccess. Watch a free show featuring @ladya, @russelled and @christomlin tonight on Channel 102 at 9PM ET.'",277,15.033,15,3,,,
CHywutfnsgX,dishnetwork,2020-11-20 00:53:12.000000,no,False,b'',b'',b'The fans are strong with this one. Watch six Star Wars episodes and a documentary of the franchise\xe2\x80\x99s most dedicated fans with DISH On Demand.',0,0,27,10,,,
CHlC2loHWiQ,dishnetwork,2020-11-14 17:02:08.000000,yes,False,b'',"b'camcountry,theoakridgeboys,jonpardi,circleallaccess'","b'See @camcountry, @theoakridgeboys and @jonpardi LIVE and for free tonight. Join DISH and @circleallaccess at 9PM ET on Channel 102.'",249,15.033,13,14,,,
CHglL3wFILy,dishnetwork,2020-11-12 23:25:51.000000,no,False,b'',b'',b'How well do you know Law & Order: SVU? Swipe to test your knowledge.',0,0,32,12,,,
