shortcode,username,date_utc,is_video,is_sponsored,hashtags,mentions,caption,video_view_count,video_length,likes,comments,likes+comments,location_name,location_latlong
CIYih1SLlWq,dolesunshine,2020-12-04 17:00:15.000000,no,False,b'',b'',"b'Celebrate National Cookie Day with this tropical addition to your next cookie plate! \n\nINGREDIENTS:\n1 can (20 oz.) DOLE:registered: Crushed Pineapple in 100% Pineapple Juice\n1-1/2 cups packed brown sugar\n1 cup butter or margarine, softened\n1 egg\n3 cups old fashioned or quick cooking oats\n2 cups all-purpose flour\n1 teaspoon baking powder\n1 teaspoon ground cinnamon\n1/2 teaspoon salt\n1 cup DOLE:registered: California Seedless Raisins or DOLE:registered: California Golden Raisins\n1 cup chopped almonds, toasted (optional)\n\nDIRECTIONS:\n1) Preheat oven to 350\xc2\xb0F. Drain pineapple well; reserve 1/2 cup juice.\n2) Beat sugar and butter until light and fluffy in large bowl. Beat in egg, crushed pineapple and reserved juice.\n3) Combine oats, flour, baking powder, cinnamon, salt, raisins and almonds in medium bowl. Stir into pineapple mixture.\n4) Drop by heaping tablespoonful onto greased cookie sheets. Shape with back of spoon.\n5) Bake 20 to 25 minutes or until golden. Cool on wire racks.'",0,0,106,2,,,
CIOL7CRH4j4,dolesunshine,2020-11-30 16:30:18.000000,yes,False,"b'mississippiday,sunshineforall'",b'',"b""Happy #MississippiDay! We're honored to have the support of Mayor Chokwe Antar Lumumba behind our #SunshineForAll program as we work with the community to address food insecurity in Mississippi's capital city.""",241,29.4,42,4,,,
CIGg9gjr_au,dolesunshine,2020-11-27 17:00:14.000000,no,False,b'',b'',"b'Yesterday: gravy. Today: greens\xe2\x80\xa6and maybe a few leftovers. :winking_face:\n\nINGREDIENTS:\n2 cups DOLE:registered: Frozen Fruit \xe2\x80\x99n Greens\n1/2 cup coconut milk\n1/4 avocado, peeled and pitted\n2 teaspoons granola\n1 tablespoon sliced almonds\n2 teaspoons chia seeds\n1/4 cup DOLE:registered: Frozen Blueberries, partially thawed\n1 kiwi fruit, peeled and sliced\n2 teaspoons agave nectar or honey\n\nDIRECTIONS:\n1) Combine frozen fruit blend, coconut milk, and avocado in blender. Cover; blend until smooth, scraping down sides as needed.\n2) Top smoothie bowls with granola, almonds, chia, and fruit. Drizzle with agave nectar.\xef\xbf\xbd'",0,0,64,0,,,
CID8Kr5rlRx,dolesunshine,2020-11-26 17:00:15.000000,no,False,b'',b'',"b'As we take some time to celebrate the holiday with our families, our offices will be closed and will reopen on Monday, 11/30. You may still contact us on www.dolesunshine.com or call 800-232-8888, which will redirect to our after-hours services. \n\nWishing you and yours a cozy, happy Thanksgiving! :turkey:'",0,0,77,0,,,
CH8Nx_sL6Dj,dolesunshine,2020-11-23 17:00:14.000000,no,False,b'',b'',"b'Brighten up your Thanksgiving spread with a salad so delicious, the stuffing will be jealous. \n\nINGREDIENTS:\n2 bunches baby red or gold beets\n1 (1/2 lb.) fennel bulb\n1 pkg. (5 oz.) DOLE:registered: Spring Mix\n1 can (15 oz.) DOLE:registered: Canned Mandarin Oranges, drained\n4 sprigs chopped fresh mint\n2 to 3 oz. goat cheese, crumbled\n\nDIRECTIONS:\n1) Preheat oven to 400\xc2\xb0 F.\n2) Place beets in medium roasting pan, add water to cover bottom of pan; cover with foil. Roast 40 to 45 minutes or until beets are tender and can be pierced with a fork or knife.\n3) Cool slightly; remove skin from beets and cut into wedges.\n4) Trim off fennel leaves and stalk; cut into very thin slices.\n5) Combine salad, mandarin oranges, mint, beets and fennel in large bowl. Pour dressing over salad; toss to evenly coat. Sprinkle cheese over salad.\n6) Honey Balsamic Vinaigrette: Whisk together 2 tablespoons white balsamic vinegar, 1 tablespoon honey, 1 teaspoon Dijon mustard and 1/4 cup extra virgin olive oil. Season with salt and pepper. Makes about 1/2 cup.'",0,0,68,3,,,
CH0fzfmHQ9r,dolesunshine,2020-11-20 17:03:39.000000,no,False,b'',b'chefmilliepeartree',"b'As part of our Sunshine For All program, @chefmilliepeartree is helping us creatively tackle the challenge of getting nutritious food into underserved areas. Her mini pineapple upside-down cakes are perfectly portioned to sweeten up your weekend!'",0,0,146,4,,,
CHyAX-fnMka,dolesunshine,2020-11-19 17:50:53.000000,yes,False,b'nationalcakeday',b'',"b'This year, #NationalCakeDay falls on Thanksgiving. Pumpkin pie, you\xe2\x80\x99ve met your match. :pineapple: \n\nINGREDIENTS:\n1 can (20 oz.) DOLE:registered: Canned Pineapple Slices in 100% Pineapple Juice \n1/4 cup butter or margarine, melted\n2/3 cup packed brown sugar\n10 maraschino cherries\n1 pkg. (2-layer size) PILLSBURY Pineapple Flavored or Yellow Cake Mix\n\nDIRECTIONS:\n1) Drain\xc2\xa0pineapple slices; reserve 3/4 cup juice.\n2) Stir\xc2\xa0together melted butter and brown sugar in 12-inch skillet with heat-proof handle. Arrange pineapple slices in sugar mixture. Place cherry in center of each pineapple slice.\n3) Prepare\xc2\xa0cake mix according to package directions, replacing some of the water with reserved 3/4 cup juice that is needed to prepare the batter. Pour batter evenly over pineapple.\n4) Bake\xc2\xa0at 350\xc2\xba F, 35 to 40 minutes or until toothpick inserted in center comes out clean.\xc2\xa0Cool 5 minutes.\xc2\xa0Loosen edges and invert onto serving platter.'",809,9.971,75,2,,,
CHvSYuAHQu7,dolesunshine,2020-11-18 16:30:20.000000,yes,False,b'sunshineforall',b'',"b""Salam Rida, project manager for The Fertile Ground Project in Jackson, talks about our grassroots efforts to creatively tackle the issue of food access through the #SunshineForAll program and why it's so important for corporations to take action and evoke change.""",231,30.066,37,0,,,
CHsxA6VLUDQ,dolesunshine,2020-11-17 17:00:14.000000,no,False,b'',b'',"b'Satisfy those afternoon cravings with trail mix sweetened with DOLE:registered: California Chopped Dates. Warning: your kids will want to share! \n\nINGREDIENTS:\n1 pkg. (8 oz.) DOLE:registered: California Chopped Dates \n2 cups whole grain, square-shaped cereal\n1 cup whole almonds, toasted\n1 cup DOLE:registered: California Golden Raisins or DOLE:registered: California Seedless Raisins \n1 cup dried banana chips\n1 cup dried apricots, cut in half\n\nDIRECTIONS:\nCombine all ingredients in large bowl. Store in tightly sealed container or zip lock bag.'",0,0,64,1,,,
CHsxA6VLUDQ,dolesunshine,2020-11-17 17:00:14.000000,no,False,b'',b'',"b'Satisfy those afternoon cravings with trail mix sweetened with DOLE:registered: California Chopped Dates. Warning: your kids will want to share! \n\nINGREDIENTS:\n1 pkg. (8 oz.) DOLE:registered: California Chopped Dates \n2 cups whole grain, square-shaped cereal\n1 cup whole almonds, toasted\n1 cup DOLE:registered: California Golden Raisins or DOLE:registered: California Seedless Raisins \n1 cup dried banana chips\n1 cup dried apricots, cut in half\n\nDIRECTIONS:\nCombine all ingredients in large bowl. Store in tightly sealed container or zip lock bag.'",0,0,64,1,,,
CHqMNUUrl9z,dolesunshine,2020-11-16 17:00:09.000000,no,False,b'',b'stayfoxx',b'Hard work deserves a juicy reward. Dole:registered: Boosted Blends helps you focus on your goals by making it easier to stay on track. [:camera_with_flash:: @StayFoxx]',0,0,75,0,,,
CHgN3nzJ6g5,dolesunshine,2020-11-12 20:02:15.000000,no,False,b'',b'',"b'Can you believe the holiday season is here? Let us help you plan your holiday meals, follow us for more easy and delicious holiday recipes. \n\nINGREDIENTS\n1/2 cup butter\n1 can (8 oz.) DOLE:registered: Crushed Pineapple, drained\n1/2 cup dried cranberries\n4 eggs\n1-1/4 teaspoons fresh rosemary, finely chopped\n1/2 cup sugar\n7 slices whole-wheat bread\n\nDIRECTIONS\n1. Preheat oven to 350\xc2\xb0F. \n2. Coat 9-inch square baking dish with cooking spray. \n3. Cream butter and sugar, in large bowl until light and fluffy.  Beat in eggs, one at a time, until blended.  Stir in crushed pineapple and 1 teaspoon rosemary, until mixed together. \n4. Fold in bread and cranberries until coated.  Spoon into prepared baking dish.  Sprinkle with remaining 1/4 teaspoon rosemary. \n5. Bake 50 to 60 minutes or until golden brown.'",0,0,62,0,,,
CHdjBlNHVrD,dolesunshine,2020-11-11 19:09:23.000000,no,False,b'nationalsundaeday',b'',"b'Celebrate #NationalSundaeDay by whipping up this delicious treat that\xe2\x80\x99ll have everyone smiling from ear to ear. \n\nINGREDIENTS\n\xe2\x80\xa2 1 can (20 oz.) DOLE:registered: Pineapple Slices\n\xe2\x80\xa2 1 stick (1/2 cup) unsalted butter\n\xe2\x80\xa2 1/2 cup packed brown sugar\n\xe2\x80\xa2 6 prepared individual shortcakes\n\xe2\x80\xa2 1 cup heavy (whipping) cream\n\xe2\x80\xa2 1 tbsp. cornstarch\n\xe2\x80\xa2 1 pint vanilla ice cream\n\xe2\x80\xa2 1/4 cup sweetened shredded coconut, toasted\n\nDIRECTIONS\n1. Drain pineapple, reserve juice. Heat grill to medium-low.\n2. Melt butter and brown sugar in a heavy medium saucepan, over medium-low heat, stirring often. Place pineapple slices and shortcakes on separate baking sheets. Brush both sides of each with some butter mixture.\n3. Stir reserved pineapple juice, cream and cornstarch into butter mixture. Stir over medium-low heat, until bubbly and thickened. Remove from heat; cover to keep warm.\n4. Grill shortcakes 4 to 6 minutes, turning once, until light golden and crisp. Grill pineapple slices 5 to 9 minutes, turning once, until browned and hot.\n5. To serve: Place shortcakes on dessert plates. Top each with a small scoop of ice cream and 2 pineapple slices. Spoon some warm sauce over each, sprinkle with coconut and serve immediately. Alternatively, spoon ice cream into a sundae glass and top with shortcake, pineapple, sauce, and coconut.'",0,0,106,1,,,
