shortcode,username,date_utc,is_video,is_sponsored,hashtags,mentions,caption,video_view_count,video_length,likes,comments,likes+comments,location_name,location_latlong
CIQpiTZp7se,doosanmta,2020-12-01 15:27:25.000000,no,False,b'',b'',b'The IMTS Spark demo featuring the PUMA TT1300SYY kicks off at 11:00 AM (CST) today. It\xe2\x80\x99s the horizontal turning center with a range of capabilities that have to be seen to be believed. Don\xe2\x80\x99t miss it. Visit the link in our bio and save it to your MySpark Planner.',0,0,375,2,,,
CIJPvQ5JNE0,doosanmta,2020-11-28 18:27:19.000000,no,False,b'',b'zandercncsolutions',"b'A Doosan DNM 4500 being installed for a new customer. We know you have a choice when it comes to selecting machine tools and we thank you for flying (um, buying) Doosan. Repost @zandercncsolutions. ""Ready to prove out the new programs on the 4th axis.""'",0,0,683,10,,,
CIEIHlbJgeW,doosanmta,2020-11-26 18:44:32.000000,no,False,b'',b'',"b'The 5-axis DVF 6500 offers single-setup efficiency, a high speed spindle and, apparently, time travel capability. Happy Thanksgiving, everybody.'",0,0,534,5,,,
CH-8mi9pylp,doosanmta,2020-11-24 18:38:46.000000,yes,False,"b'doosanshop,machinegreatness'",b'',"b'For 15 years, Accelerated Tooling has been machining a variety of materials, and they trust their army of Doosan machines to help them continue to grow and succeed. Link in bio with full video. \n\n#DoosanShop #MachineGreatness'",1342,58.305,139,2,,,
CH3eaegJ087,doosanmta,2020-11-21 20:49:13.000000,no,False,b'',b'zerspanungstechnik.berlin',"b'Turned funnel parts made from 304L stainless steel coming from the machine shop. Repost @zerspanungstechnik.berlin. ""Beautiful work.""'",0,0,656,3,,,
CHyBDzPJ3H2,doosanmta,2020-11-19 17:56:52.000000,yes,False,b'',b'joegibbsracing',"b'We could simply tell you how much everyone at @joegibbsracing loves the Doosan machines they work with, but we\xe2\x80\x99d rather you heard it straight from the horse\xe2\x80\x99s mouth. Link in bio for full video.'",1867,60.013,190,2,,,
CHvjYUrpVti,doosanmta,2020-11-18 18:58:41.000000,no,False,"b'partpride,partpride'",b'themachineiest',"b'Winner winner, turkey dinner! We have an October #PARTPRIDE champ, and it\xe2\x80\x99s @themachineiest from Orlando. His rear camera spring adapter made with the MX 2100ST netted him the prize box. If you want to enter, there\xe2\x80\x99s still time! Just share the pic or video of what your Doosan made with the #PARTPRIDE hashtag. Link in bio for his full story.'",0,0,351,1,,,
CHs-hXwH2QM,doosanmta,2020-11-17 18:58:08.000000,no,False,b'',b'imtschicago',b'Our next IMTS Spark demo is scheduled for December 1. Join us in our showroom at @imtschicago to discover all the features of the PUMA TT1300SYY. It\xe2\x80\x99s the horizontal turning center with all the bells and whistles. Don\xe2\x80\x99t miss it. Visit the link in our bio and save it to your MySpark Planner.',0,0,177,3,,,
CHlQNOZJ_Ti,doosanmta,2020-11-14 18:58:45.000000,no,False,b'',b'bmo_automation',b'Brand new installation of a BMO Platinum sideloader next to a 5-axis Doosan DVF 5000. Repost @bmo_automation. \xe2\x80\x9cThe robot loads and unloads products and pallet fixtures into the Doosan machine.\xe2\x80\x9d',0,0,495,8,,,
CHiqf6wpHez,doosanmta,2020-11-13 18:51:09.000000,yes,False,b'partpride',b'',"b'Friday the 13th? Pretty spooky. In 2020? EXTRA SPOOKY. But not to worry; you have the magical essence of Doosan on your shop floor. In fact, this could be your lucky day. Run that special piece, snap a photo of it and post it using the hashtag #PARTPRIDE and you might find a prize box on your doorstep.  Link in bio to see the winners so far.'",1868,17.839,159,1,,,
CHgGVCcpmfg,doosanmta,2020-11-12 18:56:14.000000,no,False,b'',b'',"b'Spec of the Week: 49.6 hp. That\xe2\x80\x99s the powerful output of the optional main spindle on the PUMA SMX5100LS Multifunction Turn Mill Center. It\xe2\x80\x99s brawny enough to create 3,096ft-lb of torque.\n\nThe milling and turning capabilities of the SMX series allow for fast and precise machining of workpieces in one set-up. With a total of nine axes, the only limit is your imagination.'",0,0,216,3,,,
CHYUvhfJX2S,doosanmta,2020-11-09 18:28:34.000000,yes,False,b'',b'',"b'Which I/O channel is best? There are lots to choose from, and we go over it in the latest episode of Know Your Doosan. Link in bio with the full video.'",1162,35.863,106,1,,,
CHTQbU8ppW1,doosanmta,2020-11-07 19:14:20.000000,no,False,b'',b'off_omec',"b'This Doosan PUMA 400L is ""turning"" out the parts. Repost @off_omec. :OK_hand:'",0,0,336,2,,,
CHQszofp0Vj,doosanmta,2020-11-06 19:24:53.000000,yes,False,b'',b'',"b'If you want to get the most out of your Doosan machine tools, Mark\xe2\x80\x99s your man. If you\xe2\x80\x99re casting the next Hollywood blockbuster, not so much.'",1775,40.644,102,4,,,
CHOFIHWpv4L,doosanmta,2020-11-05 18:59:40.000000,yes,False,b'',b'cnctobi',"b'Chip of the Week: The Advantages Of Live Tooling. \n""Used my lathe as a mill to machine a simple step on a aluminum part."" The secret to this procedure is having live tooling capability. Repost @cnctobi.'",5677,51.866,307,7,,,
CHI7oNYpnSF,doosanmta,2020-11-03 19:00:26.000000,yes,False,b'',b'titansofcnc',"b""Machining aerospace parts often means titanium is in the work holder. In this video, the @titansofcnc show how it's done by finishing a titanium part on the PUMA SMX 3100ST. Great shots of lathe work being done with the top spindle. Link in bio to full video.""",4665,60.022,223,2,,,
CHBDXUSptS4,doosanmta,2020-10-31 17:33:52.000000,no,False,b'',b'',b'There\xe2\x80\x99s no Trick to machining perfect parts. Treat yourself to a Doosan machine tool and see how sweet life can really be. Zero calories and no sugar added.:ghost::candy:',0,0,94,1,,,
CG5YV08pum6,doosanmta,2020-10-28 18:03:14.000000,no,False,b'',b'',"b'The folks at PGI Steel build big, heavy-duty, rigid equipment every day, and they know what to look for. When they installed the Doosan DBM 2540, they saw a reflection of their own quality standards (and they painted the floor to match the machine). Link in bio.'",0,0,429,5,,,
CG0G5Qrpu6b,doosanmta,2020-10-26 16:54:57.000000,yes,False,b'',b'',"b'The DBM 2540 will make a meal out of any heavy-hogging application. And with some of the biggest specs in its class, you\xe2\x80\x99d best believe that it always shows up hungry. Link in bio for video. :flexed_biceps:'",2071,56.016,212,6,,,
CGp6IzbpFYU,doosanmta,2020-10-22 17:50:43.000000,no,False,b'',b'',"b'Spec of the Week: 8 tons. Parts weighing up to 8 tons can be loaded and machined accurately in the new PUMA VTR1012FC ram-type vertical turning center. This is due to the machine\xe2\x80\x99s high stiffness characteristics which allow extreme stability even during heavy cutting.\n\nThe VTR Series has a massive wide column parked on top of the one-piece bed, which is what allows it to have some of the largest VTC specs in the industry.'",0,0,177,1,,,
CGnUn5JpF2X,doosanmta,2020-10-21 17:44:25.000000,no,False,b'',b'',b'The A-axis nodding head spindle and direct-drive B-axis rotary table allow the DHF 8000ST to handle a complete range of machining and turning processes from roughing to finishing in a single setup. Link in bio.',0,0,607,3,,,
CGkj1E6JWiv,doosanmta,2020-10-20 15:59:34.000000,no,False,b'',b'machiningwithmeaning',"b'Miami-based CNC shop @machiningwithmeaning just launched this year. It operates on a part-time basis to honor the memory of a great friend, and to give back to a charity that was near and dear to him. Link in bio.'",0,0,143,0,,,
CGdDZO1JI08,doosanmta,2020-10-17 18:01:28.000000,no,False,b'',b'fanucamerica',"b'We\xe2\x80\x99ve been working with @fanucamerica controls since the late 1970\xe2\x80\x99s, and have learned how to optimize their systems to get the most for each application. Here, an operator is hard at work tending to a NHP 5000 horizontal machining center.'",0,0,553,3,,,
CGVWND5pRLa,doosanmta,2020-10-14 18:11:54.000000,no,False,"b'partpride,doosanshop,machinegreatness'",b'rennenbmx',"b'September #PartPride winner alert! Shouts to @rennenbmx, who uses the Lynx 2100LSY to produce these killer mini BMX cranks. Details in bio link. \n\n#DoosanShop #MachineGreatness'",0,0,372,1,,,
CGSbiJiJRDX,doosanmta,2020-10-13 15:00:45.000000,no,False,b'',b'imtschicago',"b""Don\xe2\x80\x99t mind us, we\xe2\x80\x99re just over here getting hyped for today's live demo of the NHP 5000 in our @imtschicago showroom. At 11 AM CST, we\xe2\x80\x99ll be showcasing one of our favorite horizontal machining centers and talking automated pallet systems. Link in bio to join.""",0,0,85,1,,,
