shortcode,username,date_utc,is_video,is_sponsored,hashtags,mentions,caption,video_view_count,video_length,likes,comments,likes+comments,location_name,location_latlong
CIVdMVHp8--,dpworld,2020-12-03 12:17:19.000000,yes,False,b'',"b'renaultf1team,danielricciardo,fernandoalo_oficial'","b'Our partners @renaultf1team are experts at applying data insights to gain a competitive edge at every race. We apply the same logic to global supply chains, learning and actioning in real-time to optimise our performance. The key to success is having full visibility over our cargo every step of the way. \n\nWith special appearances from @danielricciardo and @fernandoalo_oficial, watch how we deployed our latest container tracking technology to follow the journey of a Renault F1 car as DP World shipped it to the track.'",11360,79.026,819,15,,,
CISiIxHANYn,dpworld,2020-12-02 09:01:17.000000,no,False,"b'tradereimagined,uaenationalday,dubaitrade'",b'',"b""Dubai has made incredible progress over the last 60 years. From humble beginnings in pearling and fishing, to the modern epicentre of world trade, Dubai has a hand in growing economic prosperity for all those who do business there. Find out more about Dubai's opportunities at the link in our bio. \n \n\n#TradeReimagined #UAENationalDay #DubaiTrade""",0,0,362,2,,,
CIAuVvBgzvH,dpworld,2020-11-25 11:01:34.000000,no,False,"b'tradereimagined,blackfriday'",b'',"b'Everyone loves a bargain - and on Black Friday it is usually consumers who are on the hunt for the best deal. But as any smart retailer will know, by streamlining supply chains and digitising management systems, they themselves can enjoy cost savings that eclipse any eye-catching deal - and all through the year. Visit the link in our bio to find out more. \n\n#TradeReimagined #BlackFriday'",0,0,813,10,,,
CHz2a4zAZS_,dpworld,2020-11-20 11:02:04.000000,no,False,"b'yuzhny,ukraine,containerterminal,smarttrade'",b'',"b'Amid all the hustle and bustle on the quayside, this evening shot from the Port of Yuzhny shows that only a stones throw away, you can find moments of total calm.\n \n #Yuzhny #Ukraine #ContainerTerminal #SmartTrade'",0,0,651,7,,,
CHpjLbbrEs3,dpworld,2020-11-16 11:01:31.000000,no,False,"b'iew,education,dpworldcallao'",b'',"b""Gain skills. Spark ambition. Think globally.\n \nOne of the best things about DP World's Global Education Programme is that it aims to help each child see how their nearest terminals can be a gateway to the world - just like these students are discovering at Callao, Peru. \n \n #IEW #Education #DPWorldCallao""",0,0,548,3,,,
CHcfx8Dj_Fx,dpworld,2020-11-11 09:21:53.000000,yes,False,"b'cargospeed,hyperloop,futureoftransportation,smarttrade'",b'virginhyperloop',"b'This week, @virginhyperloop successfully completed the first test of human travel in a hyperloop pod. Our Chairman, and the Chairman of Virgin Hyperloop, Sultan Ahmed Bin Sulayem, was on-site to discuss its historical significance and note how it will transform human and cargo transportation. \n\n#Cargospeed #Hyperloop #FutureofTransportation #SmartTrade'",4577,62.926,766,13,,,
CHXYWxoJc9H,dpworld,2020-11-09 09:42:18.000000,yes,False,"b'cargospeed,hyperloop,futureoftransportation,smarttrade'",b'virginhyperloop',"b""In a world first, passengers have successfully travelled via Hyperloop technology at the @VirginHyperloop test track in Nevada, USA. It's an exciting milestone for a technology that will propel mobility and logistics into the future at warp speed.\n\n#Cargospeed #Hyperloop #FutureofTransportation #SmartTrade""",21713,92.889,324,3,,,
CHPzQghrHgr,dpworld,2020-11-06 11:01:47.000000,no,False,"b'dpworldsouthampton,southampton,containerterminal,smarttrade'",b'',"b'Industrial symmetry: while everything at #DPWorldSouthampton is stacked and precisely ordered for efficiency, it also makes for some great insta-worthy shots! \n\n#Southampton #ContainerTerminal #SmartTrade'",0,0,971,6,,b'DP World (Southampton Container Terminal)',50.9050608488 -1.4226763084
CHDhRdEJNvb,dpworld,2020-11-01 16:33:41.000000,no,False,"b'imolagp,renaultdpworldf1team,danielricciardo,renault,dpworld,f1,dr3'",b'renaultf1team',b'Congratulations to @renaultF1team for their second podium of the season at the #ImolaGP.\n\n#RenaultDPWorldF1Team #DanielRicciardo #Renault #DPWorld #F1 #DR3',0,0,451,9,,,
CG7M62uLcJK,dpworld,2020-10-29 11:01:57.000000,no,False,"b'smarttrade,santos,brazil,containerterminal'",b'imagensaereas',"b'Regram: This striking image was taken by helicopter and drone photographer @imagensaereas above our terminal in Santos, Brazil. Strategically located with access by sea, road and rail, the project has an annual movement capacity of 1.2 million TEUs - which the ships in this photo will help to transport.\n \n\n #SmartTrade #Santos #Brazil #ContainerTerminal'",0,0,727,14,,b'DP World Santos',-23.93181 -46.33015
