shortcode,username,date_utc,is_video,is_sponsored,hashtags,mentions,caption,video_view_count,video_length,likes,comments,likes+comments,location_name,location_latlong
CID1kfEiaLg,drhorton,2020-11-26 16:03,yes,False,,,"b'Home is the center of the holidays :pie::fallen_leaf: We are so thankful for our homebuyers, real estate partners, and D.R. Horton family. Wishing you and yours a safe and happy Thanksgiving!'",463,24.833,65,1,66,,
CIBeXLzCrGd,drhorton,2020-11-25 18:01,no,False,homeisdrhorton,,"b""Ultimate front porch goals :smiling_face_with_heart-eyes: Congratulations to the Kinross family on their new home! \n\nP.S. We want to see how you're decorating your D.R. Horton home for the holidays! Visit the link in our bio and share your pics for a chance to be featured. #HomeIsDRHorton""",0,0,369,3,372,,
CH_U7TjCbD3,drhorton,2020-11-24 22:00,no,False,,,"b'Clean and classic. We love how dark wood cabinets anchor this spacious bathroom!\n-\nKingsley Downes - Lexington, SC'",0,0,414,7,421,,
CH1BvlNCD8X,drhorton,2020-11-20 22:00,no,False,,,"b'This room was made for cozy winter nights cuddled up by the fireplace :sparkles:\n-\nKingsley Downes - Lexington, SC'",0,0,583,3,586,,
CHyc9cnCSlP,drhorton,2020-11-19 22:00,no,False,,,"b'The kitchen is the heart of the home - especially during the holidays :fork_and_knife_with_plate_selector::heart_suit_selector: What are your Thanksgiving plans this year?\n-\nKingsley Downes - Lexington, SC'",0,0,884,13,897,,
CHv4J7zCBoA,drhorton,2020-11-18 22:00,no,False,,,"b'Maybe you\xe2\x80\x99re thinking about owning your first home or just looking for something new. Maybe you want to downsize into a home that fits you. \n\nWherever you are on your journey, in any stage of life, our family of brands has a home for you. Discover D.R. Horton.\n\n-\nKingsley Downes - Lexington, SC'",0,0,1094,24,1118,,
CHjALMwi4Cy,drhorton,2020-11-13 22:00,no,False,homeisdrhorton,,"b'""It\xe2\x80\x99s been almost a year since we purchased our first D.R. Horton home and we are still in love with it. Already so many wonderful memories made, we\xe2\x80\x99re looking forward to many more!"" - The Durrett family\n\nWhile more people choose our family of brands over any other builder in the country, we never forget the most important thing of all \xe2\x80\x93 the families that choose us for their place to call home. Congratulations to the Durretts, we\'re happy to have you as a part of our D.R. Horton Hawaii family! #HomeIsDRHorton'",0,0,346,7,353,,
CHgbm5hi__e,drhorton,2020-11-12 22:02,no,False,,,"b'Welcome relaxation and elevate your daily routine with a luxurious, spa-inspired bathroom.\n-\nSterling Oaks - Visalia, CA'",0,0,507,10,517,,
CHd2srfC8qr,drhorton,2020-11-11 22:01,no,False,,,"b':sparkles: Trend alert :sparkles: A board and batten accent wall is the perfect way to add visual interest and texture to a room! \n-\nSterling Oaks - Visalia, CA'",0,0,295,5,300,,
CHQ-unViGO6,drhorton,2020-11-06 22:01,no,False,,,"b'Livable luxury, with a little bit of edge. What do you think of this California living room design?\n-\nSterling Oaks - Visalia, CA'",0,0,525,15,540,,
