shortcode,username,date_utc,is_video,is_sponsored,hashtags,mentions,caption,video_view_count,video_length,likes,comments,likes+comments,location_name,location_latlong
CID8kksrpkO,dte_energy_official,2020-11-26 17:03:40.000000,no,False,b'',b'',"b'We are thankful for the communities we serve, our customers, our employees, our families, and our friends this Thanksgiving. Have a happy and safe Thanksgiving, everyone.'",0,0,56,1,,,
CIDwNbIjFy4,dte_energy_official,2020-11-26 15:15:36.000000,no,False,b'detroitparade',b'paradecompany',"b'Watch the America\'s Thanksgiving Parade in Detroit TODAY. Be on the lookout for our ""Serving With Energy"" float. @paradecompany #DetroitParade'",0,0,55,0,,,
CH75HKADLta,dte_energy_official,2020-11-23 13:59:28.000000,no,False,b'detroitparade',b'paradecompany',"b""Keep an eye out for the 25 feet high and nine feet wide light bulb on our \xe2\x80\x9cServing With Energy\xe2\x80\x9d float in the America's Thanksgiving Parade in Detroit this Thursday! @paradecompany #DetroitParade""",0,0,37,1,,,
CH19zXTDMVG,dte_energy_official,2020-11-21 06:45:01.000000,no,False,b'detroit',b'',"b'Sit back, relax and enjoy the gorgeous views of the beloved #Detroit Christmas tree.'",0,0,136,0,,,
CHvS9ehLuqA,dte_energy_official,2020-11-18 16:35:15.000000,no,False,b'',b'',"b'DTE crews are continuing to restore power, clean up damage and strengthen repairs after Sunday\xe2\x80\x99s 12-hour windstorm. Employees, contractors and out of state linemen have worked around the clock so that power could be restored as quickly and safely as possible.'",0,0,28,1,,,
CHu8xyJLIAw,dte_energy_official,2020-11-18 13:21:25.000000,no,False,b'',b'',"b'For the 13,000 customers remaining without power, rest assured, we will not stop working until electricity is restored to everyone impacted. DTE\xe2\x80\x99s ongoing restoration work involves either single home outages, spread across DTE\xe2\x80\x99s service territory, or where the electrical system experienced the most damage from trees and large limbs falling on power lines, making the repairs more challenging and time-consuming.'",0,0,29,0,,,
CHtwVAeLfG_,dte_energy_official,2020-11-18 02:13:24.000000,no,False,b'',b'',"b'Thank you to our customers for their patience and understanding during these difficult times after Sunday\xe2\x80\x99s 12-hour windstorm, knocking out 285,000 customers. As of 9 p.m., 95% of the customers effected have gotten power back, and we will continue working until all are restored.'",0,0,52,2,,,
CHtKf5yruxN,dte_energy_official,2020-11-17 20:42:49.000000,no,False,b'',b'',"b'As of 3:30 p.m., we\xe2\x80\x99ve restored power to more than 257,000 of the 285,000 customers impacted by the recent windstorm causing significant damage to the electrical system. The vast majority of the remaining customers effected will have power by end of day tomorrow.'",0,0,38,0,,,
CHs_4ciF-Kz,dte_energy_official,2020-11-17 19:10:03.000000,no,False,b'',b'',"b""Our crews aren't stopping until every customer is restored. More than 2,000 DTE employees and contractors are out in neighborhoods today and are being joined by additional teams from Wisconsin, Indiana and Kentucky to expedite our restoration efforts.""",0,0,45,1,,,
CHsSKmfguPb,dte_energy_official,2020-11-17 12:30:35.000000,no,False,b'',b'',"b'As of 6 a.m. Tuesday, November 17, DTE Energy has restored power to 82% of the 285,000 customers impacted by the windstorm. The storm caused significant damage across the service territory, including downed wires, broken poles and tree-related damage. Approximately 236,000 customers have been restored out of the 285,000 customers who were impacted. We anticipate that 90% of those who were impacted by the storm will have power restored by end of day today.'",0,0,47,5,,,
CHrNBLNLgpU,dte_energy_official,2020-11-17 02:26:23.000000,no,False,b'',b'',"b'As of 9 p.m., our crews have restored 77% of the customers impacted by the recent heavy rain and high winds that topped 60 mph. We anticipate most (90%) customers will be restored by end of day tomorrow. See DTE Energy Outage Map for restoration estimates.'",0,0,26,1,,,
CHrNBLNLgpU,dte_energy_official,2020-11-17 02:26:23.000000,no,False,b'',b'',"b'As of 9 p.m., our crews have restored 77% of the customers impacted by the recent heavy rain and high winds that topped 60 mph. We anticipate most (90%) customers will be restored by end of day tomorrow. See DTE Energy Outage Map for restoration estimates.'",0,0,26,1,,,
CHqnTavlb7J,dte_energy_official,2020-11-16 20:56:48.000000,no,False,b'',b'',"b""As of 3:30 p.m. today, approximately 170,000 customers have been restored out of the 285,000 impacted by yesterday's storm. We have nearly 2,000 team members working to restore electric service to those impacted.  To help speed up our effort, we have approximately 200 additional linemen arriving later today from Alabama, Illinois, Ohio, Indiana and other parts of Michigan.""",0,0,78,5,,,
