shortcode,username,date_utc,is_video,is_sponsored,hashtags,mentions,caption,video_view_count,video_length,likes,comments,likes+comments,location_name,location_latlong
CIZNLEEAiNB,elalfaeljefe,2020-12-04 23:12:45.000000,no,False,b'',b'lilpump',b'MICHAEL JORDAN & FLOYD MAYWEATHER!! EL MUNDO ME ESPERA!!:police_car_light: La real PLANTA @lilpump RESPECT :folded_hands:',0,0,304873,4394,,,
CIYdLhQAGam,elalfaeljefe,2020-12-04 16:16:44.000000,yes,False,b'',b'nesipr',b'\xe2\x80\x9cCONTROLANDO LA INDUSTRIA\xe2\x80\x9d  DESDE REP\xc3\x9aBLICA DOMINICANA. KLOKE @nesipr  ESTAMOS ROMPIENDO !:1st_place_medal::police_car_light::white_heavy_check_mark::movie_camera::popcorn::crown:',504696,59.991,112753,2708,,,
CIXI3i9g5Vu,elalfaeljefe,2020-12-04 03:59:17.000000,yes,False,b'',"b'nesipr,mambokingz,djluian'",b'CONTROLANDO EL PLANETA :globe_showing_Europe-Africa: :ringed_planet::1st_place_medal::popcorn::movie_camera::gem_stone::white_heavy_check_mark::police_car_light: @nesipr @mambokingz @djluian KLK LINK EN MI BIO: :backhand_index_pointing_up:',814470,59.991,182950,6267,,,
CIWVAZhggNz,elalfaeljefe,2020-12-03 20:28:38.000000,yes,False,b'',b'nesipr',b'YO VIVO EN EL FUTURO!! HOY A LAS 11:59 DE LA NOCHE SE LO VAN A MAMAR A DRAKULA!! EL ANIMAL KLK @nesipr DAME LUZZZZZ',784014,31.966,177819,5927,,,
CITd1OdACGb,elalfaeljefe,2020-12-02 17:42:52.000000,no,False,b'',b'',b'No calcules eso da \xe2\x80\x9cERROR\xe2\x80\x9d oh quedas loco!!!! En este nivel ustedes no existen YO SOY SUN TZU AQU\xc3\x8d BLESS :Dominican_Republic::folded_hands::face_with_tears_of_joy::police_car_light::rolling_on_the_floor_laughing:',0,0,80109,3149,,,
CIRSWOIAQhy,elalfaeljefe,2020-12-01 21:24:02.000000,no,False,b'elsupercharger',b'',b'Ustedes no son bruto es que tienen el cerebro con los pl\xc3\xa1sticos.... #ELSUPERCHARGER',0,0,222624,2445,,,
CIOgxF6gdc8,elalfaeljefe,2020-11-30 19:32:19.000000,no,False,b'',"b'drelondon,postmalone'",b'Aqui\xcc\x81 te presento uno de los empresarios ma\xcc\x81s grandes de la industria americana @drelondon gracias por el respeto y el carin\xcc\x83o!! Nosotros vivimos en el futuro so\xcc\x81lo venimos al presente a recibir los cheques bye :victory_hand_selector: EL ANIMAL!! Yo supere\xcc\x81 mis suen\xcc\x83os KLK @postmalone viene :fire::police_car_light:',0,0,216662,3069,,,
CIOImDygCoM,elalfaeljefe,2020-11-30 16:03:10.000000,yes,False,b'',b'',b'11 MILLONES EN 5 DIAS!! Y Con bachata :face_with_tears_of_joy::face_with_tears_of_joy::face_with_tears_of_joy::face_with_tears_of_joy::face_with_tears_of_joy::face_with_tears_of_joy::face_with_tears_of_joy: DICIEMBRE SE LLAMA EL ALFA EN RD!!',416828,28.733,73727,2174,,,
CIN7gFaAHAD,elalfaeljefe,2020-11-30 14:09:27.000000,yes,False,b'',b'camilo',b'\xe2\x80\x9cBOBO\xe2\x80\x9d ESTAMOS CONTROLANDO HASTA LA BACHATA SOMOS N\xc3\x9aMERO 1 :folded_hands::heart_suit_selector::Dominican_Republic::heart_suit_selector::Colombia::heart_suit_selector::folded_hands::police_car_light: @camilo :folded_hands::folded_hands::folded_hands:',585426,60.013,135814,2075,,,
CIIxNCtgRdD,elalfaeljefe,2020-11-28 14:03:40.000000,yes,False,b'',"b'camilo,evaluna'",b':police_car_light:\xe2\x80\x9dMUNDIAL\xe2\x80\x9d:police_car_light: gracias a ese hermoso p\xc3\xbablico que d\xc3\xada a d\xc3\xada nos ayuda a cumplir nuestros sue\xc3\xb1os :heart_suit_selector::Dominican_Republic::heart_suit_selector::Colombia::heart_suit_selector::Dominican_Republic::heart_suit_selector::Colombia::heart_suit_selector::Dominican_Republic::heart_suit_selector::Colombia::heart_suit_selector::Dominican_Republic::heart_suit_selector::Colombia::heart_suit_selector::Dominican_Republic::heart_suit_selector::Colombia: @Camilo @evaluna',526511,19.291,100490,1837,,,
CIEdcXDA8YT,elalfaeljefe,2020-11-26 21:52:43.000000,yes,False,"b'abuelita,ramonita'",b'',"b':heart_suit_selector:Feliz cumplea\xc3\xb1os abuelita :old_woman: la amo mucho que Dios la bendiga y me la llene de salud #abuelita #ramonita  en 10 minutos escojo el ganador de los 4,000 d\xc3\xb3lares :heart_suit_selector::heart_suit_selector::heart_suit_selector::heart_suit_selector::heart_suit_selector::heart_suit_selector::heart_suit_selector::heart_suit_selector::heart_suit_selector::heart_suit_selector::heart_suit_selector:'",1045407,52.833,212820,37000,,,
CIB_7dEg7UP,elalfaeljefe,2020-11-25 22:55:22.000000,yes,False,b'',"b'camilo,evaluna'","b'BOOM!!:police_car_light: YA SALI\xc3\x93 \xe2\x80\x9cBEB\xc3\x89\xe2\x80\x9d AL QUE M\xc3\x81S COMENT\xc3\x89 LE VOY A REGALAR 4,000 D\xc3\x93LARES AL PRIMER LUGAR Y AL SEGUNDO LUGAR 1,500 D\xc3\x93LARES!! HOY A LAS 11:59pm VOY A PREMIAR AL SEGUNDO LUGAR Y MA\xc3\x91ANA AL PRIMER LUGAR :1st_place_medal: DIMEEEE @camilo @evaluna :crown::heart_suit_selector::Dominican_Republic::Colombia::white_heavy_check_mark: te amo Dios....'",673662,60.013,130918,3024370,,,
