shortcode,username,date_utc,is_video,is_sponsored,hashtags,mentions,caption,video_view_count,video_length,likes,comments,likes+comments,location_name,location_latlong
CH-g8V7gYUr,enterprise,2020-11-24 14:26:02.000000,no,False,"b'letsmakeplans,enterpriserentacar,travel,transportation,winterroadtrip'",b'',"b""It's never too early to dream of your next adventure. Book now for that trip you'll take together later.\xe2\x81\xa3\n.\xe2\x81\xa3\n.\xe2\x81\xa3\n.\xe2\x81\xa3\n#LetsMakePlans #EnterpriseRentACar #Travel #Transportation #WinterRoadTrip""",0,0,116,37,,,
CH78qOUhys5,enterprise,2020-11-23 14:30:28.000000,no,False,b'',b'',"b'Enterprise is elevating its focus on diversity, equity and inclusion. ROAD Forward is a $55 million commitment from the Enterprise Holdings Foundation to organizations that advance social and racial equity in communities around the world.'",0,0,98,8,,,
CHxs4STsmFZ,enterprise,2020-11-19 15:00:18.000000,yes,False,b'',b'',"b""We're pleased to team up with Clorox:registered:, one of the most trusted brands for powerful cleaning, and extend our Complete Clean Pledge. Now in select markets and beginning in early 2021 nationwide, we're including a Clorox:registered: Disinfecting Wipe in every one of our vehicles to give you extra confidence on the road.""",1167,24.533,118,19,,,
CGAZ7b8njCd,enterprise,2020-10-06 15:00:29.000000,no,False,"b'letsmakeplans,enterprise,enterpriserentacar,travel,roadtrip,leafpeeping,fallfoliage'",b'',"b""Who's in for a leaf-peeping road trip? :fallen_leaf: #LetsMakePlans\xe2\x81\xa3\n.\xe2\x81\xa3\n.\xe2\x81\xa3\n.\xe2\x81\xa3\n#Enterprise #EnterpriseRentACar #Travel #RoadTrip #LeafPeeping #FallFoliage""",0,0,128,213,,,
CFK0PEChFRu,enterprise,2020-09-15 19:31:17.000000,no,False,"b'letsmakeplans,pursuits,inspiration,roadtrip,travel,transportation,arizona,saguaronationalpark,findyourpark'",b'saguaronationalpark',b'Bucket-list destinations like @saguaronationalpark will be waiting for you to explore when you feel comfortable getting back on the road. Book now for a trip to look forward to later.\n.\n.\n.\n#LetsMakePlans #Pursuits #Inspiration #RoadTrip #Travel #Transportation #Arizona #SaguaroNationalPark #FindYourPark',0,0,112,80,,b'Saguaro National Park',None None
CE4GBnMBjlh,enterprise,2020-09-08 13:01:44.000000,yes,False,"b'letsmakeplans,enterprise,travel,roadtrip,whenthetimeisright'",b'',"b""It's never too early to dream of the perfect getaway. Book now for a trip to look forward to later. #LetsMakePlans\n.\n.\n.\n#Enterprise #Travel #RoadTrip #WhenTheTimeIsRight""",1173,30.033,106,49,,,
CDy5Q8OB542,enterprise,2020-08-12 16:02:04.000000,no,False,"b'enterpriserentacar,plusyourpoints,travel,transportation,roadtrip,rentalcar'",b'',"b'Plus Your Points is back! Enterprise Plus members, register today to start earning double points on qualifying rentals and redeeming them for free rental days. Terms apply. Tap the link in our bio to register.\n.\n.\n.\n#EnterpriseRentACar #PlusYourPoints #Travel #Transportation #RoadTrip #RentalCar'",0,0,156,131,,,
CDj6ZBaBaH9,enterprise,2020-08-06 20:23:18.000000,no,False,"b'enterprise,enterpriserentacar,travel,transportation'",b'',"b'No matter when or where you want to start your next adventure, we\xe2\x80\x99re ready to go when you are with clean, sanitized vehicles and a low-touch rental process.\n.\n.\n.\n#Enterprise #EnterpriseRentACar #Travel #Transportation'",0,0,249,66,,,
CAfplMrBE3s,enterprise,2020-05-22 15:05:53.000000,yes,False,"b'enterprise,enterpriserentacar,travel,transportation,military,memorialday,usnavy,veterans,fisherhouse'",b'',"b'Enterprise founder Jack Taylor was a decorated World War II Navy pilot and built his company on the values of honor, respect and integrity he learned in the service \xe2\x80\x93 values that still drive Enterprise today. Visit Enterprise.com/Military to learn more.\n.\n.\n.\n#Enterprise #EnterpriseRentACar #Travel #Transportation #Military #MemorialDay #USNavy #Veterans #FisherHouse'",9222,23.986,507,4452,,,
CAWGgVAhdF7,enterprise,2020-05-18 22:05:36.000000,no,False,"b'oncallforall,enterprise,enterpriserentacar,rentalcar,travel,transportation'",b'',"b""We're #OnCallForAll college students who have transportation needs as the semester ends. Now through May 31, we\xe2\x80\x99ve waived our young renter fee and reduced our minimum rental age from 21 to 18 at all U.S. locations. Visit the link in our bio for more information.\n.\n.\n.\n#Enterprise #EnterpriseRentACar #RentalCar #Travel #Transportation""",0,0,372,1275,,,
CADdndUA3Q9,enterprise,2020-05-11 16:22:37.000000,yes,False,"b'enterpriserentacar,enterprise,completecleanpledge,rentalcar,travel,transportation'",b'',"b'When you\xe2\x80\x99re ready to travel, we want you to feel confident and safe. Enterprise\xe2\x80\x99s Complete Clean Pledge is our commitment to industry-leading procedures to clean and sanitize with a disinfectant every vehicle, with careful attention to 20-plus high-touch areas. Visit Enterprise.com to learn more.\n.\n.\n.\n#EnterpriseRentACar #Enterprise #CompleteCleanPledge #RentalCar #Travel #Transportation'",5603,19.981,456,807,,,
B_NX-y8hiwq,enterprise,2020-04-20 16:13:45.000000,no,False,"b'oncallforall,enterprise,enterpriserentacar,rentalcar,travel,transportation'",b'',"b'Our team means everything to us, so we\xe2\x80\x99re constantly working to ensure their safety and well-being. #OnCallForAll\n.\n.\n.\n#Enterprise #EnterpriseRentACar #RentalCar #Travel #Transportation'",0,0,228,542,,,
B_FoLyVAQ8v,enterprise,2020-04-17 16:01:27.000000,no,False,"b'enterprise,enterpriserentacar,enterpriseplus,rentalcar,travel,transportation'",b'',"b""Enterprise Plus members, we want to help you get the most out of your membership when the time is right to get back on the road. First, we've extended the expiration date for current Silver, Gold and Platinum tiers to February 28, 2022. In addition, we are rolling over qualifying rental activity to give you a jump start in 2021. Thank you for your loyalty during this unprecedented time.\xe2\x81\xa3\n.\xe2\x81\xa3\n.\xe2\x81\xa3\n.\xe2\x81\xa3\n.\xe2\x81\xa3\n#Enterprise #EnterpriseRentACar #EnterprisePlus #RentalCar #Travel #Transportation""",0,0,179,377,,,
B_Ao4PDBpuM,enterprise,2020-04-15 17:36:03.000000,yes,False,"b'oncallforall,enterprise,enterpriserentacar,rentalcar,travel,transportation'",b'',"b'Picking each other up is what we all do best. That\xe2\x80\x99s why at Enterprise, we\xe2\x80\x99re open and #OnCallForAll as an essential services provider with vehicles for frontline responders and those who need it during this critical time.\xe2\x81\xa3\n.\xe2\x81\xa3\n.\xe2\x81\xa3\n.\xe2\x81\xa3\n.\xe2\x81\xa3\n#Enterprise #EnterpriseRentACar #RentalCar #Travel #Transportation'",1895,15.033,157,307,,,
B-7lDiYBixe,enterprise,2020-04-13 18:21:40.000000,no,False,"b'oncallforall,enterprise,enterpriserentacar,rentalcar,travel,transportation'",b'',"b'As an essential services provider, we\xe2\x80\x99re #OnCallForAll with clean and disinfected vehicles \xe2\x80\x93 today and every day.\xe2\x81\xa3\xe2\x81\xa3\n.\xe2\x81\xa3\xe2\x81\xa3\n.\xe2\x81\xa3\xe2\x81\xa3\n.\xe2\x81\xa3\n.\xe2\x81\xa3\xe2\x81\xa3\n#Enterprise #EnterpriseRentACar #RentalCar #Travel #Transportation'",0,0,218,273,,,
B-5Wkh1B9u2,enterprise,2020-04-12 21:36:37.000000,no,False,"b'oncallforall,enterprise,enterpriserentacar,rentalcar,travel,transportation'",b'',b'We\xe2\x80\x99re #OnCallForAll with clean and disinfected vehicles available to rent curbside for your convenience and safety.\xe2\x81\xa3\n.\xe2\x81\xa3\n.\xe2\x81\xa3\n.\xe2\x81\xa3\n.\xe2\x81\xa3\n#Enterprise #EnterpriseRentACar #RentalCar #Travel #Transportation',0,0,201,224,,,
