shortcode,username,date_utc,is_video,is_sponsored,hashtags,mentions,caption,video_view_count,video_length,likes,comments,likes+comments,location_name,location_latlong
CHfZfXFAzdz,equinor,2020-11-12 12:26:30.000000,yes,False,b'together',b'',"b'We encourage friendship and unity to create a good working\xc2\xa0environment around us. The\xc2\xa0\xe2\x80\x9cBlimE\xe2\x80\x9d\xc2\xa0campaign\xc2\xa0in Norway\xc2\xa0promotes these two factors, and this year the\xc2\xa0employees\xc2\xa0at the Johan Sverdrup field have taken the challenge and joined in! #together'",9342,30.0,1539,48,,,
CHP_br9gD_K,equinor,2020-11-06 12:50:20.000000,yes,False,b'',b'',"b""Earlier this week marked the 15-year anniversary of production start for the Kristin field in the Norwegian Sea. With record-high pressure (910 bar) and very high temperature (170 degrees) in the reservoir, Kristin is one of the most demanding underwater developments ever carried out on the Norwegian shelf.\n\xc2\xa0\nWhile some of the pressure in the Kristin field has reduced during its 15 years in production, the workers on board are still keeping up the engagement. And, with creativity and commitment, we'll still maintain a high production level for years to come.""",8979,55.033,1141,38,,,
CHF9QP1Kcc7,equinor,2020-11-02 15:16:55.000000,yes,False,b'',b'',"b'We\xe2\x80\x99re excited to present 2 great pieces of news on 2 November. Say hello to our new CEO Anders Opedal\xe2\x80\xa6and to our net-zero climate ambition, too :smiling_face_with_smiling_eyes:'",9067,47.7,479,10,,,
CGexMuzsMUC,equinor,2020-10-18 10:00:57.000000,no,False,b'',b'',"b'Hip hip hooray \xe2\x80\x93 the Heidrun field turns 25 today! :partying_face:  The field is our first installation to produce in the Norwegian Sea and has since its inception in 1995 produced a formidable 1.25 billion barrels of oil. We give thanks for the good apprentice help shown here, all of the Heidrun employees now and in years past, and look forward to continuing the cooperation in the years to come!'",0,0,2118,20,,,
CFyvQ_cFhge,equinor,2020-10-01 07:37:29.000000,no,False,b'',b'',"b'How do you earn 1,000,000,000,000 Norwegian kroner? Ask Philip Harnes, who is an apprentice on board \xc3\x85sgard B in the Norwegian Sea. \n\nPhilip, who comes from Elnesv\xc3\xa5gen from M\xc3\xb8re og Romsdal, began this fall as a process/chemical apprentice at the field. \n\nOver the last 20 years \xc3\x85sgard B has delivered oil and gas to the tune of over 1 trillion Norwegian kroner. Not a bad return for one of the most advanced and complicated fields that has even been constructed. \n\n(Photographer: Reidar Korssj\xc3\xb8en)'",0,0,1081,19,,,
CFhUnjiljhW,equinor,2020-09-24 13:17:32.000000,no,False,b'',b'idamjos',b'Sometimes words are superfluous... What a view - and what lucky colleagues we have that can fish off the Snorre B platform:smiling_face_selector: Photo: @idamjos',0,0,1845,16,,,
CFMQlAOlHxT,equinor,2020-09-16 08:58:11.000000,no,False,b'',b'',"b'The world\xe2\x80\x99s first facility for seabed gas compression has been in operation for 5 years as of today, and what a success it\xe2\x80\x99s been. The facility sits at 300 metres sea depth, is the size of a football pitch and is put together in modules (kind of like Lego blocks). It runs like clockwork and has contributed to increased value creation at the \xc3\x85sgard field to the tune of tens of billions of Norwegian kroner! :clapping_hands_light_skin_tone: for clever minds and technology development!'",0,0,3156,48,,,
CErLQj9FC8Z,equinor,2020-09-03 12:36:46.000000,no,False,b'',b'',"b'Emergency preparedness is a place for collaboration, not competitive advantage. In Norway private companies and the public sector join forces on the best possible preparedness. :flexed_biceps: We work closely with the 330 Squadron, :helicopter: which is constantly out on the Norwegian shelf in connection with exercises and training. It makes for an impressive sight here at the Kristin platform!'",0,0,1296,16,,,
CEWrvlWFGcf,equinor,2020-08-26 13:36:34.000000,no,False,b'',b'',"b""\xe2\x80\x9cVocational subjects can be a bit looked down upon by some, but it\xe2\x80\x99s important to find your own way and not think about what all your friends are doing when choosing an education. When I tell people that I work on an oil platform, they think it's cool,\xe2\x80\x9d says 20-year-old Anne Eline. She had her entire apprenticeship on the Kristin platform in the Norwegian Sea and recently passed the process operator exam. Congratulations, Anne Eline! :clapping_hands_light_skin_tone::party_popper:""",0,0,1791,31,,,
CEGeN3fAH5S,equinor,2020-08-20 06:33:24.000000,yes,False,b'',b'',b'We recently carried out a joint training between our search and rescue helicopter (SAR) and man overboard (MOB) boat crew at the Johan Sverdrup field in the North Sea. Nine lucky employees were chosen from the volunteers to participate in glorious weather and made a memory they won\xe2\x80\x99t soon forget. :sun_selector::ferry::helicopter:',6681,60.006,928,17,,,
