shortcode,username,date_utc,is_video,is_sponsored,hashtags,mentions,caption,video_view_count,video_length,likes,comments,likes+comments,location_name,location_latlong
CITLRWankVM,etrade_financial,2020-12-02 15:00:52.000000,yes,False,"b'blackfriday,cybermonday'",b'',"b""You've given your credit card a workout recently. No worries, we'll help you get back on track. #BlackFriday #CyberMonday""",458,9.0,42,8,,,
CIQmdy8luf3,etrade_financial,2020-12-01 15:00:38.000000,no,False,b'askingforafriend',b'',b'Is there a way to make Regret Tuesday a thing? #AskingForAFriend',0,0,107,4,,,
CIDyLcMlFD5,etrade_financial,2020-11-26 15:32:50.000000,no,False,b'happythanksgiving',b'',"b""We're thankful for all the diversified pie options we have. #HappyThanksgiving""",0,0,163,13,,,
CH8X0j_gdj2,etrade_financial,2020-11-23 18:27:49.000000,no,False,b'happythanksgiving',b'',"b'Thanksgiving might be different this year, but we\xe2\x80\x99re here to help you figure out your finances. #HappyThanksgiving'",0,0,84,4,,,
CHv_CGOlsxO,etrade_financial,2020-11-18 23:00:21.000000,no,False,b'',b'',"b""Don't believe everything you read on the internet. The earlier you start saving for your future, the better. And that's a fact.""",0,0,155,20,,,
CHYmKUAljri,etrade_financial,2020-11-09 21:00:29.000000,no,False,b'',b'',"b'Oh, and also to catch up with her...'",0,0,137,5,,,
CHArI4Agwtc,etrade_financial,2020-10-31 14:02:15.000000,yes,False,b'',b'',b'Have your candy and eat it too.',512,14.0,50,3,,,
CG5YBCdlRy5,etrade_financial,2020-10-28 18:00:25.000000,no,False,b'worldchocolateday',b'',"b""The only difference between E*TRADE and a box of chocolate is you'll like all our options. #WorldChocolateDay""",0,0,109,3,,,
CGstz04lh_X,etrade_financial,2020-10-23 20:00:46.000000,yes,False,b'',b'',b'Different seasons = different ways to spend. Is your money keeping up?',981,6.5,61,5,,,
CGYAkdiFXlS,etrade_financial,2020-10-15 19:00:42.000000,yes,False,b'nationalhandwashingday',b'',"b""Since you're washing your hands several times a day, you might as well take advantage of it. #NationalHandwashingDay""",534,21.233,34,11,,,
CGPw7D0guRC,etrade_financial,2020-10-12 14:09:56.000000,no,False,b'nationalsavingsday',b'',b'Let\xe2\x80\x99s all celebrate the silver lining savings this #NationalSavingsDay',0,0,75,4,,,
CGAdXWHhTx-,etrade_financial,2020-10-06 15:30:30.000000,yes,False,b'',b'',"b""Today is National Transfer Money To Your Daughter Day - yep, it's an actual holiday - and at E*TRADE, we're celebrating all the financially independent women who don't need to celebrate it.""",983,6.0,58,1,,,
CFxR1_UlL24,etrade_financial,2020-09-30 18:01:12.000000,yes,False,b'instalifeisnotfree',b'',"b""Savings are like plants - there's never enough. #InstaLifeIsNotFree""",1277,6.5,75,7,,,
CFkgqKUAZBg,etrade_financial,2020-09-25 19:00:31.000000,no,False,b'',b'',b'Who knew doughnuts could help you with your finances?',0,0,96,2,,,
CFKjAgZFRDZ,etrade_financial,2020-09-15 17:00:48.000000,yes,False,b'instalifeisnotfree',b'',b'If only learning guitar was as easy as getting started with E*TRADE. #InstaLifeIsNotFree',1031,6.5,56,1,,,
CFFnFgtlZWx,etrade_financial,2020-09-13 19:00:13.000000,no,False,b'',b'',b'Sports are back! So root for your team while putting your money to work with E*TRADE.',0,0,72,3,,,
CFC7coSltQ3,etrade_financial,2020-09-12 18:00:25.000000,no,False,b'',b'',"b""Let's work on your finances together. Use the link in bio to visit our Knowledge Center.""",0,0,124,6,,,
CE1u6G0FBBq,etrade_financial,2020-09-07 15:00:42.000000,no,False,b'laborday',b'',"b'You can enjoy the #LaborDay weekend, but your money should keep working hard.'",0,0,139,12,,,
CErwSd9laqE,etrade_financial,2020-09-03 18:00:22.000000,no,False,b'',b'',b'The new normal means new expenses. Start saving with us today.',0,0,123,2,,,
CEcF4b1lPPE,etrade_financial,2020-08-28 16:01:14.000000,yes,False,b'instalifeisnotfree',b'',b'You have to grow your green to grow your greens. #InstaLifeIsNotFree',1349,6.5,79,11,,,
CEHmVWTlDen,etrade_financial,2020-08-20 17:00:48.000000,yes,False,b'',b'',"b""The future's looking brighter already.""",1012,12.0,80,13,,,
CD3059mjqsb,etrade_financial,2020-08-14 14:00:14.000000,yes,False,b'financialawarenessday',b'',"b""It's #FinancialAwarenessDay. Let's get your finances on track.""",1360,6.0,128,4,,,
CDzdw3Rpo5V,etrade_financial,2020-08-12 21:21:10.000000,yes,False,b'instalifeisnotfree',b'',"b'Let your money work for you, so you can work on your home improvement project. #InstaLifeIsNotFree'",1343,6.5,67,2,,,
CDthwr6Dd82,etrade_financial,2020-08-10 14:00:32.000000,no,False,b'nationallazyday',b'',"b""It's okay to be lazy if your money is working hard. #NationalLazyDay""",0,0,110,6,,,
