shortcode,username,date_utc,is_video,is_sponsored,hashtags,mentions,caption,video_view_count,video_length,likes,comments,likes+comments,location_name,location_latlong
CIPIDQpp137,eversourceenergy,2020-12-01 01:15,no,False,"ct,eversource,eversourcect,lineworkers",,"b'We\xe2\x80\x99re tackling repairs and working to restore power after powerful wind gusts of 55+ mph pushed through Connecticut. Most of the damage is in eastern CT, like here on Gay Head Road in Canterbury. Additional crews are being shifted to the most affected areas as needed. #ct #eversource #eversourcect #lineworkers'",0,0,189,4,193,,
CH0-BgZpp7D,eversourceenergy,2020-11-20 21:28,yes,False,"eversource,eversourcenh,nh,row,helicopter,chainsaw,rotorblade",,b'Last week we tested a new method for trimming trees in hard-to-access rights-of-way: using a long chain of saws connected to a helicopter. We were impressed. Here\xe2\x80\x99s Bob Allen on how this new process cut 10 weeks of work down to a single day. #eversource #eversourcenh #nh #row #helicopter #chainsaw #rotorblade',716,69.386,75,2,77,,
CHc3ovTJHBb,eversourceenergy,2020-11-11 12:50,yes,False,"veteransday2020,thankavet,eversource,ct,ma,nh,eversourcect,eversourcema,eversourcenh,veterans,veteransday",holidaycardchallenge,"b'We\xe2\x80\x99re celebrating Veterans Day by joining Cards2Connect in sending messages of cheer and appreciation to our veterans who have been isolated during the COVID-19 pandemic. We want them to know that we\xe2\x80\x99re thinking of them today, and every day. If you\xe2\x80\x99d like to join us, please send your cards or letters to Dr. Laura Landerman Garber at P.O. Box 103 Hollis, NH 03049. For more information about Cards2Connect, visit https://militaryholidaycardchallenge.com/cards2connect/  @holidaycardchallenge #veteransday2020 #thankavet #eversource #ct #ma #nh #eversourcect #eversourcema #eversourcenh #veterans #veteransday'",485,47.006,71,8,79,,
CHYfJ7qpj1f,eversourceenergy,2020-11-09 20:45,yes,False,"ct,eversource,power,restoration,lineworkers",,"b'Repairing the electric system after a severe storm rolls through can be labor-intensive, time-consuming work. We set up a mock damage location at our training yard in Berlin, CT recently to demonstrate the steps we take to get the power back on. Take a look. #ct  #eversource #power #restoration #lineworkers'",879,112.626,77,3,80,,
CHLq6ZCJ4ZV,eversourceenergy,2020-11-04 20:31,no,False,,,"b'Our gas crews are making progress in Ansonia and Derby repairing the outage. Crews are making their way through neighborhoods to relight gas appliances. We\xe2\x80\x99re on target to restore gas service to the majority of customers in by 11:59 p.m. If you are not home when techs arrive to restore service, we\xe2\x80\x99ll make several attempts before leaving the area\xe2\x80\x94 then post a door hanger and come back at another time. For the safety of our customers, employees have been screened for COVID-19 and will be wearing masks and gloves.'",0,0,104,2,106,Connecticut,41.6 -72.7
CG580y-Jn6y,eversourceenergy,2020-10-28 23:22,no,False,"eversource,ct,eversourcect,restoration,power",,"b'What does it take to restore power after a storm? Members of the media visited our training facility in Berlin today to see live demos and learn from our experts about each step of the restoration process. Workers demonstrated removing trees off powerlines, replacing a broken pole, and reattaching electrical equipment\xe2\x80\x94which can be time-consuming and labor-intensive. Look for the stories on WFSB - Channel 3 Eyewitness News, FOX61, News 12 Connecticut, and in the New Haven Register. #eversource #ct #eversourcect #restoration #power'",0,0,201,4,205,Eversource CT,None None
CGVfWxxJ762,eversourceenergy,2020-10-14 19:31,no,False,"eversource,eversourcema,ma,naturalgas",,"b'Columbia Gas of Massachusetts is now Eversource! We\xe2\x80\x99re excited to serve more than 600,000 natural gas customers in 110 communities across the commonwealth. As a larger, locally focused company, we have the expertise and resources needed to deliver safe and reliable natural gas to our customers. Today we welcome 330,000 Columbia Gas of MA customers to our Eversource family. #eversource #eversourcema #ma #naturalgas'",0,0,125,3,128,Massachusetts,42.3 -71.8
CGVPGcaJfxy,eversourceenergy,2020-10-14 17:09,no,False,"runhartford,ct,hartford,eversource,eversourcehartfordmarathon,marathon",hmf_events,"b'Virtual high fives :raised_hand: all around to everyone who completed the Eversource Hartford Marathon races last weekend, including hundreds of our employees and their families. We love supporting this incredible event. :crossed_fingers: we get to see everyone in person next year! #runHartford @hmf_events #ct #hartford #eversource #eversourcehartfordmarathon #marathon'",0,0,90,0,90,Connecticut,41.6 -72.7
CGISvy6pBLI,eversourceenergy,2020-10-09 16:33,yes,False,"eversource,eversourcema,ma,drones,powerlines",,"b'We\xe2\x80\x99re using drones to patrol our ROW in MA after Wednesday\xe2\x80\x99s storm\xe2\x80\x9436 miles and counting! They\xe2\x80\x99re great for speeding up restoration, because in some locations, it\xe2\x80\x99s often easier to inspect by air than finding access by ground, which enables us to quickly relay critical info to line crews. #eversource #eversourcema #ma #drones #powerlines'",770,38.985,116,4,120,Massachusetts,42.3 -71.8
CGGJtaEs7lR,eversourceenergy,2020-10-08 20:34,no,False,"ma,storms,eversource,eversourcema",,"b'Our line crews, like this one in Leverett, are restoring service after yesterday\xe2\x80\x99s windstorm. We\xe2\x80\x99re in the process of restringing 21 miles of downed power lines and replacing 118 broken poles. \n\nWe\xe2\x80\x99re also working hard to refine our town-by-town ETRs for customers without power and will publish them on our outage map later this afternoon (outagemap.Eversource.com). Customers in Eastern MA will be substantially restored by midnight tomorrow, and Western MA by noon Saturday. \n#ma #storms #eversource #eversourcema'",0,0,93,1,94,"Leverett, Massachusetts",42.4519444444 -72.5019444444
CGApl1EsBKm,eversourceenergy,2020-10-06 17:17,no,False,"runhartford,ct,eversourcehartfordmarathon,eversource,marathon,hartfordmarathon",hmf_events,"b'Get those :running_shoe: ready ! The Eversource Hartford Marathon events kick off virtually on Thursday. Thomas Boehm, part of our Corporate Performance Management Team, will be taking on the half, 10k, and 5k races as part of the \xe2\x80\x9cDriven by Purpose\xe2\x80\x9d challenge \xe2\x80\x93 one of three new events offered this year. It\xe2\x80\x99s his fifth year joining in on the marathon fun, and he will be raising funds for Mental Health Connecticut. \xe2\x80\x9cThough I\xe2\x80\x99ll miss all the energy in Hartford and being with my colleagues, I\xe2\x80\x99m excited to participate with my wife and daughter who are also running with me.\xe2\x80\x9d #runHartford @hmf_events #ct #eversourcehartfordmarathon #eversource #marathon #hartfordmarathon'",0,0,73,0,73,Connecticut,41.6 -72.7
CFxCpZoJo-R,eversourceenergy,2020-09-30 15:48,no,False,"eversourcect,eversource,storm,ct,stormdamage",,"b'We understand the last thing anyone wants is to be without power, especially after the storms in August. Hundreds of crews are working across CT to clear blocked roads and fix the electric system. Eastern and Western CT are the hardest hit areas with Bethel, Danbury, and Plainfield the communities with the most outages. Crews have been dispatched and are working in these locations. We know most of the storm damage is from trees falling on lines. For most customers, we do not anticipate a multi-day outage. #eversourcect #eversource #storm #ct #stormdamage'",0,0,122,5,127,Connecticut,41.6 -72.7
CFevBR7JPUQ,eversourceenergy,2020-09-23 13:10,no,False,"ma,eversource,eversourcema,mechanic",,"b'As one of our operating mechanics, Derek Carrasco helps to maintain critical substation equipment to ensure our customers have the reliable energy they need. When an outage occurs, Derek\xe2\x80\x99s job is to isolate equipment and make it safe for our overhead or underground crews to make repairs. \xe2\x80\x9cA lot of our work is a real team effort and I enjoy that there\xe2\x80\x99s always something new and different to learn each day,\xe2\x80\x9d said Derek. #ma #eversource #eversourcema #mechanic'",0,0,103,0,103,Massachusetts,42.3 -71.8
CFQKUfqMuDK,eversourceenergy,2020-09-17 21:20,no,False,"nh,eversource,eversourcenh",,"b'\xe2\x80\x9cWorking from home with a baby instead of at the office is a fun new adventure. My new co-worker\xe2\x80\x99s office supplies includes binkies, bibs, and bottles. Our water cooler talk involves a lot of \xe2\x80\x98goo-goo\xe2\x80\x99s\xe2\x80\x99 and \xe2\x80\x98gah-gah\xe2\x80\x99s.\xe2\x80\x99\xe2\x80\x9d \xe2\x80\x93Lauren Cote, project manager and new mom \n\n#nh #eversource #eversourcenh'",0,0,132,2,134,New Hampshire,44.0 -71.5
CFICXVCMXwn,eversourceenergy,2020-09-14 17:37,no,False,"everydayamazing,eversource,eversourcema,ma",mghcancercenter,"b'Congratulations to all who completed the #EverydayAmazing Race last week, including the hundreds of Eversource employees who participated  in this year\xe2\x80\x99s virtual event! We had a great time walking/running in support of the patients and families at @mghcancercenter #eversource #eversourcema #ma'",0,0,92,0,92,,
CFAcSfoMJ1i,eversourceenergy,2020-09-11 18:49,no,False,neverforget,,"b'Today we remember all the lives lost 19 years ago, and the brave men and women who rushed in to help. #NeverForget'",0,0,108,2,110,,
CEecyPfpyvT,eversourceenergy,2020-08-29 13:59,no,False,,nws,"b'The @nws confirmed an EF1 :tornado_selector: tore through CT from Bethany to North Haven on Thursday, leaving incredible damage in its wake. Multiple microbursts with wind gusts up to 100 mph also ripped through some towns along the shore including Branford and Guilford.  As we work to restore all remaining customers in Branford by midnight, we\xe2\x80\x99re keeping a close eye on the :cloud_with_lightning_and_rain_selector: rolling through today. Crews are ready to respond.'",0,0,174,8,182,,
