shortcode,username,date_utc,is_video,is_sponsored,hashtags,mentions,caption,video_view_count,video_length,likes,comments,likes+comments,location_name,location_latlong
CITHMpXLHaj,evonikofficial,2020-12-02 14:25:08.000000,no,False,"b'evonik,borussiadortmund,beyondfootball'","b'bvb09,blackyellow'",b'There\xe2\x80\x99s more that connects #Evonik and #BorussiaDortmund than just a love of the game. We share the drive to innovate and the will to outdo ourselves every day. In the lab as on the football field. So we become even better. Learn more at gobeyondfootball.com\n#BeyondFootball @bvb09 @blackyellow',0,0,134,1,,,
CIN_xJdH2EZ,evonikofficial,2020-11-30 14:43:58.000000,no,False,"b'humanchemistry,specialtychemicals,leadingbeyondchemistry,theguesteditor,research,development,innovation,smartmaterials,highperformancepolymers'",b'',"b'I\xe2\x80\x99m not the project manager \xe2\x80\x93 more like the wingman to the project team.\xe2\x80\x9d :smiling_face_with_sunglasses::airplane_selector: \xe2\x80\xa6 or in other words: Vice President Technology Leader & Tech Center  R,D&I High Performance Polymers. :man_office_worker: Andreas is passionate about innovation :light_bulb: and loves to support his team :handshake: so that they can concentrate on research and developing innovations. :woman_scientist::man_mechanic: Fun Fact :double_exclamation_mark_selector:: Their main product PA12 / Nylon12 was developed in the 1960\xe2\x80\x99s - but his team innovates it constantly. Andreas is part of \xe2\x80\x9cThe Guest Editor\xe2\x80\x9d. In our new series :scroll:, a colleague will take us with them into their work at Evonik. :purple_heart: They will share their professional interests, daily routines and projects. We also learn more about their career journey and the experiences they have made throughout their career path. Find out more about him in his people story! Link in bio. :up_arrow_selector: #HumanChemistry #SpecialtyChemicals #LeadingBeyondChemistry #TheGuestEditor #Research #Development #Innovation #SmartMaterials #HighPerformancePolymers'",0,0,165,3,,,
CH-vtufFh3K,evonikofficial,2020-11-24 16:35:07.000000,no,False,"b'evonik,borussiadortmund,beyondfootball'","b'bvb09,blackyellow'",b'There\xe2\x80\x99s more that connects #Evonik and #BorussiaDortmund than just a love of the game. We share the same mindset and the will to outdo ourselves every day. In the lab as on the football field. So we become even better. Learn more at gobeyondfootball.com. Link in bio. #BeyondFootball @bvb09 @blackyellow',0,0,217,2,,,
CHsWk4gnGTt,evonikofficial,2020-11-17 13:09:05.000000,no,False,"b'evonik,humanchemistry,evonik,specialtychemicals,leadingbeyondchemistry,forevertogether,chemistry,marl'",b'_rabenglueck_',"b""The Marl Chemical Park is one of the largest chemical sites in Germany. :factory: It covers an area of more than six square kilometers and provides around 10.000 jobs, also for our #Evonik employees :woman_mechanic::man_scientist::woman_firefighter::man_technologist:. And for two of them, this site is even more than just a workplace: It's the place where Christina & Tim Jordan met for the first time :man_and_woman_holding_hands:. For their mariage :ring:, they wanted to capture this special memory in form of these photos. All we can say is: Congratulations! :purple_heart:\n#HumanChemistry #Evonik #SpecialtyChemicals #LeadingBeyondChemistry #ForeverTogether #Chemistry #Marl\nPhotographer: @_rabenglueck_""",0,0,815,29,,b'Chemiepark Marl',51.6852777778 7.1027777778
CHfrWflryPb,evonikofficial,2020-11-12 15:00:32.000000,no,False,"b'throwbackthursday,femaleempowerment,humanchemistry,evonik,specialtychemicals,leadingbeyondchemistry,diversity,womeninscience,womeninstem'",b'',"b""It's #ThrowbackThursday and time for #FemaleEmpowerment! In this picture, you can see the first female chemical technicians who started their apprenticeship in 1990 at H\xc3\xbcls AG where is now the Marl chemical park. Back then, there was a ban that needed to be lifted in order to make shift work possible for women. Fun Fact: In a recent post, we found out that one of them still works at Evonik today. Congrats to the 30th company anniversary!\n#HumanChemistry #Evonik #SpecialtyChemicals #LeadingBeyondChemistry #Diversity #WomenInScience #WomenInSTEM""",0,0,513,12,,,
CHdXshUrRUi,evonikofficial,2020-11-11 17:30:19.000000,no,False,"b'peopleinsights,humanchemistry,evonik,specialtychemicals,leadingbeyondchemistry,humanresources,recruiting,hiring,ballet,dance'",b'',"b'""Proverbially, \'life means change\'. :counterclockwise_arrows_button: For me, \'life means development\'."" :TOP_arrow: At work, Sondra is part of the HR Special Sourcing team and responsible for recruitment processes for hard-to-fill vacancies. :woman_detective_selector: After work, she\'s a passionate dancer. :woman_dancing: In her #PeopleInsights story we asked her, which animal :bear_face: she\'d like to be and which Evonik site she\'d like to visit :Norway:. Read the whole story now! Link in bio. #HumanChemistry #Evonik #SpecialtyChemicals #LeadingBeyondChemistry #HumanResources #Recruiting #Hiring #Ballet #Dance'",0,0,126,1,,,
CHLEC00HDZv,evonikofficial,2020-11-04 14:52:13.000000,no,False,"b'evonik,borussiadortmund,beyondfootball'","b'bvb09,blackyellow'",b'There\xe2\x80\x99s more that connects #Evonik and #BorussiaDortmund that just a love of the game. We share the passion and the will to outdo ourselves every day - in the lab as on the football field - so that we become even better. Learn more at gobeyondfootball.com #BeyondFootball @bvb09 @blackyellow',0,0,327,3,,,
CG6x9Ubnc_K,evonikofficial,2020-10-29 07:06:20.000000,no,False,"b'humanchemistry,evonik,specialtychemicals,leadingbeyondchemistry,throwbackthursday,goldschmidt,colors'",b'',"b'Life is colorful :rainbow: \xe2\x80\x93 and so is Evonik! :purple_heart: Our connection to color leads back 180 years into the past. :BACK_arrow: The founder of Evonik\'s predecessor company Th. Goldschmidt AG, Theodor Goldschmidt was a trained ""colorist"". As a specialist for colors and the dyeing of fabrics, he meticulously recorded his work in a colorist book with fabric examples \xe2\x80\x93 a small piece of the past, which is still preserved today.\n \n#HumanChemistry #Evonik #SpecialtyChemicals #LeadingBeyondChemistry #ThrowbackThursday #Goldschmidt #Colors'",0,0,171,3,,,
CGsSZwQF5TE,evonikofficial,2020-10-23 16:01:15.000000,no,False,"b'humanchemistry,evonik,specialtychemicals,leadingbeyondchemistry,italy,logistrics,warehouse,chemistry,chemist,industry'",b'',"b'\xe2\x80\x9cLove what you do, because if you do, it will never be work!\xe2\x80\x9d :purple_heart: Our warehouse manager :package: Giordano works for Evonik since 2001 in Pandino, Italy and has an important responsibility: the distribution of the flow of work in the warehouse. :up_arrow_selector::right_arrow_selector::down_arrow_selector: When he\xe2\x80\x99s not acting as link between different departments, he enjoys his free time doing sports :person_running:, visiting the Swiss Alps :mountain_selector: and learning more about Japanese culture :Japan:. Click the link in our bio to read the whole story! \n#HumanChemistry #Evonik #SpecialtyChemicals #LeadingBeyondChemistry #Italy #Logistrics #Warehouse #Chemistry #Chemist #Industry'",0,0,226,10,,"b'Pandino, Italy'",45.40123 9.55259
CGkdLWMjCcx,evonikofficial,2020-10-20 15:01:29.000000,no,False,"b'evonik,borussiadortmund,beyondfootball'","b'bvb09,blackyellow'","b'It\xe2\x80\x99s not a team, it\xe2\x80\x99s a force. That\xe2\x80\x99s why #Evonik, a leading global specialty chemicals company, is also main sponsor of #BorussiaDortmund. Together, we outdo ourselves. Learn more at\ngobeyondfootball.com. Link in bio. #BeyondFootball @bvb09 @blackyellow'",0,0,484,3,,,
CGX2Pugl5il,evonikofficial,2020-10-15 17:30:24.000000,no,False,"b'humanchemistry,evonik,specialtychemicals,leadingbeyondchemistry,onboarding,talentacquistion,recruiting,career,recentgraduate,development'",b'',"b'Maximiliane, HR expert :woman_office_worker: for onboarding and talent acquisition, recently finished her master\xe2\x80\x99s degree in psychology :light_bulb: but her Evonik journey :purple_heart: already started one year ago. She especially enjoys working with colleagues from all over the world :globe_showing_Americas::globe_showing_Europe-Africa::globe_showing_Asia-Australia: which encourages her to question her perspectives, to broaden her horizon :UP!_button: and learn more about new cultures :performing_arts:. Read more about her thoughts concerning career paths, current challenges and how to describe Evonik as an employer in one sentence. Just click the link in our bio. \n#HumanChemistry #Evonik #SpecialtyChemicals #LeadingBeyondChemistry #Onboarding #TalentAcquistion #Recruiting #Career #RecentGraduate #Development'",0,0,338,2,,,
CGX2Pugl5il,evonikofficial,2020-10-15 17:30:24.000000,no,False,"b'humanchemistry,evonik,specialtychemicals,leadingbeyondchemistry,onboarding,talentacquistion,recruiting,career,recentgraduate,development'",b'',"b'Maximiliane, HR expert :woman_office_worker: for onboarding and talent acquisition, recently finished her master\xe2\x80\x99s degree in psychology :light_bulb: but her Evonik journey :purple_heart: already started one year ago. She especially enjoys working with colleagues from all over the world :globe_showing_Americas::globe_showing_Europe-Africa::globe_showing_Asia-Australia: which encourages her to question her perspectives, to broaden her horizon :UP!_button: and learn more about new cultures :performing_arts:. Read more about her thoughts concerning career paths, current challenges and how to describe Evonik as an employer in one sentence. Just click the link in our bio. \n#HumanChemistry #Evonik #SpecialtyChemicals #LeadingBeyondChemistry #Onboarding #TalentAcquistion #Recruiting #Career #RecentGraduate #Development'",0,0,338,2,,,
CGFVz97Ah0G,evonikofficial,2020-10-08 13:00:41.000000,no,False,"b'humanchemistry,evonik,specialtychemicals,leadingbeyondchemistry,performancematerials,functionalsolutions,potassiumderivates,potassium,raisins,sales,alkoxides'",b'',"b'RAISIN :grapes: awareness on an important topic for the food :stuffed_flatbread::shallow_pan_of_food::bowl_with_spoon: industry: Mohamad is Business Manager at Evonik Performance Materials with global :world_map_selector: responsibility for sales :chart_increasing: of all products and applications for potassium derivatives and alkoxides. For one day, he changed roles and became a model. :camera: What this has to do with raisins? Find out in our story. :up_arrow_selector:\n\n#HumanChemistry #Evonik #SpecialtyChemicals #LeadingBeyondChemistry #PerformanceMaterials #FunctionalSolutions #PotassiumDerivates #Potassium #Raisins #Sales #Alkoxides'",0,0,168,1,,,
CFkC-yhnNxd,evonikofficial,2020-09-25 14:41:09.000000,no,False,"b'peopleinsights,humanchemsitry,trainee,employerbranding,peopleinsight,india,england,germany,international'",b'',"b'From Germany to Mumbai :India: to Durham :United_Kingdom: and with a special stopover in Evonik\xe2\x80\x99s headquarter in Essen :Germany:! Our intern Anna spent a part of her childhood in India and chose to study in England because she made so many positive and special memories with her family abroad. In our #PeopleInsights story, where you can meet the person behind the job, she tells us that her international experience  made her realize that helping others is a must. Learn more about our intern\xe2\x80\x99s international journey and why even her everyday smoothie is a creative masterpiece in our People Insight. Link in Bio!\n\n#HumanChemsitry #Trainee #EmployerBranding #PeopleInsight #India #England #Germany #International'",0,0,359,5,,,
CFMw12inyLo,evonikofficial,2020-09-16 13:40:09.000000,no,False,"b'humanchemistry,evonik,specialtychemicals,leadingbeyondchemistry,ausbildung,azubi,apprenticeship'",b'',"b'Ob ChemikantIn, FachlageristIn oder AnlagenmechanikerIn \xe2\x80\x93 Anfang September haben wir bei Evonik mehr als 400 neue Azubis an 15 Ausbildungsst\xc3\xa4tten begr\xc3\xbc\xc3\x9ft. Mit \xc3\xbcber 18 Ausbildungsberufen und deutschlandweit mehr als 1.600 Nachwuchskr\xc3\xa4ften z\xc3\xa4hlen wir dabei den gr\xc3\xb6\xc3\x9ften Ausbildern in Deutschland. Wir hoffen, die KollegInnen hatten einen guten Start und eine spannende und lehrreiche Ausbildungszeit. Ihr wollt mehr von unseren Azubis h\xc3\xb6ren? Checkt unsere Story! \n\n---\n\nWhether chemical technician, warehouse clerk or plant mechanic - at the beginning of September we welcomed more than 400 new apprentices at Evonik at 15 sites in Germany. With over 18 apprenticeships and more than 1,600 junior employees across Germany, we are one of the largest trainers in Germany. We hope the colleagues had a good start and will have an exciting and instructive apprenticeship period. Would you like to hear more from our apprentices? Check out our story!\n\n#HumanChemistry #Evonik #SpecialtyChemicals #LeadingBeyondChemistry #Ausbildung #Azubi #Apprenticeship'",0,0,351,3,,,
CE6_WKhgiGF,evonikofficial,2020-09-09 16:00:35.000000,no,False,"b'biotechnology,physics,chemistry,processengineering,humanchemistry,evonik,specialtychemicals,leadingbeyondchemistry,engineering,processengineering,chemistry,internship,student'",b'evonik',"b'3D printing :nut_and_bolt:, lab tests :alembic_selector: and creating simulations :laptop_computer: \xe2\x80\x93 this is just a small part of what Markus :man_scientist: learned more about during his 3-month internship the particle process engineering department at Evonik. After coming across the company during an excursion, he was thrilled when he got accepted as an intern. :military_medal_selector: What he liked the most about his department is the bundled knowledge from various fields like #biotechnology, #physics, #chemistry and #processengineering. Learn more about his experiences in our students@Evonik blog. Link in bio. \n#HumanChemistry #Evonik #SpecialtyChemicals #LeadingBeyondChemistry #Engineering #ProcessEngineering #Chemistry #Internship #Student'",0,0,125,0,,,
CE1hQPOgDSb,evonikofficial,2020-09-07 13:01:25.000000,no,False,"b'humanchemistry,evonik,leadingbeyondchemistry,specialchemicals,lebanon,beirut,donation,socialresponsibility,csr'",b'',"b'On August 4th, a huge explosion rocked Beirut, the capital of Lebanon, and caused numerous deaths and injuries. In these days, our employees called on one of Evonik\xe2\x80\x99s greatest values of Social Responsibility and put together an immediate support package: Colleagues from the business line Care Solutions, the Region EMEA Business Development and the Evonik Jordan office put together an immediate support package. Among other, 225 food parcels could be given to families in need. #HumanChemistry #Evonik #LeadingBeyondChemistry #SpecialChemicals #Lebanon #Beirut #Donation #SocialResponsibility #CSR'",0,0,344,3,,"b'Beirut, Lebanon'",33.8892 35.4993
CEuHacDnRVW,evonikofficial,2020-09-04 16:00:55.000000,no,False,"b'humanchemistry,evonik,specialtychemicals,leadingbeyondchemistry,us,virginia,students,internship,innovation,caresolutions'",b'evonik',"b""You always meet twice in life. :purple_heart: Mikayla did an internship in the Care Solutions department at the Business and Innovation Center in Richmond, Virginia :light_bulb:. Twice. :keycap_2: Besides on researching on products :woman_scientist: for industrial and institutional cleaning, she made friends  in her team, took on new challenges and fell in love with the traditional food :stuffed_flatbread: in her second home. Learn more about Mikayla's experiences why her internship was divided into two parts in our latest students@Evonik blog article. Link in bio. \n#HumanChemistry #Evonik #SpecialtyChemicals #LeadingBeyondChemistry #US #Virginia #Students #Internship #Innovation #CareSolutions""",0,0,152,0,,,
CEZTSalFJV5,evonikofficial,2020-08-27 14:00:38.000000,no,False,"b'ausbildung,humanchemistry,evonik,specialtychemicals,leadingbeyondchemistry,hc_azubiteam,ausbildung,azubi,hessenchemie'",b'hessenchemie',"b'#Ausbildung goes digital? Check :white_heavy_check_mark: 5 KollegInnen aus verschiedensten Ausbildungsberufen :woman_scientist::man_mechanic::woman_office_worker: haben als eines von 37 Teams beim Azubi-Wettbewerb 2020 von @hessenchemie an Ideen fu\xcc\x88r ""das digitale Unternehmen"" :satellite_antenna: gearbeitet.  Fu\xcc\x88r Evonik in Hanau hei\xc3\x9ft das: Das Schleppen von dicken Ordnern, Papierverschwendung und die endlose Suche nach Daten geho\xcc\x88ren der Vergangenheit an! :magnifying_glass_tilted_left: Mit QR-Codes :keycap_#: ko\xcc\x88nnen wichtige Informationen wie Sicherheitsdatenbla\xcc\x88tter an Maschinen :nut_and_bolt: oder Gefahrenbla\xcc\x88tter an Chemikalien :alembic_selector: nun direkt u\xcc\x88ber Tablet und Smartphone abgelesen werden. #HumanChemistry #Evonik #SpecialtyChemicals #LeadingBeyondChemistry #HC_Azubiteam #Ausbildung #Azubi\n\nAusbildung goes digital? Check! As one of 37 teams in the apprenticeship competition 2020 of #HessenChemie, 5 apprentices from different fields worked on ideas for ""the digital company"". For Evonik in Hanau, this means that carrying large folders, wasting paper and searching endlessly for data are a thing of the past! With QR codes, important information such as safety data sheets on machines or hazard sheets on chemicals can now be read directly via tablet and smartphone.'",0,0,201,2,,"b'Hanau, Germany'",50.13544 8.91644
CEJoyHIAkTo,evonikofficial,2020-08-21 12:00:38.000000,no,False,"b'plasticizers,humanchemistry,evonik,specialtychemicals,leadingbeyondchemistry,performancematerials,performanceintermediates,c4chemistry,plasticizers'",b'',"b'Have you ever heard of #plasticizers? They are added to a material to make it softer and more flexible, to increase its plasticity or to reduce its viscosity or friction!  As laboratory manager at Evonik Performance Intermediates in Marl, Germany, Imke is responsible for testing newly developed plasticizers and introducing new products. You come across these tiny superheroes more often than you think. Where? Check out our IG story. #HumanChemistry #Evonik #SpecialtyChemicals #LeadingBeyondChemistry #PerformanceMaterials #PerformanceIntermediates #C4Chemistry #Plasticizers'",0,0,176,1,,"b'Marl, Germany'",51.65 7.08333
